WaveLength	Name	Type	Force	Profile	AmplitudeGroupName	AmplitudeGroupValue	DispersionVelocityGroupName	WaveLengthOffset	EnableFitWaveLengthOffset	PfsName
972.53	LyGA	A	W	SYM	-1	1	Abs1	0	FALSE	None
972.53	LyGE	E	W	SYM	-1	1	Em1	0	FALSE	None
1025.72	LyBA	A	S	SYM	-1	1	Abs1	0	FALSE	None
1025.72	LyBE	E	W	SYM	-1	1	Em1	0	FALSE	None
1031.93	OVI1031A	A	W	SYM	-1	1	Abs1	0	FALSE	None
1031.93	OVI1031E	E	W	SYM	-1	1	Em1	0	FALSE	None
1037.62	OVI1037A	A	W	SYM	-1	1	Abs1	0	FALSE	None
1037.62	OVI1037E	E	W	SYM	-1	1	Em1	0	FALSE	None
1083.99	NII1084a	A	W	SYM	-1	1	Abs1	0	FALSE	None
1084.58	NII1084b	A	W	SYM	-1	1	Abs1	0	FALSE	None
1175.71	CIII1176a	A	W	SYM	-1	1	Abs1	0	FALSE	None
1176.37	CIII1176b	A	W	SYM	-1	1	Abs1	0	FALSE	None
1190.42	SiII1190	A	W	SYM	-1	1	Abs1	-150	FALSE	None
1193.29	SiII1193	A	W	SYM	-1	1	Abs1	-150	FALSE	None
1206.5	SiIII1206	A	W	SYM	-1	1	Abs1	-150	FALSE	None
1216.03	LyAA	A	S	SYM	-1	1	Abs1	0	FALSE	ly_alpha
1216.03	LyAE	E	S	ASYMFIT	-1	1	Em1	0	FALSE	None
1260.42	SiII1260	A	W	SYM	-1	1	Abs1	-150	FALSE	None
1302.15	OI1302	A	W	SYM	-1	1	Abs1	-150	FALSE	None
1334.53	CII	A	W	SYM	-1	1	Abs1	-150	FALSE	None
1370.5	NiII	A	W	SYM	-1	1	Abs1	0	FALSE	None
1393.74	SiIV1393	A	W	SYM	-1	1	Abs1	-150	FALSE	None
1402.77	SiIV1402	A	W	SYM	-1	1	Abs1	-150	FALSE	None
1526.71	SiII1526	A	W	SYM	-1	1	Abs1	-150	FALSE	None
1548.19	CIV1548A	A	S	SYM	A_CIV	1	Abs1	-150	FALSE	civ_1548
1548.61	CIV1548	E	S	SYM	E_CIV	1	Em1	0	FALSE	None
1550.79	CIV1550A	A	S	SYM	A_CIV	0.9	Abs1	-150	FALSE	civ_1550
1551.19	CIV1550	E	S	SYM	E_CIV	0.9	Em1	0	FALSE	None
1560.73	CI	A	W	SYM	-1	1	Abs1	0	FALSE	None
1608.44	FeII1608	A	W	SYM	-1	1	Abs1	-150	FALSE	None
1640.33	HeII(doublet-2)	E	W	SYM	E_HeII	2	Em1	0	FALSE	None
1640.47	HeII(doublet-3)	E	W	SYM	E_HeII	3	Em1	0	FALSE	None
1661.26	OIII1661	E	W	SYM	-1	1	Em1	0	FALSE	None
1666.6	OIII1666	E	W	SYM	-1	1	Em1	0	FALSE	None
1670.77	AlII1670	A	W	SYM	-1	1	Abs1	-150	FALSE	None
1855.22	AlIII1854	A	W	SYM	-1	1	Abs1	0	FALSE	None
1863.29	AlIII1862	A	W	SYM	-1	1	Abs1	0	FALSE	None
1906.68	[CIII]1907	E	S	SYM	-1	1	Em1	0	FALSE	None
1908.73	[CIII]1909	E	S	SYM	-1	1	Em1	0	FALSE	None
2250.49	FeII2249	A	W	SYM	-1	1	Abs1	0	FALSE	None
2261.39	FeII2260	A	W	SYM	-1	1	Abs1	0	FALSE	None
2344.84	FeII2344	A	S	SYM	-1	1	Abs1	0	FALSE	None
2375.1	FeII2374	A	W	SYM	-1	1	Abs1	0	FALSE	None
2383.4	FeII2382	A	S	SYM	-1	1	Abs1	0	FALSE	None
2587.35	FeII2586	A	W	SYM	-1	1	Abs1	0	FALSE	None
2600.87	FeII2600	A	S	SYM	-1	1	Abs1	0	FALSE	None
2797.11	MgII2796	A	S	SYM	A_MgII	0.6123	Abs1	0	FALSE	None
2799.12	MgII	E	W	SYM	-1	1	Em1	0	FALSE	None
2804.29	MgII2803	A	S	SYM	A_MgII	0.3054	Abs1	0	FALSE	None
2853.73	MgI2852	A	S	SYM	-1	1	Abs1	0	FALSE	None
3191.78	HeI3190	E	W	SYM	-1	1	Em1	0	FALSE	None
3346.81	[NeVb]	E	W	SYM	NeV_b	1	Em1	0	FALSE	None
3426.73	[NeVa]	E	W	SYM	NeV_a	2.76	Em1	0	FALSE	None
3582.19	FeI	A	W	SYM	-1	1	Abs1	0	FALSE	None
3727.09	[OII]3726	E	S	SYM	-1	1	Em1	0	FALSE	oii_3726
3729.88	[OII]3729	E	S	SYM	-1	1	Em1	0	FALSE	oii_3729
3758.46	FeVII	E	W	SYM	-1	1	Em1	0	FALSE	None
3771.65	H11A	A	W	SYM	-1	1	Abs1	0	FALSE	None
3771.65	H11	E	W	SYM	-1	1	Em1	0	FALSE	None
3785.47	FeII3785	E	W	SYM	-1	1	Em1	0	FALSE	None
3798.93	H10A	A	W	SYM	-1	1	Abs1	0	FALSE	None
3798.93	H10	E	W	SYM	-1	1	Em1	0	FALSE	None
3836.43	H9A	A	W	SYM	-1	1	Abs1	0	FALSE	None
3836.43	H9	E	W	SYM	-1	1	Em1	0	FALSE	None
3869.05	NeIII	E	W	SYM	-1	1	Em1	0	FALSE	neiii_3869
