WaveLength	Name	Type	Force	Profile	AmplitudeGroupName	AmplitudeGroupValue	DispersionVelocityGroupName	WaveLengthOffset	EnableFitWaveLengthOffset
18756.40	P_alphaA	A	S	SYM	-1	1	Abs1	0	FALSE
15029.10	MgI15030	A	W	SYM	-1	1	Abs1	0	FALSE
12821.59	P_betaA	A	W	SYM	-1	1	Abs1	0	FALSE
10941.09	P_gammaA	A	W	SYM	-1	1	Abs1	0	FALSE
10052.13	P_deltaA	A	W	SYM	-1	1	Abs1	0	FALSE
9548.59	P_epsA	A	W	SYM	-1	1	Abs1	0	FALSE
9231.55	P9A	A	W	SYM	-1	1	Abs1	0	FALSE
9017.38	P10A	A	W	SYM	-1	1	Abs1	0	FALSE
8865.22	P11A	A	W	SYM	-1	1	Abs1	0	FALSE
8664.50	CaII_t3A	A	S	SYM	T_Ca	13	Abs1	0	FALSE
8544.42	CaII_t2A	A	S	SYM	T_Ca	17	Abs1	0	FALSE
8500.35	CaII_t1A	A	S	SYM	T_Ca	16	Abs1	0	FALSE
6564.61	HalphaA	A	S	SYM	-1	1	Abs1	0	FALSE
5891.58	Na_D1	A	W	SYM	NaD	2	Abs1	0	FALSE
5897.56	Na_D2	A	W	SYM	NaD	1	Abs1	0	FALSE
5168.76	MgI_t1A	A	S	SYM	MgT	1	Abs1	0	FALSE
5174.12	MgI_t2A	A	S	SYM	MgT	1	Abs1	0	FALSE
5185.05	MgI_t3A	A	S	SYM	MgT	1	Abs1	0	FALSE
4862.72	HbetaA	A	W	SYM	-1	1	Abs1	0	FALSE
4341.58	HgammaA	A	W	SYM	-1	1	Abs1	0	FALSE
4304.57	GBand	A	W	SYM	-1	1	Abs1	0	FALSE
4102.81	HdeltaA	A	W	SYM	-1	1	Abs1	0	FALSE
3969.55	CaII_H	A	S	SYM	A_Ca	22	Abs1	0	FALSE
3934.73	CaII_K	A	S	SYM	A_Ca	23	Abs1	0	FALSE
3890.11	H8A	A	W	SYM	-1	1	Abs1	0	FALSE
3836.43	H9A	A	W	SYM	-1	1	Abs1	0	FALSE
3798.93	H10A	A	W	SYM	-1	1	Abs1	0	FALSE
3771.65	H11A	A	W	SYM	-1	1	Abs1	0	FALSE
3582.19	FeI	A	W	SYM	-1	1	Abs1	0	FALSE
2853.73	MgI2852	A	S	SYM	-1	1	Abs1	0	FALSE
2804.29	MgII2803	A	S	SYM	A_MgII	0.3054	Abs1	0	FALSE
2797.11	MgII2796	A	S	SYM	A_MgII	0.6123	Abs1	0	FALSE
2600.87	FeII2600	A	S	SYM	-1	1	Abs1	0	FALSE
2587.35	FeII2586	A	W	SYM	-1	1	Abs1	0	FALSE
2383.40	FeII2382	A	S	SYM	-1	1	Abs1	0	FALSE
2375.10	FeII2374	A	W	SYM	-1	1	Abs1	0	FALSE
2344.84	FeII2344	A	S	SYM	-1	1	Abs1	0	FALSE
2261.39	FeII2260	A	W	SYM	-1	1	Abs1	0	FALSE
2250.49	FeII2249	A	W	SYM	-1	1	Abs1	0	FALSE
1862.79	AlIII1862	A	W	SYM	-1	1	Abs1	0	FALSE
1854.71	AlIII1854	A	W	SYM	-1	1	Abs1	0	FALSE
1670.77	AlII1670	A	W	SYM	-1	1	Abs1	-150	FALSE
1608.44	FeII1608	A	W	SYM	-1	1	Abs1	-150	FALSE
1560.73	CI	A	W	SYM	-1	1	Abs1	0	FALSE
1550.77	CIV1550A	A	S	SYM	A_CIV	0.9	Abs1	-150	FALSE
1548.19	CIV1548A	A	S	SYM	A_CIV	1.0	Abs1	-150	FALSE
1526.71	SiII1526	A	W	SYM	-1	1	Abs1	-150	FALSE
1402.77	SiIV1402	A	W	SYM	-1	1	Abs1	-150	FALSE
1393.74	SiIV1393	A	W	SYM	-1	1	Abs1	-150	FALSE
1370.50	NiII	A	W	SYM	-1	1	Abs1	0	FALSE
1334.53	CII	A	W	SYM	-1	1	Abs1	-150	FALSE
1302.15	OI1302	A	W	SYM	-1	1	Abs1	-150	FALSE
1260.42	SiII1260	A	W	SYM	-1	1	Abs1	-150	FALSE
1215.67	LyAA	A	S	SYM	-1	1	Abs1	0	FALSE
1206.50	SiIII1206	A	W	SYM	-1	1	Abs1	-150	FALSE
1193.29	SiII1193	A	W	SYM	-1	1	Abs1	-150	FALSE
1190.42	SiII1190	A	W	SYM	-1	1	Abs1	-150	FALSE
1175.71	CIII1176a	A	W	SYM	-1	1	Abs1	0	FALSE
1176.37	CIII1176b	A	W	SYM	-1	1	Abs1	0	FALSE
1083.99	NII1084a	A	W	SYM	-1	1	Abs1	0	FALSE
1084.58	NII1084b	A	W	SYM	-1	1	Abs1	0	FALSE
1037.62	OVI1037A	A	W	SYM	-1	1	Abs1	0	FALSE
1031.93	OVI1031A	A	W	SYM	-1	1	Abs1	0	FALSE
1025.72	LyBA	A	S	SYM	-1	1	Abs1	0	FALSE
972.53	LyGA	A	W	SYM	-1	1	Abs1	0	FALSE
18756.40	P_alpha	E	S	SYM	-1	1	Em1	0	FALSE
18179.10	Br9	E	W	SYM	-1	1	Em1	0	FALSE
17366.89	Br10	E	W	SYM	-1	1	Em1	0	FALSE
17007.04	HeI	E	W	SYM	-1	1	Em1	0	FALSE
16811.13	Br11	E	W	SYM	-1	1	Em1	0	FALSE
16411.69	Br12	E	W	SYM	-1	1	Em1	0	FALSE
16113.73	Br13	E	W	SYM	-1	1	Em1	0	FALSE
15884.90	Br14	E	W	SYM	-1	1	Em1	0	FALSE
15704.97	Br15	E	W	SYM	-1	1	Em1	0	FALSE
15560.72	Br16	E	W	SYM	-1	1	Em1	0	FALSE
12821.59	P_beta	E	W	SYM	-1	1	Em1	0	FALSE
12552.93	C_I	E	W	SYM	-1	1	Em1	0	FALSE
10941.09	P_gamma	E	W	SYM	-1	1	Em1	0	FALSE
10833.25	HeI	E	W	SYM	-1	1	Em1	0	FALSE
10052.13	P_delta	E	W	SYM	-1	1	Em1	0	FALSE
9548.59	P_eps	E	W	SYM	-1	1	Em1	0	FALSE
9231.55	P9	E	W	SYM	-1	1	Em1	0	FALSE
9017.38	P10	E	W	SYM	-1	1	Em1	0	FALSE
8865.22	P11	E	W	SYM	-1	1	Em1	0	FALSE
9533.20	SIII9530	E	W	SYM	-1	1	Em1	0	FALSE
9071.10	SIII9068	E	W	SYM	-1	1	Em1	0	FALSE
8448.78	OI	E	W	SYM	-1	1	Em1	0	FALSE
7753.20	ArIII7751	E	W	SYM	-1	1	Em1	0	FALSE
