WaveLength	Name	Type	Force	Profile	AmplitudeGroupName	AmplitudeGroupValue	DispersionVelocityGroupName	WaveLengthOffset	EnableFitWaveLengthOffset
9533.20	SIII9530	E	W	LOR	-1	1	Em1	0	FALSE
9071.10	SIII9068	E	W	LOR	-1	1	Em1	0	FALSE
6732.68	[SII]6731	E	W	SYM	-1	1	Em1	0	FALSE
6718.29	[SII]6716	E	W	SYM	-1	1	Em1	0	FALSE
6585.27	[NII]a	E	W	SYM	E_NII	2.95	Em1	0	FALSE
6564.61	Halpha	E	S	LOR	-1	1	Em1	0	FALSE
6549.86	[NII]b	E	W	SYM	E_NII	1	Em1	0	FALSE
5008.24	[OIII]a	E	S	SYM	E_OIII	3	Em1	0	FALSE
4960.29	[OIII]b	E	S	SYM	E_OIII	1	Em1	0	FALSE
4862.72	Hbeta	E	S	LOR	-1	1	Em1	0	FALSE
4341.58	Hgamma	E	W	LOR	-1	1	Em1	0	FALSE
4102.81	Hdelta	E	W	LOR	-1	1	Em1	0	FALSE
3971.15	Hepsilon	E	W	LOR	-1	1	Em1	0	FALSE
3729.88	[OII]3729	E	S	SYM	E_OII	1.5	Em1	0	FALSE
3727.09	[OII]3726	E	S	SYM	E_OII	1	Em1	0	FALSE
3426.73	[NeVa]	E	W	SYM	NeV	2.76	Em1	0	FALSE
3346.81	[NeVb]	E	W	SYM	NeV	1	Em1	0	FALSE
2804.29	MgII2803E	E	S	LOR	E_MgII	0.3	Em1	0	FALSE
2797.11	MgII2796E	E	S	LOR	E_MgII	0.6	Em1	0	FALSE
1906.68	[CIII]1907	E	S	LOR	E_CIII	1	Em1	0	FALSE
1908.73	[CIII]1909	E	S	LOR	E_CIII	1	Em1	0	FALSE
1550.77	CIV1550	E	S	LOR	E_CIV	0.9	Em1	0	FALSE
1548.19	CIV1548	E	S	LOR	E_CIV	1.0	Em1	0	FALSE
1398.25	SiIV1398_d	E	S	LOR	-1	1	Em1	0	FALSE
1305.42	OI-SiII	E	W	LOR	-1	1	Em1	0	FALSE
1260.42	SiII1260	E	W	LOR	-1	1	Em1	-150	FALSE
1240.81	NV_d	E	S	LOR	-1	1	Em1	0	FALSE
1215.67	LyAE	E	S	LOR	-1	1	Em1	0	FALSE
1025.72	LyBE	E	W	LOR	-1	1	Em1	0	FALSE
972.53	LyGE	E	W	LOR	-1	1	Em1	0	FALSE
