WaveLength	Name	Type	Force	Profile	AmplitudeGroupName	AmplitudeGroupValue	DispersionVelocityGroupName	WaveLengthOffset	EnableFitWaveLengthOffset
12821.59	P5	E	W	LOR	-1	1	Em1	0	FALSE
10941.09	P6	E	W	LOR	-1	1	Em1	0	FALSE
10052.13	P7	E	W	LOR	-1	1	Em1	0	FALSE
9548.59	P8	E	W	LOR	-1	1	Em1	0	FALSE
9231.55	P9	E	W	LOR	-1	1	Em1	0	FALSE
9017.38	P10	E	W	LOR	-1	1	Em1	0	FALSE
8865.22	P11	E	W	LOR	-1	1	Em1	0	FALSE
9533.20	SIII9530	E	W	LOR	-1	1	Em1	0	FALSE
9071.10	SIII9068	E	W	LOR	-1	1	Em1	0	FALSE
7753.20	ArIII7751	E	W	LOR	-1	1	Em1	0	FALSE
7332.20	OII7330	E	W	LOR	-1	1	Em1	0	FALSE
7321.00	OII7319	E	W	LOR	-1	1	Em1	0	FALSE
7138.73	ArIII7136	E	W	LOR	-1	1	Em1	0	FALSE
6732.68	[SII]6731	E	W	SYM	-1	1	Em1	0	FALSE
6718.29	[SII]6716	E	W	SYM	-1	1	Em1	0	FALSE
6585.27	[NII](doublet-1)	E	W	SYM	E_NII	2.95	Em1	0	FALSE
6564.61	Halpha	E	S	LOR	-1	1	Em1	0	FALSE
6549.86	[NII](doublet-1/2.95)	E	W	SYM	E_NII	1	Em1	0	FALSE
6496.75	FeI6494	E	W	LOR	-1	1	Em1	0	FALSE
6302.05	[OI]6301	E	W	SYM	-1	1	Em1	0	FALSE
5877.41	HeI5876	E	W	LOR	-1	1	Em1	0	FALSE
5305.97	FeII	E	W	LOR	-1	1	Em1	0	FALSE
5008.24	[OIII](doublet-1)	E	S	SYM	E_OIII	3	Em1	0	FALSE
4960.29	[OIII](doublet-1/3)	E	S	SYM	E_OIII	1	Em1	0	FALSE
4862.72	Hbeta	E	S	LOR	-1	1	Em1	0	FALSE
4564.71	FeII	E	W	LOR	-1	1	Em1	0	FALSE
4341.58	Hgamma	E	W	LOR	-1	1	Em1	0	FALSE
4102.81	Hdelta	E	W	LOR	-1	1	Em1	0	FALSE
3971.15	Hepsilon	E	W	LOR	-1	1	Em1	0	FALSE
3890.11	H8	E	W	LOR	-1	1	Em1	0	FALSE
3869.05	NeIII	E	W	LOR	-1	1	Em1	0	FALSE
3836.43	H9	E	W	LOR	-1	1	Em1	0	FALSE
3798.93	H10	E	W	LOR	-1	1	Em1	0	FALSE
3785.47	FeII3785	E	W	LOR	-1	1	Em1	0	FALSE
3758.46	FeVII	E	W	LOR	-1	1	Em1	0	FALSE
3728.48	[OII]_d	E	S	SYM	-1	1	Em1	0	FALSE
3426.73	[NeVa]	E	W	SYM	NeV_a	2.76	Em1	0	FALSE
3346.81	[NeVb]	E	W	SYM	NeV_b	1	Em1	0	FALSE
3191.78	HeI3190	E	W	LOR	-1	1	Em1	0	FALSE
2964.28	FeII	E	W	LOR	-1	1	Em1	0	FALSE
2799.12	MgII	E	S	LOR	-1	1	Em1	0	FALSE
2324.58	FeII	E	W	LOR	-1	1	Em1	0	FALSE
2076.62	FeIII	E	W	LOR	-1	1	Em1	0	FALSE
1907.70	[CIII]_d	E	S	LOR	-1	1	Em1	0	FALSE
1862.79	AlIII1862	E	W	LOR	-1	1	Em1	0	FALSE
1854.71	AlIII1854	E	W	LOR	-1	1	Em1	0	FALSE
1663.93	OIII_d	E	W	LOR	-1	1	Em1	0	FALSE
1640.4	HeII_d	E	W	LOR	-1	1	Em1	0	FALSE
1549.5	CIV1550_d	E	S	LOR	-1	1	Em1	0	FALSE
1398.25	SiIV1398_d	E	S	LOR	-1	1	Em1	0	FALSE
1334.53	CII	E	W	LOR	-1	1	Em1	0	FALSE
1305.42	OI-SiII	E	W	LOR	-1	1	Em1	0	FALSE
1260.42	SiII1260	E	W	LOR	-1	1	Em1	-150	FALSE
1240.81	NV_d	E	S	LOR	-1	1	Em1	0	FALSE
1215.67	LyAE	E	S	LOR	-1	1	Em1	0	FALSE
1034.77	OVI1034	E	W	LOR	-1	1	Em1	0	FALSE
1025.72	LyBE	E	W	LOR	-1	1	Em1	0	FALSE
972.53	LyGE	E	W	LOR	-1	1	Em1	0	FALSE
2804.29	MgII2803A	A	S	SYM	A_MgII	0.3054	Abs1	0	FALSE
2797.11	MgII2796A	A	S	SYM	A_MgII	0.6123	Abs1	0	FALSE
1550.79	CIV1550A	A	S	SYM	A_CIV	0.9	Abs1	-150	FALSE
1548.19	CIV1548A	A	S	SYM	A_CIV	1	Abs1	-150	FALSE
1402.77	SiIV1402	A	W	SYM	-1	1	Abs1	-150	FALSE
1393.74	SiIV1393A	A	W	SYM	-1	1	Abs1	0	FALSE
1260.42	SiII1260A	A	W	SYM	-1	1	Abs1	0	FALSE
1215.67	LyAA	A	S	SYM	-1	1	Abs1	0	FALSE
1025.72	LyBA	A	S	SYM	-1	1	Abs1	0	FALSE
972.53	LyGA	A	W	SYM	-1	1	Abs1	0	FALSE
