WaveLength	Name	Type	Force	Profile	AmplitudeGroupName	AmplitudeGroupValue	DispersionVelocityGroupName	WaveLengthOffset	EnableFitWaveLengthOffset	PfsName
18756.1	P_alpha	E	S	LOR	-1	1.0	Em1	0	False	
12821.59	P_beta	E	W	LOR	-1	1.0	Em1	0	False	
10941.09	P_gamma	E	W	LOR	-1	1.0	Em1	0	False	
10052.13	P_delta	E	W	LOR	-1	1.0	Em1	0	False	
9548.59	P_eps	E	W	LOR	-1	1.0	Em1	0	False	
9231.55	P9	E	W	LOR	-1	1.0	Em1	0	False	None
9017.38	P10	E	W	LOR	-1	1.0	Em1	0	False	None
8865.22	P11	E	W	LOR	-1	1.0	Em1	0	False	None
9533.2	SIII9530	E	W	LOR	-1	1.0	Em1	0	False	None
9071.1	SIII9068	E	W	LOR	-1	1.0	Em1	0	False	None
7753.2	ArIII7751	E	W	LOR	-1	1.0	Em1	0	False	None
7332.2	OII7330	E	W	LOR	-1	1.0	Em1	0	False	None
7321.0	OII7319	E	W	LOR	-1	1.0	Em1	0	False	None
7138.73	ArIII7136	E	W	LOR	-1	1.0	Em1	0	False	ariii_7135
6732.68	[SII]6731	E	W	SYM	-1	1.0	Em1	0	False	sii_6731
6718.29	[SII]6716	E	W	SYM	-1	1.0	Em1	0	False	sii_6717
6585.27	[NII](doublet-1)	E	W	SYM	E_NII	2.95	Em1	0	False	nii_6584
6564.61	Halpha	E	S	LOR	-1	1.0	Em1	0	False	h_alpha
6549.86	[NII](doublet-1/3)	E	W	SYM	E_NII	1.0	Em1	0	False	
6496.75	FeI6494	E	W	LOR	-1	1.0	Em1	0	False	None
6302.05	[OI]6301	E	W	SYM	-1	1.0	Em1	0	False	oi_6300
5877.41	HeI5876	E	W	LOR	-1	1.0	Em1	0	False	hei_5876
5305.97	FeII5305	E	W	LOR	-1	1.0	Em1	0	False	
5008.24	[OIII](doublet-1)	E	S	SYM	E_OIII	3.0	Em1	0	False	oiii_5007
4960.29	[OIII](doublet-1/3)	E	S	SYM	E_OIII	1.0	Em1	0	False	oiii_4959
4862.72	Hbeta	E	S	LOR	-1	1.0	Em1	0	False	h_beta
4564.71	FeII4564	E	W	LOR	-1	1.0	Em1	0	False	
4341.58	Hgamma	E	W	LOR	-1	1.0	Em1	0	False	h_gamma
4102.81	Hdelta	E	W	LOR	-1	1.0	Em1	0	False	h_delta
3971.15	Hepsilon	E	W	LOR	-1	1.0	Em1	0	False	None
3890.11	H8	E	W	LOR	-1	1.0	Em1	0	False	None
3869.05	NeIII	E	W	LOR	-1	1.0	Em1	0	False	neiii_3869
3836.43	H9	E	W	LOR	-1	1.0	Em1	0	False	None
3798.93	H10	E	W	LOR	-1	1.0	Em1	0	False	None
3785.47	FeII3785	E	W	LOR	-1	1.0	Em1	0	False	None
3771.65	H11	E	W	LOR	-1	1.0	Em1	0	False	None
3758.46	FeVII	E	W	LOR	-1	1.0	Em1	0	False	None
