WaveLength	Name	Type	NominalAmplitude
972.53	LyGE	E	0.0
1025.72	LyBE	E	1.0
1037.62	OVI1037E	E	0.5
1031.93	OVI1031E	E	0.5
1175.71	CIII1176a	E	1.0
1176.37	CIII1176b	E	1.0
1190.42	SiII1190	E	0.0
1193.29	SiII1193	E	0.0
1206.5	SiIII1206	E	0.0
1215.67	LyAE	E	5
1240.81	NV_d	E	1
1260.42	SiII1260	E	0.1
1305.42	OI-SiII	E	0.4
1334.53	CII	E	0.15
1398.25	SiIV1398_d	E	0.9
1550.77	CIV1550	E	0.6
1548.19	CIV1548	E	0.54
1640.40	HeII_d	E	0.1
1663.93	OIII_d	E	0.1
1854.71	AlIII1854	E	0.1
1862.79	AlIII1862	E	0.1
1906.68	[CIII]1907	E	0.5
1908.73	[CIII]1909	E	0.5
2076.62	FeIII	E	0.15
2324.58	FeII2324	E	0.1
2804.29	MgII2803E	E	0.33
2797.11	MgII2796E	E	0.66
2964.28	FeII2964	E	0.1
3191.78	HeI3190	E	0.4
3346.81	[NeVb]	E	0.1
3426.73	[NeVa]	E	0.4
3729.88	[OII]3729	E	0.012
3727.09	[OII]3726	E	0.008
3758.46	FeVII	E	0.0
3771.65	H11	E	0.0
3785.47	FeII3785	E	0.0
3798.93	H10	E	0.0
3836.43	H9	E	0.0
3869.05	NeIII	E	0.1
3890.11	H8	E	0.0
3971.15	Hepsilon	E	0.0
4102.81	Hdelta	E	0.1
4341.58	Hgamma	E	0.1
4564.71	FeII4564	E	0.15
4862.72	Hbeta	E	0.2
4960.29	[OIII]b	E	0.
5008.24	[OIII]a	E	0.
5305.97	FeII5305	E	0.05
5877.41	HeI5876	E	0.1
6302.05	[OI]6301	E	0.1
6549.86	[NII]b	E	0.1
6564.61	Halpha	E	0.5
6585.27	[NII]a	E	0.3
6718.29	[SII]6716	E	0.1
6732.68	[SII]6731	E	0.1
7138.73	ArIII7136	E	0.03
7321.0	OII7319	E	0.1
7332.2	OII7330	E	0.1
7753.2	ArIII7751	E	0.1
8865.22	P11	E	3.62e-18
9017.38	P10	E	4.82e-18
9071.10	SIII9068	E	0.0
9231.55	P9	E	6.52e-18
9533.20	SIII9530	E	0.0
9548.59	P_eps	E	9.02e-18
10052.13	P_delta	E	1.3e-17
10941.09	P_gamma	E	1.44e-17
12821.59	P_beta	E	3.2e-17
18756.1	P_alpha	E	5.5e-17
