WaveLength	Name	Type	NominalAmplitude
972.53	LyGE	E	0.0
972.53	LyGA	A	0.747995
1025.72	LyBA	A	0.545877
1025.72	LyBE	E	0.0
1031.93	OVI1031E	E	0.0
1031.93	OVI1031A	A	0.285283
1037.62	OVI1037E	E	9.58557e-16
1037.62	OVI1037A	A	0.0
1175.71	CIII1176a	A	0.0
1176.37	CIII1176b	A	0.254281
1190.42	SiII1190	A	0.238655
1193.29	SiII1193	A	0.103038
1206.5	SiIII1206	A	0.227819
1216.03	LyAA	A	0.0
1216.03	LyAE	E	1.26039e-14
1260.42	SiII1260	A	0.206711
1302.15	OI1302	A	0.213471
1334.53	CII	A	0.147257
1370.5	NiII	A	0.0
1393.74	SiIV1393	A	0.169026
1402.77	SiIV1402	A	0.0390234
1526.71	SiII1526	A	0.0970955
1548.19	CIV1548A	A	0.0587184
1548.61	CIV1548	E	0.0
1550.79	CIV1550A	A	0.0528466
1551.19	CIV1550	E	0.0
1560.73	CI	A	0.0
1608.44	FeII1608	A	0.062399
1640.33	HeII(doublet-2)	E	2.76741e-16
1640.47	HeII(doublet-3)	E	4.15112e-16
1661.26	OIII1661	E	2.56016e-16
1666.6	OIII1666	E	3.42502e-16
1670.77	AlII1670	A	0.0
1855.22	AlIII1854	A	0.0672517
1863.29	AlIII1862	A	0.0654782
1906.68	[CIII]1907	E	7.95165e-16
1908.73	[CIII]1909	E	7.95165e-16
2250.49	FeII2249	A	0.0328772
2261.39	FeII2260	A	0.0673244
2344.84	FeII2344	A	0.251161
2375.1	FeII2374	A	0.150923
2383.4	FeII2382	A	0.2111
2587.35	FeII2586	A	0.207678
2600.87	FeII2600	A	0.254946
2797.11	MgII2796	A	0.199203
2799.12	MgII	E	0.0
2804.29	MgII2803	A	0.0993576
2853.73	MgI2852	A	0.0465985
3191.78	HeI3190	E	9.447680000000001e-18
3346.81	[NeVb]	E	9.785010000000001e-18
3426.73	[NeVa]	E	3.85403e-17
3582.19	FeI	A	0.0152131
3727.09	[OII]3726	E	1.1e-15
3729.88	[OII]3729	E	1.1e-15
3758.46	FeVII	E	0.0
3771.65	H11	E	0.0
3771.65	H11A	A	0.164514
3785.47	FeII3785	E	0.0
3798.93	H10	E	0.0
3798.93	H10A	A	0.191737
3836.43	H9A	A	0.241925
3836.43	H9	E	0.0
3869.05	NeIII	E	0.0
3890.11	H8	E	0.0
3890.11	H8A	A	0.184786
3934.73	CaII_K	A	0.138547
3969.55	CaII_H	A	0.132523
3971.15	Hepsilon	E	0.0
4102.81	HdeltaA	A	0.137788
4102.81	Hdelta	E	0.0
4304.57	GBand	A	0.0790501
4341.58	HgammaA	A	0.0267463
4341.58	Hgamma	E	0.0
4862.72	HbetaA	A	0.0
4862.72	Hbeta	E	4.42701e-16
4960.29	[OIII](doublet-1/3)	E	1.66e-15
5008.24	[OIII](doublet-1)	E	5e-15
5176.71	MgI5175	A	0.0479005
5877.41	HeI5876	E	5.05679e-18
5895.6	NaD	A	0.0281315
6303.05	[OI]6301	E	9.86107e-17
6549.86	[NII](doublet-1/2.95)	E	7.03351e-17
6564.61	HalphaA	A	0.0
6564.61	Halpha	E	1.89434e-15
6585.27	[NII](doublet-1)	E	2.07489e-16
6718.29	[SII]6716	E	4.15341e-16
6732.68	[SII]6731	E	3.19644e-16
7138.73	ArIII7136	E	0.0
7321.0	OII7319	E	0.0
7332.2	OII7330	E	4.25514e-17
7753.2	ArIII7751	E	2.72805e-17
8500.35	CaII_t1A	A	0.00260494
8544.42	CaII_t2A	A	0.00284238
8664.5	CaII_t3A	A	0.00296519
8865.22	P11A	A	0.00299126
8865.22	P11	E	1.71e-17
9017.38	P10A	A	0.00301032
9017.38	P10	E	2.28e-17
9231.55	P9	E	3.09e-17
9231.55	P9A	A	0.00303573
9548.59	P8A	A	0.00307068
9548.59	P8	E	4.27e-17
10052.13	P7	E	6.17e-17
10052.13	P7A	A	0.0031203
10941.09	P6	E	6.65e-17
10941.09	P6A	A	0.00319345
12821.59	P5	E	1.52e-16
12821.59	P5A	A	0.00330484
