WaveLength	Name	Type	NominalAmplitude
972.53	LyGE	E	0.0
972.53	LyGA	A	0.792286
1025.72	LyBA	A	0.511152
1025.72	LyBE	E	0.0
1031.93	OVI1031E	E	0.0
1031.93	OVI1031A	A	0.211456
1037.62	OVI1037E	E	2.51708e-15
1037.62	OVI1037A	A	0.0
1175.71	CIII1176a	A	0.0
1176.37	CIII1176b	A	0.252536
1190.42	SiII1190	A	0.236602
1193.29	SiII1193	A	0.103308
1206.5	SiIII1206	A	0.231
1216.03	LyAA	A	0.0
1216.03	LyAE	E	2.86862e-14
1260.42	SiII1260	A	0.207947
1302.15	OI1302	A	0.212344
1334.53	CII	A	0.146296
1370.5	NiII	A	0.0
1393.74	SiIV1393	A	0.167426
1402.77	SiIV1402	A	0.0385144
1526.71	SiII1526	A	0.095121
1548.19	CIV1548A	A	0.0580649
1548.61	CIV1548	E	0.0
1550.79	CIV1550A	A	0.0522584
1551.19	CIV1550	E	0.0
1560.73	CI	A	0.0
1608.44	FeII1608	A	0.074559
1640.33	HeII(doublet-2)	E	6.7752e-16
1640.47	HeII(doublet-3)	E	1.01628e-15
1661.26	OIII1661	E	7.49186e-16
1666.6	OIII1666	E	1.0054e-15
1670.77	AlII1670	A	0.0
1855.22	AlIII1854	A	0.0733381
1863.29	AlIII1862	A	0.0705061
1906.68	[CIII]1907	E	1.498193e-15
1908.73	[CIII]1909	E	1.498193e-15
2250.49	FeII2249	A	0.0319573
2261.39	FeII2260	A	0.0662238
2344.84	FeII2344	A	0.248091
2375.1	FeII2374	A	0.147549
2383.4	FeII2382	A	0.206949
2587.35	FeII2586	A	0.202998
2600.87	FeII2600	A	0.248147
2797.11	MgII2796	A	0.0
2799.12	MgII	E	8.3111e-16
2804.29	MgII2803	A	0.0
2853.73	MgI2852	A	0.013979
3191.78	HeI3190	E	1.23593e-15
3346.81	[NeVb]	E	1.80597e-17
3426.73	[NeVa]	E	0.0
3582.19	FeI	A	0.0281677
3727.09	[OII]3726	E	7.65e-15
3729.88	[OII]3729	E	7.65e-15
3758.46	FeVII	E	1.56641e-15
3771.65	H11A	A	0.0
3771.65	H11	E	0.0
3785.47	FeII3785	E	0.0
3798.93	H10	E	0.0
3798.93	H10A	A	0.171112
3836.43	H9A	A	0.146138
3836.43	H9	E	0.0
3869.05	NeIII	E	1.86469e-15
3890.11	H8A	A	0.0
3890.11	H8	E	1.60408e-16
3934.73	CaII_K	A	0.0706538
3969.55	CaII_H	A	0.0675819
3971.15	Hepsilon	E	0.0
4102.81	Hdelta	E	4.63866e-16
4102.81	HdeltaA	A	0.0
4304.57	GBand	A	0.0892199
4341.58	HgammaA	A	0.0
4341.58	Hgamma	E	1.30955e-15
4862.72	HbetaA	A	0.0
4862.72	Hbeta	E	4.83685e-15
4960.29	[OIII](doublet-1/3)	E	6.23563e-15
5008.24	[OIII](doublet-1)	E	1.87069e-14
5176.71	MgI5175	A	0.0124707
5877.41	HeI5876	E	1.66914e-16
5895.6	NaD	A	0.0394274
6303.05	[OI]6301	E	1.86893e-16
6549.86	[NII](doublet-1/2.95)	E	6e-16
6564.61	HalphaA	A	0.0
6564.61	Halpha	E	1.9e-14
6585.27	[NII](doublet-1)	E	1.8e-15
6718.29	[SII]6716	E	1.20329e-15
6732.68	[SII]6731	E	1.00513e-15
7138.73	ArIII7136	E	4.47951e-16
7321.0	OII7319	E	1.85662e-17
7332.2	OII7330	E	1.80662e-16
7753.2	ArIII7751	E	7.30609e-17
8500.35	CaII_t1A	A	0.0
8544.42	CaII_t2A	A	0.0
8664.5	CaII_t3A	A	0.0
8865.22	P11	E	1.72e-16
8865.22	P11A	A	0.0
9017.38	P10	E	2.29e-16
9017.38	P10A	A	0.0
9071.1	SIII9068	E	1.40902e-15
9231.55	P9	E	3.1e-16
9231.55	P9A	A	0.0
9533.2	SIII9530	E	2.25619e-15
9548.59	P8A	A	0.0
9548.59	P8	E	4.29e-16
10052.13	P7	E	6.19e-16
10052.13	P7A	A	0.0
10941.09	P6	E	6.67e-16
10941.09	P6A	A	0.0
12821.59	P5	E	1.52e-15
12821.59	P5A	A	0.0
