WaveLength	Name	Type	NominalAmplitude
972.53	LyGE	E	0.0
972.53	LyGA	A	0.116832
1025.72	LyBA	A	0.620963
1025.72	LyBE	E	0.0
1031.93	OVI1031E	E	0.0
1031.93	OVI1031A	A	0.226333
1037.62	OVI1037E	E	0.0
1037.62	OVI1037A	A	0.101418
1175.71	CIII1176a	A	0.222351
1176.37	CIII1176b	A	0.0
1190.42	SiII1190	A	0.170473
1193.29	SiII1193	A	0.057045
1206.5	SiIII1206	A	0.267001
1216.03	LyAA	A	0.0
1216.03	LyAE	E	5.09272e-15
1260.42	SiII1260	A	0.201008
1302.15	OI1302	A	0.224926
1334.53	CII	A	0.178471
1370.5	NiII	A	0.0
1393.74	SiIV1393	A	0.210789
1402.77	SiIV1402	A	0.123507
1526.71	SiII1526	A	0.123057
1548.19	CIV1548A	A	0.190618
1548.61	CIV1548	E	0.0
1550.79	CIV1550A	A	0.171556
1551.19	CIV1550	E	0.0
1560.73	CI	A	0.0
1608.44	FeII1608	A	0.0501028
1640.33	HeII(doublet-2)	E	1.31396e-16
1640.47	HeII(doublet-3)	E	1.97095e-16
1661.26	OIII1661	E	0.0
1666.6	OIII1666	E	0.0
1670.77	AlII1670	A	0.0204532
1855.22	AlIII1854	A	0.0665559
1863.29	AlIII1862	A	0.0242885
1906.68	[CIII]1907	E	2.54416e-16
1908.73	[CIII]1909	E	2.54416e-16
2250.49	FeII2249	A	0.0115388
2261.39	FeII2260	A	0.036981
2344.84	FeII2344	A	0.163707
2375.1	FeII2374	A	0.193027
2383.4	FeII2382	A	0.0580522
2587.35	FeII2586	A	0.110572
2600.87	FeII2600	A	0.192291
2797.11	MgII2796	A	0.191949
2799.12	MgII	E	0.0
2804.29	MgII2803	A	0.0957392
2853.73	MgI2852	A	0.0270219
3191.78	HeI3190	E	0.0
3346.81	[NeVb]	E	0.0
3426.73	[NeVa]	E	0.0
3582.19	FeI	A	0.0
3727.09	[OII]3726	E	5e-15
3729.88	[OII]3729	E	5e-15
3758.46	FeVII	E	0.0
3771.65	H11	E	0.0
3771.65	H11A	A	0.154179
3785.47	FeII3785	E	0.0
3798.93	H10	E	0.0
3798.93	H10A	A	0.181888
3836.43	H9	E	0.0
3836.43	H9A	A	0.203892
3869.05	NeIII	E	2.12513e-16
3890.11	H8	E	0.0
3890.11	H8A	A	0.144532
3934.73	CaII_K	A	0.116372
3969.55	CaII_H	A	0.111313
3971.15	Hepsilon	E	0.0
4102.81	HdeltaA	A	0.104429
4102.81	Hdelta	E	0.0
4304.57	GBand	A	0.0729453
4341.58	HgammaA	A	0.0
4341.58	Hgamma	E	1.2854e-16
4862.72	HbetaA	A	0.0
4862.72	Hbeta	E	9.23454e-16
4960.29	[OIII](doublet-1/3)	E	2e-15
5008.24	[OIII](doublet-1)	E	6e-15
5176.71	MgI5175	A	0.0297199
5877.41	HeI5876	E	0.0
5895.6	NaD	A	0.000178513
6303.05	[OI]6301	E	7.4744e-17
6549.86	[NII](doublet-1/2.95)	E	7.21832e-17
6564.61	HalphaA	A	0.0
6564.61	Halpha	E	2.98585e-15
6585.27	[NII](doublet-1)	E	2.1294e-16
6718.29	[SII]6716	E	4.39066e-16
6732.68	[SII]6731	E	2.92888e-16
7138.73	ArIII7136	E	0.0
7321.0	OII7319	E	0.0
7332.2	OII7330	E	6.21756e-17
8500.35	CaII_t1A	A	0.00345369
8544.42	CaII_t2A	A	0.00373011
8664.5	CaII_t3A	A	0.00374231
8865.22	P11	E	2.7e-17
8865.22	P11A	A	0.00378011
9017.38	P10	E	3.59e-17
9017.38	P10A	A	0.00380741
9231.55	P9	E	4.87e-17
9231.55	P9A	A	0.00384397
9548.59	P8A	A	0.00389431
9548.59	P8	E	6.74e-17
10052.13	P7	E	9.73e-17
10052.13	P7A	A	0.00396601
10941.09	P6	E	1.05e-16
10941.09	P6A	A	0.00407197
12821.59	P5	E	2.4e-16
12821.59	P5A	A	0.004234
