WaveLength	Name	Type	NominalAmplitude
972.53	LyGE	E	0.0
972.53	LyGA	A	0.256645
1025.72	LyBA	A	0.649343
1025.72	LyBE	E	0.0
1031.93	OVI1031E	E	0.0
1031.93	OVI1031A	A	0.386992
1037.62	OVI1037E	E	0.0
1037.62	OVI1037A	A	0.193079
1175.71	CIII1176a	A	0.0
1176.37	CIII1176b	A	0.0
1190.42	SiII1190	A	0.0270091
1193.29	SiII1193	A	0.28473
1206.5	SiIII1206	A	0.614628
1215.67	LyAA	A	0.611986
1215.67	LyAE	E	0.0
1260.42	SiII1260	A	0.156452
1302.15	OI1302	A	0.317398
1334.53	CII	A	0.288124
1370.5	NiII	A	0.0
1393.74	SiIV1393	A	0.253623
1402.77	SiIV1402	A	0.151107
1526.71	SiII1526	A	0.193957
1548.19	CIV1548A	A	0.207466
1548.19	CIV1548	E	0.0
1550.77	CIV1550A	A	0.18672
1550.77	CIV1550	E	0.0
1560.73	CI	A	0.0
1608.44	FeII1608	A	0.153146
1640.33	HeII(doublet-2)	E	0.0
1640.47	HeII(doublet-3)	E	0.0
1661.26	OIII1661	E	0.0
1666.6	OIII1666	E	0.0
1670.77	AlII1670	A	0.131705
1854.71	AlIII1854	A	0.117814
1862.79	AlIII1862	A	0.0368827
1906.68	[CIII]1907	E	3.7e-16
1908.73	[CIII]1909	E	3.7e-16
2250.49	FeII2249	A	0.000568955
2261.39	FeII2260	A	0.0
2344.84	FeII2344	A	0.155098
2375.1	FeII2374	A	0.182981
2383.4	FeII2382	A	0.0445209
2587.35	FeII2586	A	0.0933756
2600.87	FeII2600	A	0.169659
2797.11	MgII2796E	E	0
2804.29	MgII2803E	E	0
2797.11	MgII2796	A	0.145551
2804.29	MgII2803	A	0.0725973
2853.73	MgI2852	A	0.0412776
3191.78	HeI3190	E	0.0
3346.81	[NeVb]	E	0.0
3426.73	[NeVa]	E	0.0
3582.19	FeI	A	0.0594209
3727.09	[OII]3726	E	3.6e-15
3729.88	[OII]3729	E	5.4e-15
3758.46	FeVII	E	0.0
3771.65	H11A	A	0.0795195
3771.65	H11	E	0.0
3785.47	FeII3785	E	0.0
3798.93	H10A	A	0.129882
3798.93	H10	E	0.0
3836.43	H9	E	0.0
3836.43	H9A	A	0.236078
3869.05	NeIII	E	0.0
3890.11	H8	E	0.0
3890.11	H8A	A	0.190403
3934.73	CaII_K	A	0.249681
3969.55	CaII_H	A	0.238825
3971.15	Hepsilon	E	0.0
4102.81	HdeltaA	A	0.118306
4102.81	Hdelta	E	0.0
4304.57	GBand	A	0.127461
4341.58	Hgamma	E	0.0
4341.58	HgammaA	A	0.0881059
4862.72	Hbeta	E	2.2e-15
4862.72	HbetaA	A	0.12
4960.29	[OIII](doublet-1/3)	E	3.3e-16
5008.24	[OIII](doublet-1)	E	1e-15
5176.71	MgI5175	A	0.0685407
5877.41	HeI5876	E	0.0
5895.6	NaD	A	0.0519681
6302.05	[OI]6301	E	0.0
6549.86	[NII](doublet-1/3)	E	3.48e-16
6564.61	Halpha	E	6.8e-15
6564.61	HalphaA	A	0.0
6585.27	[NII](doublet-1)	E	1e-15
6718.29	[SII]6716	E	9.65e-16
6732.68	[SII]6731	E	3.74e-16
7138.73	ArIII7136	E	0.0
8500.35	CaII_t1A	A	0.0813866
8544.42	CaII_t2A	A	0.155465
8664.5	CaII_t3A	A	0.0777304
8865.22	P11	E	5.93e-17
8865.22	P11A	A	0.0
9017.38	P10	E	7.91e-17
9017.38	P10A	A	0.00970607
9231.55	P9A	A	0.111271
9231.55	P9	E	1.07e-16
9548.59	P_eps	E	1.52e-16
9548.59	P_epsA	A	0.00213901
10052.13	P_delta	E	2.14e-16
10052.13	P_deltaA	A	0.00244148
10941.09	P_gamma	E	2.3e-16
10941.09	P_gammaA	A	0.0026685
12821.59	P_beta	E	5.27e-16
12821.59	P_betaA	A	0.00274159
18756.1	P_alpha	E	8.4e-16
18756.1	P_alphaA	A	0.0043
