WaveLength	Name	Type	NominalAmplitude
972.53	LyGE	E	0.0
972.53	LyGA	A	0.874817
1025.72	LyBA	A	0.812507
1025.72	LyBE	E	0.0
1031.93	OVI1031E	E	0.0
1031.93	OVI1031A	A	0.338111
1037.62	OVI1037E	E	0.0
1037.62	OVI1037A	A	0.36573
1175.71	CIII1176a	A	0.0832766
1176.37	CIII1176b	A	0.0791375
1190.42	SiII1190	A	0.0
1193.29	SiII1193	A	0.407123
1206.5	SiIII1206	A	0.715411
1215.67	LyAA	A	0.912543
1215.67	LyAE	E	0.0
1260.42	SiII1260	A	0.266021
1302.15	OI1302	A	0.393146
1334.53	CII	A	0.295338
1370.5	NiII	A	0.0
1393.74	SiIV1393	A	0.232778
1402.77	SiIV1402	A	0.146596
1526.71	SiII1526	A	0.211566
1548.19	CIV1548A	A	0.210268
1548.19	CIV1548	E	0.0
1550.77	CIV1550A	A	0.189242
1550.77	CIV1550	E	0.0
1560.73	CI	A	0.0
1608.44	FeII1608	A	0.194055
1640.33	HeIIb	E	1.59112e-16
1640.47	HeIIa	E	2.38668e-16
1661.26	OIII1661	E	4.01464e-17
1666.6	OIII1666	E	0.0
1670.77	AlII1670	A	0.157197
1854.71	AlIII1854	A	0.155155
1862.79	AlIII1862	A	0.0176578
1906.68	[CIII]1907	E	2.9876e-16
1908.73	[CIII]1909	E	2.9876e-16
2250.49	FeII2249	A	0.0265339
2261.39	FeII2260	A	0.0594416
2344.84	FeII2344	A	0.225783
2375.1	FeII2374	A	0.124643
2383.4	FeII2382	A	0.180785
2587.35	FeII2586	A	0.175114
2600.87	FeII2600	A	0.207408
2797.11	MgII2796E	E	0
2804.29	MgII2803E	E	0
2797.11	MgII2796	A	0.159343
2804.29	MgII2803	A	0.0794763
2853.73	MgI2852	A	0.0348352
3191.78	HeI3190	E	0.0
3346.81	[NeVb]	E	0.0
3426.73	[NeVa]	E	0.0
3582.19	FeI	A	0.0
3727.09	[OII]3726	E	2.316e-15
3729.88	[OII]3729	E	3.474e-15
3758.46	FeVII	E	0.0
3771.65	H11A	A	0.236709
3771.65	H11	E	0.0
3785.47	FeII3785	E	0.0
3798.93	H10A	A	0.219187
3798.93	H10	E	0.0
3836.43	H9	E	0.0
3836.43	H9A	A	0.228584
3869.05	NeIII	E	1.08978e-16
3890.11	H8	E	0.0
3890.11	H8A	A	0.137249
3934.73	CaII_K	A	0.135442
3969.55	CaII_H	A	0.129553
3971.15	Hepsilon	E	0.0
4102.81	HdeltaA	A	0.041014
4102.81	Hdelta	E	0.0
4304.57	GBand	A	0.0312004
4341.58	Hgamma	E	3.87671e-16
4341.58	HgammaA	A	0.0
4862.72	Hbeta	E	1.5e-15
4862.72	HbetaA	A	0.0
4960.29	[OIII]b	E	7.96161e-16
5008.24	[OIII]a	E	2.38848e-15
5176.71	MgI5175	A	0.0882401
5877.41	HeI5876	E	2.69863e-16
5895.6	NaD	A	0.0
6302.05	[OI]6301	E	1.96219e-16
6549.86	[NII]b	E	5.11374e-17
6564.61	Halpha	E	4.3e-15
6564.61	HalphaA	A	0.0
6585.27	[NII]a	E	1.50855e-16
6718.29	[SII]6716	E	2.72549e-16
6732.68	[SII]6731	E	1.24427e-16
7138.73	ArIII7136	E	0.0
8500.35	CaII_t1A	A	0.0215643
8544.42	CaII_t2A	A	0.0254605
8664.5	CaII_t3A	A	0.00390337
8865.22	P11	E	3.61e-17
8865.22	P11A	A	0.00392251
9017.38	P10	E	4.81e-17
9017.38	P10A	A	0.00393855
9231.55	P9A	A	0.00395897
9231.55	P9	E	6.52e-17
9548.59	P_eps	E	9.03e-17
9548.59	P_epsA	A	0.00398806
10052.13	P_delta	E	1.3e-16
10052.13	P_deltaA	A	0.00402912
10941.09	P_gamma	E	1.4e-16
10941.09	P_gammaA	A	0.00408914
12821.59	P_beta	E	3.2e-16
12821.59	P_betaA	A	0.00417937
18756.1	P_alpha	E	5.1e-16
18756.1	P_alphaA	A	0.0065
