WaveLength	Name	Type	NominalAmplitude
972.53	LyGE	E	0.0
972.53	LyGA	A	0.874817
1025.72	LyBA	A	0.812507
1025.72	LyBE	E	0.0
1031.93	OVI1031E	E	0.0
1031.93	OVI1031A	A	0.338111
1037.62	OVI1037E	E	0.0
1037.62	OVI1037A	A	0.36573
1175.71	CIII1176a	A	0.12
1176.37	CIII1176b	A	0.04
1190.42	SiII1190	A	0.0
1193.29	SiII1193	A	0.407124
1206.5	SiIII1206	A	0.715412
1215.67	LyAA	A	0.912543
1215.67	LyAE	E	0.0
1260.42	SiII1260	A	0.266018
1302.15	OI1302	A	0.393143
1334.53	CII	A	0.295336
1370.5	NiII	A	0.0
1393.74	SiIV1393	A	0.232778
1402.77	SiIV1402	A	0.146597
1526.71	SiII1526	A	0.211516
1548.19	CIV1548A	A	0.210219
1548.19	CIV1548	E	0.0
1550.77	CIV1550A	A	0.189197
1550.77	CIV1550	E	0.0
1560.73	CI	A	0.0
1608.44	FeII1608	A	0.192859
1640.33	HeIIb	E	1.22181e-16
1640.47	HeIIa	E	1.83271e-16
1661.26	OIII1661	E	0.85e-17
1666.6	OIII1666	E	1.25e-17
1670.77	AlII1670	A	0.156865
1854.71	AlIII1854	A	0.155264
1862.79	AlIII1862	A	0.0173546
1906.68	[CIII]1907	E	2.25322e-16
1908.73	[CIII]1909	E	2.25322e-16
2250.49	FeII2249	A	0.0265341
2261.39	FeII2260	A	0.0594416
2344.84	FeII2344	A	0.225784
2375.1	FeII2374	A	0.124643
2383.4	FeII2382	A	0.180785
2587.35	FeII2586	A	0.175114
2600.87	FeII2600	A	0.207408
2797.11	MgII2796E	E	0
2804.29	MgII2803E	E	0
2797.11	MgII2796	A	0.173047
2804.29	MgII2803	A	0.0863116
2853.73	MgI2852	A	0.0414937
3191.78	HeI3190	E	9.294430000000001e-18
3346.81	[NeVb]	E	9.67681e-18
3426.73	[NeVa]	E	3.89515e-17
3582.19	FeI	A	0.0146769
3727.09	[OII]3726	E	0.867e-15
3729.88	[OII]3729	E	1.301e-15
3758.46	FeVII	E	0.0
3771.65	H11	E	0.0
3771.65	H11A	A	0.215765
3785.47	FeII3785	E	0.0
3798.93	H10	E	0.0
3798.93	H10A	A	0.246362
3836.43	H9A	A	0.278043
3836.43	H9	E	0.0
3869.05	NeIII	E	0.0
3890.11	H8	E	0.0
3890.11	H8A	A	0.211641
3934.73	CaII_K	A	0.15526
3969.55	CaII_H	A	0.14851
3971.15	Hepsilon	E	0.0
4102.81	HdeltaA	A	0.129004
4102.81	Hdelta	E	0.0
4304.57	GBand	A	0.0764018
4341.58	HgammaA	A	0.0296441
4341.58	Hgamma	E	0.0
4862.72	HbetaA	A	0.0
4862.72	Hbeta	E	4.48841e-16
4960.29	[OIII]b	E	2e-16
5008.24	[OIII]a	E	6e-16
5185.05	MgI_t3A	A	0.015
5174.12	MgI_t2A	A	0.015
5168.76	MgI_t1A	A	0.015
5877.41	HeI5876	E	8.07974e-18
5897.56	Na_D2	A	0.007
5891.58	Na_D1	A	0.014
6302.05	[OI]6301	E	9.93326e-17
6549.86	[NII]b	E	8.50658e-17
6564.61	HalphaA	A	0.0
6564.61	Halpha	E	1.88476e-15
6585.27	[NII]a	E	2.50944e-16
6718.29	[SII]6716	E	4.19284e-16
6732.68	[SII]6731	E	3.22597e-16
7138.73	ArIII7136	E	0.0
7321.0	OII7319	E	0.0
7332.2	OII7330	E	4.25514e-17
7753.2	ArIII7751	E	2.72805e-17
8500.35	CaII_t1A	A	0.0162395
8544.42	CaII_t2A	A	0.0191801
8664.5	CaII_t3A	A	0.00292974
8865.22	P11A	A	0.00294417
8865.22	P11	E	1.7e-17
9017.38	P10A	A	0.0029562
9017.38	P10	E	2.27e-17
9231.55	P9	E	3.07e-17
9231.55	P9A	A	0.00297154
9548.59	P_epsA	A	0.00299338
9548.59	P_eps	E	4.25e-17
10052.13	P_delta	E	6.14e-17
10052.13	P_deltaA	A	0.00302421
10833.25	HeI	E	2e-16
10941.09	P_gamma	E	6.62e-17
10941.09	P_gammaA	A	0.00306927
12821.59	P_beta	E	1.51e-16
12821.59	P_betaA	A	0.00313703
18756.4	P_alpha	E	2.4e-16 
18756.4	P_alphaA	A	0.0049  
