# col1       col2            
  3700.029   5.01697425E-13  
  3700.179   4.96175637E-13  
  3700.329   4.80045528E-13  
  3700.479   4.87258183E-13  
  3700.629   4.78206016E-13  
  3700.779   4.73036866E-13  
  3700.929   4.37681656E-13  
  3701.079   4.24048763E-13  
  3701.229   4.15553524E-13  
  3701.379   4.73979037E-13  
  3701.529   4.93333673E-13  
  3701.679   4.72458444E-13  
  3701.829   4.5914249E-13   
  3701.979   4.37345798E-13  
  3702.129   4.46707531E-13  
  3702.279   4.61788593E-13  
  3702.429   4.50014673E-13  
  3702.579   4.47406787E-13  
  3702.729   4.47133243E-13  
  3702.879   4.42027301E-13  
  3703.029   4.36172935E-13  
  3703.179   4.21437516E-13  
  3703.329   3.97832754E-13  
  3703.479   3.7062798E-13   
  3703.629   3.28758451E-13  
  3703.779   3.32453547E-13  
  3703.929   3.47013867E-13  
  3704.078   3.61547001E-13  
  3704.229   3.70723065E-13  
  3704.378   3.70935297E-13  
  3704.529   3.98673417E-13  
  3704.678   4.02312894E-13  
  3704.828   4.38913147E-13  
  3704.978   4.29528375E-13  
  3705.128   4.33063768E-13  
  3705.278   4.27078539E-13  
  3705.428   3.70432092E-13  
  3705.578   3.33423366E-13  
  3705.728   3.46653289E-13  
  3705.878   3.34993074E-13  
  3706.028   2.90212868E-13  
  3706.178   2.95856736E-13  
  3706.328   3.91924205E-13  
  3706.478   4.46931825E-13  
  3706.628   4.94353202E-13  
  3706.778   4.73890783E-13  
  3706.928   4.56638308E-13  
  3707.078   4.32986844E-13  
  3707.228   4.55188079E-13  
  3707.378   4.7258497E-13   
  3707.528   4.504277E-13    
  3707.678   3.87929624E-13  
  3707.828   3.50983267E-13  
  3707.978   3.76920473E-13  
  3708.128   4.37532985E-13  
  3708.278   4.86540279E-13  
  3708.428   5.00660602E-13  
  3708.578   4.97842761E-13  
  3708.728   4.88612297E-13  
  3708.878   4.55352932E-13  
  3709.028   4.26255521E-13  
  3709.178   3.70765295E-13  
  3709.328   3.6751201E-13   
  3709.478   4.15334352E-13  
  3709.628   4.49577685E-13  
  3709.778   4.59340519E-13  
  3709.928   4.55045073E-13  
  3710.078   4.39805012E-13  
  3710.228   4.17692112E-13  
  3710.378   4.10746334E-13  
  3710.528   4.31031052E-13  
  3710.678   4.34089776E-13  
  3710.828   4.2950623E-13   
  3710.978   4.28562811E-13  
  3711.128   4.03232271E-13  
  3711.277   3.78436811E-13  
  3711.428   3.66750358E-13  
  3711.577   3.65474225E-13  
  3711.728   3.51057833E-13  
  3711.877   3.41922481E-13  
  3712.028   3.26330271E-13  
  3712.177   3.50484778E-13  
  3712.328   3.75653772E-13  
  3712.477   3.93410673E-13  
  3712.628   3.98507345E-13  
  3712.777   3.76773591E-13  
  3712.927   3.945863E-13    
  3713.077   4.07678259E-13  
  3713.227   4.2921317E-13   
  3713.377   4.5514959E-13   
  3713.527   4.56785976E-13  
  3713.677   4.68050728E-13  
  3713.827   4.81348576E-13  
  3713.977   4.63055701E-13  
  3714.127   4.74166442E-13  
  3714.277   4.82341706E-13  
  3714.427   4.91891142E-13  
  3714.577   4.80898361E-13  
  3714.727   4.88286982E-13  
  3714.877   4.85014101E-13  
  3715.027   4.78695967E-13  
  3715.177   4.84591588E-13  
  3715.327   4.77892411E-13  
  3715.477   4.56565341E-13  
  3715.627   4.7733112E-13   
  3715.777   4.7124945E-13   
  3715.927   4.86591995E-13  
  3716.077   4.86831983E-13  
  3716.227   4.77902006E-13  
  3716.377   4.55362202E-13  
  3716.527   4.63271945E-13  
  3716.677   4.47127903E-13  
  3716.827   5.24057956E-13  
  3716.977   5.00796019E-13  
  3717.127   5.16120458E-13  
  3717.277   4.92854076E-13  
  3717.427   4.92565353E-13  
  3717.577   4.91284422E-13  
  3717.727   4.95843926E-13  
  3717.877   5.06828466E-13  
  3718.027   5.04178134E-13  
  3718.177   4.94118201E-13  
  3718.327   4.61908398E-13  
  3718.477   4.71514592E-13  
  3718.627   4.71012877E-13  
  3718.777   4.75296939E-13  
  3718.927   4.90753055E-13  
  3719.077   4.88471731E-13  
  3719.227   4.66691844E-13  
  3719.377   4.69784368E-13  
  3719.527   4.40863681E-13  
  3719.677   3.80502325E-13  
  3719.827   2.91552806E-13  
  3719.977   2.74018167E-13  
  3720.126   3.45893615E-13  
  3720.276   3.97697419E-13  
  3720.426   4.30461466E-13  
  3720.576   4.40214759E-13  
  3720.726   4.12379332E-13  
  3720.876   4.11692382E-13  
  3721.026   3.98881584E-13  
  3721.176   3.64643835E-13  
  3721.326   3.30507323E-13  
  3721.476   2.98338313E-13  
  3721.626   2.70534029E-13  
  3721.776   2.70500446E-13  
  3721.926   2.67658698E-13  
  3722.076   2.9388422E-13   
  3722.226   3.14518133E-13  
  3722.376   2.87400447E-13  
  3722.526   2.69792923E-13  
  3722.676   3.01794505E-13  
  3722.826   3.67399714E-13  
  3722.976   4.1192085E-13   
  3723.126   4.16743273E-13  
  3723.276   4.43769695E-13  
  3723.426   4.39511058E-13  
  3723.576   4.60998969E-13  
  3723.726   4.42682186E-13  
  3723.876   4.56730899E-13  
  3724.026   4.60446134E-13  
  3724.176   4.39438281E-13  
  3724.326   4.07166461E-13  
  3724.476   4.40018654E-13  
  3724.626   4.67077494E-13  
  3724.776   4.94196264E-13  
  3724.926   4.79589946E-13  
  3725.076   5.04342173E-13  
  3725.226   4.88949593E-13  
  3725.376   5.01391246E-13  
  3725.526   5.02306421E-13  
  3725.676   5.08019896E-13  
  3725.826   5.21287711E-13  
  3725.976   5.01096181E-13  
  3726.126   5.08518358E-13  
  3726.276   5.24674271E-13  
  3726.426   5.17187042E-13  
  3726.576   5.19427383E-13  
  3726.726   4.96946668E-13  
  3726.876   4.41239791E-13  
  3727.025   4.28552539E-13  
  3727.176   4.45036206E-13  
  3727.325   4.75698203E-13  
  3727.476   3.84127409E-13  
  3727.625   3.56590842E-13  
  3727.776   3.86722745E-13  
  3727.925   4.61778998E-13  
  3728.076   5.15832602E-13  
  3728.225   5.00987598E-13  
  3728.376   5.1646762E-13   
  3728.525   5.02415221E-13  
  3728.675   5.17963276E-13  
  3728.825   5.04028785E-13  
  3728.975   5.03672299E-13  
  3729.125   5.13797121E-13  
  3729.275   5.17613188E-13  
  3729.425   5.30254985E-13  
  3729.575   5.04944502E-13  
  3729.725   4.91006107E-13  
  3729.875   4.88287958E-13  
  3730.025   4.86667943E-13  
  3730.175   4.90754789E-13  
  3730.325   4.56876778E-13  
  3730.475   4.60818395E-13  
  3730.625   4.67628811E-13  
  3730.775   4.6638534E-13   
  3730.925   4.7375927E-13   
  3731.075   4.64773944E-13  
  3731.225   4.70070001E-13  
  3731.375   4.72319883E-13  
  3731.525   4.66216041E-13  
  3731.675   4.70757385E-13  
  3731.825   4.81518796E-13  
  3731.975   4.81385602E-13  
  3732.125   4.48541838E-13  
  3732.275   4.20324881E-13  
  3732.425   3.79732893E-13  
  3732.575   4.08396624E-13  
  3732.725   4.06536973E-13  
  3732.875   4.15375796E-13  
  3733.025   3.92677617E-13  
  3733.175   3.55955554E-13  
  3733.325   2.99604092E-13  
  3733.475   3.16659839E-13  
  3733.625   3.38486671E-13  
  3733.775   3.63972416E-13  
  3733.925   3.23110598E-13  
  3734.075   3.03933853E-13  
  3734.225   2.56020628E-13  
  3734.375   2.44635611E-13  
  3734.525   2.34296089E-13  
  3734.675   2.33468518E-13  
  3734.825   2.07937617E-13  
  3734.975   2.34820301E-13  
  3735.125   2.95155854E-13  
  3735.275   3.42249368E-13  
  3735.424   3.66776596E-13  
  3735.575   3.93368308E-13  
  3735.724   4.14598802E-13  
  3735.874   4.20667109E-13  
  3736.024   4.27868732E-13  
  3736.174   4.55677054E-13  
  3736.324   4.49629131E-13  
  3736.474   4.55090718E-13  
  3736.624   3.90471564E-13  
  3736.774   2.85317993E-13  
  3736.924   2.14220202E-13  
  3737.074   1.90091202E-13  
  3737.224   2.8892058E-13   
  3737.374   3.83360634E-13  
  3737.524   4.78434946E-13  
  3737.674   4.87535414E-13  
  3737.824   5.14154203E-13  
  3737.974   5.0429642E-13   
  3738.124   4.71983509E-13  
  3738.274   4.51508161E-13  
  3738.424   4.49171353E-13  
  3738.574   5.0044219E-13   
  3738.724   5.29683394E-13  
  3738.874   5.17071032E-13  
  3739.024   4.90874214E-13  
  3739.174   4.94865054E-13  
  3739.324   4.70985935E-13  
  3739.474   4.86335961E-13  
  3739.624   4.98745685E-13  
  3739.774   5.20661259E-13  
  3739.924   5.33930593E-13  
  3740.074   5.0342006E-13   
  3740.224   5.04761651E-13  
  3740.374   5.15429442E-13  
  3740.524   5.44472887E-13  
  3740.674   5.41253023E-13  
  3740.824   5.24143066E-13  
  3740.974   5.10231505E-13  
  3741.124   5.14307726E-13  
  3741.274   5.11096265E-13  
  3741.424   4.943564E-13    
  3741.574   4.5262779E-13   
  3741.724   4.5611659E-13   
  3741.874   5.03632021E-13  
  3742.024   5.54541385E-13  
  3742.174   5.45195562E-13  
  3742.324   5.21184387E-13  
  3742.474   5.26610385E-13  
  3742.624   4.85951286E-13  
  3742.773   4.95739029E-13  
  3742.924   5.53344859E-13  
  3743.073   5.10694731E-13  
  3743.224   4.42057605E-13  
  3743.373   3.5870032E-13   
  3743.524   3.81752328E-13  
  3743.673   4.74520922E-13  
  3743.824   4.97899519E-13  
  3743.973   4.8998918E-13   
  3744.124   5.00380119E-13  
  3744.273   5.10770083E-13  
  3744.424   5.26748187E-13  
  3744.573   5.24249264E-13  
  3744.723   5.24389939E-13  
  3744.873   5.42972568E-13  
  3745.023   5.12724899E-13  
  3745.173   5.10337757E-13  
  3745.323   4.47564566E-13  
  3745.473   3.3383558E-13   
  3745.623   2.91070309E-13  
  3745.773   2.8174636E-13   
  3745.923   3.35735671E-13  
  3746.073   4.01056331E-13  
  3746.223   4.91536228E-13  
  3746.373   4.95926542E-13  
  3746.523   4.81491962E-13  
  3746.673   4.97416995E-13  
  3746.823   4.6243467E-13   
  3746.973   4.38219339E-13  
  3747.123   4.76961894E-13  
  3747.273   4.82469316E-13  
  3747.423   4.72380056E-13  
  3747.573   4.83278782E-13  
  3747.723   4.60669588E-13  
  3747.873   4.23697942E-13  
  3748.023   4.00078977E-13  
  3748.173   3.21324374E-13  
  3748.323   3.0631262E-13   
  3748.473   3.62646545E-13  
