# col1       col2            
  3700.011   5.31767284E-16  
  3700.161   2.68141779E-16  
  3700.462   3.81398687E-16  
  3700.612   3.33973021E-16  
  3700.762   4.35356485E-16  
  3700.912   4.34582595E-17  
  3701.062   6.89491437E-16  
  3701.212   4.15856437E-16  
  3701.362   6.6409146E-16   
  3701.512   4.61970922E-16  
  3701.662   2.61510702E-16  
  3701.963   9.39394902E-16  
  3702.113   4.18397218E-16  
  3702.263   3.97504648E-16  
  3702.413   1.79530433E-16  
  3702.563   2.02179055E-17  
  3702.713   5.09680688E-16  
  3702.863   6.35545179E-16  
  3703.013   2.6193938E-16   
  3703.163   3.53290216E-16  
  3703.313   7.20358323E-16  
  3703.463   4.06798108E-16  
  3703.614   2.26677743E-16  
  3703.763   3.313928E-16    
  3703.914   8.63734783E-17  
  3704.064   2.885517E-16    
  3704.214   3.20589556E-16  
  3704.364   2.39750135E-16  
  3704.514   3.53439532E-16  
  3704.664   4.82303525E-16  
  3704.814   9.1487486E-17   
  3705.114   1.82128614E-16  
  3705.265   8.74369149E-17  
  3705.414   4.36268793E-16  
  3705.565   2.2532384E-16   
  3705.715   1.64538735E-18  
  3705.865   4.73022108E-16  
  3706.015   5.24828066E-17  
  3706.165   2.88087552E-16  
  3706.315   2.05280327E-16  
  3706.465   3.59968224E-16  
  3706.615   3.84009216E-16  
  3706.765   4.72756511E-16  
  3706.916   2.60534523E-16  
  3707.065   7.0637455E-16   
  3707.216   2.52287413E-16  
  3707.366   3.1685467E-16   
  3707.666   3.94781304E-16  
  3707.816   3.51482965E-16  
  3707.966   4.51030433E-16  
  3708.116   1.10336801E-16  
  3708.266   7.90469728E-16  
  3708.416   4.65610094E-16  
  3708.567   3.45871293E-16  
  3708.716   4.20937205E-16  
  3708.867   1.54282843E-16  
  3709.017   3.19945229E-16  
  3709.167   1.78109932E-16  
  3709.317   7.12536225E-17  
  3709.617   8.18463426E-16  
  3709.767   4.46220027E-16  
  3709.917   2.52836873E-16  
  3710.067   1.21351472E-16  
  3710.217   3.37138251E-16  
  3710.518   1.84080989E-17  
  3710.668   8.75613268E-16  
  3710.818   6.13751233E-16  
  3710.968   2.29195601E-16  
  3711.268   6.61775513E-16  
  3711.418   2.87095835E-16  
  3711.568   3.99228016E-16  
  3711.718   1.0841362E-16   
  3711.868   2.2343178E-16   
  3712.018   1.19500996E-16  
  3712.169   2.32178639E-16  
  3712.319   4.84596602E-16  
  3712.619   4.28760481E-16  
  3712.769   8.74009041E-16  
  3712.919   3.91120269E-16  
  3713.069   5.5095043E-17   
  3713.219   6.22768692E-16  
  3713.369   2.42121509E-16  
  3713.519   5.13871066E-16  
  3713.669   3.8137992E-16   
  3713.82    5.64192711E-16  
