# col1       col2            
  3700.115   4.86870581E-13  
  3700.265   4.59710666E-13  
  3700.415   3.82922155E-13  
  3700.565   2.98631969E-13  
  3700.715   3.64330013E-13  
  3700.865   3.02433778E-13  
  3701.015   1.84576475E-13  
  3701.165   2.32076565E-13  
  3701.316   3.02181565E-13  
  3701.465   2.80686715E-13  
  3701.616   3.75827055E-13  
  3701.765   3.3690894E-13   
  3701.916   2.80996255E-13  
  3702.066   2.09188312E-13  
  3702.216   3.69445495E-13  
  3702.366   3.00130092E-13  
  3702.516   2.92838101E-13  
  3702.666   2.99896663E-13  
  3702.816   4.65044724E-13  
  3702.966   3.51878357E-13  
  3703.116   3.46362452E-13  
  3703.266   3.4719604E-13   
  3703.416   3.18417276E-13  
  3703.566   1.7196261E-13   
  3703.716   2.01844943E-13  
  3703.866   1.65458603E-13  
  3704.016   1.89632611E-13  
  3704.166   1.97284097E-13  
  3704.316   2.29190365E-13  
  3704.466   1.74060798E-13  
  3704.616   1.23442177E-13  
  3704.766   9.23235555E-14  
  3704.916   1.03330044E-13  
  3705.066   1.7007626E-13   
  3705.216   1.42164248E-13  
  3705.366   9.47812182E-14  
  3705.516   1.25106631E-13  
  3705.666   7.26035104E-14  
  3705.816   4.61301631E-14  
  3705.966   1.43555076E-13  
  3706.116   8.58175157E-14  
  3706.266   1.26444197E-13  
  3706.416   1.91198403E-13  
  3706.566   2.3537113E-13   
  3706.716   2.4887972E-13   
  3706.866   2.16394448E-13  
  3707.017   1.65872416E-13  
  3707.166   1.1440481E-13   
  3707.317   2.27078962E-13  
  3707.466   1.19725451E-13  
  3707.617   9.56234874E-14  
  3707.767   1.06322306E-13  
  3707.917   7.15879789E-14  
  3708.067   2.09785843E-13  
  3708.217   1.83964443E-13  
  3708.367   1.87880175E-13  
  3708.517   2.31418942E-13  
  3708.667   1.79656393E-13  
  3708.817   2.08654789E-13  
  3708.967   1.50781067E-13  
  3709.117   9.85727138E-14  
  3709.267   9.23201267E-14  
  3709.417   1.30893926E-13  
  3709.567   1.21740102E-13  
  3709.717   1.94626067E-13  
  3709.867   2.06117336E-13  
  3710.017   1.93791137E-13  
  3710.167   2.04514045E-13  
  3710.317   1.72092958E-13  
  3710.467   2.99161412E-13  
  3710.617   3.33288789E-13  
  3710.767   3.00897192E-13  
  3710.917   2.89090258E-13  
  3711.067   2.80532352E-13  
  3711.217   3.03378281E-13  
  3711.367   2.43259243E-13  
  3711.517   2.74592008E-13  
  3711.667   3.99330661E-13  
  3711.817   3.72358638E-13  
  3711.967   3.27012479E-13  
  3712.117   3.64085904E-13  
  3712.267   3.68988016E-13  
  3712.418   3.84516664E-13  
  3712.567   4.00991387E-13  
  3712.718   3.89912115E-13  
  3712.867   3.59383828E-13  
  3713.018   3.28059628E-13  
  3713.168   3.98235833E-13  
  3713.318   3.61770672E-13  
  3713.468   3.35419951E-13  
  3713.618   3.57217484E-13  
  3713.768   3.57510516E-13  
  3713.918   3.54181392E-13  
  3714.068   3.30356727E-13  
  3714.218   3.62959093E-13  
  3714.368   3.5044637E-13   
  3714.518   4.16515428E-13  
  3714.668   4.00498347E-13  
  3714.818   3.47198941E-13  
  3714.968   3.35071245E-13  
  3715.118   3.14383312E-13  
  3715.268   3.16067295E-13  
  3715.418   2.47733529E-13  
  3715.568   2.27821803E-13  
  3715.718   3.04537943E-13  
  3715.868   2.51626573E-13  
  3716.018   3.37848429E-13  
  3716.168   2.12786237E-13  
  3716.318   1.96418226E-13  
  3716.468   1.77502652E-13  
  3716.618   2.25289785E-13  
  3716.768   2.50169866E-13  
  3716.918   2.02978815E-13  
  3717.068   2.18954588E-13  
  3717.218   1.77009584E-13  
  3717.368   1.57349841E-13  
  3717.518   1.27091602E-13  
  3717.668   2.34391337E-13  
  3717.818   1.59332806E-13  
  3717.968   2.1650997E-13   
  3718.119   1.66888665E-13  
  3718.268   1.70562959E-13  
  3718.419   1.66480694E-13  
  3718.568   1.24187702E-13  
  3718.719   1.42344592E-13  
  3718.869   1.01964837E-13  
  3719.019   1.68288763E-13  
  3719.169   8.39989631E-14  
  3719.319   8.48707294E-14  
  3719.469   1.32718326E-13  
  3719.619   3.2995335E-14   
  3719.769   9.2525915E-14   
  3719.919   9.35649128E-14  
  3720.069   1.16498377E-13  
  3720.219   8.00077371E-14  
  3720.369   1.19536515E-13  
  3720.519   1.25073495E-13  
  3720.669   7.41877805E-14  
  3720.819   9.71535339E-14  
  3720.969   1.68205524E-13  
  3721.119   1.25716982E-13  
  3721.269   8.15245088E-14  
  3721.419   1.12867357E-13  
  3721.569   8.63503808E-14  
  3721.719   1.41517237E-13  
  3721.869   1.54450454E-13  
  3722.019   1.5542007E-13   
  3722.169   1.00708192E-13  
  3722.319   9.81963805E-14  
  3722.469   1.31380353E-13  
  3722.619   5.71952967E-14  
  3722.769   1.14154644E-13  
  3722.919   1.50266464E-13  
  3723.069   7.43018047E-14  
  3723.219   1.61191224E-13  
  3723.369   2.20388716E-13  
  3723.52    1.86244547E-13  
  3723.669   2.16295528E-13  
  3723.82    2.37293068E-13  
  3723.969   2.27756914E-13  
  3724.12    2.16309067E-13  
  3724.27    1.79091998E-13  
  3724.42    9.97294491E-14  
  3724.57    1.82550942E-13  
  3724.72    2.49970373E-13  
  3724.87    2.33958144E-13  
  3725.02    1.96531403E-13  
  3725.17    1.61712603E-13  
  3725.32    2.5999244E-13   
  3725.47    2.5416648E-13   
  3725.62    2.77597118E-13  
  3725.77    2.73189538E-13  
  3725.92    3.14562422E-13  
  3726.07    2.8380095E-13   
  3726.22    2.79760346E-13  
  3726.37    2.57826665E-13  
  3726.52    2.45117972E-13  
  3726.67    2.60786482E-13  
  3726.82    2.25196611E-13  
  3726.97    2.10872972E-13  
  3727.12    1.11289687E-13  
  3727.27    1.37291301E-13  
  3727.42    7.79696064E-14  
  3727.57    8.58575635E-14  
  3727.72    5.40216912E-14  
  3727.87    1.28056691E-13  
  3728.02    1.40201395E-13  
  3728.17    2.61670893E-13  
  3728.32    2.58300732E-13  
  3728.47    2.07644476E-13  
  3728.62    2.10433423E-13  
  3728.77    1.87362943E-13  
  3728.92    2.00664721E-13  
  3729.07    2.64203617E-13  
  3729.221   3.08715754E-13  
  3729.37    2.96816337E-13  
  3729.521   2.57337662E-13  
  3729.67    2.05785909E-13  
  3729.821   1.08096163E-13  
  3729.971   2.16897192E-13  
  3730.121   2.10073265E-13  
  3730.271   1.94732278E-13  
  3730.421   1.28204589E-13  
  3730.571   1.52135276E-13  
  3730.721   1.3197493E-13   
  3730.871   1.37376249E-13  
  3731.021   2.11715546E-13  
  3731.171   2.49244581E-13  
  3731.321   2.01183051E-13  
  3731.471   1.44505556E-13  
  3731.621   2.04942915E-13  
  3731.771   1.86166065E-13  
  3731.921   1.60643444E-13  
  3732.071   1.68861846E-13  
  3732.221   1.54352781E-13  
  3732.371   1.70804221E-13  
  3732.521   1.57388073E-13  
  3732.671   1.80321483E-13  
  3732.821   1.2385641E-13   
  3732.971   1.06175275E-13  
  3733.121   1.52553439E-13  
  3733.271   1.07091582E-13  
  3733.421   5.65407435E-14  
  3733.571   7.51094675E-14  
  3733.721   1.48555796E-13  
  3733.871   1.38742343E-13  
  3734.021   4.63304999E-14  
  3734.171   1.95601415E-13  
  3734.321   1.37365854E-13  
  3734.471   9.72373766E-14  
  3734.622   6.78376016E-14  
  3734.771   1.43384247E-14  
  3734.922   3.69776875E-14  
  3735.071   5.55798592E-14  
  3735.222   9.10280017E-14  
  3735.372   1.11181036E-13  
  3735.522   9.0657977E-14   
  3735.672   1.47214814E-13  
  3735.822   1.35845816E-13  
  3735.972   1.35221885E-13  
  3736.122   1.37779274E-13  
  3736.272   1.50902132E-13  
  3736.422   1.18877144E-13  
  3736.572   1.27477754E-13  
  3736.872   4.09827744E-14  
  3737.022   9.21472236E-14  
  3737.172   1.04928985E-14  
  3737.322   1.0195945E-13   
  3737.472   1.71628933E-13  
  3737.622   8.40377843E-14  
  3737.772   1.1834743E-13   
  3737.922   9.35223646E-14  
  3738.072   1.32867702E-13  
  3738.222   1.27790871E-13  
  3738.372   1.05279324E-13  
  3738.522   1.50507563E-13  
  3738.672   1.64319093E-13  
  3738.822   1.8636095E-13   
  3738.972   1.68540962E-13  
  3739.122   1.02587928E-13  
  3739.272   1.59924279E-13  
  3739.422   1.69632293E-13  
  3739.572   1.9205022E-13   
  3739.722   1.7464124E-13   
  3739.872   2.22776008E-13  
  3740.022   1.96364436E-13  
  3740.172   2.07359507E-13  
  3740.323   2.29673539E-13  
  3740.472   2.60419073E-13  
  3740.623   1.9650152E-13   
  3740.773   2.70842783E-13  
  3740.923   1.65255992E-13  
  3741.073   1.09631312E-13  
  3741.223   2.19375489E-13  
  3741.373   2.02620608E-13  
  3741.523   2.18626387E-13  
  3741.673   2.19439172E-13  
  3741.823   2.65339183E-13  
  3741.973   1.45785822E-13  
  3742.123   2.48293302E-13  
  3742.273   2.52319135E-13  
  3742.423   2.13059632E-13  
  3742.573   1.4129751E-13   
  3742.723   1.83991507E-13  
  3742.873   1.50336571E-13  
  3743.023   1.61623346E-13  
  3743.173   2.0884214E-13   
  3743.323   8.03309581E-14  
  3743.473   1.2302293E-13   
  3743.623   1.46882669E-13  
  3743.773   5.57138022E-14  
  3743.923   1.34356176E-13  
  3744.073   8.74675834E-14  
  3744.223   1.57777179E-13  
  3744.373   1.51386946E-13  
  3744.523   1.5632569E-13   
  3744.673   1.87995927E-13  
  3744.823   1.54525427E-13  
  3744.973   1.38729875E-13  
  3745.123   1.70675445E-13  
  3745.273   1.07477815E-13  
  3745.423   6.24447935E-14  
  3745.573   8.60627233E-15  
  3745.724   6.94402896E-14  
  3745.873   1.06879627E-13  
  3746.024   7.58978858E-14  
  3746.173   3.70315994E-14  
  3746.324   1.00810439E-13  
  3746.474   1.59068383E-13  
  3746.624   1.79071303E-13  
  3746.774   1.54601104E-13  
  3746.924   1.45801895E-13  
  3747.074   1.72954587E-13  
  3747.224   1.35876268E-13  
  3747.374   1.40653778E-13  
  3747.524   1.3842577E-13   
  3747.674   9.34887543E-14  
  3747.824   1.77031051E-13  
  3747.974   8.99422613E-14  
  3748.124   8.44857902E-14  
  3748.274   1.36462388E-13  
  3748.424   2.80846903E-14  
  3748.574   1.05172469E-13  
  3748.724   1.07891818E-13  
  3748.874   1.44988269E-13  
  3749.024   9.94470551E-14  
  3749.174   7.95476288E-14  
  3749.324   8.9772089E-14   
  3749.474   9.63006937E-14  
  3749.624   4.65235997E-14  
  3749.774   1.44292605E-13  
  3749.924   9.99239821E-14  
  3750.074   8.80090271E-14  
  3750.224   1.31859977E-13  
  3750.374   1.19888095E-13  
  3750.524   1.34450258E-13  
  3750.674   1.93876314E-13  
  3750.824   1.74601246E-13  
  3750.974   2.05780854E-13  
  3751.124   1.54685211E-13  
  3751.274   2.03889463E-13  
  3751.425   1.64828302E-13  
  3751.574   2.73213689E-13  
  3751.725   1.3656822E-13   
  3751.875   1.72180385E-13  
  3752.025   1.86920344E-13  
  3752.175   2.11625341E-13  
  3752.325   2.59897843E-13  
  3752.475   2.21120648E-13  
  3752.625   1.6191852E-13   
  3752.775   1.13266174E-13  
  3752.925   1.28133032E-13  
  3753.075   1.93129055E-13  
  3753.225   1.90252694E-13  
  3753.375   1.62883013E-13  
  3753.525   1.8084228E-13   
  3753.675   1.51775443E-13  
  3753.825   2.27420269E-13  
  3753.975   2.69011105E-13  
  3754.125   2.44787778E-13  
  3754.275   2.368177E-13    
  3754.425   2.54352773E-13  
  3754.575   3.21647982E-13  
  3754.725   3.6248096E-13   
  3754.875   3.08104047E-13  
  3755.025   2.82735071E-13  
  3755.175   2.58868881E-13  
  3755.325   2.7203218E-13   
  3755.475   2.46564108E-13  
  3755.625   3.00180535E-13  
  3755.775   2.83898854E-13  
  3755.925   2.24331187E-13  
  3756.075   3.20907119E-13  
  3756.225   2.44033878E-13  
  3756.375   2.65516558E-13  
  3756.525   2.39384061E-13  
  3756.675   2.39951207E-13  
  3756.826   2.70136561E-13  
  3756.975   1.88786026E-13  
  3757.126   1.14930363E-13  
  3757.275   1.72440499E-13  
  3757.426   1.49064504E-13  
  3757.576   1.442367E-13    
  3757.726   1.89817373E-13  
  3757.876   4.78451812E-14  
  3758.026   9.89821696E-14  
  3758.176   6.99985114E-14  
  3758.326   1.16630216E-13  
  3758.476   8.53288929E-14  
  3758.626   1.26021237E-13  
  3758.776   1.25904563E-13  
  3758.926   1.16680523E-13  
  3759.076   1.00022116E-13  
  3759.226   1.47987755E-13  
  3759.376   1.74253353E-13  
  3759.526   2.09222789E-13  
  3759.676   2.0793492E-13   
  3759.826   2.48286417E-13  
  3759.976   2.06572335E-13  
  3760.126   2.28441154E-13  
  3760.276   1.94516536E-13  
  3760.426   2.33328981E-13  
  3760.576   2.15331035E-13  
  3760.726   2.61969022E-13  
  3760.876   3.21489254E-13  
  3761.026   2.85490923E-13  
  3761.176   1.79310559E-13  
  3761.326   1.92940187E-13  
  3761.476   1.81044348E-13  
  3761.626   3.03295773E-13  
  3761.776   2.58456993E-13  
  3761.926   2.85534048E-13  
  3762.076   2.76978283E-13  
  3762.227   2.0252986E-13   
  3762.376   2.62466237E-13  
  3762.527   2.14424073E-13  
  3762.676   2.57184058E-13  
  3762.827   1.95622625E-13  
  3762.977   1.69509263E-13  
  3763.127   1.84376616E-13  
  3763.277   2.1273284E-13   
  3763.427   1.67428083E-13  
  3763.577   1.32438345E-13  
  3763.727   4.37995282E-14  
  3763.877   1.23945166E-13  
  3764.027   6.41558746E-14  
  3764.177   3.37575732E-14  
  3764.327   1.18048542E-13  
  3764.477   1.84749202E-13  
  3764.627   2.81609263E-13  
  3764.777   1.94522309E-13  
  3764.927   2.07523695E-13  
  3765.077   2.97486509E-13  
  3765.227   2.68833919E-13  
  3765.377   2.31233516E-13  
  3765.527   2.21041894E-13  
  3765.677   1.83132887E-13  
  3765.827   2.10074674E-13  
  3765.977   2.87677949E-13  
  3766.127   2.6631857E-13   
  3766.277   2.70645865E-13  
  3766.427   1.63893381E-13  
  3766.577   2.20079461E-13  
  3766.727   1.14089944E-13  
  3766.877   1.26324637E-13  
  3767.027   1.09319305E-13  
  3767.177   1.66185371E-13  
  3767.327   1.08743303E-13  
  3767.477   1.47608041E-13  
  3767.627   1.68123734E-13  
  3767.777   1.80128712E-13  
  3767.928   1.60252901E-13  
  3768.077   2.03690201E-13  
  3768.228   2.22471076E-13  
  3768.377   2.36620971E-13  
  3768.528   2.64952909E-13  
  3768.678   3.01701128E-13  
  3768.828   2.81714268E-13  
  3768.978   3.36429425E-13  
  3769.128   3.12295789E-13  
  3769.278   3.89414277E-13  
  3769.428   3.50183749E-13  
  3769.578   4.22722892E-13  
  3769.728   3.31116482E-13  
  3769.878   3.775701E-13    
  3770.028   2.95998848E-13  
  3770.178   3.29606351E-13  
  3770.328   2.68718289E-13  
  3770.478   2.64730918E-13  
  3770.628   3.48767104E-13  
  3770.778   3.95156103E-13  
  3770.928   3.32146447E-13  
  3771.078   3.97968849E-13  
  3771.228   3.68685849E-13  
  3771.378   3.80258623E-13  
  3771.528   2.30711419E-13  
  3771.678   3.00901285E-13  
  3771.828   2.98369944E-13  
  3771.978   3.85505511E-13  
  3772.128   3.47536127E-13  
  3772.278   4.45908853E-13  
  3772.428   3.42696086E-13  
  3772.578   3.11801718E-13  
  3772.728   3.16330729E-13  
  3772.878   4.43506587E-13  
  3773.028   4.53675075E-13  
  3773.178   4.36039741E-13  
  3773.329   4.40407503E-13  
  3773.478   4.09426264E-13  
  3773.629   3.97574714E-13  
  3773.778   3.18020024E-13  
  3773.929   2.87540879E-13  
  3774.079   3.69789757E-13  
  3774.229   3.71662634E-13  
  3774.379   3.19776838E-13  
  3774.529   2.9043353E-13   
  3774.679   2.79628913E-13  
  3774.829   2.49787116E-13  
  3774.979   2.96402443E-13  
  3775.129   3.29546693E-13  
  3775.279   2.95000163E-13  
  3775.429   2.93482957E-13  
  3775.579   1.96454018E-13  
  3775.729   2.51481588E-13  
  3775.879   2.65369649E-13  
  3776.029   3.46085221E-13  
  3776.179   3.33018579E-13  
  3776.329   3.24374208E-13  
  3776.479   3.0438751E-13   
  3776.629   2.94239893E-13  
  3776.779   4.08999088E-13  
  3776.929   3.51313759E-13  
  3777.079   3.54864358E-13  
  3777.229   3.78915459E-13  
  3777.379   2.90623157E-13  
  3777.529   3.21240701E-13  
  3777.679   3.48223837E-13  
  3777.829   4.46486869E-13  
  3777.979   3.52757076E-13  
  3778.129   3.07967573E-13  
  3778.279   3.1194261E-13   
  3778.429   2.76779901E-13  
  3778.579   2.58439212E-13  
  3778.729   2.27115988E-13  
  3778.879   3.09797381E-13  
  3779.03    3.69097954E-13  
  3779.179   3.8894048E-13   
  3779.33    3.73912977E-13  
  3779.479   3.17289462E-13  
  3779.63    3.36618808E-13  
  3779.78    4.13902473E-13  
  3779.93    3.78142016E-13  
  3780.08    4.54843249E-13  
  3780.23    3.9084789E-13   
  3780.38    3.70705311E-13  
  3780.53    3.07691887E-13  
  3780.68    2.82270924E-13  
  3780.83    3.49572124E-13  
  3780.98    3.58911414E-13  
  3781.13    3.54286452E-13  
  3781.28    3.72024677E-13  
  3781.43    3.19335297E-13  
  3781.58    3.80021616E-13  
  3781.73    3.62910087E-13  
  3781.88    4.14412238E-13  
  3782.03    3.8767649E-13   
  3782.18    3.39082441E-13  
  3782.33    3.39735266E-13  
  3782.48    3.38010436E-13  
  3782.63    4.04400363E-13  
  3782.78    3.72374955E-13  
  3782.93    4.21453372E-13  
  3783.08    4.16041659E-13  
  3783.23    3.1315998E-13   
  3783.38    2.23198332E-13  
  3783.53    2.64991994E-13  
  3783.68    2.0194454E-13   
  3783.83    3.27553495E-13  
  3783.98    3.87884169E-13  
  3784.13    3.21022587E-13  
  3784.28    3.91345485E-13  
  3784.431   4.48146918E-13  
  3784.58    4.34338058E-13  
  3784.731   3.90307659E-13  
  3784.88    4.33757874E-13  
  3785.031   4.79391917E-13  
  3785.181   4.95764074E-13  
  3785.331   3.70411519E-13  
  3785.481   3.68534088E-13  
  3785.63    3.46318758E-13  
  3785.781   2.76575475E-13  
  3785.931   2.32234208E-13  
  3786.081   1.20945287E-13  
  3786.231   1.80786985E-13  
  3786.381   2.13696601E-13  
  3786.531   2.28564997E-13  
  3786.681   2.20947094E-13  
  3786.831   2.39212757E-13  
  3786.981   2.8090857E-13   
  3787.131   3.44394923E-13  
  3787.281   2.56438588E-13  
  3787.431   1.97892877E-13  
  3787.581   2.1779132E-13   
  3787.731   1.20835742E-13  
  3787.881   1.60190519E-13  
  3788.031   5.62241802E-14  
  3788.181   1.23071678E-13  
  3788.331   2.41626977E-13  
  3788.481   2.67370653E-13  
  3788.631   2.6937873E-13   
  3788.781   2.59549272E-13  
  3788.931   2.25830354E-13  
  3789.081   3.22220495E-13  
  3789.231   2.24562109E-13  
  3789.381   1.92498239E-13  
  3789.531   1.56400988E-13  
  3789.681   2.37592633E-13  
  3789.831   3.0040903E-13   
  3789.981   1.50619087E-13  
  3790.132   1.41589878E-13  
  3790.281   1.79999394E-13  
  3790.432   2.14396833E-13  
  3790.582   1.77190443E-13  
  3790.732   2.47532978E-13  
  3790.882   2.95793012E-13  
  3791.031   3.75407387E-13  
  3791.182   3.43848539E-13  
  3791.332   3.42279888E-13  
  3791.482   2.40140048E-13  
  3791.632   3.80086777E-13  
  3791.782   4.40673946E-13  
  3791.932   3.21179823E-13  
  3792.082   3.96839977E-13  
  3792.232   2.74622285E-13  
  3792.382   3.01612603E-13  
  3792.532   2.8012583E-13   
  3792.682   3.37990026E-13  
  3792.832   3.0947231E-13   
  3792.982   3.11434987E-13  
  3793.132   3.75036346E-13  
  3793.282   3.73036373E-13  
  3793.432   2.47542682E-13  
  3793.582   1.94389928E-13  
  3793.732   1.81800091E-13  
  3793.882   2.30095375E-13  
  3794.032   2.56143902E-13  
  3794.182   2.79413672E-13  
  3794.332   2.11477306E-13  
  3794.482   2.79482085E-13  
  3794.632   1.74368847E-13  
  3794.782   2.19254451E-13  
  3795.082   4.13100035E-14  
  3795.232   1.0105038E-13   
  3795.382   2.26187978E-13  
  3795.533   2.66472527E-13  
  3795.682   2.29169521E-13  
