# col1       col2            
  3700.085   2.53771505E-13  
  3700.235   2.69950756E-13  
  3700.385   2.73244751E-13  
  3700.535   2.78163885E-13  
  3700.685   2.79053094E-13  
  3700.835   2.61732666E-13  
  3700.985   2.40829519E-13  
  3701.135   2.25174697E-13  
  3701.285   2.39051238E-13  
  3701.436   2.45043704E-13  
  3701.586   2.55197447E-13  
  3701.736   2.64313907E-13  
  3701.886   2.51519807E-13  
  3702.036   2.43146513E-13  
  3702.186   2.50419152E-13  
  3702.336   2.39371375E-13  
  3702.487   2.50526596E-13  
  3702.636   2.35569512E-13  
  3702.787   2.32630186E-13  
  3702.937   2.49408214E-13  
  3703.087   2.35209963E-13  
  3703.237   2.32997974E-13  
  3703.387   2.27091756E-13  
  3703.537   1.93475566E-13  
  3703.687   1.72581974E-13  
  3703.838   1.76991898E-13  
  3703.988   1.81702635E-13  
  3704.138   1.97011298E-13  
  3704.288   1.95463735E-13  
  3704.438   2.06363599E-13  
  3704.588   2.20250752E-13  
  3704.738   2.38200166E-13  
  3704.888   2.48725628E-13  
  3705.038   2.49683141E-13  
  3705.189   2.41757379E-13  
  3705.339   2.24663007E-13  
  3705.489   1.83220314E-13  
  3705.639   1.68112526E-13  
  3705.789   1.70864787E-13  
  3705.939   1.57466176E-13  
  3706.089   1.50832309E-13  
  3706.239   1.72958124E-13  
  3706.389   2.26970637E-13  
  3706.54    2.60063862E-13  
  3706.69    2.60734549E-13  
  3706.84    2.36982878E-13  
  3706.99    2.3485261E-13   
  3707.14    2.3300391E-13   
  3707.29    2.52391857E-13  
  3707.44    2.52962636E-13  
  3707.59    2.42233371E-13  
  3707.74    1.9716352E-13   
  3707.891   1.66548538E-13  
  3708.041   2.03424801E-13  
  3708.191   2.46857249E-13  
  3708.341   2.6615182E-13   
  3708.491   2.68131844E-13  
  3708.641   2.7650034E-13   
  3708.792   2.68213999E-13  
  3708.941   2.49422607E-13  
  3709.091   2.09409597E-13  
  3709.242   1.86419795E-13  
  3709.392   1.89508633E-13  
  3709.542   2.13032689E-13  
  3709.692   2.41643185E-13  
  3709.842   2.4434434E-13   
  3709.992   2.60667681E-13  
  3710.143   2.32993773E-13  
  3710.293   2.13473431E-13  
  3710.443   2.27794129E-13  
  3710.593   2.43795652E-13  
  3710.743   2.49316057E-13  
  3710.893   2.33679477E-13  
  3711.043   2.18242199E-13  
  3711.193   2.02449995E-13  
  3711.343   1.99997584E-13  
  3711.494   2.17860208E-13  
  3711.644   2.03605145E-13  
  3711.794   1.98822594E-13  
  3711.944   1.85349118E-13  
  3712.094   1.96980561E-13  
  3712.244   1.92415975E-13  
  3712.394   2.05368017E-13  
  3712.544   2.16481496E-13  
  3712.694   2.1989325E-13   
  3712.845   2.18898155E-13  
  3712.995   2.11397211E-13  
  3713.145   2.3925111E-13   
  3713.295   2.48767397E-13  
  3713.445   2.69384775E-13  
  3713.595   2.54445499E-13  
  3713.745   2.6979051E-13   
  3713.895   2.64611033E-13  
  3714.045   2.71203714E-13  
  3714.196   2.80492724E-13  
  3714.346   2.69416596E-13  
  3714.496   2.83600698E-13  
  3714.646   2.6679673E-13   
  3714.796   2.70344863E-13  
  3714.946   2.67139826E-13  
  3715.096   2.61224771E-13  
  3715.246   2.49245855E-13  
  3715.396   2.57239081E-13  
  3715.547   2.45330666E-13  
  3715.697   2.69626904E-13  
  3715.847   2.57753725E-13  
  3715.997   2.70457728E-13  
  3716.147   2.54051473E-13  
  3716.297   2.42362879E-13  
  3716.447   2.29090266E-13  
  3716.598   2.48026832E-13  
  3716.747   2.67740528E-13  
  3716.898   2.88833492E-13  
  3717.048   2.68922607E-13  
  3717.198   2.90894126E-13  
  3717.348   2.77204637E-13  
  3717.498   2.72426856E-13  
  3717.648   2.80797141E-13  
  3717.798   2.7269601E-13   
  3717.949   2.68673403E-13  
  3718.099   2.65331431E-13  
  3718.249   2.62586638E-13  
  3718.399   2.67610532E-13  
  3718.549   2.54019299E-13  
  3718.699   2.83611893E-13  
  3718.849   2.7603931E-13   
  3718.999   2.69008665E-13  
  3719.149   2.63043602E-13  
  3719.3     2.71857217E-13  
  3719.45    2.53026875E-13  
  3719.6     2.28608934E-13  
  3719.75    1.7007088E-13   
  3719.9     1.2599607E-13   
  3720.05    1.39882992E-13  
  3720.2     1.82837849E-13  
  3720.35    2.24650729E-13  
  3720.5     2.3789377E-13   
  3720.651   2.27322488E-13  
  3720.801   2.39766892E-13  
  3720.951   2.31916184E-13  
  3721.101   2.18483163E-13  
  3721.251   1.90360789E-13  
  3721.401   1.78198941E-13  
  3721.551   1.45824894E-13  
  3721.701   1.31656635E-13  
  3721.852   1.34747194E-13  
  3722.002   1.57064086E-13  
  3722.152   1.65819534E-13  
  3722.302   1.70040143E-13  
  3722.452   1.51027601E-13  
  3722.602   1.49982796E-13  
  3722.752   1.83002417E-13  
  3722.902   2.20260903E-13  
  3723.052   2.40233668E-13  
  3723.203   2.3700215E-13   
  3723.353   2.4875566E-13   
  3723.503   2.47581415E-13  
  3723.653   2.5124141E-13   
  3723.803   2.57250411E-13  
  3723.953   2.55205335E-13  
  3724.103   2.44178023E-13  
  3724.254   2.37541107E-13  
  3724.403   2.22414765E-13  
  3724.554   2.33639876E-13  
  3724.704   2.52431675E-13  
  3724.854   2.59740986E-13  
  3725.004   2.76770441E-13  
  3725.154   2.7128343E-13   
  3725.304   2.80837934E-13  
  3725.454   2.71623652E-13  
  3725.605   2.77787721E-13  
  3725.755   2.76406475E-13  
  3725.905   2.85744166E-13  
  3726.055   2.81194176E-13  
  3726.205   2.94777766E-13  
  3726.355   2.86076067E-13  
  3726.505   2.91871263E-13  
  3726.655   2.77035475E-13  
  3726.805   2.50813367E-13  
  3726.956   2.266679E-13    
  3727.106   2.12906583E-13  
  3727.256   2.22282235E-13  
  3727.406   2.12588166E-13  
  3727.556   1.79512519E-13  
  3727.706   1.78694814E-13  
  3727.856   2.25546198E-13  
  3728.006   2.68054567E-13  
  3728.156   2.7369044E-13   
