# col1       col2            
  3700.086   5.61180269E-12  
  3700.236   5.59856285E-12  
  3700.386   5.65075894E-12  
  3700.536   5.61157934E-12  
  3700.686   5.6105667E-12   
  3700.836   5.58302059E-12  
  3700.986   5.53739346E-12  
  3701.136   5.59831261E-12  
  3701.286   5.5468039E-12   
  3701.436   5.51007113E-12  
  3701.586   5.40356995E-12  
  3701.736   5.45604664E-12  
  3701.886   5.31272118E-12  
  3702.036   5.20499442E-12  
  3702.186   5.09526666E-12  
  3702.336   5.0905751E-12   
  3702.486   4.94319863E-12  
  3702.636   4.86961426E-12  
  3702.786   4.86482772E-12  
  3702.936   4.89243802E-12  
  3703.086   4.94792055E-12  
  3703.236   4.81858347E-12  
  3703.386   4.84888258E-12  
  3703.536   4.70742846E-12  
  3703.686   4.67663842E-12  
  3703.836   4.6861794E-12   
  3703.986   4.71383306E-12  
  3704.136   4.60300331E-12  
  3704.286   4.50083764E-12  
  3704.436   4.5917172E-12   
  3704.586   4.47655671E-12  
  3704.736   4.4989637E-12   
  3704.886   4.47087549E-12  
  3705.036   4.5516208E-12   
  3705.186   4.59832346E-12  
  3705.336   4.66064904E-12  
  3705.486   4.73734506E-12  
  3705.636   4.8384313E-12   
  3705.786   4.98748091E-12  
  3705.936   4.84581342E-12  
  3706.086   4.91318835E-12  
  3706.236   5.03377591E-12  
  3706.386   5.06356112E-12  
  3706.536   5.169443E-12    
  3706.686   5.26524701E-12  
  3706.836   5.33538188E-12  
  3706.986   5.34488035E-12  
  3707.136   5.42728449E-12  
  3707.286   5.37475186E-12  
  3707.436   5.36291974E-12  
  3707.586   5.50617971E-12  
  3707.736   5.51314593E-12  
  3707.886   5.58720691E-12  
  3708.036   5.61867653E-12  
  3708.186   5.66618757E-12  
  3708.336   5.54809757E-12  
  3708.486   5.61012868E-12  
  3708.636   5.72505932E-12  
  3708.786   5.59668284E-12  
  3708.936   5.48039218E-12  
  3709.086   5.41829775E-12  
  3709.236   5.42780317E-12  
  3709.386   5.37972184E-12  
  3709.536   5.40705848E-12  
  3709.686   5.20710428E-12  
  3709.836   5.20655134E-12  
  3709.986   5.21286226E-12  
  3710.136   4.95215891E-12  
  3710.286   4.90362221E-12  
  3710.436   4.8611332E-12   
  3710.586   4.80021101E-12  
  3710.736   4.76371937E-12  
  3710.886   4.59930358E-12  
  3711.036   4.58533992E-12  
  3711.186   4.52379193E-12  
  3711.336   4.457411E-12    
  3711.486   4.33493866E-12  
  3711.636   4.42452628E-12  
  3711.786   4.42483203E-12  
  3711.936   4.3465097E-12   
  3712.086   4.34729206E-12  
  3712.236   4.36289199E-12  
  3712.386   4.52437263E-12  
  3712.536   4.44822651E-12  
  3712.686   4.53480222E-12  
  3712.836   4.66317436E-12  
  3712.986   4.73075659E-12  
  3713.136   4.75864183E-12  
  3713.286   4.73541172E-12  
  3713.436   4.77704768E-12  
  3713.586   4.92092088E-12  
  3713.736   5.01242971E-12  
  3713.886   5.13678943E-12  
  3714.036   5.27417736E-12  
  3714.186   5.15780517E-12  
  3714.336   5.3873711E-12   
  3714.486   5.48000404E-12  
  3714.636   5.63362161E-12  
  3714.786   5.62739352E-12  
  3714.936   5.79955832E-12  
  3715.086   5.99038527E-12  
  3715.236   6.01789842E-12  
  3715.386   5.96289424E-12  
  3715.536   6.26581122E-12  
  3715.686   6.08079472E-12  
  3715.836   6.25021302E-12  
  3715.986   6.30867884E-12  
  3716.136   6.21541273E-12  
  3716.286   6.29992456E-12  
  3716.436   6.38285562E-12  
  3716.586   6.44097059E-12  
  3716.736   6.41832204E-12  
  3716.886   6.37466729E-12  
  3717.036   6.49333452E-12  
  3717.186   6.37405146E-12  
  3717.336   6.33083343E-12  
  3717.486   6.42359386E-12  
  3717.635   6.34426322E-12  
  3717.786   6.36579288E-12  
  3717.935   6.23902102E-12  
  3718.086   6.23630834E-12  
  3718.235   5.99415352E-12  
  3718.386   6.14162757E-12  
  3718.535   6.04891137E-12  
  3718.686   5.89808107E-12  
  3718.835   5.95246942E-12  
  3718.986   5.71058175E-12  
  3719.135   5.78618403E-12  
  3719.286   5.6282444E-12   
  3719.435   5.50465793E-12  
  3719.586   5.48032106E-12  
  3719.735   5.26120076E-12  
  3719.886   5.20764898E-12  
  3720.035   5.08894446E-12  
  3720.186   4.94497282E-12  
  3720.335   4.77624884E-12  
  3720.486   4.66904423E-12  
  3720.635   4.49128582E-12  
  3720.786   4.45793923E-12  
  3720.935   4.35993342E-12  
  3721.086   4.31286387E-12  
  3721.236   4.21655245E-12  
  3721.385   4.16174517E-12  
  3721.536   4.07767266E-12  
  3721.685   3.97980867E-12  
  3721.836   3.97957882E-12  
  3721.985   4.09613706E-12  
  3722.136   4.11209998E-12  
  3722.285   4.06562761E-12  
  3722.436   4.25567914E-12  
  3722.585   4.1956022E-12   
  3722.736   4.20093908E-12  
  3722.885   4.36764817E-12  
  3723.036   4.50335602E-12  
  3723.185   4.52997449E-12  
  3723.336   4.57198342E-12  
  3723.485   4.75760317E-12  
  3723.636   4.81377091E-12  
  3723.785   4.97603087E-12  
  3723.936   5.2621644E-12   
  3724.085   5.3157782E-12   
  3724.236   5.36106446E-12  
  3724.385   5.53397432E-12  
  3724.536   5.71458289E-12  
  3724.685   5.66613076E-12  
