# col1       col2            
  3700.006   4.4139139E-13   
  3700.156   4.73144581E-13  
  3700.306   4.24116281E-13  
  3700.456   4.54873335E-13  
  3700.606   4.42509581E-13  
  3700.756   4.59679332E-13  
  3700.906   4.48240159E-13  
  3701.056   4.54524385E-13  
  3701.206   4.48960639E-13  
  3701.356   4.33786497E-13  
  3701.506   4.32184806E-13  
  3701.656   4.00118171E-13  
  3701.806   4.22521556E-13  
  3701.956   4.38671424E-13  
  3702.106   4.07711137E-13  
  3702.256   4.21485194E-13  
  3702.406   3.96389979E-13  
  3702.556   4.06372039E-13  
  3702.706   4.15855095E-13  
  3702.856   3.52296805E-13  
  3703.006   3.83958788E-13  
  3703.156   3.61600859E-13  
  3703.306   3.76396451E-13  
  3703.456   3.75850474E-13  
  3703.606   3.53777473E-13  
  3703.756   3.95987605E-13  
  3703.906   3.53327393E-13  
  3704.056   3.36243918E-13  
  3704.206   3.56863709E-13  
  3704.356   3.57280638E-13  
  3704.506   3.55883292E-13  
  3704.656   3.51494685E-13  
  3704.806   3.67789973E-13  
  3704.956   3.57311891E-13  
  3705.106   3.52765072E-13  
  3705.256   3.60462555E-13  
  3705.406   3.56145967E-13  
  3705.556   3.4374863E-13   
  3705.706   3.49386562E-13  
  3705.856   3.62005971E-13  
  3706.006   3.75685377E-13  
  3706.156   3.73731753E-13  
  3706.306   3.7187503E-13   
  3706.456   3.8243524E-13   
  3706.606   3.84550356E-13  
  3706.756   3.87668169E-13  
  3706.906   3.89752819E-13  
  3707.056   4.13991758E-13  
  3707.206   4.30720943E-13  
  3707.356   4.35760016E-13  
  3707.505   4.55603979E-13  
  3707.656   4.68484735E-13  
  3707.805   4.54227693E-13  
  3707.956   4.49454682E-13  
  3708.105   4.42477354E-13  
  3708.256   4.4726679E-13   
  3708.405   4.23979157E-13  
  3708.556   4.33384584E-13  
  3708.706   4.26290622E-13  
  3708.856   4.35002674E-13  
  3709.006   4.44863493E-13  
  3709.156   4.41601156E-13  
  3709.306   4.04712369E-13  
  3709.456   4.29019803E-13  
  3709.606   4.04990847E-13  
  3709.756   4.04777692E-13  
  3709.906   3.85590892E-13  
  3710.056   3.90592208E-13  
  3710.206   4.05854116E-13  
  3710.356   3.94515746E-13  
  3710.506   3.85559613E-13  
  3710.656   3.89401212E-13  
  3710.806   3.63144763E-13  
  3710.956   3.42369606E-13  
  3711.106   3.55312025E-13  
  3711.255   3.40280918E-13  
  3711.406   3.326464E-13    
  3711.555   3.42419859E-13  
  3711.706   3.50152768E-13  
  3711.855   3.19699128E-13  
  3712.006   3.3369504E-13   
  3712.155   3.16393477E-13  
  3712.306   3.19173724E-13  
  3712.455   3.22256924E-13  
  3712.606   3.31235609E-13  
  3712.755   3.45529784E-13  
  3712.906   3.57781079E-13  
  3713.055   3.65748312E-13  
  3713.206   3.87445989E-13  
  3713.355   3.68726425E-13  
  3713.506   4.03226389E-13  
  3713.655   4.03671833E-13  
  3713.806   4.01742875E-13  
  3713.956   4.27758604E-13  
  3714.106   4.43536511E-13  
  3714.256   4.29724642E-13  
  3714.406   4.62141393E-13  
  3714.556   4.57518843E-13  
  3714.706   4.42646218E-13  
  3714.856   4.76355012E-13  
  3715.005   4.49221145E-13  
  3715.156   4.68726837E-13  
  3715.305   4.60894723E-13  
  3715.456   4.84307256E-13  
  3715.605   4.72590879E-13  
  3715.756   4.73615613E-13  
  3715.905   4.72954033E-13  
  3716.056   4.81539504E-13  
  3716.205   4.9001802E-13   
  3716.356   4.73024235E-13  
  3716.505   4.95837692E-13  
  3716.656   4.85054705E-13  
  3716.805   4.93654054E-13  
  3716.956   5.24436777E-13  
  3717.105   5.10463416E-13  
  3717.256   5.18486512E-13  
  3717.405   5.1171735E-13   
  3717.556   4.84071171E-13  
  3717.705   5.02533562E-13  
  3717.856   5.00672637E-13  
  3718.005   4.96967972E-13  
  3718.156   5.01378832E-13  
  3718.305   5.02597963E-13  
  3718.456   5.10933255E-13  
  3718.605   4.97453966E-13  
  3718.755   4.60787875E-13  
  3718.905   4.72173787E-13  
  3719.055   4.44895287E-13  
  3719.206   4.4203733E-13   
  3719.355   4.18507649E-13  
  3719.506   4.2758955E-13   
  3719.655   4.11296566E-13  
  3719.806   4.33054986E-13  
  3719.955   4.14190925E-13  
  3720.106   3.74171804E-13  
  3720.255   3.71685403E-13  
  3720.406   3.5252072E-13   
  3720.555   3.31292041E-13  
  3720.706   3.34027104E-13  
  3720.855   3.23344541E-13  
  3721.006   3.40867688E-13  
  3721.155   3.14538787E-13  
  3721.306   3.13892494E-13  
  3721.455   3.15834246E-13  
  3721.606   2.84376038E-13  
  3721.755   2.9473952E-13   
  3721.906   2.87285929E-13  
  3722.055   2.79911294E-13  
  3722.206   2.94947958E-13  
  3722.355   2.99503776E-13  
  3722.505   3.16707896E-13  
  3722.655   3.31410653E-13  
  3722.805   3.43272015E-13  
  3722.955   3.39929582E-13  
  3723.105   3.43691682E-13  
  3723.255   3.56546335E-13  
  3723.405   3.54454584E-13  
  3723.555   3.8042128E-13   
  3723.705   3.90275106E-13  
  3723.855   4.15062461E-13  
  3724.005   4.13697207E-13  
  3724.155   4.30652855E-13  
  3724.305   4.31166794E-13  
  3724.455   4.36051423E-13  
  3724.605   4.55543318E-13  
  3724.756   4.84787286E-13  
  3724.905   4.67075434E-13  
  3725.056   4.83605723E-13  
  3725.205   5.21733915E-13  
  3725.356   4.75466617E-13  
  3725.505   5.26256339E-13  
  3725.656   5.14514429E-13  
  3725.805   5.19264373E-13  
  3725.956   5.14189386E-13  
  3726.105   5.0516595E-13   
  3726.255   5.09589766E-13  
  3726.405   5.25533664E-13  
  3726.555   5.07449551E-13  
  3726.705   5.05463997E-13  
  3726.855   5.11821759E-13  
  3727.005   4.84803604E-13  
  3727.155   5.00817107E-13  
  3727.305   4.76405048E-13  
  3727.455   4.90589069E-13  
  3727.605   4.91638793E-13  
  3727.755   4.95595698E-13  
  3727.905   4.98158969E-13  
  3728.055   5.12494669E-13  
  3728.205   5.24282007E-13  
  3728.355   5.06391261E-13  
  3728.505   5.0291287E-13   
  3728.655   5.24820693E-13  
  3728.805   5.24958928E-13  
  3728.955   5.5782836E-13   
  3729.105   5.53843158E-13  
  3729.255   5.45746608E-13  
  3729.405   5.42747271E-13  
  3729.555   5.3081297E-13   
  3729.705   5.40735967E-13  
  3729.855   5.3638295E-13   
  3730.005   5.00106087E-13  
  3730.155   5.24318924E-13  
  3730.305   4.95278948E-13  
  3730.455   5.10089312E-13  
  3730.605   4.85644728E-13  
  3730.755   4.94062853E-13  
  3730.905   4.74290746E-13  
  3731.055   4.92829085E-13  
  3731.205   4.79007838E-13  
  3731.355   4.42781987E-13  
  3731.505   4.68229568E-13  
  3731.655   4.31411281E-13  
  3731.805   4.44055247E-13  
  3731.955   4.36600354E-13  
  3732.105   4.15344869E-13  
  3732.255   3.96881258E-13  
  3732.405   3.76400761E-13  
  3732.555   3.66570869E-13  
  3732.705   3.67609697E-13  
  3732.855   3.54846713E-13  
  3733.005   3.42545599E-13  
  3733.155   3.53463407E-13  
  3733.305   3.13836522E-13  
  3733.455   3.23190259E-13  
  3733.605   2.92405938E-13  
  3733.755   2.80698289E-13  
  3733.905   2.79942302E-13  
  3734.055   2.75695889E-13  
  3734.205   2.67374474E-13  
  3734.355   2.69520951E-13  
  3734.505   2.91646346E-13  
  3734.655   2.65995423E-13  
  3734.805   2.77499866E-13  
  3734.955   2.82856285E-13  
  3735.105   2.86512459E-13  
  3735.255   2.89805642E-13  
  3735.405   2.92348367E-13  
  3735.555   3.18920888E-13  
  3735.705   3.1846658E-13   
  3735.855   3.34922384E-13  
  3736.005   3.3925266E-13   
  3736.155   3.34263596E-13  
  3736.305   3.46201014E-13  
  3736.455   3.27828097E-13  
  3736.605   3.37361107E-13  
  3736.755   3.62298868E-13  
  3736.905   3.67583649E-13  
  3737.055   3.90857458E-13  
  3737.205   3.97369285E-13  
  3737.355   4.18223046E-13  
  3737.505   4.00579228E-13  
  3737.655   4.22206134E-13  
  3737.805   4.36691969E-13  
  3737.955   4.55387572E-13  
  3738.105   4.60781586E-13  
  3738.255   4.8170387E-13   
  3738.405   4.97126971E-13  
  3738.555   5.18792366E-13  
  3738.705   5.14332175E-13  
  3738.855   5.49450351E-13  
  3739.005   5.21652166E-13  
  3739.155   5.41105192E-13  
  3739.305   5.19369866E-13  
  3739.455   5.5032682E-13   
  3739.605   5.44666742E-13  
  3739.755   5.50971866E-13  
  3739.905   5.60904242E-13  
  3740.055   5.77421086E-13  
  3740.205   5.79850675E-13  
  3740.355   5.72149858E-13  
  3740.505   5.77155457E-13  
  3740.655   5.56908794E-13  
  3740.805   5.85966659E-13  
  3740.955   5.6751923E-13   
  3741.105   5.83586944E-13  
  3741.255   5.79319958E-13  
  3741.405   5.71178359E-13  
  3741.555   5.93520838E-13  
  3741.705   5.71902877E-13  
  3741.855   5.70291698E-13  
  3742.005   5.60717217E-13  
  3742.155   5.74751293E-13  
  3742.305   5.74256354E-13  
  3742.455   5.47775367E-13  
  3742.605   5.80724325E-13  
  3742.755   5.64949563E-13  
  3742.905   5.3645841E-13   
  3743.055   5.58120715E-13  
  3743.205   5.53773824E-13  
  3743.355   5.62736381E-13  
  3743.505   5.62211139E-13  
  3743.655   5.44920175E-13  
  3743.805   5.3970462E-13   
  3743.955   5.51038056E-13  
  3744.105   5.5151478E-13   
  3744.255   5.15331321E-13  
  3744.405   5.47611544E-13  
  3744.555   5.13027554E-13  
  3744.705   5.16643477E-13  
  3744.855   5.18168462E-13  
  3745.005   4.92975452E-13  
  3745.155   5.1695009E-13   
  3745.305   4.91165485E-13  
  3745.455   4.84350895E-13  
  3745.605   5.02070011E-13  
  3745.755   4.86650596E-13  
  3745.905   4.58168497E-13  
  3746.055   4.59525484E-13  
  3746.205   4.43898065E-13  
  3746.355   4.32308296E-13  
  3746.505   4.59744113E-13  
  3746.655   4.50841594E-13  
  3746.805   4.25416592E-13  
  3746.955   4.46264607E-13  
  3747.105   4.43246188E-13  
  3747.255   4.3522789E-13   
  3747.405   4.22255682E-13  
  3747.555   4.27024843E-13  
  3747.705   4.04568713E-13  
  3747.855   3.88507613E-13  
  3748.005   3.89003852E-13  
  3748.155   3.79539119E-13  
  3748.305   3.48649413E-13  
  3748.455   3.3372781E-13   
  3748.605   3.18421233E-13  
  3748.755   3.10372388E-13  
  3748.905   2.956525E-13    
  3749.055   3.10963088E-13  
  3749.205   2.75803333E-13  
  3749.355   2.80799093E-13  
  3749.505   2.68136262E-13  
  3749.655   2.54968437E-13  
  3749.805   2.66614422E-13  
  3749.955   2.47884585E-13  
  3750.105   2.52933579E-13  
  3750.255   2.44961739E-13  
  3750.405   2.56464853E-13  
  3750.555   2.73218297E-13  
  3750.705   2.94546939E-13  
  3750.855   2.88849348E-13  
  3751.005   3.0231167E-13   
  3751.155   3.13743795E-13  
  3751.305   3.18171054E-13  
  3751.455   3.1720362E-13   
  3751.605   3.31604644E-13  
  3751.755   3.62168086E-13  
  3751.905   3.80075528E-13  
  3752.055   4.13409622E-13  
  3752.205   4.12603735E-13  
