# col1       col2            
  3700.119   2.52224821E-11  
  3700.269   2.52119523E-11  
  3700.419   2.53148787E-11  
  3700.569   2.51669484E-11  
  3700.719   2.47001464E-11  
  3700.869   2.51992871E-11  
  3701.019   2.52944887E-11  
  3701.169   2.48528507E-11  
  3701.319   2.45866435E-11  
  3701.469   2.48130232E-11  
  3701.619   2.44431524E-11  
  3701.769   2.45698809E-11  
  3701.919   2.42148523E-11  
  3702.069   2.40052839E-11  
  3702.219   2.42059619E-11  
  3702.369   2.37161384E-11  
  3702.519   2.36390005E-11  
  3702.669   2.33459189E-11  
  3702.819   2.32935112E-11  
  3702.969   2.32624146E-11  
  3703.119   2.28627655E-11  
  3703.269   2.31683162E-11  
  3703.419   2.25387712E-11  
  3703.569   2.240505E-11    
  3703.719   2.2288945E-11   
  3703.869   2.16487019E-11  
  3704.019   2.14005931E-11  
  3704.169   2.1069816E-11   
  3704.319   2.04667915E-11  
  3704.469   2.00983188E-11  
  3704.619   1.92683213E-11  
  3704.769   1.92562511E-11  
  3704.919   1.90007576E-11  
  3705.069   1.92425503E-11  
  3705.219   1.94351653E-11  
  3705.369   1.99878742E-11  
  3705.519   2.07009323E-11  
  3705.669   2.14170921E-11  
  3705.819   2.19748508E-11  
  3705.969   2.30462455E-11  
  3706.119   2.38564151E-11  
  3706.269   2.41394942E-11  
  3706.419   2.40893815E-11  
  3706.569   2.46785266E-11  
  3706.719   2.53750788E-11  
  3706.869   2.50783543E-11  
  3707.019   2.54263919E-11  
  3707.169   2.54838806E-11  
  3707.319   2.57885432E-11  
  3707.469   2.5546917E-11   
  3707.619   2.58026048E-11  
  3707.769   2.57082914E-11  
  3707.919   2.58606626E-11  
  3708.069   2.57521712E-11  
  3708.219   2.57210347E-11  
  3708.369   2.55874228E-11  
  3708.519   2.55003189E-11  
  3708.669   2.58108378E-11  
  3708.819   2.53996772E-11  
  3708.969   2.53595808E-11  
  3709.119   2.50171012E-11  
  3709.269   2.4574209E-11   
  3709.419   2.4650065E-11   
  3709.569   2.44570041E-11  
  3709.719   2.40967264E-11  
  3709.869   2.45546153E-11  
  3710.019   2.439632E-11    
  3710.169   2.38177065E-11  
  3710.319   2.39107362E-11  
  3710.469   2.34057773E-11  
  3710.619   2.32622099E-11  
  3710.769   2.31554532E-11  
  3710.919   2.27191408E-11  
  3711.069   2.23473427E-11  
  3711.219   2.24249438E-11  
  3711.369   2.1939851E-11   
  3711.519   2.20850022E-11  
  3711.669   2.20461566E-11  
  3711.819   2.15754359E-11  
  3711.969   2.15667848E-11  
  3712.119   2.15330774E-11  
  3712.269   2.17446113E-11  
  3712.419   2.17716348E-11  
  3712.569   2.19743338E-11  
  3712.719   2.22188934E-11  
  3712.869   2.22818517E-11  
  3713.019   2.2877273E-11   
  3713.169   2.31146456E-11  
  3713.319   2.33748992E-11  
  3713.469   2.37308714E-11  
  3713.619   2.40064912E-11  
  3713.769   2.44084891E-11  
  3713.919   2.43577172E-11  
  3714.069   2.47938892E-11  
  3714.219   2.49417986E-11  
  3714.369   2.51618448E-11  
  3714.519   2.56355943E-11  
  3714.669   2.5616502E-11   
  3714.819   2.55129026E-11  
  3714.969   2.59264953E-11  
  3715.119   2.59304314E-11  
  3715.269   2.64871718E-11  
  3715.419   2.63446348E-11  
  3715.569   2.63384384E-11  
  3715.719   2.63732335E-11  
  3715.869   2.68741921E-11  
  3716.019   2.67965511E-11  
  3716.169   2.61807815E-11  
  3716.319   2.64923222E-11  
  3716.469   2.66578374E-11  
  3716.619   2.66300992E-11  
  3716.769   2.69976489E-11  
  3716.919   2.65962703E-11  
  3717.069   2.67968859E-11  
  3717.219   2.63672938E-11  
  3717.369   2.64710216E-11  
  3717.519   2.63728553E-11  
  3717.669   2.60105947E-11  
  3717.819   2.6294987E-11   
  3717.969   2.64019587E-11  
  3718.119   2.56368798E-11  
  3718.269   2.59827958E-11  
  3718.419   2.57897991E-11  
  3718.569   2.56281801E-11  
  3718.719   2.53647259E-11  
  3718.869   2.53966535E-11  
  3719.019   2.53797226E-11  
  3719.169   2.49558776E-11  
  3719.319   2.47031198E-11  
  3719.469   2.487552E-11    
  3719.619   2.43164169E-11  
  3719.769   2.38786369E-11  
  3719.919   2.36466298E-11  
  3720.069   2.37508919E-11  
  3720.219   2.31736696E-11  
  3720.369   2.31551011E-11  
  3720.519   2.28194443E-11  
  3720.669   2.2496555E-11   
  3720.819   2.18206252E-11  
  3720.969   2.17728648E-11  
  3721.119   2.15410346E-11  
  3721.269   2.1002599E-11   
  3721.419   2.05040533E-11  
  3721.569   2.06979937E-11  
  3721.719   2.05221447E-11  
  3721.869   2.04286744E-11  
  3722.019   2.0235447E-11   
  3722.169   2.03535522E-11  
  3722.319   2.05200943E-11  
  3722.469   2.07938059E-11  
  3722.619   2.1051114E-11   
  3722.769   2.16365346E-11  
  3722.919   2.17410152E-11  
  3723.069   2.21369294E-11  
  3723.219   2.24553934E-11  
  3723.369   2.29949879E-11  
  3723.519   2.30717927E-11  
  3723.669   2.34532047E-11  
  3723.819   2.36955577E-11  
  3723.969   2.40220014E-11  
  3724.119   2.43904532E-11  
  3724.269   2.44351189E-11  
  3724.419   2.48414223E-11  
  3724.569   2.51220485E-11  
  3724.719   2.50123186E-11  
  3724.869   2.56525322E-11  
  3725.02    2.56273908E-11  
  3725.169   2.59672665E-11  
  3725.32    2.61164666E-11  
  3725.469   2.64192123E-11  
  3725.62    2.66596346E-11  
  3725.769   2.65185547E-11  
  3725.919   2.68564077E-11  
  3726.069   2.7095574E-11   
  3726.219   2.72563031E-11  
  3726.369   2.73027174E-11  
  3726.519   2.73632575E-11  
  3726.669   2.71708038E-11  
  3726.819   2.70830285E-11  
  3726.969   2.7005672E-11   
  3727.119   2.70215066E-11  
  3727.269   2.70113376E-11  
  3727.419   2.73922812E-11  
  3727.57    2.71171141E-11  
  3727.719   2.73574878E-11  
  3727.87    2.75450426E-11  
  3728.019   2.78902439E-11  
  3728.17    2.79991742E-11  
  3728.319   2.81742858E-11  
  3728.47    2.81954876E-11  
  3728.619   2.7953407E-11   
  3728.77    2.79828296E-11  
  3728.919   2.77000055E-11  
  3729.07    2.77620912E-11  
  3729.219   2.75180521E-11  
  3729.37    2.75482588E-11  
  3729.519   2.72936257E-11  
  3729.669   2.72300932E-11  
  3729.819   2.71247486E-11  
  3729.969   2.72018016E-11  
  3730.12    2.70603939E-11  
  3730.269   2.68265514E-11  
  3730.42    2.68719925E-11  
  3730.569   2.64586512E-11  
  3730.72    2.6145832E-11   
  3730.869   2.61591443E-11  
  3731.02    2.55463463E-11  
  3731.169   2.54506676E-11  
  3731.32    2.53923618E-11  
  3731.469   2.49808906E-11  
  3731.62    2.45078853E-11  
  3731.769   2.46472738E-11  
  3731.92    2.41315353E-11  
  3732.069   2.35762312E-11  
  3732.22    2.32394781E-11  
  3732.369   2.27709813E-11  
  3732.52    2.22247255E-11  
  3732.67    2.16585899E-11  
  3732.82    2.12367311E-11  
  3732.97    2.1058176E-11   
  3733.12    2.04465802E-11  
  3733.27    2.02863767E-11  
