# col1       col2            
  3700.017   4.19909853E-12  
  3700.167   4.13359668E-12  
  3700.317   4.20996397E-12  
  3700.467   4.26849745E-12  
  3700.617   4.17992941E-12  
  3700.767   4.01143571E-12  
  3700.917   4.22068326E-12  
  3701.067   3.98209547E-12  
  3701.217   4.05724109E-12  
  3701.367   4.01875885E-12  
  3701.517   3.87192405E-12  
  3701.667   3.81828293E-12  
  3701.817   3.98247711E-12  
  3701.967   3.75585804E-12  
  3702.117   3.71288503E-12  
  3702.267   3.66116165E-12  
  3702.418   3.37050158E-12  
  3702.567   3.26058798E-12  
  3702.718   3.16565762E-12  
  3702.867   2.89408645E-12  
  3703.018   2.81969673E-12  
  3703.168   2.53993701E-12  
  3703.318   2.41263368E-12  
  3703.468   2.13325711E-12  
  3703.618   2.17196486E-12  
  3703.768   2.02363842E-12  
  3703.918   2.00748619E-12  
  3704.068   2.00561811E-12  
  3704.218   2.01111675E-12  
  3704.368   2.26737986E-12  
  3704.518   2.55644139E-12  
  3704.668   2.55344357E-12  
  3704.818   2.777662E-12    
  3704.968   2.8762691E-12   
  3705.118   3.07603986E-12  
  3705.268   2.87977107E-12  
  3705.418   2.98127386E-12  
  3705.568   2.93971466E-12  
  3705.718   2.78041544E-12  
  3705.868   2.48247798E-12  
  3706.018   2.58446715E-12  
  3706.168   2.6737989E-12   
  3706.318   3.14592905E-12  
  3706.468   3.39965014E-12  
  3706.618   3.71974977E-12  
  3706.768   3.98654113E-12  
  3706.918   4.2830392E-12   
  3707.068   4.3939379E-12   
  3707.218   4.57993712E-12  
  3707.368   4.35406832E-12  
  3707.518   4.27640822E-12  
  3707.668   4.33349927E-12  
  3707.818   4.45959155E-12  
  3707.968   4.48240186E-12  
  3708.118   4.52797739E-12  
  3708.268   4.61999492E-12  
  3708.418   4.45794747E-12  
  3708.568   4.66203291E-12  
  3708.718   4.52439215E-12  
  3708.868   4.23209905E-12  
  3709.018   4.23779718E-12  
  3709.168   3.97464917E-12  
  3709.318   3.9602501E-12   
  3709.468   3.75353871E-12  
  3709.618   3.76019268E-12  
  3709.768   3.7430831E-12   
  3709.918   3.51981205E-12  
  3710.068   3.56439531E-12  
  3710.219   3.44066008E-12  
