# col1       col2            
  3700.013   1.05707552E-14  
  3700.162   1.05799904E-14  
  3700.312   1.20103648E-14  
  3700.462   1.14784738E-14  
  3700.612   1.1728689E-14   
  3700.763   1.11536841E-14  
  3700.912   9.76812032E-15  
  3701.063   7.52140863E-15  
  3701.212   8.80719871E-15  
  3701.363   9.87070194E-15  
  3701.512   1.04614066E-14  
  3701.663   1.03616854E-14  
  3701.812   1.02755701E-14  
  3701.963   9.95095492E-15  
  3702.113   9.02627192E-15  
  3702.263   8.73094457E-15  
  3702.413   8.76935158E-15  
  3702.563   9.4891136E-15   
  3702.713   1.03218579E-14  
  3702.863   1.06145239E-14  
  3703.013   9.58612597E-15  
  3703.163   9.28503541E-15  
  3703.313   9.27435856E-15  
  3703.463   7.39750973E-15  
  3703.613   6.12509006E-15  
  3703.763   5.99005098E-15  
  3703.913   6.32244577E-15  
  3704.063   7.35031051E-15  
  3704.213   6.69245983E-15  
  3704.363   6.31086429E-15  
  3704.513   6.04358474E-15  
  3704.663   5.15680223E-15  
  3704.813   5.05878019E-15  
  3704.963   4.48682288E-15  
  3705.113   4.54818915E-15  
  3705.263   4.21741304E-15  
  3705.413   2.72768368E-15  
  3705.563   2.22617962E-15  
  3705.713   3.00614365E-15  
  3705.863   3.70072083E-15  
  3706.013   4.27389574E-15  
  3706.163   6.02808869E-15  
  3706.313   6.96133096E-15  
  3706.463   7.82572385E-15  
  3706.613   8.23400474E-15  
  3706.763   8.72907517E-15  
  3706.913   7.93662926E-15  
  3707.063   7.72338363E-15  
  3707.213   7.56942269E-15  
  3707.363   6.88573793E-15  
  3707.513   6.36372719E-15  
  3707.663   4.54602286E-15  
  3707.813   4.30603598E-15  
  3707.963   4.64353372E-15  
  3708.113   6.4886366E-15   
  3708.263   7.85737154E-15  
  3708.413   7.77409634E-15  
  3708.563   7.11286515E-15  
  3708.713   6.40631008E-15  
  3708.863   5.64017767E-15  
  3709.013   4.43154382E-15  
  3709.163   3.24917519E-15  
  3709.313   3.35658595E-15  
  3709.463   3.36449639E-15  
  3709.613   5.14936316E-15  
  3709.763   6.46144938E-15  
  3709.913   6.91180367E-15  
  3710.063   7.09137381E-15  
  3710.213   8.5157406E-15   
  3710.363   9.01222896E-15  
  3710.513   9.72877225E-15  
  3710.663   1.03711603E-14  
  3710.813   1.04854768E-14  
  3710.963   1.05259522E-14  
  3711.113   9.80624188E-15  
  3711.263   7.89332046E-15  
  3711.413   8.88901955E-15  
  3711.563   9.50824553E-15  
  3711.713   1.11708721E-14  
  3711.863   1.10390933E-14  
  3712.013   1.07028568E-14  
  3712.163   1.08239892E-14  
  3712.313   1.08787059E-14  
  3712.463   1.10881288E-14  
  3712.613   1.09846553E-14  
  3712.763   1.11400731E-14  
  3712.913   1.09541418E-14  
  3713.063   1.06043443E-14  
  3713.214   1.10052958E-14  
  3713.363   1.10831576E-14  
  3713.513   1.0420827E-14   
  3713.663   1.04485038E-14  
  3713.813   9.7913214E-15   
  3713.963   9.94538568E-15  
  3714.113   9.64724364E-15  
  3714.263   9.91939448E-15  
  3714.413   1.07769992E-14  
  3714.564   1.12106293E-14  
  3714.713   1.02851755E-14  
  3714.864   1.09131462E-14  
  3715.013   1.01472921E-14  
  3715.164   1.00228773E-14  
  3715.313   9.31175337E-15  
  3715.464   9.52026577E-15  
  3715.613   9.51052574E-15  
  3715.764   8.6533572E-15   
  3715.914   8.16956078E-15  
  3716.064   8.31627536E-15  
  3716.214   8.48426909E-15  
  3716.364   8.04071944E-15  
  3716.514   7.40157718E-15  
  3716.664   7.65918108E-15  
  3716.814   8.90895786E-15  
  3716.964   7.56031454E-15  
  3717.114   7.46794306E-15  
  3717.264   6.0768617E-15   
  3717.414   5.4104454E-15   
  3717.564   6.51505005E-15  
  3717.714   6.66370095E-15  
  3717.864   5.98104533E-15  
  3718.014   6.28201943E-15  
  3718.164   5.70260146E-15  
  3718.314   5.81335779E-15  
  3718.464   5.41874039E-15  
  3718.614   5.10158669E-15  
  3718.764   5.00855622E-15  
  3718.914   4.58043188E-15  
  3719.064   4.22076899E-15  
  3719.214   4.06339958E-15  
  3719.364   3.45509313E-15  
  3719.514   3.01374153E-15  
  3719.664   2.52993601E-15  
  3719.814   2.27329328E-15  
  3719.964   1.77046393E-15  
  3720.114   2.4619938E-15   
  3720.264   2.44005734E-15  
  3720.414   2.84636232E-15  
  3720.564   3.36921204E-15  
  3720.714   3.52103253E-15  
  3720.864   4.13812271E-15  
  3721.014   4.31544313E-15  
  3721.164   4.56395159E-15  
  3721.314   4.39876153E-15  
  3721.464   4.12039304E-15  
  3721.614   4.87169941E-15  
  3721.764   5.49809255E-15  
  3721.914   5.06959637E-15  
  3722.064   4.67930265E-15  
  3722.214   4.68436325E-15  
  3722.364   3.40413203E-15  
  3722.514   2.6122206E-15   
  3722.664   2.79908898E-15  
  3722.814   3.13446236E-15  
  3722.964   4.57496513E-15  
  3723.114   5.79446727E-15  
  3723.264   5.9226026E-15   
  3723.414   7.12783138E-15  
  3723.564   6.83283352E-15  
  3723.714   7.43536871E-15  
  3723.864   8.07740021E-15  
  3724.014   7.85736985E-15  
  3724.164   7.53365842E-15  
  3724.314   7.08821522E-15  
  3724.464   6.21270842E-15  
  3724.614   6.33264024E-15  
  3724.764   8.07673274E-15  
  3724.914   7.7083488E-15   
  3725.064   7.82021559E-15  
  3725.214   7.46182833E-15  
  3725.364   7.89216596E-15  
  3725.514   8.43112879E-15  
  3725.664   8.97944032E-15  
  3725.814   9.19888284E-15  
  3725.964   9.33841373E-15  
  3726.114   8.62131394E-15  
  3726.264   9.14288041E-15  
  3726.414   8.60724642E-15  
  3726.564   8.90554008E-15  
  3726.714   8.59834834E-15  
  3726.864   7.10683513E-15  
  3727.014   5.81559438E-15  
  3727.164   6.2218352E-15   
  3727.314   5.46764384E-15  
  3727.464   4.2143129E-15   
  3727.614   2.76333699E-15  
  3727.764   3.59836367E-15  
  3727.914   4.45754265E-15  
  3728.065   5.81758915E-15  
  3728.214   7.6505964E-15   
  3728.365   8.28117346E-15  
  3728.514   8.62073034E-15  
  3728.665   8.44334809E-15  
  3728.814   8.50971481E-15  
  3728.965   8.41348594E-15  
  3729.114   9.60659283E-15  
  3729.265   8.98277509E-15  
  3729.415   8.90797446E-15  
  3729.565   7.79071174E-15  
  3729.715   5.13591143E-15  
  3729.865   5.08830013E-15  
  3730.015   6.52309051E-15  
  3730.164   7.9300224E-15   
  3730.315   7.2966586E-15   
  3730.464   6.32341435E-15  
  3730.615   6.29963517E-15  
  3730.765   5.43955326E-15  
  3730.915   6.0767681E-15   
  3731.065   7.53323914E-15  
  3731.215   8.31842089E-15  
  3731.365   7.77657391E-15  
  3731.515   8.3189037E-15   
