# col1       col2            
  3700.105   1.2656343E-11   
  3700.255   1.20321591E-11  
  3700.405   1.18354493E-11  
  3700.555   1.22029479E-11  
  3700.705   1.23548541E-11  
  3700.855   1.15548248E-11  
  3701.005   9.56423656E-12  
  3701.155   8.82098821E-12  
  3701.305   1.08907718E-11  
  3701.455   1.25738057E-11  
  3701.605   1.28015038E-11  
  3701.755   1.23874053E-11  
  3701.905   1.15047616E-11  
  3702.055   1.0249239E-11   
  3702.205   9.89632508E-12  
  3702.355   9.92090698E-12  
  3702.505   9.89208541E-12  
  3702.655   1.11908816E-11  
  3702.805   1.20513807E-11  
  3702.955   1.19177385E-11  
  3703.105   1.20763555E-11  
  3703.255   1.12630348E-11  
  3703.405   9.77565945E-12  
  3703.555   7.19419793E-12  
  3703.705   5.8770727E-12   
  3703.855   6.06108479E-12  
  3704.005   7.40614948E-12  
  3704.155   7.91233398E-12  
  3704.305   8.14148315E-12  
  3704.455   7.68823893E-12  
  3704.605   8.74568126E-12  
  3704.755   1.017199E-11    
  3704.905   1.11408955E-11  
  3705.056   1.14252323E-11  
  3705.205   1.0806106E-11   
  3705.356   9.147922E-12    
  3705.505   6.45887684E-12  
  3705.656   4.94163608E-12  
  3705.805   5.20814338E-12  
  3705.956   4.45754197E-12  
  3706.106   4.11982774E-12  
  3706.255   6.35431291E-12  
  3706.406   9.67315984E-12  
  3706.555   1.18509508E-11  
  3706.706   1.20232184E-11  
  3706.855   1.14960775E-11  
  3707.006   9.83947125E-12  
  3707.155   9.10186076E-12  
  3707.306   8.51044842E-12  
  3707.456   7.69950596E-12  
  3707.606   7.51506062E-12  
  3707.756   6.68236777E-12  
  3707.906   6.12829405E-12  
  3708.056   7.80921855E-12  
  3708.206   1.12238777E-11  
  3708.356   1.22446654E-11  
  3708.506   1.20941729E-11  
  3708.656   1.09782912E-11  
  3708.806   9.90192303E-12  
  3708.956   9.2531989E-12   
  3709.106   6.99441286E-12  
  3709.256   5.32300159E-12  
  3709.406   5.60612928E-12  
  3709.556   6.98247753E-12  
  3709.706   8.81061717E-12  
  3709.856   1.02153425E-11  
  3710.006   1.08834729E-11  
  3710.156   1.04302452E-11  
  3710.306   9.74188525E-12  
  3710.456   1.02339187E-11  
  3710.606   1.14470803E-11  
  3710.756   1.18076139E-11  
  3710.906   1.17108502E-11  
  3711.056   1.05134347E-11  
  3711.206   8.70362549E-12  
  3711.356   7.63650514E-12  
  3711.506   8.41209654E-12  
  3711.656   9.5387552E-12   
  3711.806   9.58373745E-12  
  3711.956   9.38633372E-12  
  3712.106   9.49063918E-12  
  3712.256   1.00058174E-11  
  3712.406   1.06001709E-11  
  3712.556   1.06171478E-11  
  3712.706   1.01801605E-11  
  3712.856   8.852339E-12    
  3713.006   9.00850835E-12  
  3713.156   1.07210777E-11  
  3713.306   1.21308363E-11  
  3713.456   1.22909547E-11  
  3713.606   1.22998582E-11  
  3713.756   1.24515754E-11  
  3713.906   1.2996321E-11   
  3714.056   1.37201856E-11  
  3714.206   1.35008454E-11  
  3714.356   1.38804012E-11  
  3714.506   1.37944395E-11  
  3714.656   1.31081639E-11  
  3714.806   1.23726992E-11  
  3714.956   1.22969187E-11  
  3715.107   1.13834315E-11  
  3715.256   9.90788875E-12  
  3715.406   9.40453965E-12  
  3715.556   1.01722294E-11  
  3715.706   1.15538568E-11  
  3715.856   1.12205956E-11  
  3716.006   1.13600605E-11  
  3716.157   1.15912722E-11  
  3716.306   1.08073654E-11  
  3716.457   9.50584663E-12  
  3716.606   1.08799974E-11  
  3716.757   1.31107052E-11  
  3716.906   1.36214139E-11  
  3717.057   1.38784852E-11  
  3717.206   1.33751352E-11  
  3717.357   1.24118407E-11  
  3717.507   1.30043658E-11  
  3717.657   1.32380773E-11  
  3717.807   1.29843497E-11  
  3717.957   1.2265273E-11   
  3718.107   1.14090248E-11  
  3718.257   1.06185494E-11  
  3718.407   9.90908397E-12  
  3718.557   1.12617823E-11  
  3718.707   1.21741358E-11  
  3718.857   1.22293096E-11  
  3719.007   1.17210078E-11  
  3719.157   1.15954173E-11  
  3719.307   1.11659406E-11  
  3719.457   9.77966666E-12  
  3719.607   7.56509872E-12  
  3719.757   5.31895144E-12  
  3719.907   3.5884943E-12   
  3720.057   3.57728235E-12  
  3720.207   5.66919775E-12  
  3720.357   7.70815356E-12  
  3720.507   9.15618623E-12  
  3720.657   1.01660182E-11  
  3720.807   1.05750721E-11  
  3720.957   1.01689325E-11  
  3721.107   8.89397323E-12  
  3721.257   6.66295795E-12  
  3721.407   4.92528067E-12  
  3721.557   4.45907157E-12  
  3721.707   5.106136E-12    
  3721.857   5.89730348E-12  
  3722.007   6.28114227E-12  
  3722.157   6.61445725E-12  
  3722.307   6.60012843E-12  
  3722.457   5.49632605E-12  
  3722.607   5.33215529E-12  
  3722.757   7.19953567E-12  
  3722.907   9.77432198E-12  
  3723.057   1.10895191E-11  
  3723.207   1.15666678E-11  
  3723.357   1.10414898E-11  
  3723.507   1.01881724E-11  
