# col1       col2            
  3700.058   1.82474868E-15  
  3700.208   1.79196596E-15  
  3700.358   2.00566454E-15  
  3700.508   1.12759281E-15  
  3701.107   1.76032091E-17  
  3701.257   7.57809991E-16  
  3701.407   2.05853231E-15  
  3701.557   1.66906815E-15  
  3701.707   1.61605056E-15  
  3701.857   1.84234346E-15  
  3702.007   1.03302307E-15  
  3702.306   2.22194927E-16  
  3702.606   2.13173205E-15  
  3702.756   1.62806191E-15  
  3702.906   2.07825166E-15  
  3703.055   2.02969698E-15  
  3703.205   2.16416092E-15  
  3703.505   4.83604197E-16  
  3703.955   1.02928649E-15  
  3704.105   2.84644109E-15  
  3704.254   2.27979002E-15  
  3704.404   1.04702134E-15  
  3705.453   3.69190798E-16  
  3705.603   1.27772083E-15  
  3705.903   6.7017305E-16   
  3706.503   1.21062502E-15  
  3706.653   1.31698271E-16  
  3706.802   1.53071718E-15  
  3706.952   6.97319239E-16  
  3707.102   1.28970454E-15  
  3707.252   1.14529347E-15  
  3707.402   1.822175E-16    
  3708.151   1.48761622E-15  
  3708.301   1.52498626E-15  
  3708.451   1.74093403E-15  
  3708.601   1.18200081E-15  
  3708.751   6.6042656E-16   
  3709.35    1.13830196E-15  
  3709.5     1.95334395E-15  
  3709.65    1.96810879E-15  
  3709.8     1.39935433E-15  
  3709.95    4.62138264E-16  
  3710.099   6.91263641E-16  
  3710.249   2.55236014E-16  
  3710.549   7.40837991E-16  
  3710.699   5.50231861E-16  
  3710.849   1.27330609E-15  
  3710.999   2.06316092E-15  
  3711.149   1.36693394E-15  
  3711.299   1.01543189E-15  
  3711.448   1.16706677E-15  
  3711.748   2.87349866E-16  
  3712.048   1.00345505E-15  
  3712.198   2.14496906E-15  
  3712.348   1.20149421E-15  
  3712.498   1.18128782E-15  
  3712.647   2.11425946E-15  
  3712.947   3.11337521E-16  
  3713.097   5.10340792E-16  
  3713.247   7.23918773E-16  
  3713.397   4.4719348E-16   
  3713.547   6.44342145E-16  
  3713.697   2.00824333E-15  
  3713.846   7.88358234E-16  
  3713.996   1.90539447E-15  
  3714.146   6.70916586E-16  
