# col1       col2            
  3700.086   6.12595651E-12  
  3700.236   5.93688857E-12  
  3700.386   5.80769894E-12  
  3700.536   5.94522001E-12  
  3700.686   5.87115209E-12  
  3700.836   5.3559249E-12   
  3700.986   4.45272595E-12  
  3701.136   4.1636603E-12   
  3701.286   4.99838712E-12  
  3701.436   5.78120407E-12  
  3701.586   6.0997817E-12   
  3701.736   5.96557222E-12  
  3701.886   5.53454635E-12  
  3702.036   5.03035504E-12  
  3702.186   5.05385881E-12  
  3702.336   4.79806993E-12  
  3702.486   4.97142778E-12  
  3702.635   5.32841132E-12  
  3702.786   5.59555874E-12  
  3702.935   5.98546039E-12  
  3703.086   5.82309244E-12  
  3703.235   5.67352155E-12  
  3703.386   4.9944571E-12   
  3703.535   3.62418797E-12  
  3703.685   2.85868768E-12  
  3703.835   3.00342824E-12  
  3703.985   3.5477656E-12   
  3704.135   4.09725422E-12  
  3704.285   4.16608024E-12  
  3704.435   4.00409957E-12  
  3704.585   4.11042381E-12  
  3704.735   5.00240301E-12  
  3704.885   5.52598809E-12  
  3705.035   5.4361975E-12   
  3705.185   4.93362686E-12  
  3705.335   4.0478558E-12   
  3705.485   2.66724143E-12  
  3705.635   2.13033779E-12  
  3705.785   2.18262929E-12  
  3705.935   2.08355815E-12  
  3706.085   2.04166653E-12  
  3706.235   2.91954395E-12  
  3706.385   4.44899412E-12  
  3706.535   5.48304414E-12  
  3706.685   5.73591999E-12  
  3706.835   5.30312599E-12  
  3706.985   4.43407117E-12  
  3707.135   4.1410677E-12   
  3707.285   4.04047065E-12  
  3707.435   3.6934531E-12   
  3707.585   3.41721616E-12  
  3707.735   3.0670039E-12   
  3707.885   2.82059966E-12  
  3708.035   3.61086118E-12  
  3708.185   5.00724115E-12  
  3708.335   5.77801695E-12  
  3708.485   5.58729408E-12  
  3708.635   5.11976876E-12  
  3708.785   4.70826286E-12  
  3708.935   4.34242876E-12  
  3709.085   3.04762986E-12  
  3709.235   2.22284365E-12  
  3709.385   2.39193713E-12  
  3709.535   2.98960292E-12  
  3709.685   4.0630381E-12   
  3709.835   4.8688757E-12   
  3709.985   5.31358464E-12  
  3710.135   5.01998963E-12  
  3710.285   4.88501427E-12  
  3710.435   4.86337273E-12  
  3710.585   5.39741906E-12  
  3710.735   5.75716861E-12  
  3710.885   5.63495518E-12  
  3711.035   5.2979357E-12   
  3711.185   4.48865424E-12  
  3711.335   3.91887998E-12  
  3711.485   4.38121891E-12  
  3711.635   4.90611675E-12  
  3711.785   5.02137221E-12  
  3711.935   4.90561107E-12  
  3712.085   4.83238146E-12  
  3712.234   4.92727517E-12  
  3712.384   5.22252684E-12  
  3712.534   5.42358172E-12  
  3712.684   4.91831922E-12  
  3712.834   4.44932632E-12  
  3712.984   4.33993856E-12  
  3713.134   5.08462933E-12  
  3713.284   5.85147946E-12  
  3713.434   6.02322879E-12  
  3713.584   6.05568807E-12  
  3713.734   6.0065169E-12   
  3713.884   6.24140583E-12  
  3714.034   6.35295462E-12  
  3714.184   6.50715939E-12  
  3714.334   6.57157532E-12  
  3714.484   6.48017837E-12  
  3714.634   6.03935261E-12  
  3714.784   6.06072224E-12  
  3714.934   5.87147041E-12  
  3715.084   5.73264526E-12  
  3715.234   5.08743308E-12  
  3715.384   4.85187628E-12  
  3715.534   5.00041328E-12  
  3715.684   5.34299254E-12  
  3715.834   5.42482639E-12  
  3715.984   5.38311583E-12  
  3716.134   5.53992182E-12  
  3716.284   5.01153069E-12  
  3716.434   4.45570273E-12  
  3716.584   4.90947083E-12  
  3716.734   6.04648276E-12  
  3716.884   6.54374471E-12  
  3717.034   6.40840029E-12  
  3717.184   6.25139437E-12  
  3717.334   5.97524157E-12  
  3717.484   5.99206145E-12  
  3717.634   6.05457958E-12  
  3717.784   6.06857403E-12  
  3717.934   5.79018647E-12  
  3718.084   5.56617122E-12  
  3718.234   5.07640934E-12  
  3718.384   4.81042983E-12  
  3718.534   4.9784378E-12   
  3718.684   5.44742116E-12  
  3718.834   5.44710327E-12  
  3718.984   5.15144394E-12  
  3719.134   4.98555234E-12  
  3719.284   4.59278188E-12  
  3719.434   3.88930598E-12  
  3719.584   2.97131178E-12  
  3719.734   2.03066513E-12  
  3719.884   1.40684914E-12  
  3720.034   1.45319509E-12  
  3720.184   2.03463483E-12  
  3720.334   2.98005522E-12  
  3720.484   3.80588139E-12  
  3720.634   4.30647575E-12  
  3720.783   4.73175709E-12  
  3720.934   4.76435471E-12  
  3721.083   4.28473533E-12  
  3721.234   3.26949969E-12  
  3721.383   2.43086519E-12  
  3721.534   2.22729994E-12  
  3721.683   2.5197741E-12   
  3721.833   2.99521302E-12  
  3721.983   3.10686915E-12  
  3722.133   3.27194955E-12  
  3722.283   3.20511347E-12  
  3722.433   2.49339742E-12  
  3722.583   2.23510078E-12  
  3722.733   2.94514023E-12  
  3722.883   4.37194508E-12  
