# col1       col2            
  3700.138   1.53628967E-11  
  3700.287   1.57564361E-11  
  3700.438   1.55181579E-11  
  3700.587   1.54829274E-11  
  3700.738   1.54340967E-11  
  3700.887   1.52420038E-11  
  3701.038   1.50377523E-11  
  3701.187   1.48388767E-11  
  3701.338   1.47945024E-11  
  3701.487   1.49552905E-11  
  3701.638   1.47990474E-11  
  3701.787   1.49080869E-11  
  3701.937   1.50750853E-11  
  3702.087   1.5070438E-11   
  3702.237   1.50040484E-11  
  3702.387   1.49683755E-11  
  3702.537   1.48548205E-11  
  3702.687   1.48319031E-11  
  3702.837   1.45172069E-11  
  3702.987   1.48245253E-11  
  3703.137   1.44977285E-11  
  3703.287   1.4492553E-11   
  3703.437   1.44367652E-11  
  3703.587   1.43088224E-11  
  3703.737   1.40918397E-11  
  3703.887   1.3995932E-11   
  3704.037   1.42788906E-11  
  3704.187   1.42594842E-11  
  3704.337   1.44142823E-11  
  3704.487   1.45495057E-11  
  3704.637   1.45983954E-11  
  3704.787   1.44674515E-11  
  3704.937   1.45538113E-11  
  3705.087   1.47599988E-11  
  3705.237   1.50435237E-11  
  3705.387   1.50827441E-11  
  3705.537   1.51684585E-11  
  3705.687   1.51331673E-11  
  3705.837   1.5101002E-11   
  3705.987   1.51763619E-11  
  3706.137   1.55548612E-11  
  3706.287   1.54806619E-11  
  3706.437   1.5564031E-11   
  3706.587   1.57254106E-11  
  3706.737   1.60119955E-11  
  3706.887   1.59063093E-11  
  3707.037   1.59782552E-11  
  3707.187   1.61488184E-11  
  3707.337   1.61542758E-11  
  3707.487   1.59363633E-11  
  3707.637   1.61212536E-11  
  3707.787   1.58903446E-11  
  3707.937   1.57830415E-11  
  3708.087   1.59545831E-11  
  3708.236   1.58119819E-11  
  3708.387   1.58421349E-11  
  3708.536   1.57593417E-11  
  3708.687   1.58473564E-11  
  3708.836   1.58733998E-11  
  3708.987   1.55258584E-11  
  3709.136   1.53838643E-11  
  3709.286   1.53739053E-11  
  3709.436   1.51767227E-11  
  3709.586   1.51013611E-11  
  3709.736   1.49549366E-11  
  3709.886   1.48411873E-11  
  3710.036   1.46767494E-11  
  3710.186   1.47009765E-11  
  3710.336   1.45852289E-11  
  3710.486   1.46476095E-11  
  3710.636   1.43029191E-11  
  3710.786   1.44841318E-11  
  3710.936   1.44026943E-11  
  3711.086   1.39399863E-11  
  3711.236   1.41217194E-11  
  3711.386   1.38635362E-11  
  3711.536   1.37964475E-11  
  3711.686   1.3736224E-11   
  3711.836   1.363697E-11    
  3711.986   1.36240515E-11  
  3712.136   1.35412116E-11  
  3712.286   1.35445761E-11  
  3712.436   1.35178223E-11  
  3712.586   1.34566681E-11  
  3712.736   1.33215184E-11  
  3712.886   1.33001605E-11  
  3713.036   1.3675925E-11   
  3713.186   1.39864908E-11  
  3713.336   1.42887854E-11  
  3713.486   1.48192101E-11  
  3713.636   1.48504525E-11  
  3713.786   1.50590842E-11  
