# col1       col2            
  3700.129   6.49577007E-12  
  3700.279   6.34712725E-12  
  3700.429   6.36937031E-12  
  3700.579   6.25482522E-12  
  3700.729   6.31008483E-12  
  3700.879   6.12201435E-12  
  3701.029   5.92008734E-12  
  3701.179   6.09656639E-12  
  3701.329   5.84522274E-12  
  3701.479   5.88456931E-12  
  3701.629   5.87218121E-12  
  3701.779   5.8390571E-12   
  3701.929   5.98349105E-12  
  3702.079   5.86553072E-12  
  3702.229   5.74917197E-12  
  3702.379   5.68861321E-12  
  3702.529   5.6711324E-12   
  3702.679   5.38984916E-12  
  3702.829   5.10314924E-12  
  3702.979   5.02022989E-12  
  3703.129   4.74600957E-12  
  3703.279   4.59570099E-12  
  3703.429   4.40078269E-12  
  3703.579   4.27545499E-12  
  3703.729   4.11626896E-12  
  3703.879   3.9846737E-12   
  3704.029   4.01275757E-12  
  3704.179   4.03721024E-12  
  3704.329   4.08499146E-12  
  3704.479   4.24306467E-12  
  3704.629   4.31418139E-12  
  3704.779   4.28909772E-12  
  3704.929   4.36725048E-12  
  3705.079   4.34055396E-12  
  3705.229   4.23455151E-12  
  3705.379   3.9097974E-12   
  3705.529   3.94656486E-12  
  3705.679   3.81154787E-12  
  3705.829   3.91459478E-12  
  3705.979   3.90884547E-12  
  3706.129   3.95821613E-12  
  3706.279   4.06820281E-12  
  3706.429   4.26101125E-12  
  3706.579   4.35338527E-12  
  3706.729   4.53222616E-12  
  3706.879   4.76004479E-12  
  3707.029   4.76504036E-12  
  3707.179   4.79244248E-12  
  3707.329   4.91020462E-12  
  3707.479   4.95067312E-12  
  3707.629   4.95455326E-12  
  3707.779   5.01542514E-12  
  3707.929   5.03987824E-12  
  3708.079   5.03853469E-12  
  3708.229   5.129102E-12    
  3708.379   5.25964905E-12  
  3708.529   5.0770976E-12   
  3708.679   5.18606555E-12  
  3708.829   5.22207494E-12  
  3708.979   5.18565876E-12  
  3709.129   4.85243096E-12  
  3709.279   4.83855751E-12  
  3709.429   4.83739914E-12  
  3709.579   4.6030753E-12   
  3709.729   4.59016115E-12  
  3709.879   4.66070368E-12  
  3710.029   4.91140201E-12  
  3710.179   4.7874248E-12   
  3710.329   4.80380145E-12  
  3710.479   5.00535334E-12  
  3710.629   4.81662843E-12  
  3710.779   4.88509276E-12  
  3710.929   4.77082046E-12  
  3711.079   4.57939849E-12  
  3711.229   4.52139498E-12  
