# col1       col2            
  3700.048   1.10551464E-11  
  3700.198   1.07476207E-11  
  3700.348   1.08004508E-11  
  3700.498   1.08124646E-11  
  3700.648   1.08278542E-11  
  3700.798   1.08651829E-11  
  3700.948   1.08928162E-11  
  3701.098   1.07971436E-11  
  3701.248   1.06122784E-11  
  3701.398   1.06274182E-11  
  3701.548   1.06509628E-11  
  3701.698   1.03944648E-11  
  3701.848   1.01991289E-11  
  3701.998   1.03367497E-11  
  3702.148   1.00398188E-11  
  3702.298   9.8367434E-12   
  3702.448   9.69784496E-12  
  3702.598   9.61633551E-12  
  3702.747   9.2631432E-12   
  3702.898   8.99877742E-12  
  3703.047   9.15735543E-12  
  3703.198   8.60622597E-12  
  3703.347   8.34428533E-12  
  3703.498   8.10588662E-12  
  3703.647   7.96578428E-12  
  3703.798   7.80103412E-12  
  3703.947   7.74097973E-12  
  3704.098   7.83324881E-12  
  3704.247   7.85344879E-12  
  3704.398   8.34408671E-12  
  3704.547   8.50477241E-12  
  3704.697   8.95417247E-12  
  3704.847   8.99469648E-12  
  3704.997   9.24724707E-12  
  3705.147   9.25826516E-12  
  3705.297   9.65246372E-12  
  3705.447   9.60629146E-12  
  3705.597   9.70627918E-12  
  3705.747   9.82333485E-12  
  3705.897   9.60464E-12     
  3706.047   8.8592484E-12   
  3706.197   9.20166547E-12  
  3706.347   1.00110996E-11  
  3706.497   1.08184408E-11  
  3706.647   1.12034297E-11  
  3706.797   1.12786646E-11  
  3706.947   1.14885376E-11  
  3707.097   1.1504772E-11   
  3707.247   1.15578285E-11  
  3707.397   1.16218684E-11  
  3707.547   1.16634584E-11  
  3707.697   1.14157347E-11  
  3707.847   1.15074894E-11  
  3707.997   1.13349503E-11  
  3708.147   1.16173729E-11  
  3708.297   1.15666704E-11  
  3708.447   1.15883397E-11  
  3708.597   1.165615E-11    
  3708.747   1.14168406E-11  
  3708.897   1.14048024E-11  
  3709.047   1.1144332E-11   
  3709.197   1.05649127E-11  
  3709.347   1.05135345E-11  
  3709.497   1.06055486E-11  
  3709.647   1.06977821E-11  
  3709.797   1.04133568E-11  
  3709.947   1.02343039E-11  
  3710.097   9.95897982E-12  
  3710.247   9.5683279E-12   
  3710.397   9.3820212E-12   
  3710.547   9.24438911E-12  
  3710.697   9.13681891E-12  
  3710.847   8.91300662E-12  
  3710.997   8.58286966E-12  
  3711.147   8.42572106E-12  
  3711.297   8.07443955E-12  
