# col1       col2            
  3700.131   2.28451307E-12  
  3700.281   2.2876707E-12   
  3700.431   1.99274299E-12  
  3700.581   2.21480516E-12  
  3700.731   2.27860417E-12  
  3700.881   1.94723599E-12  
  3701.031   1.41104196E-12  
  3701.181   1.65332429E-12  
  3701.331   1.82928304E-12  
  3701.481   2.51821329E-12  
  3701.631   2.36469178E-12  
  3701.781   2.24008529E-12  
  3701.931   2.06955655E-12  
  3702.081   1.84384257E-12  
  3702.231   1.47651617E-12  
  3702.381   1.62508494E-12  
  3702.531   2.02986521E-12  
  3702.681   2.152042E-12    
  3702.831   2.17971496E-12  
  3702.981   2.24248051E-12  
  3703.131   2.31678847E-12  
  3703.281   2.09420935E-12  
  3703.431   1.81580423E-12  
  3703.582   1.21960384E-12  
  3703.731   8.1703535E-13   
  3703.882   8.64966464E-13  
  3704.032   1.13392737E-12  
  3704.182   1.21794046E-12  
  3704.332   1.1147049E-12   
  3704.482   1.07250049E-12  
  3704.632   1.27089431E-12  
  3704.782   1.51875225E-12  
  3704.932   1.29689261E-12  
  3705.082   1.27562772E-12  
  3705.232   9.4438346E-13   
  3705.382   6.26586673E-13  
  3705.532   5.91080624E-13  
  3705.682   3.91570375E-13  
  3705.832   5.24768705E-13  
  3705.982   6.36134049E-13  
  3706.132   6.54978459E-13  
  3706.282   1.23194228E-12  
  3706.432   1.85350693E-12  
  3706.582   2.2015998E-12   
  3706.732   2.14317583E-12  
  3706.882   1.89861625E-12  
  3707.032   1.43598989E-12  
  3707.182   1.23062834E-12  
  3707.332   1.03433863E-12  
  3707.482   9.1233401E-13   
  3707.632   6.8876068E-13   
  3707.782   5.06989741E-13  
  3707.932   6.70355156E-13  
  3708.083   1.02167222E-12  
  3708.232   1.46531615E-12  
  3708.383   1.93734373E-12  
  3708.532   1.76934183E-12  
  3708.683   1.32407627E-12  
  3708.833   8.5058295E-13   
  3708.983   7.10526635E-13  
  3709.133   3.37138818E-13  
  3709.283   2.88447814E-13  
  3709.433   4.3942546E-13   
  3709.583   7.14094419E-13  
  3709.733   1.05419037E-12  
  3709.883   1.33757339E-12  
  3710.033   1.40603479E-12  
  3710.183   1.44153602E-12  
  3710.333   1.59940301E-12  
  3710.483   1.73071052E-12  
  3710.633   2.15228486E-12  
  3710.783   2.44946988E-12  
  3710.933   2.29895031E-12  
  3711.083   2.03975118E-12  
  3711.233   1.45391067E-12  
  3711.383   1.24324878E-12  
  3711.533   1.54926538E-12  
  3711.683   1.76911469E-12  
  3711.833   1.8053779E-12   
  3711.983   1.73596966E-12  
  3712.133   1.72722795E-12  
  3712.283   1.86728389E-12  
  3712.433   2.26673021E-12  
  3712.584   2.2248607E-12   
  3712.733   1.97933163E-12  
  3712.884   1.72808805E-12  
  3713.033   1.88796873E-12  
  3713.184   2.48536022E-12  
  3713.334   2.63789663E-12  
  3713.484   2.36908626E-12  
  3713.634   2.16238572E-12  
  3713.784   2.31344045E-12  
  3713.934   2.46620172E-12  
  3714.084   2.70253589E-12  
  3714.234   2.90182201E-12  
  3714.384   2.90925205E-12  
  3714.534   2.76460105E-12  
  3714.684   2.35017561E-12  
  3714.834   2.16241174E-12  
  3714.984   2.14257952E-12  
  3715.134   2.23836271E-12  
  3715.284   2.10243736E-12  
  3715.434   1.67291235E-12  
  3715.584   1.82555295E-12  
  3715.734   1.81915312E-12  
  3715.884   1.76675168E-12  
  3716.034   1.83442042E-12  
  3716.184   1.8396428E-12   
  3716.334   1.66705105E-12  
  3716.484   1.49015294E-12  
  3716.635   1.97309725E-12  
  3716.784   2.41263021E-12  
  3716.935   2.46991295E-12  
  3717.084   2.11392709E-12  
  3717.234   1.86757532E-12  
  3717.385   1.85109285E-12  
  3717.534   1.96624162E-12  
  3717.685   1.92691371E-12  
  3717.835   1.91817113E-12  
  3717.985   1.73565047E-12  
  3718.135   1.32543878E-12  
