# col1       col2            
  3700.133   8.00898247E-13  
  3700.283   8.12440122E-13  
  3700.433   8.07488841E-13  
  3700.583   7.97999145E-13  
  3700.733   7.92728134E-13  
  3700.883   8.07265062E-13  
  3701.033   8.00255749E-13  
  3701.183   7.98622019E-13  
  3701.333   8.01001843E-13  
  3701.483   7.95965182E-13  
  3701.633   7.88463207E-13  
  3701.783   7.93345099E-13  
  3701.933   8.05374972E-13  
  3702.083   8.0848544E-13   
  3702.233   8.01428205E-13  
  3702.383   8.05976271E-13  
  3702.533   8.08199482E-13  
  3702.683   8.03036294E-13  
  3702.833   8.07147047E-13  
  3702.983   8.05592463E-13  
  3703.133   8.06924514E-13  
  3703.283   8.03078958E-13  
  3703.433   8.01087007E-13  
  3703.583   7.98970915E-13  
  3703.733   8.07395763E-13  
  3703.883   7.95280942E-13  
  3704.033   7.96503651E-13  
  3704.183   7.88693167E-13  
  3704.333   7.85516671E-13  
  3704.483   7.85407058E-13  
  3704.633   7.92424069E-13  
  3704.783   7.83656126E-13  
  3704.933   7.83176421E-13  
  3705.083   7.86337033E-13  
  3705.233   7.80222512E-13  
  3705.383   7.87336613E-13  
  3705.533   7.87857301E-13  
  3705.683   7.88444668E-13  
  3705.833   7.9839065E-13   
  3705.983   7.85339296E-13  
  3706.133   7.91465092E-13  
  3706.284   7.90785406E-13  
  3706.433   7.87337426E-13  
  3706.584   8.04373658E-13  
  3706.733   8.07972016E-13  
  3706.884   8.0197795E-13   
  3707.033   8.07786563E-13  
  3707.184   8.01603087E-13  
  3707.333   7.99938132E-13  
  3707.484   8.09569967E-13  
  3707.634   8.10854639E-13  
  3707.784   8.08686885E-13  
  3707.934   8.0515347E-13   
  3708.083   7.98226285E-13  
  3708.234   8.11891895E-13  
  3708.383   7.98386043E-13  
  3708.534   8.1908769E-13   
  3708.683   7.98054548E-13  
  3708.834   8.02867863E-13  
  3708.983   8.12172974E-13  
  3709.134   7.92126781E-13  
  3709.284   8.04610556E-13  
  3709.434   7.89926393E-13  
  3709.584   7.87244022E-13  
  3709.734   7.94481722E-13  
  3709.884   7.9503125E-13   
  3710.034   7.90054708E-13  
  3710.184   7.95016505E-13  
  3710.334   7.93642495E-13  
  3710.484   7.82365004E-13  
  3710.634   7.87809271E-13  
  3710.784   7.8762268E-13   
  3710.934   7.89829736E-13  
  3711.084   8.06660945E-13  
  3711.234   7.95757937E-13  
  3711.384   7.84777516E-13  
  3711.534   7.96791561E-13  
  3711.684   7.90128108E-13  
  3711.834   8.01515321E-13  
  3711.984   7.8187592E-13   
  3712.134   7.85549414E-13  
  3712.284   7.81994315E-13  
  3712.434   7.93410476E-13  
  3712.584   8.04220026E-13  
  3712.734   7.92897052E-13  
  3712.884   7.99972827E-13  
  3713.034   8.08116323E-13  
  3713.184   8.01943147E-13  
  3713.334   8.00019447E-13  
  3713.484   8.05398608E-13  
  3713.634   7.95130888E-13  
  3713.784   8.03203153E-13  
  3713.934   7.95296229E-13  
  3714.084   7.93023524E-13  
  3714.234   8.10787418E-13  
  3714.384   8.11674404E-13  
  3714.534   7.97873974E-13  
  3714.684   7.97322657E-13  
  3714.834   8.04852821E-13  
  3714.984   8.04382385E-13  
  3715.134   7.98515822E-13  
  3715.284   8.00297437E-13  
  3715.434   8.03092456E-13  
  3715.584   8.06935194E-13  
  3715.734   7.97559067E-13  
  3715.884   7.97863349E-13  
  3716.034   7.92062162E-13  
  3716.184   7.96716697E-13  
  3716.334   8.11552485E-13  
  3716.484   8.04232115E-13  
  3716.634   7.91061932E-13  
  3716.784   7.93865407E-13  
  3716.934   7.88413334E-13  
  3717.084   7.9163645E-13   
  3717.234   8.02866996E-13  
  3717.384   7.97663801E-13  
  3717.534   7.91040952E-13  
  3717.684   7.87736738E-13  
  3717.834   7.89689603E-13  
  3717.984   7.88649419E-13  
  3718.134   7.952083E-13    
  3718.284   7.9047115E-13   
  3718.434   7.99524726E-13  
  3718.584   7.98113149E-13  
  3718.734   7.96088347E-13  
  3718.884   7.8661448E-13   
  3719.034   7.99874381E-13  
  3719.184   7.94089891E-13  
  3719.334   7.95581103E-13  
  3719.484   7.99443086E-13  
  3719.634   7.98969072E-13  
  3719.784   7.96714311E-13  
  3719.934   7.78295722E-13  
  3720.084   8.03788839E-13  
  3720.234   7.91891672E-13  
  3720.384   7.83779508E-13  
  3720.534   7.84241107E-13  
  3720.684   7.81759369E-13  
  3720.834   7.88093061E-13  
  3720.984   7.92983734E-13  
  3721.134   7.91796912E-13  
  3721.284   7.89247302E-13  
  3721.434   7.83909179E-13  
  3721.584   7.83741399E-13  
  3721.734   7.75925602E-13  
  3721.884   7.80071157E-13  
  3722.034   7.83575136E-13  
  3722.184   7.72483531E-13  
  3722.335   7.80091811E-13  
  3722.484   7.79493332E-13  
  3722.635   7.86813214E-13  
  3722.784   7.87902404E-13  
  3722.935   7.93963094E-13  
  3723.084   7.89367215E-13  
  3723.235   7.87668216E-13  
  3723.384   7.91609454E-13  
  3723.535   7.89401422E-13  
  3723.684   7.98561141E-13  
  3723.835   7.86842217E-13  
  3723.985   7.92100381E-13  
  3724.135   7.8873583E-13   
  3724.285   7.83363879E-13  
  3724.435   7.9247481E-13   
  3724.585   7.95484609E-13  
  3724.734   7.87537678E-13  
  3724.885   7.90308303E-13  
  3725.034   8.02270739E-13  
  3725.185   7.92138653E-13  
  3725.335   8.01964994E-13  
  3725.485   8.0154042E-13   
  3725.635   7.96369698E-13  
  3725.785   8.01984943E-13  
  3725.935   7.91037212E-13  
  3726.085   7.95359818E-13  
  3726.235   8.0492015E-13   
  3726.385   8.06605488E-13  
  3726.535   7.98355414E-13  
  3726.685   7.95174907E-13  
  3726.835   8.03152033E-13  
  3726.985   8.0296723E-13   
  3727.135   8.12252121E-13  
  3727.285   8.04668561E-13  
  3727.435   7.9967646E-13   
  3727.585   7.98961971E-13  
  3727.735   8.12588657E-13  
  3727.885   8.04465815E-13  
  3728.035   8.04686558E-13  
  3728.185   7.95874434E-13  
  3728.335   7.88236176E-13  
  3728.485   8.05600161E-13  
  3728.635   7.97726468E-13  
  3728.785   8.02392115E-13  
  3728.935   7.93029867E-13  
  3729.085   7.96012941E-13  
  3729.235   8.00888544E-13  
  3729.385   7.89965207E-13  
  3729.535   8.0332827E-13   
  3729.685   8.03941657E-13  
  3729.835   7.91592323E-13  
  3729.985   7.94159443E-13  
  3730.135   8.01351281E-13  
  3730.285   8.00503923E-13  
  3730.435   7.97921137E-13  
  3730.585   7.99994999E-13  
  3730.735   8.02984795E-13  
  3730.885   7.89226865E-13  
  3731.035   7.8905014E-13   
  3731.185   7.77125272E-13  
  3731.335   7.90537449E-13  
  3731.485   7.69819701E-13  
  3731.635   7.87623276E-13  
  3731.785   7.77452863E-13  
  3731.935   7.88111059E-13  
  3732.085   7.6622801E-13   
  3732.235   7.82350964E-13  
  3732.385   7.66295501E-13  
  3732.535   7.79870309E-13  
  3732.685   7.77401255E-13  
  3732.835   7.70438238E-13  
  3732.985   7.67800591E-13  
  3733.135   7.69935168E-13  
  3733.285   7.67440473E-13  
  3733.435   7.562115E-13    
  3733.585   7.63111145E-13  
  3733.735   7.62299132E-13  
  3733.885   7.59354168E-13  
  3734.035   7.68326971E-13  
  3734.185   7.63970484E-13  
  3734.335   7.54408363E-13  
  3734.485   7.75273671E-13  
  3734.635   7.58183338E-13  
  3734.785   7.64413652E-13  
  3734.935   7.68872704E-13  
  3735.085   7.63058941E-13  
  3735.235   7.65125756E-13  
  3735.385   7.7862841E-13   
  3735.535   7.71892261E-13  
  3735.685   7.83056345E-13  
  3735.835   7.81016365E-13  
  3735.985   7.78873277E-13  
  3736.135   7.75144543E-13  
  3736.285   7.84192318E-13  
  3736.435   7.93129505E-13  
  3736.585   7.68063564E-13  
  3736.735   7.68084164E-13  
  3736.885   7.80557097E-13  
  3737.036   7.74586395E-13  
  3737.185   7.84297757E-13  
  3737.336   7.97243781E-13  
  3737.485   7.96246858E-13  
  3737.635   7.92455836E-13  
  3737.785   7.90890899E-13  
  3737.935   7.90640936E-13  
  3738.085   7.93276089E-13  
  3738.235   8.03571131E-13  
  3738.385   7.98056283E-13  
  3738.535   8.0269168E-13   
  3738.686   8.03227656E-13  
  3738.835   7.96793838E-13  
  3738.986   8.07242511E-13  
  3739.135   8.08060921E-13  
  3739.286   8.08556401E-13  
  3739.435   8.01177375E-13  
  3739.586   8.15925019E-13  
  3739.735   8.06628744E-13  
  3739.886   8.0881146E-13   
  3740.036   8.08953328E-13  
  3740.186   8.11647787E-13  
  3740.336   8.14350757E-13  
  3740.486   8.13451899E-13  
  3740.636   8.05471954E-13  
  3740.786   8.15238719E-13  
  3740.936   8.1421843E-13   
  3741.086   8.08244964E-13  
  3741.236   8.24387596E-13  
  3741.385   8.22667184E-13  
  3741.536   8.19461957E-13  
  3741.686   8.13946458E-13  
  3741.836   8.08479423E-13  
  3741.986   8.18073853E-13  
  3742.136   8.13513157E-13  
  3742.286   8.15543271E-13  
  3742.436   8.18883535E-13  
  3742.586   8.13070423E-13  
  3742.736   8.11214702E-13  
  3742.886   8.12432532E-13  
  3743.036   8.09222752E-13  
  3743.186   8.03722865E-13  
  3743.336   8.08310233E-13  
  3743.486   8.1012844E-13   
  3743.636   8.14329452E-13  
  3743.786   8.12681302E-13  
  3743.936   8.02132449E-13  
  3744.086   8.03120266E-13  
  3744.236   8.0073746E-13   
  3744.386   8.0188151E-13   
  3744.536   8.01846545E-13  
  3744.686   7.95792252E-13  
  3744.836   7.98673681E-13  
  3744.986   7.88824952E-13  
  3745.136   7.9709118E-13   
  3745.286   7.87540443E-13  
  3745.436   7.92431658E-13  
  3745.586   7.88111059E-13  
  3745.736   7.84913692E-13  
  3745.886   7.86193593E-13  
  3746.036   7.78479711E-13  
  3746.186   7.80614831E-13  
  3746.336   7.90542382E-13  
  3746.486   7.82476026E-13  
  3746.636   7.78385115E-13  
  3746.786   7.69094749E-13  
  3746.936   7.71648099E-13  
  3747.086   7.63755107E-13  
  3747.236   7.70724359E-13  
  3747.386   7.61019177E-13  
  3747.536   7.66836844E-13  
  3747.686   7.45705906E-13  
  3747.836   7.6079079E-13   
  3747.986   7.56666106E-13  
  3748.136   7.49405095E-13  
  3748.286   7.54841556E-13  
  3748.436   7.49061186E-13  
  3748.586   7.4202775E-13   
  3748.736   7.39590951E-13  
  3748.886   7.36507968E-13  
  3749.036   7.36815231E-13  
  3749.186   7.36501463E-13  
  3749.336   7.34051708E-13  
  3749.486   7.24500483E-13  
  3749.636   7.23507842E-13  
  3749.786   7.16857671E-13  
  3749.936   7.20442261E-13  
  3750.086   7.20862714E-13  
  3750.236   7.23102947E-13  
  3750.386   7.18139415E-13  
  3750.536   7.31733521E-13  
  3750.686   7.27568505E-13  
  3750.836   7.28861904E-13  
  3750.986   7.29378526E-13  
  3751.136   7.31246986E-13  
  3751.286   7.33676195E-13  
  3751.436   7.37775021E-13  
  3751.586   7.37723576E-13  
  3751.736   7.43890572E-13  
  3751.886   7.52204397E-13  
  3752.036   7.49432959E-13  
  3752.186   7.54770161E-13  
  3752.336   7.49053868E-13  
  3752.486   7.56739127E-13  
  3752.636   7.67454026E-13  
  3752.786   7.58968788E-13  
  3752.936   7.73062441E-13  
  3753.086   7.72300301E-13  
  3753.236   7.72922037E-13  
  3753.387   7.79526617E-13  
  3753.536   7.75526887E-13  
  3753.687   7.73122451E-13  
  3753.836   7.80898729E-13  
  3753.987   7.87084211E-13  
  3754.136   7.95277364E-13  
  3754.286   7.85312624E-13  
  3754.436   7.83430124E-13  
  3754.586   8.03723082E-13  
  3754.737   7.94436077E-13  
  3754.886   7.99900565E-13  
  3755.037   7.92822025E-13  
  3755.186   8.01154824E-13  
