# col1       col2            
  3700.052   3.90652788E-12  
  3700.202   4.00181017E-12  
  3700.352   3.93208383E-12  
  3700.502   3.89090713E-12  
  3700.652   3.85968818E-12  
  3700.802   3.80785681E-12  
  3700.952   3.82458691E-12  
  3701.102   3.8078837E-12   
  3701.252   3.71676908E-12  
  3701.402   3.69060555E-12  
  3701.552   3.67922099E-12  
  3701.702   3.62285722E-12  
  3701.852   3.61409058E-12  
  3702.002   3.55907209E-12  
  3702.152   3.48330349E-12  
  3702.302   3.43392806E-12  
  3702.452   3.29699245E-12  
  3702.602   3.2978648E-12   
  3702.752   3.16706925E-12  
  3702.902   3.19878065E-12  
  3703.052   3.16634371E-12  
  3703.202   3.10079393E-12  
  3703.352   2.94843186E-12  
  3703.502   2.91641516E-12  
  3703.652   2.95572703E-12  
  3703.802   2.96551911E-12  
  3703.952   2.95086373E-12  
  3704.102   2.84064178E-12  
  3704.252   2.84212324E-12  
  3704.402   2.73604533E-12  
  3704.552   2.8382754E-12   
  3704.702   2.74392553E-12  
  3704.852   2.72356508E-12  
  3705.002   2.77658018E-12  
  3705.152   2.77179321E-12  
  3705.302   2.85047832E-12  
  3705.452   2.86867947E-12  
  3705.602   2.879989E-12    
  3705.752   2.90111359E-12  
  3705.902   2.92537739E-12  
  3706.052   3.04432434E-12  
  3706.202   3.00413882E-12  
  3706.352   3.03371846E-12  
  3706.502   2.97777102E-12  
  3706.652   3.09386067E-12  
  3706.802   3.08842969E-12  
  3706.952   3.17337628E-12  
  3707.102   3.25590271E-12  
  3707.252   3.30500623E-12  
  3707.402   3.30733487E-12  
  3707.552   3.41021547E-12  
  3707.702   3.51537527E-12  
  3707.852   3.61378722E-12  
  3708.002   3.51188783E-12  
  3708.152   3.5166336E-12   
  3708.302   3.56832489E-12  
  3708.452   3.447934E-12    
  3708.602   3.46565832E-12  
  3708.752   3.45152726E-12  
  3708.902   3.42992345E-12  
  3709.052   3.41484436E-12  
  3709.202   3.43917343E-12  
  3709.352   3.4493157E-12   
  3709.502   3.43340981E-12  
  3709.652   3.41168868E-12  
  3709.802   3.35340761E-12  
  3709.952   3.28762191E-12  
  3710.103   3.23245293E-12  
  3710.252   3.11682733E-12  
  3710.403   3.09598137E-12  
  3710.552   3.04729874E-12  
  3710.703   2.96089694E-12  
  3710.852   2.92620268E-12  
  3711.003   2.8728196E-12   
  3711.152   2.91529864E-12  
  3711.302   2.75714803E-12  
  3711.452   2.79289157E-12  
  3711.602   2.74858478E-12  
  3711.753   2.75123435E-12  
  3711.902   2.72258518E-12  
  3712.053   2.77550292E-12  
  3712.202   2.78694711E-12  
  3712.353   2.86689791E-12  
  3712.502   2.82488182E-12  
  3712.653   2.91729661E-12  
  3712.802   2.9504062E-12   
  3712.953   3.05817958E-12  
  3713.102   3.15225905E-12  
