# col1       col2            
  3700.009   8.75300049E-13  
  3700.158   8.70239319E-13  
  3700.309   8.76194354E-13  
  3700.458   8.66350177E-13  
  3700.609   7.94113256E-13  
  3700.758   7.32907279E-13  
  3700.908   5.51406306E-13  
  3701.058   3.9072421E-13   
  3701.208   4.4771405E-13   
  3701.358   6.27623821E-13  
  3701.508   7.61026604E-13  
  3701.658   8.09152116E-13  
  3701.808   8.09794939E-13  
  3701.958   7.08026953E-13  
  3702.108   6.21611378E-13  
  3702.258   5.62244641E-13  
  3702.408   5.96131217E-13  
  3702.558   7.13560938E-13  
  3702.708   8.71762027E-13  
  3702.858   9.04917146E-13  
  3703.008   8.92315844E-13  
  3703.158   8.75545513E-13  
  3703.308   7.87821251E-13  
  3703.458   5.7335934E-13   
  3703.608   3.39822978E-13  
  3703.758   3.11541537E-13  
  3703.908   3.79379498E-13  
  3704.058   4.03801314E-13  
  3704.208   4.01782611E-13  
  3704.358   3.62563414E-13  
  3704.508   3.4778094E-13   
  3704.658   3.54650743E-13  
  3704.808   3.65660274E-13  
  3704.958   3.75132434E-13  
  3705.108   2.78328765E-13  
  3705.258   2.35489633E-13  
  3705.407   1.59033309E-13  
  3705.558   1.36465722E-13  
  3705.707   1.52293908E-13  
  3705.858   1.44118997E-13  
  3706.007   1.85233841E-13  
  3706.158   2.37422549E-13  
  3706.307   3.67777938E-13  
  3706.458   4.69664672E-13  
  3706.607   5.78714214E-13  
  3706.757   5.70141211E-13  
  3706.907   4.46891574E-13  
  3707.057   3.62167327E-13  
  3707.207   3.70165704E-13  
  3707.357   3.18388138E-13  
  3707.507   2.51645547E-13  
  3707.657   2.09451976E-13  
  3707.807   1.70348151E-13  
  3707.957   2.06741525E-13  
  3708.107   3.15669637E-13  
  3708.257   4.41184632E-13  
  3708.407   5.05416022E-13  
  3708.557   4.17118786E-13  
  3708.707   3.21462285E-13  
  3708.857   2.85789187E-13  
  3709.007   1.89819419E-13  
  3709.157   1.44298378E-13  
  3709.307   1.13233601E-13  
  3709.457   1.74991044E-13  
  3709.607   2.32862232E-13  
  3709.757   3.0524525E-13   
  3709.907   3.8106386E-13   
  3710.057   4.75287453E-13  
  3710.207   5.05164324E-13  
  3710.357   5.55871267E-13  
  3710.507   6.35039439E-13  
  3710.657   6.7190524E-13   
  3710.807   7.8746753E-13   
  3710.957   7.79717491E-13  
  3711.107   6.45437751E-13  
  3711.256   4.91229941E-13  
  3711.407   4.95286375E-13  
  3711.556   6.34356229E-13  
  3711.707   7.71197396E-13  
  3711.856   8.0570316E-13   
  3712.007   7.28637311E-13  
  3712.156   7.49942046E-13  
  3712.306   8.36500032E-13  
  3712.456   9.37071601E-13  
  3712.606   8.69041601E-13  
  3712.756   7.68915151E-13  
  3712.906   7.01565433E-13  
  3713.056   7.63721714E-13  
  3713.206   8.93758917E-13  
  3713.356   9.02664065E-13  
  3713.506   8.69733051E-13  
  3713.656   8.19256013E-13  
  3713.806   8.21810881E-13  
  3713.956   8.83367706E-13  
  3714.106   9.11878103E-13  
  3714.256   9.14765767E-13  
  3714.406   9.26257443E-13  
  3714.556   9.20711641E-13  
  3714.706   8.27336463E-13  
  3714.856   8.4986548E-13   
  3715.006   8.44432922E-13  
  3715.156   7.55789853E-13  
  3715.306   7.13339218E-13  
  3715.456   6.44854612E-13  
  3715.606   6.69752502E-13  
  3715.756   6.13352685E-13  
  3715.906   5.41414407E-13  
  3716.056   5.34484783E-13  
  3716.206   4.96790217E-13  
  3716.356   4.16788511E-13  
  3716.506   4.27082496E-13  
  3716.656   5.110877E-13    
  3716.806   6.0663448E-13   
  3716.956   6.43405034E-13  
  3717.105   5.80211877E-13  
  3717.256   4.90865486E-13  
  3717.405   4.85779277E-13  
  3717.556   4.90535997E-13  
  3717.705   4.65002494E-13  
  3717.856   4.54412197E-13  
  3718.005   4.06056617E-13  
  3718.155   3.81053018E-13  
  3718.305   3.09482095E-13  
  3718.455   2.80902011E-13  
  3718.605   2.71895055E-13  
  3718.755   2.67177122E-13  
  3718.905   2.26272722E-13  
  3719.055   2.00057378E-13  
  3719.205   1.93929684E-13  
  3719.355   1.68601109E-13  
  3719.505   1.42547568E-13  
  3719.655   1.14709376E-13  
  3719.805   9.613971E-14    
  3719.955   7.08011191E-14  
  3720.105   7.98880344E-14  
  3720.255   1.20904236E-13  
  3720.405   1.38687984E-13  
  3720.555   1.51383097E-13  
  3720.705   2.11849039E-13  
  3720.855   2.13275456E-13  
  3721.005   1.96051522E-13  
  3721.155   1.93508051E-13  
  3721.305   1.71139131E-13  
  3721.455   1.5325485E-13   
  3721.605   1.70733707E-13  
  3721.755   2.37498335E-13  
  3721.905   2.41438434E-13  
  3722.055   2.26443552E-13  
  3722.205   2.09573786E-13  
  3722.355   1.41532538E-13  
  3722.505   1.14554633E-13  
  3722.654   1.09092761E-13  
  3722.805   1.72353817E-13  
  3722.954   2.39060914E-13  
  3723.105   3.0963326E-13   
  3723.254   3.72754236E-13  
  3723.405   4.16111617E-13  
  3723.554   4.44347467E-13  
  3723.705   4.41215857E-13  
  3723.854   4.47730855E-13  
  3724.004   4.7091454E-13   
  3724.154   4.82436628E-13  
  3724.304   3.95239559E-13  
  3724.454   3.41516149E-13  
  3724.604   3.99597781E-13  
  3724.754   4.99899818E-13  
  3724.904   5.53701453E-13  
  3725.054   5.75359909E-13  
  3725.204   6.08108399E-13  
  3725.354   6.04694951E-13  
  3725.504   6.45334101E-13  
  3725.654   6.64053014E-13  
  3725.804   7.25104818E-13  
  3725.954   7.07520089E-13  
  3726.104   7.17681177E-13  
  3726.254   6.85140367E-13  
  3726.404   7.04397749E-13  
  3726.554   5.96206949E-13  
  3726.704   4.93973189E-13  
  3726.854   3.31493188E-13  
  3727.004   2.14144322E-13  
  3727.154   1.99292026E-13  
  3727.304   2.1168775E-13   
  3727.454   1.67337105E-13  
  3727.604   9.64492903E-14  
  3727.754   1.10149235E-13  
  3727.904   2.03126036E-13  
  3728.054   2.70484834E-13  
  3728.204   3.8660744E-13   
  3728.354   5.17228675E-13  
  3728.503   4.92784199E-13  
  3728.654   5.30351479E-13  
  3728.803   4.45473682E-13  
  3728.954   4.92360601E-13  
  3729.103   5.9283405E-13   
  3729.254   6.67901552E-13  
  3729.403   6.9297286E-13   
  3729.553   6.56240036E-13  
  3729.703   5.31857761E-13  
  3729.853   4.94777396E-13  
  3730.003   5.4325896E-13   
  3730.153   5.56987562E-13  
  3730.303   4.30292087E-13  
  3730.453   3.20363798E-13  
  3730.603   3.02576757E-13  
  3730.753   3.25632289E-13  
  3730.903   3.44786618E-13  
  3731.053   4.30069636E-13  
  3731.203   4.60667745E-13  
  3731.353   4.30107772E-13  
  3731.503   4.69244381E-13  
  3731.653   4.80210381E-13  
  3731.803   4.55219792E-13  
  3731.953   3.84977586E-13  
  3732.103   3.39648231E-13  
  3732.253   3.15006999E-13  
  3732.403   2.56805916E-13  
  3732.553   2.55592422E-13  
  3732.703   2.90119735E-13  
  3732.853   2.69379625E-13  
  3733.003   2.28710822E-13  
  3733.153   1.76853405E-13  
  3733.303   1.11811927E-13  
  3733.453   1.35566282E-13  
  3733.603   1.81768988E-13  
  3733.753   2.38179295E-13  
  3733.903   2.07099E-13     
  3734.053   1.97323494E-13  
  3734.203   1.93884297E-13  
  3734.352   1.30548933E-13  
  3734.503   1.21293356E-13  
  3734.652   9.55005253E-14  
  3734.803   7.27323881E-14  
  3734.952   6.64591537E-14  
  3735.103   8.83109097E-14  
  3735.252   1.25712673E-13  
  3735.402   1.39422816E-13  
  3735.552   1.5921616E-13   
  3735.702   1.92166704E-13  
  3735.852   2.10883503E-13  
  3736.002   2.15108449E-13  
  3736.152   2.2142619E-13   
  3736.302   2.22207032E-13  
  3736.452   1.86856783E-13  
  3736.602   1.7489722E-13   
  3736.752   1.2970297E-13   
  3736.902   9.1720136E-14   
  3737.052   7.54767884E-14  
  3737.202   7.34964593E-14  
  3737.352   1.19359939E-13  
  3737.502   1.42657587E-13  
  3737.652   1.81211925E-13  
  3737.802   1.94054706E-13  
  3737.952   2.20210392E-13  
  3738.102   2.08769308E-13  
  3738.252   2.3482499E-13   
  3738.402   2.34543586E-13  
  3738.552   3.16777203E-13  
  3738.702   3.7705364E-13   
  3738.852   4.08481598E-13  
  3739.002   3.41592233E-13  
  3739.152   2.86263445E-13  
  3739.302   2.49215308E-13  
  3739.452   3.23097668E-13  
  3739.602   3.51253586E-13  
  3739.752   4.61848875E-13  
  3739.901   4.72212764E-13  
  3740.052   4.2323721E-13   
  3740.201   3.99674841E-13  
  3740.352   4.40014046E-13  
  3740.501   5.904938E-13    
  3740.652   6.41878803E-13  
  3740.801   6.08946595E-13  
  3740.952   4.97389293E-13  
  3741.101   4.70248948E-13  
  3741.251   4.5238257E-13   
  3741.401   4.67830039E-13  
  3741.551   4.2780387E-13   
  3741.701   4.7573203E-13   
  3741.851   5.0911082E-13   
  3742.001   5.45047514E-13  
  3742.151   4.81698232E-13  
  3742.301   4.65035183E-13  
  3742.451   4.02684315E-13  
  3742.601   3.47329424E-13  
  3742.751   3.4813027E-13   
  3742.901   3.06687781E-13  
  3743.051   2.71240739E-13  
  3743.201   1.88025078E-13  
  3743.351   1.28138548E-13  
  3743.501   1.26836218E-13  
  3743.651   2.10693943E-13  
  3743.801   2.23635617E-13  
  3743.951   2.61619421E-13  
  3744.101   2.54081993E-13  
  3744.251   3.10758201E-13  
  3744.401   3.07575796E-13  
  3744.551   2.84055765E-13  
  3744.701   2.7562303E-13   
  3744.851   2.44402507E-13  
  3745.001   2.37984599E-13  
  3745.151   1.66970563E-13  
  3745.301   1.52099945E-13  
  3745.451   9.54088018E-14  
  3745.601   8.24217268E-14  
  3745.75    6.83379541E-14  
  3745.901   9.36722013E-14  
  3746.05    1.34541412E-13  
  3746.201   1.60947441E-13  
  3746.35    2.14294443E-13  
  3746.501   2.26733603E-13  
  3746.65    2.35503132E-13  
  3746.8     2.46902406E-13  
  3746.95    2.28079762E-13  
  3747.1     2.45687287E-13  
  3747.25    2.96661729E-13  
  3747.4     2.70385277E-13  
  3747.55    2.6053736E-13   
  3747.7     2.42370035E-13  
  3747.85    2.09044655E-13  
  3748.0     1.71829158E-13  
  3748.15    1.28586811E-13  
  3748.3     8.37120426E-14  
  3748.45    1.27687764E-13  
  3748.6     1.69479583E-13  
  3748.75    1.57921961E-13  
  3748.9     1.33234041E-13  
  3749.05    1.26460542E-13  
  3749.2     1.02437441E-13  
  3749.35    8.93438223E-14  
  3749.5     8.2696877E-14   
  3749.65    1.04198856E-13  
  3749.8     1.15889801E-13  
  3749.95    1.84224611E-13  
  3750.1     1.83199538E-13  
  3750.25    2.28098709E-13  
  3750.4     2.39739055E-13  
  3750.55    3.08285922E-13  
  3750.7     2.79406381E-13  
  3750.85    3.13366683E-13  
  3751.0     3.89557147E-13  
  3751.15    3.83518656E-13  
  3751.3     4.5641854E-13   
  3751.45    4.8741317E-13   
  3751.599   4.8548188E-13   
  3751.75    4.57037132E-13  
  3751.899   4.95846907E-13  
  3752.05    5.71128865E-13  
  3752.199   5.61535573E-13  
  3752.35    4.77083542E-13  
  3752.499   4.937377E-13    
  3752.649   4.74471374E-13  
  3752.799   3.82574262E-13  
  3752.949   3.61606199E-13  
  3753.099   3.94401905E-13  
  3753.249   4.36321227E-13  
  3753.399   3.87811609E-13  
  3753.549   3.77785992E-13  
  3753.699   4.36323368E-13  
  3753.849   5.90278857E-13  
  3753.999   7.21797784E-13  
  3754.149   7.06957984E-13  
  3754.299   5.92069308E-13  
  3754.449   5.54979348E-13  
  3754.599   5.51946618E-13  
  3754.749   6.47767322E-13  
  3754.899   7.54089879E-13  
  3755.049   7.57924376E-13  
  3755.199   7.2147686E-13   
  3755.349   6.65073682E-13  
  3755.499   6.63924861E-13  
  3755.649   6.96383272E-13  
  3755.799   7.15957079E-13  
  3755.949   6.28732906E-13  
  3756.099   5.72462759E-13  
  3756.249   5.87987666E-13  
  3756.399   5.67470821E-13  
  3756.549   6.19618885E-13  
  3756.699   5.18595637E-13  
  3756.849   4.56993601E-13  
  3756.999   4.03989017E-13  
  3757.148   3.37534579E-13  
  3757.299   3.07110376E-13  
  3757.448   2.57897978E-13  
  3757.599   2.23125717E-13  
  3757.748   2.1097837E-13   
  3757.899   1.48012272E-13  
  3758.048   1.33861346E-13  
  3758.199   7.80838271E-14  
  3758.348   9.96763774E-14  
  3758.498   1.2368741E-13   
  3758.648   1.90022084E-13  
  3758.798   2.44770404E-13  
  3758.948   2.61777633E-13  
  3759.098   2.28476445E-13  
  3759.248   2.29046979E-13  
  3759.398   2.71286953E-13  
  3759.548   3.70338119E-13  
  3759.698   4.32062372E-13  
  3759.848   4.70389895E-13  
  3759.998   3.93776239E-13  
  3760.148   3.86617469E-13  
  3760.298   4.24699203E-13  
  3760.448   4.14581184E-13  
  3760.598   4.64348395E-13  
  3760.748   5.560584E-13    
  3760.898   5.7835865E-13   
  3761.048   5.00569042E-13  
  3761.198   3.61078951E-13  
  3761.348   3.2095702E-13   
  3761.498   3.83031795E-13  
  3761.648   5.01070377E-13  
  3761.798   5.64782867E-13  
  3761.948   5.82237438E-13  
  3762.098   5.31707653E-13  
  3762.248   4.3842344E-13   
  3762.398   4.67723787E-13  
  3762.548   4.98718146E-13  
  3762.698   5.00760783E-13  
  3762.848   4.08679113E-13  
