# col1       col2            
  3700.124   2.53718422E-12  
  3700.274   2.47074344E-12  
  3700.424   2.50927274E-12  
  3700.574   2.48480381E-12  
  3700.724   2.50678579E-12  
  3700.874   2.46108407E-12  
  3701.024   2.47088699E-12  
  3701.174   2.42292492E-12  
  3701.324   2.4127087E-12   
  3701.474   2.38612385E-12  
  3701.624   2.39396523E-12  
  3701.774   2.36522369E-12  
  3701.924   2.37799645E-12  
  3702.074   2.2931919E-12   
  3702.224   2.28569854E-12  
  3702.374   2.2267947E-12   
  3702.524   2.14656569E-12  
  3702.674   2.10174694E-12  
  3702.824   2.00953186E-12  
  3702.974   1.96924183E-12  
  3703.124   1.8944206E-12   
  3703.274   1.84867204E-12  
  3703.424   1.78507751E-12  
  3703.574   1.69756288E-12  
  3703.724   1.68850068E-12  
  3703.874   1.68650597E-12  
  3704.024   1.66914291E-12  
  3704.174   1.70590115E-12  
  3704.324   1.73774461E-12  
  3704.474   1.75820708E-12  
  3704.624   1.8187949E-12   
  3704.774   1.86505455E-12  
  3704.924   1.92479474E-12  
  3705.074   1.89973493E-12  
  3705.224   1.9450008E-12   
  3705.374   1.92240733E-12  
  3705.524   1.92855172E-12  
  3705.674   1.91222515E-12  
  3705.824   1.9176865E-12   
  3705.974   1.99341238E-12  
  3706.124   2.00914741E-12  
  3706.274   2.09574892E-12  
  3706.424   2.14814798E-12  
  3706.574   2.24422954E-12  
  3706.724   2.31686111E-12  
  3706.874   2.42072963E-12  
  3707.024   2.50125203E-12  
  3707.174   2.58130453E-12  
  3707.324   2.58024201E-12  
  3707.474   2.59211077E-12  
  3707.624   2.5769289E-12   
  3707.774   2.5842657E-12   
  3707.924   2.55742216E-12  
  3708.074   2.6084588E-12   
  3708.224   2.56142568E-12  
  3708.374   2.59445005E-12  
  3708.524   2.47054894E-12  
  3708.674   2.47352833E-12  
  3708.824   2.46030887E-12  
  3708.974   2.42471538E-12  
  3709.124   2.3957507E-12   
  3709.274   2.37522567E-12  
  3709.424   2.38993807E-12  
  3709.574   2.27987681E-12  
  3709.724   2.24231592E-12  
  3709.874   2.2194243E-12   
  3710.024   2.18782371E-12  
  3710.174   2.17960545E-12  
  3710.324   2.14815839E-12  
  3710.474   2.09249827E-12  
  3710.624   2.01593234E-12  
  3710.774   1.96749258E-12  
  3710.924   1.8868854E-12   
  3711.074   1.84646981E-12  
  3711.224   1.77122076E-12  
  3711.374   1.70873168E-12  
  3711.524   1.65651889E-12  
  3711.674   1.63327186E-12  
  3711.824   1.56670293E-12  
  3711.974   1.58876482E-12  
  3712.124   1.55268159E-12  
  3712.274   1.56803997E-12  
  3712.424   1.59528022E-12  
  3712.574   1.69483861E-12  
  3712.724   1.71472472E-12  
  3712.874   1.81625624E-12  
  3713.024   1.89110858E-12  
  3713.174   1.99683152E-12  
  3713.324   2.07376087E-12  
  3713.474   2.16169574E-12  
  3713.624   2.2207557E-12   
  3713.774   2.31849414E-12  
  3713.924   2.4105351E-12   
  3714.074   2.41538864E-12  
  3714.224   2.5162975E-12   
  3714.374   2.52683725E-12  
  3714.525   2.59954471E-12  
  3714.674   2.60910195E-12  
  3714.825   2.58736977E-12  
  3714.974   2.59664837E-12  
  3715.125   2.66169422E-12  
  3715.274   2.6319938E-12   
  3715.424   2.7225765E-12   
  3715.574   2.6864227E-12   
  3715.724   2.71953987E-12  
  3715.874   2.7775989E-12   
  3716.024   2.75084794E-12  
  3716.174   2.75752034E-12  
  3716.324   2.8319647E-12   
  3716.474   2.85815469E-12  
  3716.624   2.84539514E-12  
  3716.774   2.86665743E-12  
  3716.924   2.87512115E-12  
  3717.075   2.89295324E-12  
  3717.224   2.88768618E-12  
  3717.375   2.91858183E-12  
