# col1       col2            
  3700.125   2.73524394E-13  
  3700.275   2.97692616E-13  
  3700.424   2.8018969E-13   
  3700.575   3.1798037E-13   
  3700.724   2.58491769E-13  
  3700.875   2.78800068E-13  
  3701.024   1.7182638E-13   
  3701.175   1.68590741E-13  
  3701.324   2.37691648E-13  
  3701.475   3.06604487E-13  
  3701.625   2.71413615E-13  
  3701.775   2.21510622E-13  
  3701.925   2.73052306E-13  
  3702.075   2.37831185E-13  
  3702.225   1.87374123E-13  
  3702.375   2.27430108E-13  
  3702.525   1.58069345E-13  
  3702.675   2.9483409E-13   
  3702.825   2.69313624E-13  
  3702.975   2.85348351E-13  
  3703.125   3.00106999E-13  
  3703.275   2.95462331E-13  
  3703.425   2.74558018E-13  
  3703.575   1.07612764E-13  
  3703.725   6.65788158E-14  
  3703.875   8.91763199E-14  
  3704.025   1.38194943E-13  
  3704.175   8.76083467E-14  
  3704.325   1.47374775E-13  
  3704.475   1.26180289E-13  
  3704.625   9.02198712E-14  
  3704.775   1.78903265E-13  
  3704.925   1.22660495E-13  
  3705.075   2.824708E-14    
  3705.225   3.56843901E-14  
  3705.375   9.38620113E-14  
  3705.525   8.11345162E-15  
  3705.675   5.37443218E-14  
  3705.825   3.07096496E-15  
  3705.975   7.87792954E-14  
  3706.125   6.8152603E-14   
  3706.275   1.0715639E-13   
  3706.425   1.82492842E-13  
  3706.575   2.29906426E-13  
  3706.725   1.57337319E-13  
  3706.875   1.3391454E-13   
  3707.025   1.04758921E-13  
  3707.175   1.65988994E-13  
  3707.325   1.59009185E-13  
  3707.475   1.01002235E-13  
  3707.625   8.21908527E-14  
  3707.775   8.05674768E-14  
  3707.925   8.90034438E-14  
  3708.075   7.60035684E-14  
  3708.225   1.3158154E-13   
  3708.375   2.16649832E-13  
  3708.525   1.24217761E-13  
  3708.675   1.67828127E-13  
  3708.825   8.81813679E-14  
  3708.975   8.4976473E-14   
  3709.125   5.30641645E-14  
  3709.275   4.11720964E-14  
  3709.425   6.65727984E-14  
  3709.575   9.91140628E-14  
  3709.725   1.32492284E-13  
  3709.875   1.25978397E-13  
  3710.025   6.05707907E-14  
  3710.175   1.48433254E-13  
  3710.325   2.04839631E-13  
  3710.475   1.4371749E-13   
  3710.625   2.95215214E-13  
  3710.775   3.02060352E-13  
  3710.925   2.79376511E-13  
  3711.075   2.9337413E-13   
  3711.225   1.63433449E-13  
  3711.375   1.51833732E-13  
  3711.525   1.3407713E-13   
