# col1       col2            
  3700.038   1.1110737E-14   
  3700.188   1.0719102E-14   
  3700.338   1.0841007E-14   
  3700.488   1.09435047E-14  
  3700.638   1.07846674E-14  
  3700.787   1.09718058E-14  
  3700.937   1.08054248E-14  
  3701.087   1.03887871E-14  
  3701.237   1.06602544E-14  
  3701.387   1.07927388E-14  
  3701.537   1.09550091E-14  
  3701.687   1.07145738E-14  
  3701.837   1.05834378E-14  
  3701.986   1.05255338E-14  
  3702.136   1.05929441E-14  
  3702.286   1.05925663E-14  
  3702.436   1.05035821E-14  
  3702.586   1.05074556E-14  
  3702.736   1.04507687E-14  
  3702.886   1.01027229E-14  
  3703.036   1.02833103E-14  
  3703.185   1.01207986E-14  
  3703.335   9.89073257E-15  
  3703.485   9.54720905E-15  
  3703.635   9.5525877E-15   
  3703.785   9.34594978E-15  
  3703.935   9.57425989E-15  
  3704.085   9.57816132E-15  
  3704.235   9.8269908E-15   
  3704.384   9.92475873E-15  
  3704.534   1.02509249E-14  
  3704.684   1.01680613E-14  
  3704.834   1.04000992E-14  
  3704.984   1.0203369E-14   
  3705.134   1.04712991E-14  
  3705.284   1.0218708E-14   
  3705.434   9.31301206E-15  
  3705.583   8.93067663E-15  
  3705.733   9.62256448E-15  
  3705.883   1.00761286E-14  
  3706.033   9.91192957E-15  
  3706.183   1.03009311E-14  
  3706.333   1.08389707E-14  
  3706.483   1.09412542E-14  
  3706.633   1.1053863E-14   
  3706.783   1.10556036E-14  
  3706.932   1.10773309E-14  
  3707.082   1.07826896E-14  
  3707.232   1.10243346E-14  
  3707.382   1.09408247E-14  
  3707.532   1.09633651E-14  
  3707.682   1.05390567E-14  
  3707.832   1.0507121E-14   
  3707.982   1.08478408E-14  
  3708.131   1.10821945E-14  
  3708.281   1.10447506E-14  
  3708.431   1.11316087E-14  
  3708.581   1.07094501E-14  
  3708.731   1.07337413E-14  
  3708.881   1.06856154E-14  
  3709.031   1.03235698E-14  
  3709.181   9.65744107E-15  
  3709.33    9.82277597E-15  
  3709.48    1.03669303E-14  
  3709.63    1.08838762E-14  
  3709.78    1.08122011E-14  
  3709.93    1.0708974E-14   
  3710.08    1.06353592E-14  
  3710.23    1.05435358E-14  
  3710.38    1.05603799E-14  
  3710.529   1.04263767E-14  
  3710.679   1.02659893E-14  
  3710.829   1.04647168E-14  
  3710.979   1.02472352E-14  
  3711.129   1.01062923E-14  
  3711.279   1.01164719E-14  
  3711.429   9.62591026E-15  
  3711.579   9.25463455E-15  
  3711.729   9.31565395E-15  
  3711.878   8.86806819E-15  
  3712.028   8.97136301E-15  
  3712.178   9.29950527E-15  
  3712.328   9.6210754E-15   
  3712.478   9.71542979E-15  
  3712.628   9.92921921E-15  
  3712.778   9.92376771E-15  
  3712.928   1.03621166E-14  
  3713.077   1.01809981E-14  
  3713.227   1.05333951E-14  
  3713.377   1.06144892E-14  
  3713.527   1.05809128E-14  
  3713.677   1.06354694E-14  
  3713.827   1.08706057E-14  
  3713.977   1.0865017E-14   
  3714.127   1.08286488E-14  
  3714.276   1.0898141E-14   
  3714.426   1.08978556E-14  
  3714.576   1.09826809E-14  
  3714.726   1.10001424E-14  
  3714.876   1.13447502E-14  
  3715.026   1.12065483E-14  
  3715.176   1.11573441E-14  
  3715.326   1.11662532E-14  
  3715.475   1.11247071E-14  
  3715.625   1.12598267E-14  
  3715.775   1.08457809E-14  
  3715.925   1.10964831E-14  
  3716.075   1.12426565E-14  
  3716.225   1.13851714E-14  
  3716.375   1.11145436E-14  
  3716.525   1.13797555E-14  
  3716.674   1.12670518E-14  
  3716.824   1.10861197E-14  
  3716.974   1.10876299E-14  
  3717.124   1.15199327E-14  
  3717.274   1.11824121E-14  
  3717.424   1.11033068E-14  
  3717.574   1.10886337E-14  
  3717.724   1.1417058E-14   
  3717.874   1.12705086E-14  
  3718.023   1.12786909E-14  
  3718.173   1.10335528E-14  
  3718.323   1.1082618E-14   
  3718.473   1.1289599E-14   
  3718.623   1.09394026E-14  
  3718.773   1.11476939E-14  
  3718.923   1.10823199E-14  
  3719.073   1.12690229E-14  
  3719.222   1.0887249E-14   
  3719.372   1.11174447E-14  
  3719.522   1.0764132E-14   
  3719.672   1.03593595E-14  
  3719.822   8.65317593E-15  
  3719.972   7.97691415E-15  
  3720.122   9.22198143E-15  
  3720.272   1.02167064E-14  
  3720.421   1.02874837E-14  
  3720.571   1.02879063E-14  
  3720.721   1.03543391E-14  
  3720.871   1.01252362E-14  
  3721.021   9.72402209E-15  
  3721.171   9.43496532E-15  
  3721.32    9.48302089E-15  
  3721.471   9.28771373E-15  
  3721.62    8.79040035E-15  
  3721.77    8.58647548E-15  
  3721.92    8.18901628E-15  
  3722.07    8.49865764E-15  
  3722.22    8.54857922E-15  
  3722.37    8.49100385E-15  
  3722.52    8.0837953E-15   
  3722.67    8.62798263E-15  
  3722.82    9.59145974E-15  
  3722.969   9.97847079E-15  
  3723.119   1.05351976E-14  
  3723.269   1.03876639E-14  
  3723.419   1.06130035E-14  
  3723.569   1.051144E-14    
  3723.719   1.08628977E-14  
  3723.869   1.06657516E-14  
  3724.019   1.08201073E-14  
  3724.168   1.07790406E-14  
  3724.318   1.11520883E-14  
  3724.468   1.11511845E-14  
  3724.618   1.1118633E-14   
  3724.768   1.11736555E-14  
  3724.918   1.12899099E-14  
  3725.068   1.08565018E-14  
  3725.218   1.1010533E-14   
  3725.367   1.13578072E-14  
  3725.517   1.14183116E-14  
  3725.667   1.12669358E-14  
  3725.817   1.13991246E-14  
  3725.967   1.15410619E-14  
  3726.117   1.13856746E-14  
  3726.266   1.15148234E-14  
  3726.417   1.13697283E-14  
  3726.566   1.13411757E-14  
  3726.716   1.12843E-14     
  3726.866   1.13306716E-14  
  3727.016   1.15138324E-14  
  3727.166   1.14358858E-14  
  3727.316   1.12353101E-14  
  3727.466   1.05585935E-14  
  3727.616   1.02397085E-14  
  3727.766   1.04761357E-14  
  3727.915   1.1215299E-14   
  3728.065   1.1385384E-14   
  3728.215   1.13020352E-14  
  3728.365   1.16554258E-14  
  3728.515   1.14260044E-14  
  3728.665   1.15470776E-14  
  3728.815   1.1361546E-14   
  3728.965   1.13403033E-14  
  3729.114   1.13226765E-14  
  3729.264   1.15273366E-14  
  3729.414   1.1436594E-14   
  3729.564   1.14302836E-14  
  3729.714   1.15647949E-14  
  3729.864   1.14098142E-14  
  3730.013   1.14559978E-14  
  3730.164   1.15857141E-14  
  3730.313   1.11855791E-14  
  3730.463   1.12911559E-14  
  3730.613   1.11277082E-14  
  3730.763   1.12411724E-14  
  3730.913   1.10795603E-14  
  3731.063   1.09976064E-14  
  3731.212   1.12067041E-14  
  3731.363   1.12198975E-14  
  3731.512   1.07955323E-14  
  3731.662   1.11326133E-14  
  3731.812   1.08484482E-14  
  3731.962   1.07058154E-14  
  3732.112   1.07610225E-14  
  3732.262   1.06965913E-14  
  3732.411   1.03332997E-14  
  3732.562   1.04651437E-14  
  3732.711   1.0537903E-14   
  3732.861   1.02891904E-14  
  3733.011   9.93537883E-15  
  3733.161   9.38413657E-15  
  3733.311   8.35667459E-15  
  3733.461   8.56750448E-15  
  3733.611   9.11226949E-15  
  3733.76    9.04961615E-15  
  3733.911   9.04039196E-15  
  3734.06    8.22535484E-15  
  3734.21    7.77002635E-15  
  3734.36    7.55984105E-15  
  3734.51    7.49030304E-15  
  3734.66    7.33135222E-15  
  3734.81    6.72081892E-15  
  3734.959   7.43387878E-15  
  3735.11    8.74741936E-15  
  3735.259   9.63150576E-15  
  3735.409   9.82425828E-15  
  3735.559   1.01434449E-14  
  3735.709   1.01993465E-14  
  3735.859   1.01804365E-14  
  3736.009   1.03655377E-14  
  3736.158   1.05562785E-14  
  3736.309   1.07572532E-14  
  3736.458   1.0858178E-14   
  3736.608   1.06048771E-14  
  3736.758   1.00198992E-14  
  3736.908   8.7878474E-15   
  3737.058   8.03747954E-15  
  3737.208   8.78303286E-15  
  3737.357   1.02834281E-14  
  3737.507   1.10717498E-14  
  3737.657   1.13941906E-14  
  3737.807   1.13334863E-14  
  3737.957   1.14807642E-14  
  3738.107   1.131439E-14    
  3738.257   1.11775272E-14  
  3738.407   1.12998439E-14  
  3738.557   1.15879452E-14  
  3738.706   1.1473251E-14   
  3738.857   1.15831374E-14  
  3739.006   1.14536608E-14  
  3739.156   1.15165725E-14  
  3739.306   1.15150462E-14  
  3739.456   1.16163462E-14  
  3739.606   1.14052868E-14  
  3739.756   1.16475153E-14  
  3739.905   1.14878005E-14  
  3740.056   1.17665497E-14  
  3740.205   1.18037277E-14  
  3740.355   1.17311725E-14  
  3740.505   1.18192199E-14  
  3740.655   1.16922158E-14  
  3740.805   1.17957063E-14  
  3740.955   1.17128876E-14  
  3741.104   1.15888837E-14  
  3741.254   1.15843546E-14  
  3741.404   1.17185204E-14  
  3741.554   1.17173456E-14  
  3741.704   1.16902558E-14  
  3741.854   1.17232629E-14  
  3742.004   1.1861608E-14   
  3742.154   1.18847396E-14  
  3742.303   1.19309275E-14  
  3742.453   1.17223261E-14  
  3742.603   1.16181877E-14  
  3742.753   1.16155966E-14  
  3742.903   1.18621501E-14  
  3743.053   1.18885242E-14  
  3743.203   1.11159251E-14  
  3743.353   1.07550391E-14  
  3743.503   1.09568235E-14  
  3743.652   1.13258317E-14  
  3743.802   1.15843716E-14  
  3743.952   1.16838581E-14  
  3744.102   1.17435113E-14  
  3744.252   1.17597641E-14  
  3744.402   1.16728492E-14  
  3744.552   1.17394387E-14  
  3744.702   1.18532444E-14  
  3744.851   1.17530489E-14  
  3745.001   1.16552657E-14  
  3745.151   1.17548793E-14  
  3745.301   1.09392255E-14  
  3745.451   9.70218473E-15  
  3745.601   9.08686019E-15  
  3745.751   9.17551405E-15  
  3745.901   9.31587842E-15  
  3746.05    1.0534049E-14   
  3746.2     1.10637165E-14  
  3746.35    1.13428444E-14  
  3746.5     1.09768414E-14  
  3746.65    1.12109554E-14  
  3746.8     1.13182431E-14  
  3746.95    1.12738772E-14  
  3747.1     1.11259201E-14  
  3747.249   1.11027656E-14  
  3747.399   1.10885388E-14  
  3747.549   1.08430204E-14  
  3747.699   1.06875534E-14  
  3747.849   1.06940002E-14  
  3747.999   1.02148057E-14  
  3748.149   8.99413634E-15  
  3748.299   8.68003704E-15  
  3748.448   9.14206472E-15  
  3748.598   9.95864429E-15  
  3748.748   9.7224339E-15   
  3748.898   9.59998089E-15  
  3749.048   9.36977428E-15  
  3749.198   8.94011936E-15  
  3749.348   7.67651561E-15  
  3749.498   7.14037594E-15  
  3749.648   7.30132236E-15  
  3749.797   7.40122482E-15  
  3749.947   6.99321709E-15  
  3750.097   6.64504632E-15  
  3750.247   6.76992015E-15  
  3750.397   7.25024458E-15  
  3750.547   7.78497817E-15  
  3750.697   8.29165973E-15  
  3750.847   8.87419817E-15  
  3750.996   9.14746286E-15  
  3751.146   9.36539935E-15  
  3751.296   9.71841219E-15  
  3751.446   9.8851879E-15   
  3751.596   9.96442529E-15  
  3751.746   1.01951317E-14  
  3751.896   1.04713686E-14  
  3752.046   1.00223014E-14  
  3752.195   1.05594388E-14  
  3752.345   1.03926877E-14  
  3752.495   1.10397734E-14  
  3752.645   1.09221866E-14  
  3752.795   1.08681866E-14  
  3752.945   1.10966331E-14  
  3753.095   1.10612084E-14  
  3753.245   1.10023947E-14  
  3753.394   1.12242021E-14  
  3753.544   1.1128955E-14   
  3753.694   1.13813454E-14  
  3753.844   1.1372593E-14   
  3753.994   1.14442291E-14  
  3754.144   1.15068952E-14  
  3754.294   1.14013421E-14  
  3754.444   1.16438782E-14  
  3754.594   1.15556529E-14  
  3754.743   1.13938493E-14  
  3754.893   1.16338671E-14  
  3755.043   1.18710185E-14  
  3755.193   1.15322545E-14  
  3755.343   1.17272847E-14  
  3755.493   1.14804355E-14  
  3755.643   1.16324661E-14  
  3755.793   1.15975455E-14  
  3755.942   1.16919549E-14  
  3756.092   1.16493263E-14  
  3756.242   1.19597088E-14  
  3756.392   1.19749478E-14  
  3756.542   1.19175842E-14  
  3756.692   1.20860421E-14  
  3756.842   1.18985335E-14  
  3756.992   1.15257035E-14  
  3757.141   1.18722671E-14  
  3757.291   1.19244434E-14  
  3757.441   1.22573977E-14  
  3757.591   1.19847183E-14  
  3757.741   1.18357659E-14  
  3757.891   1.19295443E-14  
  3758.041   1.09403529E-14  
  3758.191   9.84530112E-15  
  3758.34    1.02390808E-14  
  3758.49    1.10161658E-14  
  3758.64    1.20857304E-14  
  3758.79    1.21434319E-14  
  3758.94    1.20818391E-14  
  3759.09    1.16714355E-14  
  3759.24    1.06265789E-14  
  3759.39    1.10065638E-14  
  3759.539   1.14908845E-14  
  3759.689   1.19919892E-14  
  3759.839   1.20732282E-14  
  3759.989   1.1928538E-14   
  3760.139   1.20125687E-14  
  3760.289   1.2181407E-14   
  3760.439   1.21446788E-14  
  3760.589   1.19828955E-14  
  3760.739   1.20960887E-14  
  3760.888   1.20031802E-14  
  3761.038   1.17882854E-14  
  3761.188   1.10691756E-14  
  3761.338   1.10241482E-14  
  3761.488   1.15002434E-14  
  3761.638   1.18844093E-14  
  3761.788   1.21151131E-14  
  3761.938   1.2227561E-14   
  3762.087   1.21404038E-14  
  3762.237   1.19476428E-14  
  3762.387   1.20808498E-14  
  3762.537   1.18583876E-14  
  3762.687   1.20986993E-14  
  3762.837   1.19786502E-14  
  3762.987   1.18943009E-14  
  3763.137   1.20509385E-14  
  3763.286   1.1925232E-14   
  3763.436   1.17381978E-14  
  3763.586   1.10620631E-14  
  3763.736   1.04224651E-14  
  3763.886   1.02199633E-14  
  3764.036   1.12703561E-14  
  3764.186   1.16211879E-14  
  3764.336   1.18069032E-14  
  3764.485   1.18668994E-14  
  3764.635   1.15031064E-14  
  3764.785   1.16576077E-14  
  3764.935   1.16377067E-14  
  3765.085   1.18093935E-14  
  3765.235   1.16537605E-14  
  3765.385   1.16752413E-14  
  3765.535   1.15632169E-14  
  3765.685   1.14127796E-14  
  3765.834   1.14440411E-14  
  3765.984   1.16744298E-14  
  3766.134   1.15590453E-14  
  3766.284   1.15296846E-14  
  3766.434   1.12767461E-14  
  3766.584   1.13954942E-14  
  3766.734   1.13749647E-14  
  3766.884   1.11530048E-14  
  3767.033   1.0396728E-14   
  3767.183   9.57862465E-15  
  3767.333   1.001722E-14    
  3767.483   1.07265178E-14  
  3767.633   1.10663872E-14  
  3767.783   1.09370038E-14  
  3767.933   1.07412138E-14  
  3768.083   1.07849368E-14  
  3768.232   1.09369741E-14  
  3768.382   1.07066125E-14  
  3768.532   1.03724953E-14  
  3768.682   1.02221579E-14  
  3768.832   1.01452024E-14  
  3768.982   9.79959691E-15  
  3769.132   1.00317373E-14  
  3769.282   9.69625212E-15  
  3769.431   9.36404918E-15  
  3769.581   9.2388467E-15   
  3769.731   8.99510365E-15  
  3769.881   8.48827471E-15  
  3770.031   7.99430881E-15  
  3770.181   7.57267021E-15  
  3770.331   6.87371514E-15  
  3770.481   5.9948003E-15   
  3770.63    5.84975988E-15  
  3770.78    6.27093177E-15  
  3770.93    6.84651268E-15  
  3771.08    7.60509718E-15  
  3771.23    8.13189746E-15  
  3771.38    8.54529951E-15  
  3771.53    9.005296E-15    
  3771.68    9.25248393E-15  
  3771.83    9.65133481E-15  
  3771.979   9.43638156E-15  
  3772.129   9.80746077E-15  
  3772.279   1.01014634E-14  
  3772.429   1.02034038E-14  
  3772.579   1.03299225E-14  
  3772.729   1.04910841E-14  
  3772.879   1.06704815E-14  
  3773.029   1.06670594E-14  
  3773.178   1.06601926E-14  
  3773.328   1.11034915E-14  
  3773.478   1.09382311E-14  
  3773.628   1.13601704E-14  
  3773.778   1.10894104E-14  
  3773.928   1.11572798E-14  
  3774.078   1.13358623E-14  
  3774.228   1.08590937E-14  
  3774.377   1.13794574E-14  
  3774.527   1.14183836E-14  
  3774.677   1.12124648E-14  
  3774.827   1.14878098E-14  
  3774.977   1.13870044E-14  
  3775.127   1.14059144E-14  
  3775.277   1.13903536E-14  
  3775.427   1.14654498E-14  
  3775.576   1.12022674E-14  
  3775.726   1.1248357E-14   
  3775.876   1.15367886E-14  
  3776.026   1.17072794E-14  
  3776.176   1.18959188E-14  
  3776.326   1.18653934E-14  
  3776.476   1.16459797E-14  
  3776.626   1.2009483E-14   
  3776.776   1.17440356E-14  
  3776.925   1.19415654E-14  
  3777.075   1.20496502E-14  
  3777.225   1.18756704E-14  
  3777.375   1.19997929E-14  
  3777.525   1.1881869E-14   
  3777.675   1.20421463E-14  
  3777.825   1.21879037E-14  
  3777.975   1.23414682E-14  
  3778.124   1.18818233E-14  
  3778.274   1.16802294E-14  
  3778.424   1.21059745E-14  
  3778.574   1.2198506E-14   
  3778.724   1.23057667E-14  
  3778.874   1.21454267E-14  
  3779.024   1.2028609E-14   
  3779.174   1.20452795E-14  
  3779.323   1.21805134E-14  
  3779.473   1.2034999E-14   
  3779.623   1.21513847E-14  
  3779.773   1.22759011E-14  
  3779.923   1.21960488E-14  
  3780.073   1.2450816E-14   
  3780.223   1.23150552E-14  
  3780.373   1.22835329E-14  
  3780.522   1.22049672E-14  
  3780.672   1.2129566E-14   
  3780.822   1.23437637E-14  
  3780.972   1.22533141E-14  
  3781.122   1.22486944E-14  
  3781.272   1.21488521E-14  
  3781.422   1.23793001E-14  
  3781.572   1.24741932E-14  
  3781.721   1.21663933E-14  
  3781.871   1.20987349E-14  
  3782.021   1.21926073E-14  
  3782.171   1.20902061E-14  
  3782.321   1.21488995E-14  
  3782.471   1.2371366E-14   
  3782.621   1.2089077E-14   
  3782.771   1.22727222E-14  
  3782.921   1.22804692E-14  
  3783.07    1.21772319E-14  
  3783.22    1.20729309E-14  
  3783.37    1.18848413E-14  
  3783.52    1.19334279E-14  
  3783.67    1.18480402E-14  
  3783.82    1.21715052E-14  
  3783.97    1.24498436E-14  
  3784.12    1.22937007E-14  
  3784.269   1.22894003E-14  
  3784.419   1.22401665E-14  
  3784.569   1.23651742E-14  
  3784.719   1.23649268E-14  
  3784.869   1.22467073E-14  
  3785.019   1.22824241E-14  
  3785.169   1.21674563E-14  
  3785.319   1.25195662E-14  
  3785.468   1.24618367E-14  
  3785.618   1.25390599E-14  
  3785.768   1.23461727E-14  
  3785.918   1.21569785E-14  
  3786.068   1.21016444E-14  
  3786.218   1.20491072E-14  
  3786.368   1.2314957E-14   
  3786.518   1.21885161E-14  
  3786.667   1.21283395E-14  
  3786.817   1.20254055E-14  
  3786.967   1.19623515E-14  
  3787.117   1.20592767E-14  
  3787.267   1.22134011E-14  
  3787.417   1.23876824E-14  
  3787.567   1.22658646E-14  
  3787.717   1.1467426E-14   
  3787.867   1.11386476E-14  
  3788.016   1.14701305E-14  
  3788.166   1.19925957E-14  
  3788.316   1.21303351E-14  
  3788.466   1.19114813E-14  
  3788.616   1.22232555E-14  
  3788.766   1.22118934E-14  
