# col1       col2            
  3700.003   2.2390605E-12   
  3700.153   2.19807094E-12  
  3700.303   2.17482477E-12  
  3700.453   2.24489221E-12  
  3700.603   2.18158781E-12  
  3700.753   2.21550361E-12  
  3700.903   2.19421009E-12  
  3701.053   2.1692253E-12   
  3701.203   2.16229855E-12  
  3701.353   2.10704978E-12  
  3701.503   2.0659197E-12   
  3701.653   2.10850456E-12  
  3701.803   2.0962225E-12   
  3701.953   2.02262339E-12  
  3702.103   2.00388122E-12  
  3702.253   1.98647435E-12  
  3702.403   1.94051069E-12  
  3702.553   1.91073177E-12  
  3702.704   1.92472969E-12  
  3702.853   1.84057197E-12  
  3703.004   1.74300212E-12  
  3703.153   1.70874729E-12  
  3703.304   1.7170229E-12   
  3703.454   1.66254684E-12  
  3703.604   1.67017582E-12  
  3703.754   1.6082192E-12   
  3703.904   1.63751109E-12  
  3704.054   1.61736249E-12  
  3704.204   1.62593702E-12  
  3704.354   1.64112777E-12  
  3704.504   1.65835954E-12  
  3704.654   1.61181745E-12  
  3704.804   1.64779605E-12  
  3704.954   1.61567287E-12  
  3705.104   1.59583067E-12  
  3705.254   1.65747385E-12  
  3705.404   1.57083331E-12  
  3705.554   1.68737951E-12  
  3705.704   1.73694837E-12  
  3705.854   1.65682637E-12  
  3706.004   1.6999813E-12   
  3706.154   1.7623368E-12   
  3706.304   1.80095142E-12  
  3706.454   1.87968152E-12  
  3706.604   1.89662413E-12  
  3706.754   1.85640956E-12  
  3706.904   1.96736356E-12  
  3707.054   2.01857129E-12  
  3707.204   2.04774739E-12  
  3707.354   2.15902209E-12  
  3707.504   2.21726608E-12  
  3707.654   2.26678355E-12  
  3707.804   2.22907478E-12  
  3707.954   2.19776823E-12  
  3708.105   2.1879961E-12   
  3708.254   2.17001785E-12  
  3708.405   2.18114177E-12  
  3708.555   2.20475266E-12  
  3708.705   2.20794932E-12  
  3708.855   2.12112467E-12  
  3709.005   2.12712161E-12  
  3709.155   2.05773224E-12  
  3709.305   2.08317174E-12  
  3709.455   2.03138287E-12  
  3709.605   2.02555811E-12  
  3709.755   1.91009448E-12  
