# col1       col2            
  3700.137   1.90029719E-12  
  3700.287   1.8851691E-12   
  3700.437   1.89530336E-12  
  3700.587   1.89947949E-12  
  3700.738   1.86606937E-12  
  3700.887   1.8762227E-12   
  3701.038   1.88296492E-12  
  3701.187   1.83951357E-12  
  3701.338   1.807863E-12    
  3701.487   1.81611258E-12  
  3701.638   1.73290353E-12  
  3701.788   1.76388385E-12  
  3701.938   1.73907134E-12  
  3702.088   1.73517938E-12  
  3702.238   1.6393473E-12   
  3702.388   1.63581009E-12  
  3702.538   1.59885332E-12  
  3702.688   1.54614678E-12  
  3702.838   1.57019872E-12  
  3702.988   1.4685976E-12   
  3703.138   1.4622651E-12   
  3703.288   1.42543464E-12  
  3703.438   1.3672467E-12   
  3703.588   1.33091704E-12  
  3703.738   1.34938707E-12  
  3703.888   1.42121341E-12  
  3704.038   1.37777843E-12  
  3704.188   1.32623329E-12  
  3704.338   1.35325876E-12  
  3704.488   1.36384155E-12  
  3704.638   1.33091086E-12  
  3704.788   1.32614948E-12  
  3704.938   1.32513087E-12  
  3705.088   1.31631219E-12  
  3705.238   1.35152566E-12  
  3705.388   1.35204348E-12  
  3705.538   1.43688056E-12  
  3705.688   1.42132953E-12  
  3705.838   1.41876647E-12  
  3705.988   1.45513918E-12  
  3706.138   1.50529708E-12  
  3706.288   1.46158411E-12  
  3706.438   1.53267351E-12  
  3706.588   1.54637045E-12  
  3706.738   1.55119873E-12  
  3706.888   1.60626362E-12  
  3707.038   1.64125094E-12  
  3707.188   1.69660802E-12  
  3707.338   1.75709501E-12  
  3707.488   1.83073717E-12  
  3707.638   1.83239556E-12  
  3707.788   1.81390417E-12  
  3707.938   1.82002091E-12  
  3708.088   1.74217422E-12  
  3708.238   1.83690736E-12  
  3708.388   1.78011533E-12  
  3708.538   1.75215474E-12  
  3708.688   1.73419124E-12  
  3708.838   1.75745703E-12  
  3708.988   1.74516217E-12  
  3709.138   1.70979127E-12  
  3709.288   1.72708592E-12  
  3709.438   1.73699846E-12  
  3709.588   1.71317105E-12  
  3709.738   1.66391814E-12  
  3709.888   1.58767877E-12  
  3710.038   1.57960895E-12  
  3710.189   1.53076878E-12  
  3710.338   1.50062894E-12  
  3710.489   1.54886119E-12  
  3710.638   1.46484387E-12  
  3710.789   1.4373536E-12   
  3710.938   1.45458905E-12  
  3711.089   1.38705703E-12  
  3711.239   1.36480486E-12  
  3711.389   1.29480855E-12  
  3711.539   1.3149604E-12   
  3711.689   1.36141706E-12  
  3711.839   1.25652874E-12  
  3711.989   1.2698229E-12   
  3712.139   1.27466917E-12  
  3712.289   1.2740927E-12   
  3712.439   1.26592226E-12  
  3712.589   1.32555533E-12  
  3712.739   1.34898765E-12  
  3712.889   1.43408636E-12  
  3713.039   1.48458979E-12  
  3713.189   1.55507378E-12  
  3713.339   1.59003615E-12  
