# col1       col2            
  3700.082   5.33487425E-13  
  3700.232   5.15644927E-13  
  3700.382   5.41407197E-13  
  3700.532   5.4157476E-13   
  3700.682   5.26197196E-13  
  3700.832   5.23894404E-13  
  3700.982   4.80747332E-13  
  3701.132   4.69305096E-13  
  3701.282   5.01834251E-13  
  3701.432   5.27419688E-13  
  3701.581   5.2983529E-13   
  3701.731   5.25234424E-13  
  3701.881   5.15302211E-13  
  3702.031   5.15780561E-13  
  3702.181   5.07936575E-13  
  3702.331   5.10671854E-13  
  3702.481   4.89390646E-13  
  3702.631   4.96024608E-13  
  3702.781   4.99116319E-13  
  3702.931   4.82303054E-13  
  3703.08    4.7007076E-13   
  3703.231   4.67295148E-13  
  3703.38    4.40383407E-13  
  3703.53    4.18644177E-13  
  3703.68    3.91900325E-13  
  3703.83    3.90552987E-13  
  3703.98    3.91330658E-13  
  3704.13    4.11787629E-13  
  3704.28    4.36615262E-13  
  3704.43    4.23088458E-13  
  3704.58    4.46292959E-13  
  3704.73    4.7794841E-13   
  3704.879   4.87360044E-13  
  3705.029   5.00027211E-13  
  3705.179   4.98901484E-13  
  3705.329   4.71961771E-13  
  3705.479   4.03955596E-13  
  3705.629   3.86209538E-13  
  3705.779   4.1496529E-13   
  3705.929   3.86199238E-13  
  3706.079   3.48948111E-13  
  3706.229   4.08332819E-13  
  3706.378   4.95375225E-13  
  3706.529   5.23663903E-13  
  3706.678   5.37804014E-13  
  3706.828   5.25310427E-13  
  3706.978   5.09340779E-13  
  3707.128   5.0531969E-13   
  3707.278   5.23718981E-13  
  3707.428   5.34439138E-13  
  3707.578   5.14964536E-13  
  3707.728   4.42161932E-13  
  3707.878   3.97245388E-13  
  3708.028   4.3936076E-13   
  3708.177   5.26809553E-13  
  3708.327   5.4806165E-13   
  3708.477   5.40576319E-13  
  3708.627   5.34491993E-13  
  3708.777   5.30800935E-13  
  3708.927   5.32955245E-13  
  3709.077   4.58677692E-13  
  3709.227   4.21130009E-13  
  3709.377   4.38079287E-13  
  3709.527   4.87585178E-13  
  3709.677   5.1390939E-13   
  3709.827   5.2586955E-13   
  3709.977   5.1562861E-13   
  3710.126   4.94518814E-13  
  3710.276   4.52570951E-13  
  3710.426   4.68773566E-13  
  3710.576   4.9371374E-13   
  3710.726   4.89061482E-13  
  3710.876   4.82336285E-13  
  3711.026   4.63016723E-13  
  3711.176   4.50409675E-13  
  3711.326   4.31836993E-13  
  3711.476   4.19739737E-13  
  3711.625   4.05504758E-13  
  3711.776   3.74424368E-13  
  3711.925   3.67231229E-13  
  3712.075   3.76611963E-13  
  3712.225   3.91412136E-13  
  3712.375   4.14460892E-13  
  3712.525   4.39223744E-13  
  3712.675   4.58518857E-13  
  3712.825   4.4213789E-13   
  3712.975   4.47433215E-13  
  3713.125   4.77783611E-13  
  3713.275   4.92861177E-13  
  3713.424   5.04489625E-13  
  3713.574   5.0600702E-13   
  3713.724   5.19913377E-13  
  3713.874   5.28661587E-13  
  3714.024   5.25751155E-13  
  3714.174   5.34753773E-13  
  3714.324   5.3726652E-13   
  3714.474   5.35457908E-13  
  3714.624   5.46737135E-13  
  3714.774   5.46278246E-13  
  3714.923   5.40512513E-13  
  3715.073   5.40907488E-13  
  3715.223   5.28017029E-13  
  3715.373   5.30936406E-13  
  3715.523   5.31140832E-13  
  3715.673   5.49223969E-13  
  3715.823   5.4023409E-13   
  3715.973   5.31817266E-13  
  3716.123   5.36311609E-13  
  3716.273   5.31935986E-13  
  3716.423   5.08703539E-13  
  3716.573   5.15810864E-13  
  3716.722   5.54026334E-13  
  3716.872   5.69630335E-13  
  3717.022   5.63252353E-13  
  3717.172   5.63942447E-13  
  3717.322   5.54624489E-13  
  3717.472   5.56256647E-13  
  3717.622   5.44701491E-13  
  3717.772   5.63141059E-13  
  3717.922   5.49624528E-13  
  3718.072   5.44032918E-13  
  3718.221   5.35958539E-13  
  3718.371   5.49465584E-13  
  3718.521   5.44873879E-13  
  3718.671   5.35872995E-13  
  3718.821   5.40882335E-13  
  3718.971   5.43319404E-13  
  3719.121   5.3393352E-13   
