# col1       col2            
  3700.122   5.50908819E-13  
  3700.272   5.62481702E-13  
  3700.422   5.13861252E-13  
  3700.572   5.12421865E-13  
  3700.722   5.21785956E-13  
  3700.872   4.98629133E-13  
  3701.021   4.49963634E-13  
  3701.172   4.25184248E-13  
  3701.321   4.75869181E-13  
  3701.471   5.05049886E-13  
  3701.621   5.28461931E-13  
  3701.771   4.9860013E-13   
  3701.921   4.95522623E-13  
  3702.071   4.35207507E-13  
  3702.221   4.82231605E-13  
  3702.371   4.42202888E-13  
  3702.521   4.85041369E-13  
  3702.671   4.12287229E-13  
  3702.821   4.92268878E-13  
  3702.971   4.85913501E-13  
  3703.121   5.24809363E-13  
  3703.271   4.71753062E-13  
  3703.421   4.14917395E-13  
  3703.571   3.30544186E-13  
  3703.72    2.84434748E-13  
  3703.871   2.8042114E-13   
  3704.02    3.24221878E-13  
  3704.17    3.51654605E-13  
  3704.32    3.86570225E-13  
  3704.47    3.99451387E-13  
  3704.62    3.88579739E-13  
  3704.77    4.56840674E-13  
  3704.92    5.04964668E-13  
  3705.07    5.02208247E-13  
  3705.22    4.34931767E-13  
  3705.37    3.82973303E-13  
  3705.52    2.80935079E-13  
  3705.67    2.15736595E-13  
  3705.82    2.83571913E-13  
  3705.97    2.89516105E-13  
  3706.12    2.55715235E-13  
  3706.27    3.45406754E-13  
  3706.419   4.09452718E-13  
  3706.57    4.78523471E-13  
  3706.719   5.18210095E-13  
  3706.869   5.02709311E-13  
  3707.019   4.27213142E-13  
  3707.169   4.79734091E-13  
  3707.319   4.56300525E-13  
  3707.469   3.86551793E-13  
  3707.619   3.80227398E-13  
  3707.769   3.01351473E-13  
  3707.919   2.47912015E-13  
  3708.069   3.41531816E-13  
  3708.219   5.14058251E-13  
  3708.369   4.67468241E-13  
  3708.519   5.03731117E-13  
  3708.669   4.93643212E-13  
  3708.819   4.43069274E-13  
  3708.969   4.31430987E-13  
  3709.118   3.2531638E-13   
  3709.268   2.36836646E-13  
  3709.418   2.78957738E-13  
  3709.568   3.82868867E-13  
  3709.718   4.49819083E-13  
  3709.868   4.57083102E-13  
  3710.018   4.80959782E-13  
  3710.168   4.23070297E-13  
  3710.318   3.44068171E-13  
  3710.468   4.36624641E-13  
  3710.618   4.52385227E-13  
  3710.768   5.08824807E-13  
  3710.918   4.93964841E-13  
  3711.068   4.47602079E-13  
  3711.218   3.83222263E-13  
  3711.367   3.75310107E-13  
  3711.517   4.19216419E-13  
  3711.667   4.36803588E-13  
  3711.817   3.92062034E-13  
  3711.967   3.56008381E-13  
  3712.117   3.55809213E-13  
  3712.267   3.97813266E-13  
  3712.417   5.08828331E-13  
  3712.567   4.86727954E-13  
  3712.717   4.12240879E-13  
  3712.867   4.04202062E-13  
  3713.017   4.49724595E-13  
  3713.167   5.1710101E-13   
  3713.317   4.88475037E-13  
  3713.467   5.28166974E-13  
  3713.617   5.50419356E-13  
  3713.766   5.58588766E-13  
  3713.917   5.18973428E-13  
  3714.066   5.90380934E-13  
  3714.216   5.60995478E-13  
  3714.366   5.54701304E-13  
  3714.516   5.78811359E-13  
  3714.666   5.20191366E-13  
  3714.816   5.48897679E-13  
  3714.966   4.84275597E-13  
  3715.116   4.733444E-13    
  3715.266   4.71895472E-13  
  3715.416   4.38361966E-13  
  3715.566   4.58940611E-13  
  3715.716   4.53460566E-13  
  3715.866   4.54852302E-13  
  3716.016   4.95536988E-13  
  3716.166   5.33273187E-13  
  3716.316   4.1818266E-13   
  3716.465   3.88892721E-13  
  3716.616   5.14552268E-13  
  3716.765   5.63491961E-13  
  3716.915   5.82584653E-13  
  3717.065   5.22777243E-13  
  3717.215   5.1765108E-13   
  3717.365   5.19651162E-13  
  3717.515   5.17476849E-13  
  3717.665   5.43494774E-13  
  3717.815   5.43296853E-13  
  3717.965   5.36835821E-13  
  3718.115   5.37839684E-13  
  3718.265   4.97985225E-13  
  3718.415   4.41761401E-13  
  3718.565   4.63139997E-13  
  3718.715   5.02692072E-13  
  3718.865   5.19869846E-13  
  3719.015   5.33286035E-13  
  3719.164   5.12387875E-13  
  3719.315   4.86920508E-13  
  3719.464   4.7061362E-13   
  3719.614   3.57659323E-13  
  3719.764   2.61563096E-13  
  3719.914   1.76649656E-13  
  3720.064   1.83541374E-13  
  3720.214   3.0209342E-13   
  3720.364   3.97900246E-13  
  3720.514   4.72104127E-13  
  3720.664   5.15557649E-13  
  3720.814   4.5500615E-13   
  3720.964   4.63003442E-13  
  3721.114   4.09407344E-13  
  3721.264   3.68760876E-13  
  3721.414   2.74958875E-13  
  3721.564   2.98903534E-13  
  3721.714   2.39456838E-13  
  3721.863   2.6042669E-13   
  3722.014   2.96488067E-13  
  3722.163   3.61385862E-13  
  3722.313   2.90504735E-13  
  3722.463   2.47754589E-13  
  3722.613   2.65156007E-13  
  3722.763   3.4792541E-13   
  3722.913   4.74072387E-13  
  3723.063   5.56439335E-13  
  3723.213   5.54416539E-13  
  3723.363   5.50190969E-13  
  3723.513   5.04246818E-13  
  3723.663   4.74761506E-13  
  3723.813   4.85123823E-13  
  3723.963   4.71932118E-13  
  3724.113   4.36760952E-13  
  3724.263   3.54658848E-13  
  3724.413   3.68012315E-13  
  3724.562   4.39688487E-13  
  3724.713   4.64283722E-13  
  3724.862   4.9371992E-13   
  3725.012   4.46890327E-13  
  3725.162   5.48065011E-13  
  3725.312   5.73355382E-13  
  3725.462   5.46891742E-13  
  3725.612   5.33263158E-13  
  3725.762   5.68474955E-13  
  3725.912   5.37072611E-13  
  3726.062   5.82920973E-13  
  3726.212   5.35923953E-13  
  3726.362   5.53103353E-13  
  3726.512   5.70897171E-13  
  3726.662   5.53402647E-13  
  3726.812   4.50502076E-13  
  3726.961   4.14908613E-13  
  3727.112   3.69440562E-13  
  3727.261   3.61610942E-13  
  3727.411   3.31741172E-13  
  3727.561   2.20339426E-13  
  3727.711   2.83403861E-13  
  3727.861   3.04809156E-13  
  3728.011   4.09606214E-13  
  3728.161   5.32129733E-13  
  3728.311   5.10238932E-13  
  3728.461   5.16877611E-13  
  3728.611   4.60929905E-13  
  3728.761   5.35716003E-13  
  3728.911   5.26516114E-13  
  3729.061   5.72174036E-13  
  3729.211   5.76899802E-13  
  3729.361   5.51439049E-13  
  3729.51    4.99908979E-13  
  3729.66    4.76518402E-13  
  3729.81    3.93859343E-13  
  3729.96    4.23818587E-13  
  3730.11    5.01294861E-13  
  3730.26    4.55253728E-13  
  3730.41    4.29689921E-13  
  3730.56    3.89355323E-13  
  3730.71    3.74403552E-13  
  3730.86    3.66454751E-13  
  3731.01    4.15327657E-13  
  3731.16    4.28737449E-13  
  3731.31    4.15935163E-13  
  3731.46    4.62780096E-13  
  3731.61    5.12903142E-13  
  3731.76    5.37125086E-13  
  3731.909   5.34877101E-13  
  3732.06    4.95595481E-13  
  3732.209   4.50338389E-13  
  3732.359   3.90177311E-13  
  3732.509   3.6416768E-13   
  3732.659   3.61544426E-13  
  3732.809   4.35184278E-13  
  3732.959   4.37062062E-13  
  3733.109   3.57782787E-13  
  3733.259   2.37169957E-13  
  3733.409   2.58307319E-13  
  3733.559   3.87674186E-13  
  3733.709   3.98886843E-13  
  3733.859   4.44743228E-13  
  3734.009   4.35622296E-13  
  3734.159   3.47232199E-13  
  3734.309   3.28248171E-13  
  3734.459   2.64943286E-13  
  3734.608   2.5942795E-13   
  3734.759   1.66716494E-13  
  3734.908   1.55143829E-13  
  3735.058   2.26013666E-13  
  3735.208   3.05289079E-13  
  3735.358   3.25707451E-13  
  3735.508   4.239707E-13    
  3735.658   4.89229642E-13  
  3735.808   4.73919244E-13  
  3735.958   5.02098309E-13  
  3736.108   5.03915703E-13  
  3736.258   5.19860088E-13  
  3736.408   4.65421863E-13  
  3736.558   4.65523399E-13  
  3736.708   3.16021813E-13  
  3736.858   1.80516382E-13  
  3737.008   1.04022747E-13  
  3737.158   1.4988557E-13   
  3737.307   2.34148394E-13  
  3737.458   3.84924514E-13  
  3737.607   4.73781062E-13  
  3737.757   5.26324535E-13  
  3737.907   5.08646998E-13  
  3738.057   4.74296221E-13  
  3738.207   3.65190978E-13  
  3738.357   4.11449331E-13  
  3738.507   4.75306806E-13  
  3738.657   5.1169816E-13   
  3738.807   5.12483827E-13  
  3738.957   4.98262998E-13  
  3739.107   4.22192581E-13  
  3739.257   3.68935351E-13  
  3739.407   3.69828652E-13  
  3739.557   4.7081913E-13   
  3739.707   5.10676462E-13  
  3739.857   5.16551266E-13  
  3740.006   5.41104488E-13  
  3740.157   4.25697644E-13  
  3740.306   4.66154513E-13  
  3740.456   5.24249155E-13  
  3740.606   5.63593876E-13  
  3740.756   5.55497217E-13  
  3740.906   5.04196294E-13  
  3741.056   4.273066E-13    
  3741.206   3.80371299E-13  
  3741.356   4.94894869E-13  
  3741.506   4.20108447E-13  
  3741.656   3.79145798E-13  
  3741.806   4.34066547E-13  
  3741.956   5.12572027E-13  
  3742.106   5.66032139E-13  
  3742.256   5.64373906E-13  
  3742.406   5.22442116E-13  
  3742.556   5.04263786E-13  
  3742.705   5.25776308E-13  
