#lambda	flux
100	30.9544
100.5	30.7464
101	30.5407
101.5	30.3375
102	30.1365
102.5	29.9379
103	29.7416
103.5	29.5475
104	29.3555
104.5	29.1658
105	28.9781
105.5	28.7926
106	28.6091
106.5	28.4276
107	28.2481
107.5	28.0706
108	27.895
108.5	27.7213
109	27.5495
109.5	27.3795
110	27.2114
110.5	27.045
111	26.8804
111.5	26.7175
112	26.5564
112.5	26.3969
113	26.2391
113.5	26.0829
114	25.9283
114.5	25.7753
115	25.6239
115.5	25.474
116	25.3257
116.5	25.1788
117	25.0334
117.5	24.8895
118	24.747
118.5	24.6059
119	24.4662
119.5	24.3279
120	24.1909
120.5	24.0553
121	23.9209
121.5	23.7879
122	23.6562
122.5	23.5257
123	23.3965
123.5	23.2685
124	23.1417
124.5	23.0161
125	22.8917
125.5	22.7685
126	22.6464
126.5	22.5254
127	22.4056
127.5	22.2869
128	22.1692
128.5	22.0527
129	21.9372
129.5	21.8227
130	21.7093
130.5	21.5969
131	21.4855
131.5	21.3751
132	21.2657
132.5	21.1573
133	21.0498
133.5	20.9432
134	20.8376
134.5	20.733
135	20.6292
135.5	20.5263
136	20.4243
136.5	20.3232
137	20.223
137.5	20.1236
138	20.0251
138.5	19.9274
139	19.8305
139.5	19.7345
140	19.6392
140.5	19.5448
141	19.4511
141.5	19.3582
142	19.2661
142.5	19.1748
143	19.0842
143.5	18.9943
144	18.9052
144.5	18.8168
145	18.7291
145.5	18.6421
146	18.5558
146.5	18.4703
147	18.3854
147.5	18.3011
148	18.2176
148.5	18.1347
149	18.0524
149.5	17.9708
150	17.8899
150.5	17.8096
151	17.7299
151.5	17.6508
152	17.5723
152.5	17.4945
153	17.4172
153.5	17.3405
154	17.2644
154.5	17.1889
155	17.114
155.5	17.0396
156	16.9658
156.5	16.8926
157	16.8199
157.5	16.7477
158	16.6761
158.5	16.605
159	16.5344
159.5	16.4644
160	16.3948
160.5	16.3258
161	16.2573
161.5	16.1892
162	16.1217
162.5	16.0547
163	15.9881
163.5	15.922
164	15.8564
164.5	15.7913
165	15.7266
165.5	15.6624
166	15.5987
166.5	15.5353
167	15.4725
167.5	15.4101
168	15.3481
168.5	15.2865
169	15.2254
169.5	15.1647
170	15.1044
170.5	15.0445
171	14.9851
171.5	14.926
172	14.8674
172.5	14.8092
173	14.7513
173.5	14.6939
174	14.6368
174.5	14.5801
175	14.5238
175.5	14.4679
176	14.4123
176.5	14.3572
177	14.3023
177.5	14.2479
178	14.1938
178.5	14.1401
179	14.0867
179.5	14.0336
180	13.981
180.5	13.9286
181	13.8766
181.5	13.8249
182	13.7736
182.5	13.7226
183	13.6719
183.5	13.6216
184	13.5715
184.5	13.5218
185	13.4724
185.5	13.4234
186	13.3746
186.5	13.3261
187	13.278
187.5	13.2301
188	13.1826
188.5	13.1353
189	13.0883
189.5	13.0417
190	12.9953
190.5	12.9492
191	12.9033
191.5	12.8578
192	12.8126
192.5	12.7676
193	12.7229
193.5	12.6784
194	12.6343
194.5	12.5904
195	12.5467
195.5	12.5034
196	12.4602
196.5	12.4174
197	12.3748
197.5	12.3325
198	12.2904
198.5	12.2485
199	12.2069
199.5	12.1656
200	12.1245
200.5	12.0836
201	12.043
201.5	12.0026
202	11.9624
202.5	11.9225
203	11.8828
203.5	11.8433
204	11.8041
204.5	11.7651
205	11.7263
205.5	11.6877
206	11.6494
206.5	11.6113
207	11.5734
207.5	11.5357
208	11.4982
208.5	11.4609
209	11.4239
209.5	11.387
210	11.3504
210.5	11.3139
211	11.2777
211.5	11.2416
212	11.2058
212.5	11.1702
213	11.1347
213.5	11.0995
214	11.0644
214.5	11.0296
215	10.9949
215.5	10.9604
216	10.9261
216.5	10.892
217	10.8581
217.5	10.8243
218	10.7908
218.5	10.7574
219	10.7242
219.5	10.6912
220	10.6584
220.5	10.6257
221	10.5932
221.5	10.5609
222	10.5287
222.5	10.4967
223	10.4649
223.5	10.4333
224	10.4018
224.5	10.3705
225	10.3393
225.5	10.3083
226	10.2775
226.5	10.2469
227	10.2163
227.5	10.186
228	10.1558
228.5	10.1258
229	10.0959
229.5	10.0661
230	10.0366
230.5	10.0071
231	9.97786
231.5	9.94873
232	9.91975
232.5	9.89091
233	9.86222
233.5	9.83368
234	9.80527
234.5	9.77701
235	9.7489
235.5	9.72092
236	9.69308
236.5	9.66538
237	9.63781
237.5	9.61039
238	9.5831
238.5	9.55594
239	9.52892
239.5	9.50203
240	9.47527
240.5	9.44864
241	9.42214
241.5	9.39577
242	9.36953
242.5	9.34342
243	9.31743
243.5	9.29157
244	9.26583
244.5	9.24022
245	9.21473
245.5	9.18936
246	9.16411
246.5	9.13899
247	9.11398
247.5	9.08909
248	9.06432
248.5	9.03967
249	9.01513
249.5	8.99071
250	8.9664
250.5	8.94221
251	8.91813
251.5	8.89416
252	8.87031
252.5	8.84657
253	8.82293
253.5	8.79941
254	8.77599
254.5	8.75269
255	8.72949
255.5	8.7064
256	8.68341
256.5	8.66053
257	8.63775
257.5	8.61508
258	8.59251
258.5	8.57005
259	8.54768
259.5	8.52542
260	8.50326
260.5	8.48119
261	8.45923
261.5	8.43737
262	8.4156
262.5	8.39393
263	8.37236
263.5	8.35089
264	8.32951
264.5	8.30822
265	8.28703
265.5	8.26593
266	8.24493
266.5	8.22402
267	8.2032
267.5	8.18248
268	8.16184
268.5	8.14129
269	8.12084
269.5	8.10047
270	8.08019
270.5	8.06
271	8.0399
271.5	8.01989
272	7.99996
272.5	7.98011
273	7.96036
273.5	7.94069
274	7.9211
274.5	7.90159
275	7.88217
275.5	7.86284
276	7.84358
276.5	7.82441
277	7.80531
277.5	7.7863
278	7.76737
278.5	7.74852
279	7.72975
279.5	7.71106
280	7.69244
280.5	7.67391
281	7.65545
281.5	7.63707
282	7.61876
282.5	7.60054
283	7.58238
283.5	7.56431
284	7.5463
284.5	7.52837
285	7.51052
285.5	7.49274
286	7.47503
286.5	7.4574
287	7.43983
287.5	7.42234
288	7.40492
288.5	7.38758
289	7.3703
289.5	7.35309
290	7.33595
290.5	7.31888
