# lambda	flux
 2000.04 0.190467936072
 2000.64 0.0941715864088
 2001.24 0.0171495588454
 2001.84 0.184288090067
 2002.44 0.109426139353
 2003.04 0.140002214097
 2003.64 0.0220444058783
 2004.24 0.0384652974898
 2004.84 0.0227926897315
 2005.44 0.170099790548
 2006.04 0.111658010084
 2006.64 0.020870529718
 2007.24 0.0126095407543
 2007.84 0.00944581988332
 2008.44 0.0685272033459
 2009.04 0.108562404519
 2009.64 0.171348776646
 2010.24 0.14532506779
 2010.84 0.0771972705885
 2011.44 0.0141139091031
 2012.04 0.0674974449296
 2012.64 0.0432442003659
 2013.24 0.0625992818416
 2013.84 0.017343960278
 2014.44 0.049572624779
 2015.04 0.107402616992
 2015.64 0.126042703981
 2016.24 0.0216303019908
 2016.84 0.0815814708921
 2017.44 0.10527106705
 2018.04 0.103650277931
 2018.64 0.0514910491699
 2019.24 0.0967969746183
 2019.84 0.0576190417883
 2020.44 0.053837505984
 2021.04 0.0993339297834
 2021.64 0.0224406468649
 2022.24 0.0248168101597
 2022.84 0.0497272206684
 2023.44 0.0265081234176
 2024.04 0.0817130163338
 2024.64 0.110947748612
 2025.24 0.0546144087548
 2025.84 0.0797312666989
 2026.44 0.00913780583776
 2027.04 0.0321979164625
 2027.64 0.0275733702487
 2028.24 0.0296243724381
 2028.84 0.0394347927686
 2029.44 0.0658960810477
 2030.04 0.099643747233
 2030.64 0.0671028233262
 2031.24 0.0749054532358
 2031.84 0.0809398859897
 2032.44 0.173956852177
 2033.04 0.018387682194
 2033.64 0.114506225422
 2034.24 0.0231426844463
 2034.84 0.163003771137
 2035.44 0.0706909348484
 2036.04 0.061912206993
 2036.64 0.114790596472
 2037.24 0.0443280351399
 2037.84 0.0536124448429
 2038.44 0.0598358559359
 2039.04 0.0632568986376
 2039.64 0.0570504248208
 2040.24 0.147606837606
 2040.84 0.0940945037684
 2041.44 0.0163034403243
 2042.04 0.0989777906135
 2042.64 0.116346801646
 2043.24 0.0404248063686
 2043.84 0.0961941371395
 2044.44 0.0574587449339
 2045.04 0.0893286442879
 2045.64 0.110041571216
 2046.24 0.189511086703
 2046.84 0.188222823202
 2047.44 0.171191873135
 2048.04 0.0384809318985
 2048.65 0.126912312759
 2049.24 0.0619699600866
 2049.84 0.112668858521
 2050.44 0.186377889366
 2051.04 0.194421557104
 2051.65 0.0250236716419
 2052.24 0.171295175062
 2052.84 0.0821369634948
 2053.44 0.167229684094
 2054.04 0.142968703295
 2054.65 0.0927955965034
 2055.24 0.125802917494
 2055.84 0.0622796155978
 2056.44 0.0463458675768
 2057.04 0.141916339761
 2057.65 0.145712807015
 2058.24 0.108684027558
 2058.84 0.0556509428177
 2059.44 0.0387274204237
 2060.04 0.179189859545
 2060.65 0.0617861600933
 2061.24 0.115106324671
 2061.84 0.0866088681203
 2062.44 0.0274802428332
 2063.04 0.117136987039
