# lambda	flux
 2000.04 1.03385791154
 2000.64 0.540077871887
 2001.24 0.168628122175
 2001.84 1.02938711274
 2002.44 0.886400165103
 2003.04 0.946283535055
 2003.64 0.180204181045
 2004.24 0.308572987895
 2004.84 0.12321296348
 2005.44 0.959112475078
 2006.04 0.736755170421
 2006.64 0.149352125312
 2007.24 0.129206079137
 2007.84 0.0566507240352
 2008.44 0.470749108146
 2009.04 0.84344165865
 2009.64 1.05633559604
 2010.24 0.98236381147
 2010.84 0.658385939109
 2011.44 0.148328350488
 2012.04 0.475664869322
 2012.64 0.268138787808
 2013.24 0.521802652042
 2013.84 0.171230028305
 2014.44 0.4615892295
 2015.04 0.632253965082
 2015.64 0.804627702322
 2016.24 0.136945149854
 2016.84 0.505359141653
 2017.44 0.508428072831
 2018.04 0.800189046556
 2018.64 0.487808693457
 2019.24 0.629396848291
 2019.84 0.370567305994
 2020.44 0.415861539976
 2021.04 0.841757287308
 2021.64 0.262682221579
 2022.24 0.406337436949
 2022.84 0.313526280982
 2023.44 0.222890486039
 2024.04 0.469873352969
 2024.64 0.755096546601
 2025.24 0.383405058409
 2025.84 0.620249712744
 2026.44 0.165808996935
 2027.04 0.450880398708
 2027.64 0.187068653608
 2028.24 0.18177855599
 2028.84 0.352540671667
 2029.44 0.542011209138
 2030.04 0.577683643005
 2030.64 0.550485623204
 2031.24 0.387871292522
 2031.84 0.434815250565
 2032.44 0.920836328224
 2033.04 0.104536827372
 2033.64 0.755095976014
 2034.24 0.17726610437
 2034.84 0.955898361335
 2035.44 0.582133393508
 2036.04 0.335207648626
 2036.64 0.658069390399
 2037.24 0.314760618074
 2037.84 0.418029356578
 2038.44 0.45442377256
 2039.04 0.628442320478
 2039.64 0.63002740977
 2040.24 0.821689696776
 2040.84 0.737037293745
 2041.44 0.144035004083
 2042.04 0.610937424105
 2042.64 0.687888367579
 2043.24 0.421441844227
 2043.84 0.575487772566
 2044.44 0.333152174166
 2045.04 0.529391420766
 2045.64 0.772698125687
 2046.24 1.02900577076
 2046.84 1.0160178273
 2047.44 0.932087025993
 2048.04 0.337235417942
 2048.65 0.954387955476
 2049.24 0.414572236385
 2049.84 0.854035294368
 2050.44 1.03837245531
 2051.04 1.04476391167
 2051.65 0.140531365241
 2052.24 1.0565782855
 2052.84 0.700885757416
 2053.44 1.02936188013
 2054.04 0.829559796343
 2054.65 0.649126588217
 2055.24 0.779268556007
 2055.84 0.437055785247
 2056.44 0.495380059292
 2057.04 0.84304104353
 2057.65 0.910240853949
 2058.24 0.684220891164
 2058.84 0.561534143158
 2059.44 0.252164188572
 2060.04 0.957567263443
 2060.65 0.523250863973
 2061.24 0.700779818523
 2061.84 0.743089694925
 2062.44 0.253655971121
 2063.04 0.691111293714
 2063.65 0.920777874807
 2064.24 0.356561436222
 2064.84 0.932714671141
 2065.44 0.758959353794
 2066.04 0.200735087813
 2066.65 0.127643321967
 2067.24 0.609411739208
 2067.84 0.44284939375
 2068.44 0.75945265752
 2069.04 0.340891292432
 2069.65 0.990698114852
 2070.24 0.636266012343
 2070.84 0.458952549293
 2071.44 1.07511809898
 2072.04 1.11958365117
 2072.65 0.429205402614
 2073.24 0.911029087497
 2073.84 0.678427789849
 2074.44 1.04683076616
 2075.04 0.745752368517
 2075.65 0.73936135595
 2076.24 0.797680114326
 2076.84 0.592937258651
 2077.44 0.920100715431
 2078.04 0.589536246131
 2078.65 0.366524383664
 2079.24 0.326774316788
 2079.84 1.07164157885
 2080.44 1.13699313281
 2081.04 0.544959683167
 2081.65 0.29191458829
 2082.24 1.11372689776
 2082.84 0.978551849875
 2083.44 0.627703918152
 2084.04 0.974049668812
 2084.65 0.952966244119
 2085.24 0.152133465045
 2085.84 0.327848572667
 2086.44 0.67043228805
 2087.04 1.05605740342
 2087.65 0.857920354434
 2088.24 0.251427640651
 2088.84 1.26279135238
 2089.44 0.682706871591
 2090.04 1.04122595839
 2090.65 0.401846826113
 2091.24 1.02128364329
 2091.84 0.997478774598
 2092.44 0.22453052598
 2093.04 1.02821322611
 2093.65 1.15384470764
 2094.24 0.426956182338
 2094.84 0.507118893811
 2095.44 0.769235109434
 2096.04 0.919025984063
 2096.65 0.695670343231
 2097.24 0.378037139132
 2097.84 0.454081610857
 2098.44 0.767136111903
 2099.04 1.03873103723
 2099.65 0.338673771406
 2100.24 0.493337613224
 2100.84 0.324658550354
 2101.44 0.134159388074
 2102.04 0.820544593074
 2102.65 1.10958545417
 2103.24 0.255819761919
 2103.84 0.0645056119238
 2104.44 0.45371085643
 2105.04 1.05012343064
 2105.65 1.04678372447
 2106.24 1.17714023279
 2106.84 0.634579485452
 2107.44 0.605963177813
 2108.04 1.02524116784
 2108.65 0.0784952992294
 2109.24 1.11261108417
 2109.84 0.658739005354
 2110.44 0.475934408044
 2111.04 0.2971458521
 2111.65 0.268306508539
 2112.24 0.69395547721
 2112.84 0.432301341553
 2113.44 0.296972045113
 2114.04 0.123121772663
 2114.65 0.672850180035
 2115.24 0.244404323147
 2115.84 0.259056841768
 2116.44 0.979961959307
 2117.04 1.22429464215
 2117.65 1.10427177231
 2118.24 0.921188950679
 2118.84 0.350810336413
 2119.44 0.522397076376
 2120.04 1.06468612944
 2120.65 1.01378905304
 2121.24 1.17765769134
 2121.84 0.480866082243
 2122.44 0.878461404961
 2123.04 0.486088089873
 2123.65 0.240154721708
 2124.24 0.837138453005
 2124.84 0.269337463243
 2125.44 0.993140288462
 2126.04 0.727834621112
 2126.65 0.632330043282
 2127.24 0.974624629806
 2127.84 1.0015948588
 2128.44 0.244068374497
 2129.04 0.270236105278
