# lambda	flux
 2000.04 0.00274370798579
 2000.64 0.00152373287789
 2001.24 0.000468035331606
 2001.84 0.00253640378141
 2002.44 0.00182765117716
 2003.04 0.00204119011974
 2003.64 0.00084601280097
 2004.24 0.000713966443451
 2004.84 0.0013238894868
 2005.44 0.00261718002478
 2006.04 0.00188136895814
 2006.64 0.000937103953721
 2007.24 0.000465478351681
 2007.84 0.000382086128584
 2008.44 0.00126330693066
 2009.04 0.00178558005102
 2009.64 0.00231367332309
 2010.24 0.00235645057882
 2010.84 0.00155359555896
 2011.44 0.00051355061415
 2012.04 0.00168409279021
 2012.64 0.00132998947504
 2013.24 0.00183725354325
 2013.84 0.000471950396743
 2014.44 0.00119160127678
 2015.04 0.00235231143896
 2015.64 0.0022134938342
 2016.24 0.000602577863445
 2016.84 0.00216414695801
 2017.44 0.00238594886215
 2018.04 0.00207556592782
 2018.64 0.00143316546905
 2019.24 0.00265955801217
 2019.84 0.0019543105256
 2020.44 0.00125166675178
 2021.04 0.0020429139726
 2021.64 0.00110729264194
 2022.24 0.00079480975045
 2022.84 0.00106810992207
 2023.44 0.000699557725987
 2024.04 0.00181378376344
 2024.64 0.00212366020235
 2025.24 0.00109810137528
 2025.84 0.00169879647556
 2026.44 0.000508590365138
 2027.04 0.000986873947245
 2027.64 0.000858382584816
 2028.24 0.000661977434584
 2028.84 0.00132393432042
 2029.44 0.00125440110474
 2030.04 0.0016481341061
 2030.64 0.00136337495817
 2031.24 0.00277133147639
 2031.84 0.00192580792235
 2032.44 0.00318569155669
 2033.04 0.0015195699513
 2033.64 0.00212198890446
 2034.24 0.0010739077815
 2034.84 0.00262711914121
 2035.44 0.00129847131238
 2036.04 0.00251878964659
 2036.64 0.00276820433107
 2037.24 0.00126665201721
 2037.84 0.00258973885759
 2038.44 0.00176153079661
 2039.04 0.00142835021323
 2039.64 0.00158747657818
 2040.24 0.00282190081608
 2040.84 0.00233900581547
 2041.44 0.000951284393314
 2042.04 0.00275524641724
 2042.64 0.00263830886669
 2043.24 0.00114331222506
 2043.84 0.00228753332732
 2044.44 0.00134005972983
 2045.04 0.00243185924101
 2045.64 0.00224926309624
 2046.24 0.00345706350884
 2046.84 0.00334047491333
 2047.44 0.00299113952961
 2048.04 0.000966688230438
 2048.65 0.00237377852566
 2049.24 0.00178188351867
 2049.84 0.00212949405322
 2050.44 0.00306828599291
 2051.04 0.0033882777693
 2051.65 0.00137907121016
 2052.24 0.00276651335619
 2052.84 0.00151219369921
 2053.44 0.00289987944127
 2054.04 0.00276273263626
 2054.65 0.00284091500536
 2055.24 0.00315098036819
 2055.84 0.00215056212067
 2056.44 0.00235468488123
 2057.04 0.00342739485773
 2057.65 0.00317961635147
 2058.24 0.00277545392817
 2058.84 0.00207585896537
 2059.44 0.00138850731823
 2060.04 0.00369346946805
 2060.65 0.00130077239817
 2061.24 0.00237393619058
 2061.84 0.002750609126
 2062.44 0.00145158685819
 2063.04 0.00295131905143
 2063.65 0.00310940291007
 2064.24 0.0028047606723
 2064.84 0.00266461300335
 2065.44 0.0024236188208
 2066.04 0.000972958212845
 2066.65 0.00277663081082
 2067.24 0.00339238901268
 2067.84 0.00330999078841
 2068.44 0.00334937314244
 2069.04 0.00245601584704
 2069.65 0.00285251246776
 2070.24 0.00289154960289
 2070.84 0.00317566526376
 2071.44 0.00405420554437
 2072.04 0.00383662024263
 2072.65 0.0032897748089
 2073.24 0.00324854755121
 2073.84 0.00228509935965
 2074.44 0.00466893979606
 2075.04 0.00314603123418
 2075.65 0.00365781951327
 2076.24 0.00479833063309
 2076.84 0.00141466761367
 2077.44 0.0036277702745
 2078.04 0.00177184165851
 2078.65 0.0025495557252
 2079.24 0.00170721934372
 2079.84 0.00533910335235
 2080.44 0.00577146886539
 2081.04 0.00367020405485
 2081.65 0.00235879388293
 2082.24 0.00573890869457
 2082.84 0.00595342314209
 2083.44 0.00290138908904
 2084.04 0.00673962956905
 2084.65 0.00308510557627
 2085.24 0.00246895981263
 2085.84 0.00256131932108
 2086.44 0.00398675983206
 2087.04 0.0076345869267
 2087.65 0.0040501874553
 2088.24 0.00143672052641
 2088.84 0.00670151799919
 2089.44 0.00374536663026
 2090.04 0.00619950643919
 2090.65 0.00229198978961
 2091.24 0.00523916272706
 2091.84 0.00577013780489
 2092.44 0.00150701603825
 2093.04 0.00731890739777
 2093.65 0.00602959547036
 2094.24 0.00114332393161
 2094.84 0.00216052390299
 2095.44 0.00386985540858
 2096.04 0.00315576884837
 2096.65 0.00201050474165
 2097.24 0.00460226273134
 2097.84 0.00492337709188
 2098.44 0.00513440746862
 2099.04 0.00649747569008
 2099.65 0.00169759642888
 2100.24 0.00446269416337
 2100.84 0.00178538166223
 2101.44 0.00216999226636
 2102.04 0.00741435071236
 2102.65 0.00876606955082
 2103.24 0.00144875611294
 2103.84 0.000675313258503
 2104.44 0.00290931617203
 2105.04 0.00802327153739
 2105.65 0.00939011773895
 2106.24 0.0093926164663
 2106.84 0.00237598309462
 2107.44 0.00228409135032
 2108.04 0.00857246700028
 2108.65 0.00254141244451
 2109.24 0.00565775833951
 2109.84 0.00370554092149
 2110.44 0.00251523857444
 2111.04 0.00332672244805
 2111.65 0.00578456177824
 2112.24 0.00677456741643
 2112.84 0.00740028889507
 2113.44 0.00146133418634
 2114.04 0.00338573072127
 2114.65 0.00754838033508
 2115.24 0.00119192158812
 2115.84 0.00141842778486
 2116.44 0.00780617268048
 2117.04 0.00711749981133
 2117.65 0.00751860582681
 2118.24 0.00694790068527
 2118.84 0.00380219349857
 2119.44 0.00185715755545
 2120.04 0.00966873181594
 2120.65 0.00505127995072
 2121.24 0.00601485118567
 2121.84 0.00269905444287
 2122.44 0.0042704660125
 2123.04 0.00558093841444
 2123.65 0.00135080560243
 2124.24 0.00429954310884
 2124.84 0.00117266068936
 2125.44 0.00421195514344
 2126.04 0.00417531859983
 2126.65 0.00625117519898
 2127.24 0.00341658098747
 2127.84 0.00498757535531
 2128.44 0.0030928580572
 2129.04 0.0026172064268
 2129.65 0.00482213977853
 2130.24 0.00241968317579
 2130.84 0.00169754001323
 2131.44 0.00633557798443
 2132.04 0.00485270933642
 2132.65 0.00380431412901
 2133.24 0.00554979398985
 2133.84 0.00322604655131
 2134.44 0.00460175411878
 2135.04 0.00234778573363
 2135.65 0.000640752262644
 2136.24 0.00374319817728
 2136.84 0.0037913049056
 2137.44 0.00778968885115
 2138.04 0.00910278800534
 2138.65 0.00265854601763
 2139.24 0.00206739749048
 2139.84 0.00223150599198
 2140.44 0.00112093302317
 2141.04 0.00570732290785
 2141.65 0.00840185513245
 2142.24 0.0028612874044
 2142.84 0.00788698678335
 2143.44 0.00314760165642
 2144.04 0.00343819951219
 2144.65 0.00294517211241
 2145.24 0.00388635318614
 2145.84 0.00729309369115
 2146.44 0.00710239685764
 2147.04 0.00184967918232
 2147.65 0.00349379893549
 2148.24 0.00333418251411
 2148.84 0.00750695556037
 2149.44 0.00509747253234
 2150.04 0.00456659060882
 2150.65 0.0078931374585
 2151.24 0.00279211410309
 2151.84 0.00215982873273
 2152.44 0.00350649258001
 2153.04 0.00475301928126
 2153.65 0.00477437154408
 2154.24 0.01050852638
 2154.84 0.00533433753805
 2155.44 0.00835603765883
 2156.04 0.00816367650154
 2156.65 0.00543833859529
 2157.24 0.00481195457531
 2157.84 0.0109616060239
 2158.44 0.00548016786893
 2159.04 0.00118378465886
 2159.65 0.00124606366954
