# lambda	flux
 2000.04 1.07637191038e-05
 2000.64 8.13421128327e-06
 2001.24 5.20494741147e-06
 2001.84 1.13127599715e-05
 2002.44 9.10970689802e-06
 2003.04 9.45145828307e-06
 2003.64 6.19729761213e-06
 2004.24 5.65917377466e-06
 2004.84 7.90255006542e-06
 2005.44 1.17649810017e-05
 2006.04 9.25132524462e-06
 2006.64 6.8039353178e-06
 2007.24 5.30323688786e-06
 2007.84 4.9936130696e-06
 2008.44 7.87190688755e-06
 2009.04 9.36732681975e-06
 2009.64 1.16088935506e-05
 2010.24 1.17437490105e-05
 2010.84 9.28911078708e-06
 2011.44 5.80441794569e-06
 2012.04 9.56948463442e-06
 2012.64 8.30279804002e-06
 2013.24 1.07551721345e-05
 2013.84 5.66718639075e-06
 2014.44 8.6383088234e-06
 2015.04 1.11370945434e-05
 2015.64 1.06026267009e-05
 2016.24 6.02586611183e-06
 2016.84 1.07735225071e-05
 2017.44 1.23517933322e-05
 2018.04 1.13633029451e-05
 2018.64 1.00857020023e-05
 2019.24 1.28515201716e-05
 2019.84 1.19783159834e-05
 2020.44 8.38002917326e-06
 2021.04 1.07778590146e-05
 2021.64 8.41621299705e-06
 2022.24 7.16901118627e-06
 2022.84 9.27490718303e-06
 2023.44 6.69452566313e-06
 2024.04 1.05967421112e-05
 2024.64 1.10761755974e-05
 2025.24 7.63282573645e-06
 2025.84 9.26800484158e-06
 2026.44 5.79115968418e-06
 2027.04 7.56172390924e-06
 2027.64 1.22523272061e-05
 2028.24 9.53329544699e-06
 2028.84 9.25988964576e-06
 2029.44 8.8430572789e-06
 2030.04 9.91757316677e-06
 2030.64 9.64756188276e-06
 2031.24 1.41977053805e-05
 2031.84 1.18654179477e-05
 2032.44 1.41925683489e-05
 2033.04 1.13122544479e-05
 2033.64 1.1608388027e-05
 2034.24 8.62369423e-06
 2034.84 1.32353131519e-05
 2035.44 9.51451263049e-06
 2036.04 1.36216592276e-05
 2036.64 1.43166710402e-05
 2037.24 1.3871126408e-05
 2037.84 1.42728768738e-05
 2038.44 1.11431755766e-05
 2039.04 1.06012301417e-05
 2039.64 1.13193626192e-05
 2040.24 1.38488149831e-05
 2040.84 1.37285620484e-05
 2041.44 1.20936906824e-05
 2042.04 1.47736120786e-05
 2042.64 1.46043112865e-05
 2043.24 1.06212854831e-05
 2043.84 1.40457506183e-05
 2044.44 1.00166028263e-05
 2045.04 1.44186848981e-05
 2045.64 1.36097800934e-05
 2046.24 1.59134699087e-05
 2046.84 1.59209749898e-05
 2047.44 1.58056445409e-05
 2048.04 8.40110695963e-06
 2048.65 1.44093722684e-05
 2049.24 1.41840079705e-05
 2049.84 1.34957302149e-05
 2050.44 1.6250646104e-05
 2051.04 1.62628993525e-05
 2051.65 1.57743718051e-05
 2052.24 1.38043463382e-05
 2052.84 1.10827614838e-05
 2053.44 1.51701289672e-05
 2054.04 1.64211711482e-05
 2054.65 1.45650453778e-05
 2055.24 1.62357807602e-05
 2055.84 1.58841629491e-05
 2056.44 1.52875901244e-05
 2057.04 1.70547839686e-05
 2057.65 1.61660198444e-05
 2058.24 1.69338136463e-05
 2058.84 1.57414323164e-05
 2059.44 1.66081961073e-05
 2060.04 1.72782374678e-05
 2060.65 1.09311292108e-05
 2061.24 1.36218201369e-05
 2061.84 1.56700113523e-05
 2062.44 1.38227355972e-05
 2063.04 1.68413323277e-05
 2063.65 1.69908224946e-05
 2064.24 1.71403730027e-05
 2064.84 1.58249147787e-05
 2065.44 1.44230616329e-05
 2066.04 1.01431607264e-05
 2066.65 1.84318718217e-05
 2067.24 1.94875847794e-05
 2067.84 1.90609724752e-05
 2068.44 2.03182579397e-05
 2069.04 1.67271041079e-05
 2069.65 1.68334048594e-05
 2070.24 1.91017925002e-05
 2070.84 2.03964250291e-05
 2071.44 2.24911780521e-05
 2072.04 2.15889337456e-05
 2072.65 1.56230888396e-05
 2073.24 1.62856573008e-05
 2073.84 2.08914854969e-05
 2074.44 4.21462051204e-05
 2075.04 3.86224776775e-05
 2075.65 3.7344744655e-05
 2076.24 4.04077322575e-05
 2076.84 1.57588507556e-05
 2077.44 1.80200765885e-05
 2078.04 1.38868097077e-05
 2078.65 2.9003146673e-05
 2079.24 1.65111825081e-05
 2079.84 9.05772137197e-05
 2080.44 8.39201464167e-05
 2081.04 0.000139092579056
 2081.65 7.99628218622e-05
 2082.24 0.000156902564327
 2082.84 0.000133603767404
 2083.44 3.4630040017e-05
 2084.04 0.000219720219428
 2084.65 7.55656783671e-05
 2085.24 0.000104642419622
 2085.84 4.1977408511e-05
 2086.44 0.000114341971992
 2087.04 0.000264359546259
 2087.65 9.24361996542e-05
 2088.24 3.98761037949e-05
 2088.84 0.00025766642453
 2089.44 8.6689756013e-05
 2090.04 0.00018597733176
 2090.65 4.14825210208e-05
 2091.24 0.000170922297241
 2091.84 0.000155777432386
 2092.44 4.13367854058e-05
 2093.04 0.0001677947233
 2093.65 0.000211234224061
 2094.24 2.52101213111e-05
 2094.84 5.78062186373e-05
 2095.44 6.4875315833e-05
 2096.04 0.000104529547063
 2096.65 3.76887742485e-05
 2097.24 0.000184256996065
 2097.84 0.000256579020472
 2098.44 0.000129942306906
 2099.04 0.000236990107041
 2099.65 3.54199119252e-05
 2100.24 0.000160917102889
 2100.84 5.22505652344e-05
 2101.44 6.93981456358e-05
 2102.04 0.000300815258607
 2102.65 0.000312024848855
 2103.24 1.86170020729e-05
 2103.84 2.71089993598e-05
 2104.44 9.85533516621e-05
 2105.04 0.000271610766042
 2105.65 0.000354294281052
 2106.24 0.000361884054146
 2106.84 6.34992779136e-05
 2107.44 6.01232330892e-05
 2108.04 0.000352522861996
 2108.65 0.000217202159448
 2109.24 0.000153242476922
 2109.84 0.000105439757724
 2110.44 3.58392631941e-05
 2111.04 0.000276007453627
 2111.65 0.000361398107853
 2112.24 0.000363138846856
 2112.84 0.000356680416805
 2113.44 3.55014902932e-05
 2114.04 0.000171360785998
