# lambda	flux
 2000.04 0.0812684
 2000.64 0.0746659
 2001.24 0.067118
 2001.84 0.0879014
 2002.44 0.0836665
 2003.04 0.0808891
 2003.64 0.077192
 2004.24 0.0721674
 2004.84 0.078849
 2005.44 0.0913396
 2006.04 0.0845496
 2006.64 0.0643051
 2007.24 0.0766236
 2007.84 0.0600282
 2008.44 0.0776834
 2009.04 0.08483
 2009.64 0.0947681
 2010.24 0.096315
 2010.84 0.0880891
 2011.44 0.073803
 2012.04 0.092435
 2012.64 0.0918796
 2013.24 0.0958473
 2013.84 0.070661
 2014.44 0.0956408
 2015.04 0.0959688
 2015.64 0.0980687
 2016.24 0.0749836
 2016.84 0.0961267
 2017.44 0.102733
 2018.04 0.100418
 2018.64 0.103613
 2019.24 0.106025
 2019.84 0.106459
 2020.44 0.100373
 2021.04 0.104658
 2021.64 0.0996147
 2022.24 0.0920707
 2022.84 0.104373
 2023.44 0.0786311
 2024.04 0.108976
 2024.64 0.106989
 2025.24 0.0868284
 2025.84 0.0927858
 2026.44 0.0777865
 2027.04 0.105033
 2027.64 0.11389
 2028.24 0.11514
 2028.84 0.10043
 2029.44 0.108159
 2030.04 0.0941518
 2030.64 0.105723
 2031.24 0.121681
 2031.84 0.120822
 2032.44 0.123037
 2033.04 0.120513
 2033.64 0.120102
 2034.24 0.112213
 2034.84 0.122844
 2035.44 0.102428
 2036.04 0.123043
 2036.64 0.128283
 2037.24 0.129232
 2037.84 0.130137
 2038.44 0.118773
 2039.04 0.115349
 2039.64 0.129441
 2040.24 0.131573
 2040.84 0.133027
 2041.44 0.125791
 2042.04 0.135045
 2042.64 0.135036
 2043.24 0.134226
 2043.84 0.137886
 2044.44 0.125236
 2045.04 0.139844
 2045.64 0.139958
 2046.24 0.142239
 2046.84 0.143072
 2047.44 0.143569
 2048.04 0.0990679
 2048.65 0.144423
 2049.24 0.142758
 2049.84 0.144863
 2050.44 0.148366
 2051.04 0.148401
 2051.65 0.149491
 2052.24 0.146218
 2052.84 0.125933
 2053.44 0.149998
 2054.04 0.153449
 2054.65 0.140425
 2055.24 0.154722
 2055.84 0.151715
 2056.44 0.153024
 2057.04 0.15855
 2057.65 0.157849
 2058.24 0.160288
 2058.84 0.160468
 2059.44 0.15986
 2060.04 0.162725
 2060.65 0.125279
 2061.24 0.137657
 2061.84 0.161248
 2062.44 0.158957
 2063.04 0.16506
 2063.65 0.167653
 2064.24 0.169609
 2064.84 0.16616
 2065.44 0.165965
 2066.04 0.161023
 2066.65 0.17927
 2067.24 0.182466
 2067.84 0.182741
 2068.44 0.187588
 2069.04 0.164618
 2069.65 0.18092
 2070.24 0.179401
 2070.84 0.195704
 2071.44 0.201179
 2072.04 0.197354
 2072.65 0.164606
 2073.24 0.170262
 2073.84 0.204414
 2074.44 0.28166
 2075.04 0.298953
 2075.65 0.249668
 2076.24 0.275831
 2076.84 0.24402
 2077.44 0.185386
 2078.04 0.196057
 2078.65 0.286633
 2079.24 0.184163
 2079.84 0.491642
 2080.44 0.486955
 2081.04 0.871207
 2081.65 0.675472
 2082.24 1.42321
 2082.84 0.88003
 2083.44 0.289115
 2084.04 2.40557
 2084.65 1.02993
 2085.24 1.93026
 2085.84 0.556873
 2086.44 1.79418
 2087.04 4.42305
 2087.65 1.08609
 2088.24 0.491562
 2088.84 3.88792
 2089.44 0.777854
 2090.04 3.10296
 2090.65 0.502164
 2091.24 2.30599
 2091.84 2.18737
 2092.44 0.599057
 2093.04 1.85705
 2093.65 3.38304
 2094.24 0.364806
 2094.84 0.863451
 2095.44 1.05838
 2096.04 1.92637
 2096.65 0.679896
 2097.24 3.52693
 2097.84 4.22418
 2098.44 1.48543
 2099.04 3.96429
 2099.65 0.461905
 2100.24 2.74451
 2100.84 0.725652
 2101.44 0.969344
 2102.04 5.31269
 2102.65 5.38826
 2103.24 0.288047
 2103.84 1.11134
 2104.44 1.70325
 2105.04 5.60033
 2105.65 7.46735
 2106.24 7.11859
 2106.84 1.0041
 2107.44 1.22114
 2108.04 6.80923
 2108.65 4.22394
 2109.24 2.06092
 2109.84 1.70411
 2110.44 0.578641
 2111.04 6.33598
 2111.65 8.54247
 2112.24 8.20642
 2112.84 8.23755
 2113.44 0.743182
 2114.04 3.43109
 2114.65 6.3204
 2115.24 0.482366
 2115.84 0.535905
 2116.44 8.51933
 2117.04 7.3518
 2117.65 6.47676
 2118.24 9.07326
 2118.84 4.00548
 2119.44 1.54779
 2120.04 10.3364
 2120.65 5.24503
 2121.24 6.17045
 2121.84 2.56348
 2122.44 3.73052
 2123.04 8.50674
 2123.65 1.55526
 2124.24 3.33468
 2124.84 2.54015
 2125.44 7.21647
 2126.04 5.5923
 2126.65 6.00857
 2127.24 2.05975
 2127.84 2.44592
 2128.44 3.06397
 2129.04 8.14509
 2129.65 6.04859
 2130.24 0.957159
 2130.84 3.69785
 2131.44 4.96242
 2132.04 6.0057
 2132.65 3.93334
 2133.24 5.19188
 2133.84 2.13369
 2134.44 6.02386
 2135.04 4.08047
 2135.65 0.287269
 2136.24 3.34342
 2136.84 5.00169
 2137.44 9.78496
 2138.04 12.928
 2138.65 2.87465
 2139.24 1.49632
 2139.84 1.2699
 2140.44 0.562002
 2141.04 7.77429
 2141.65 8.96185
 2142.24 2.49324
 2142.84 8.64361
 2143.44 2.22325
 2144.04 1.81199
 2144.65 2.79295
 2145.24 3.7608
