# lk ukf_a0v uks_a0v fh fl fc
# iRMS=4.188829189e-05 0
# 
3000.87 1.075974 0.088220 1.075974 0.000000 0.000000
3005.88 1.042763 0.054060 1.042763 0.000000 0.000000
3010.88 1.066428 0.041332 1.066428 0.000000 0.000000
3015.88 1.042527 0.066653 1.042527 0.000000 0.000000
3020.88 1.001714 0.068052 1.001714 0.000000 0.000000
3025.88 1.014394 0.021053 1.014394 0.000000 0.000000
3030.88 1.019927 0.037361 1.019927 0.000000 0.000000
3035.88 1.022885 0.046336 1.022885 0.000000 0.000000
3040.88 1.057637 0.091507 1.057637 0.000000 0.000000
3045.89 1.051592 0.088635 1.051592 0.000000 0.000000
3050.89 1.036622 0.049533 1.036622 0.000000 0.000000
3055.89 1.036418 0.041269 1.036418 0.000000 0.000000
3060.89 1.005969 0.054219 1.005969 0.000000 0.000000
3065.89 0.974454 0.071023 0.974454 0.000000 0.000000
3070.89 0.956507 0.050310 0.956507 0.000000 0.000000
3075.89 0.972521 0.033598 0.972521 0.000000 0.000000
3080.89 1.045360 0.066339 1.045360 0.000000 0.000000
3085.90 1.046632 0.049383 1.046632 0.000000 0.000000
3090.90 1.013760 0.032364 1.013760 0.000000 0.000000
3095.90 1.027994 0.017870 1.027994 0.000000 0.000000
3100.90 1.011138 0.046025 1.011138 0.000000 0.000000
3105.90 0.982877 0.038683 0.982877 0.000000 0.000000
3110.90 0.953480 0.048619 0.953480 0.000000 0.000000
3115.90 0.946203 0.057557 0.946203 0.000000 0.000000
3120.90 0.965026 0.039608 0.965026 0.000000 0.000000
3125.91 1.013101 0.048267 1.013101 0.000000 0.000000
3130.91 1.054124 0.039132 1.054124 0.000000 0.000000
3135.91 1.007729 0.064175 1.007729 0.000000 0.000000
3140.91 0.985666 0.046084 0.985666 0.000000 0.000000
3145.91 1.034042 0.139487 1.034042 0.000000 0.000000
3150.91 1.038314 0.048830 1.038314 0.000000 0.000000
3155.91 1.024035 0.085626 1.024035 0.000000 0.000000
3160.91 1.003496 0.000000 1.003496 0.000000 0.000000
3165.92 1.025234 0.033577 1.025234 0.000000 0.000000
3170.92 1.052744 0.010975 1.052744 0.000000 0.000000
3175.92 1.045524 0.045977 1.045524 0.000000 0.000000
3180.92 0.998782 0.049107 0.998782 0.000000 0.000000
3185.92 1.014678 0.035185 1.014678 0.000000 0.000000
3190.92 1.073331 0.044478 1.073331 0.000000 0.000000
3195.92 1.071585 0.035725 1.071585 0.000000 0.000000
3200.92 1.025610 0.000000 1.025610 0.000000 0.000000
3205.93 1.027123 0.000000 1.027123 0.000000 0.000000
3210.93 1.028811 0.000000 1.028811 0.000000 0.000000
3215.93 1.011811 0.000000 1.011811 0.000000 0.000000
3220.93 0.989788 0.000000 0.989788 0.000000 0.000000
3225.93 0.979960 0.000000 0.979960 0.000000 0.000000
3230.93 0.981220 0.000000 0.981220 0.000000 0.000000
3235.93 0.987170 0.000000 0.987170 0.000000 0.000000
3240.94 0.988567 0.000000 0.988567 0.000000 0.000000
3245.94 0.980252 0.000000 0.980252 0.000000 0.000000
3250.94 0.976231 0.000000 0.976231 0.000000 0.000000
3255.94 0.988487 0.000000 0.988487 0.000000 0.000000
3260.94 1.001723 0.000000 1.001723 0.000000 0.000000
3265.94 1.000031 0.000000 1.000031 0.000000 0.000000
3270.94 0.992324 0.000000 0.992324 0.000000 0.000000
3275.94 0.989331 0.000000 0.989331 0.000000 0.000000
3280.95 0.984206 0.000000 0.984206 0.000000 0.000000
3285.95 0.971932 0.000000 0.971932 0.000000 0.000000
3290.95 0.972359 0.000000 0.972359 0.000000 0.000000
3295.95 0.999411 0.000000 0.999411 0.000000 0.000000
3300.95 1.018435 0.000000 1.018435 0.000000 0.000000
3305.95 0.998059 0.000000 0.998059 0.000000 0.000000
3310.95 0.968613 0.000000 0.968613 0.000000 0.000000
3315.95 0.964230 0.000000 0.964230 0.000000 0.000000
3320.96 0.972542 0.000000 0.972542 0.000000 0.000000
3325.96 0.975001 0.000000 0.975001 0.000000 0.000000
3330.96 0.974833 0.000000 0.974833 0.000000 0.000000
3335.96 0.978138 0.000000 0.978138 0.000000 0.000000
3340.96 0.980742 0.000000 0.980742 0.000000 0.000000
3345.96 0.977971 0.000000 0.977971 0.000000 0.000000
3350.96 0.973430 0.000000 0.973430 0.000000 0.000000
3355.96 0.970812 0.000000 0.970812 0.000000 0.000000
3360.97 0.965897 0.000000 0.965897 0.000000 0.000000
3365.97 0.955103 0.000000 0.955103 0.000000 0.000000
3370.97 0.945304 0.000000 0.945304 0.000000 0.000000
3375.97 0.942864 0.000000 0.942864 0.000000 0.000000
3380.97 0.941656 0.000000 0.941656 0.000000 0.000000
3385.97 0.935501 0.000000 0.935501 0.000000 0.000000
3390.97 0.930504 0.000000 0.930504 0.000000 0.000000
3395.97 0.934256 0.000000 0.934256 0.000000 0.000000
3400.98 0.947981 0.000000 0.947981 0.000000 0.000000
3405.98 0.968577 0.000000 0.968577 0.000000 0.000000
3410.98 0.981979 0.000000 0.981979 0.000000 0.000000
3415.98 0.977178 0.000000 0.977178 0.000000 0.000000
3420.98 0.966353 0.000000 0.966353 0.000000 0.000000
3425.98 0.962162 0.000000 0.962162 0.000000 0.000000
3430.98 0.955995 0.000000 0.955995 0.000000 0.000000
3435.98 0.939342 0.000000 0.939342 0.000000 0.000000
3440.99 0.925386 0.000000 0.925386 0.000000 0.000000
