# lk ukf_b8i uks_b8i fh fl fse
# iRMS=3.217178892e-05 0
# 
3000.87 2.058633 0.121172 2.058633 0.000000 0.000000
3005.88 2.023652 0.014833 2.023652 0.000000 0.000000
3010.88 2.049666 0.147544 2.049666 0.000000 0.000000
3015.88 2.011025 0.051081 2.011025 0.000000 0.000000
3020.88 1.999983 0.042267 1.999983 0.000000 0.000000
3025.88 1.955343 0.097754 1.955343 0.000000 0.000000
3030.88 1.977632 0.111305 1.977632 0.000000 0.000000
3035.88 2.017172 0.077818 2.017172 0.000000 0.000000
3040.88 2.052343 0.132178 2.052343 0.000000 0.000000
3045.89 2.081715 0.102505 2.081715 0.000000 0.000000
3050.89 2.051834 0.075290 2.051834 0.000000 0.000000
3055.89 2.029514 0.067789 2.029514 0.000000 0.000000
3060.89 1.986220 0.051642 1.986220 0.000000 0.000000
3065.89 1.925974 0.094751 1.925974 0.000000 0.000000
3070.89 1.887063 0.137371 1.887063 0.000000 0.000000
3075.89 1.949891 0.022969 1.949891 0.000000 0.000000
3080.89 2.043543 0.070878 2.043543 0.000000 0.000000
3085.90 2.076295 0.071252 2.076295 0.000000 0.000000
3090.90 2.003898 0.067724 2.003898 0.000000 0.000000
3095.90 2.054158 0.037736 2.054158 0.000000 0.000000
3100.90 2.082640 0.008802 2.082640 0.000000 0.000000
3105.90 2.012947 0.044211 2.012947 0.000000 0.000000
3110.90 1.965363 0.100433 1.965363 0.000000 0.000000
3115.90 1.944861 0.027909 1.944861 0.000000 0.000000
3120.90 1.939043 0.024721 1.939043 0.000000 0.000000
3125.91 2.042289 0.205644 2.042289 0.000000 0.000000
3130.91 2.080749 0.058940 2.080749 0.000000 0.000000
3135.91 2.046427 0.089755 2.046427 0.000000 0.000000
3140.91 2.001257 0.052404 2.001257 0.000000 0.000000
3145.91 2.011827 0.077689 2.011827 0.000000 0.000000
3150.91 2.054422 0.104591 2.054422 0.000000 0.000000
3155.91 2.091309 0.132957 2.091309 0.000000 0.000000
3160.91 1.996123 0.044695 1.996123 0.000000 0.000000
3165.92 1.960202 0.047031 1.960202 0.000000 0.000000
3170.92 2.029243 0.045042 2.029243 0.000000 0.000000
3175.92 2.086528 0.080078 2.086528 0.000000 0.000000
3180.92 2.015001 0.053292 2.015001 0.000000 0.000000
3185.92 2.001710 0.109625 2.001710 0.000000 0.000000
3190.92 2.100473 0.015254 2.100473 0.000000 0.000000
3195.92 2.119410 0.009196 2.119410 0.000000 0.000000
3200.92 2.110482 0.000000 2.110482 0.000000 0.000000
3205.93 2.126171 0.000000 2.126171 0.000000 0.000000
3210.93 2.131559 0.000000 2.131559 0.000000 0.000000
3215.93 2.102510 0.000000 2.102510 0.000000 0.000000
3220.93 2.068367 0.000000 2.068367 0.000000 0.000000
3225.93 2.062868 0.000000 2.062868 0.000000 0.000000
3230.93 2.083876 0.000000 2.083876 0.000000 0.000000
3235.93 2.117865 0.000000 2.117865 0.000000 0.000000
3240.94 2.141626 0.000000 2.141626 0.000000 0.000000
3245.94 2.137348 0.000000 2.137348 0.000000 0.000000
3250.94 2.118485 0.000000 2.118485 0.000000 0.000000
3255.94 2.102818 0.000000 2.102818 0.000000 0.000000
3260.94 2.094170 0.000000 2.094170 0.000000 0.000000
3265.94 2.090604 0.000000 2.090604 0.000000 0.000000
3270.94 2.081100 0.000000 2.081100 0.000000 0.000000
3275.94 2.058251 0.000000 2.058251 0.000000 0.000000
3280.95 2.038188 0.000000 2.038188 0.000000 0.000000
3285.95 2.037544 0.000000 2.037544 0.000000 0.000000
3290.95 2.051421 0.000000 2.051421 0.000000 0.000000
3295.95 2.068054 0.000000 2.068054 0.000000 0.000000
3300.95 2.069713 0.000000 2.069713 0.000000 0.000000
3305.95 2.046201 0.000000 2.046201 0.000000 0.000000
3310.95 2.023406 0.000000 2.023406 0.000000 0.000000
3315.95 2.027065 0.000000 2.027065 0.000000 0.000000
