# lk ukf_f5iv uks_f5iv fh fse fl
# iRMS=7.111436571e-05 0
# 
3000.87 0.465808 0.000000 0.465808 0.000000 0.000000
3005.88 0.459672 0.000000 0.459672 0.000000 0.000000
3010.88 0.500848 0.000000 0.500848 0.000000 0.000000
3015.88 0.480641 0.000000 0.480641 0.000000 0.000000
3020.88 0.458294 0.000000 0.458294 0.000000 0.000000
3025.88 0.514252 0.000000 0.514252 0.000000 0.000000
3030.88 0.493600 0.000000 0.493600 0.000000 0.000000
3035.88 0.506273 0.000000 0.506273 0.000000 0.000000
3040.88 0.546123 0.000000 0.546123 0.000000 0.000000
3045.89 0.530462 0.000000 0.530462 0.000000 0.000000
3050.89 0.530879 0.000000 0.530879 0.000000 0.000000
3055.89 0.515972 0.000000 0.515972 0.000000 0.000000
3060.89 0.482533 0.000000 0.482533 0.000000 0.000000
3065.89 0.475183 0.000000 0.475183 0.000000 0.000000
3070.89 0.492397 0.000000 0.492397 0.000000 0.000000
3075.89 0.495033 0.000000 0.495033 0.000000 0.000000
3080.89 0.507045 0.000000 0.507045 0.000000 0.000000
3085.90 0.535639 0.000000 0.535639 0.000000 0.000000
3090.90 0.502279 0.000000 0.502279 0.000000 0.000000
3095.90 0.484503 0.000000 0.484503 0.000000 0.000000
3100.90 0.475086 0.000000 0.475086 0.000000 0.000000
3105.90 0.505184 0.000000 0.505184 0.000000 0.000000
3110.90 0.540958 0.000000 0.540958 0.000000 0.000000
3115.90 0.551279 0.000000 0.551279 0.000000 0.000000
3120.90 0.508102 0.000000 0.508102 0.000000 0.000000
3125.91 0.509121 0.000000 0.509121 0.000000 0.000000
3130.91 0.532363 0.000000 0.532363 0.000000 0.000000
3135.91 0.534243 0.000000 0.534243 0.000000 0.000000
3140.91 0.532516 0.000000 0.532516 0.000000 0.000000
3145.91 0.552897 0.000000 0.552897 0.000000 0.000000
3150.91 0.555247 0.000000 0.555247 0.000000 0.000000
3155.91 0.527580 0.000000 0.527580 0.000000 0.000000
3160.91 0.560389 0.064408 0.560389 0.000000 0.000000
3165.92 0.578396 0.061975 0.578396 0.000000 0.000000
3170.92 0.602278 0.053264 0.602278 0.000000 0.000000
3175.92 0.593768 0.078514 0.593768 0.000000 0.000000
3180.92 0.589446 0.082942 0.589446 0.000000 0.000000
3185.92 0.602758 0.045271 0.602758 0.000000 0.000000
