# lk ukf_g5iii uks_g5iii fh fse fl fd fk
# lRMS=0.004043848254 iRMS=0.0002053742355 0
# 
3000.87 0.116466 0.000000 0.116466 0.000000 0.000000 0.000000 0.000000
3005.88 0.117651 0.000000 0.117651 0.000000 0.000000 0.000000 0.000000
3010.88 0.119526 0.000000 0.119526 0.000000 0.000000 0.000000 0.000000
3015.88 0.121984 0.000000 0.121984 0.000000 0.000000 0.000000 0.000000
3020.88 0.124920 0.000000 0.124920 0.000000 0.000000 0.000000 0.000000
3025.88 0.128226 0.000000 0.128226 0.000000 0.000000 0.000000 0.000000
3030.88 0.131796 0.000000 0.131796 0.000000 0.000000 0.000000 0.000000
3035.88 0.135523 0.000000 0.135523 0.000000 0.000000 0.000000 0.000000
3040.88 0.139302 0.000000 0.139302 0.000000 0.000000 0.000000 0.000000
3045.89 0.143025 0.000000 0.143025 0.000000 0.000000 0.000000 0.000000
3050.89 0.146586 0.000000 0.146586 0.000000 0.000000 0.000000 0.000000
3055.89 0.149900 0.000000 0.149900 0.000000 0.000000 0.000000 0.000000
3060.89 0.152963 0.000000 0.152963 0.000000 0.000000 0.000000 0.000000
3065.89 0.155795 0.000000 0.155795 0.000000 0.000000 0.000000 0.000000
3070.89 0.158413 0.000000 0.158413 0.000000 0.000000 0.000000 0.000000
3075.89 0.160837 0.000000 0.160837 0.000000 0.000000 0.000000 0.000000
3080.89 0.163085 0.000000 0.163085 0.000000 0.000000 0.000000 0.000000
3085.90 0.165175 0.000000 0.165175 0.000000 0.000000 0.000000 0.000000
3090.90 0.167125 0.000000 0.167125 0.000000 0.000000 0.000000 0.000000
3095.90 0.168955 0.000000 0.168955 0.000000 0.000000 0.000000 0.000000
3100.90 0.170683 0.000000 0.170683 0.000000 0.000000 0.000000 0.000000
3105.90 0.172327 0.000000 0.172327 0.000000 0.000000 0.000000 0.000000
3110.90 0.173908 0.000000 0.173908 0.000000 0.000000 0.000000 0.000000
3115.90 0.175446 0.000000 0.175446 0.000000 0.000000 0.000000 0.000000
3120.90 0.176962 0.000000 0.176962 0.000000 0.000000 0.000000 0.000000
3125.91 0.178476 0.000000 0.178476 0.000000 0.000000 0.000000 0.000000
3130.91 0.180010 0.000000 0.180010 0.000000 0.000000 0.000000 0.000000
3135.91 0.181583 0.000000 0.181583 0.000000 0.000000 0.000000 0.000000
3140.91 0.183217 0.000000 0.183217 0.000000 0.000000 0.000000 0.000000
3145.91 0.184931 0.000000 0.184931 0.000000 0.000000 0.000000 0.000000
3150.91 0.186747 0.000000 0.186747 0.000000 0.000000 0.000000 0.000000
3155.91 0.188681 0.000000 0.188681 0.000000 0.000000 0.000000 0.000000
3160.91 0.190732 0.000000 0.190732 0.000000 0.000000 0.000000 0.000000
3165.92 0.192897 0.000000 0.192897 0.000000 0.000000 0.000000 0.000000
3170.92 0.195170 0.000000 0.195170 0.000000 0.000000 0.000000 0.000000
3175.92 0.197547 0.000000 0.197547 0.000000 0.000000 0.000000 0.000000
3180.92 0.200025 0.000000 0.200025 0.000000 0.000000 0.000000 0.000000
3185.92 0.202597 0.000000 0.202597 0.000000 0.000000 0.000000 0.000000
3190.92 0.205261 0.000000 0.205261 0.000000 0.000000 0.000000 0.000000
3195.92 0.208011 0.000000 0.208011 0.000000 0.000000 0.000000 0.000000
3200.92 0.210843 0.000000 0.210843 0.000000 0.000000 0.000000 0.000000
3205.93 0.213756 0.000000 0.213756 0.000000 0.000000 0.000000 0.000000
3210.93 0.216755 0.000000 0.216755 0.000000 0.000000 0.000000 0.000000
3215.93 0.219850 0.000000 0.219850 0.000000 0.000000 0.000000 0.000000
3220.93 0.223050 0.000000 0.223050 0.000000 0.000000 0.000000 0.000000
3225.93 0.226365 0.000000 0.226365 0.000000 0.000000 0.000000 0.000000
3230.93 0.229804 0.000000 0.229804 0.000000 0.000000 0.000000 0.000000
3235.93 0.233375 0.000000 0.233375 0.000000 0.000000 0.000000 0.000000
3240.94 0.237089 0.000000 0.237089 0.000000 0.000000 0.000000 0.000000
3245.94 0.240954 0.000000 0.240954 0.000000 0.000000 0.000000 0.000000
3250.94 0.244980 0.000000 0.244980 0.000000 0.000000 0.000000 0.000000
3255.94 0.249155 0.000000 0.249155 0.000000 0.000000 0.000000 0.000000
3260.94 0.253382 0.000000 0.253382 0.000000 0.000000 0.000000 0.000000
3265.94 0.257546 0.000000 0.257546 0.000000 0.000000 0.000000 0.000000
3270.94 0.261530 0.000000 0.261530 0.000000 0.000000 0.000000 0.000000
3275.94 0.265216 0.000000 0.265216 0.000000 0.000000 0.000000 0.000000
3280.95 0.268488 0.000000 0.268488 0.000000 0.000000 0.000000 0.000000
3285.95 0.271229 0.000000 0.271229 0.000000 0.000000 0.000000 0.000000
3290.95 0.273323 0.000000 0.273323 0.000000 0.000000 0.000000 0.000000
3295.95 0.274652 0.000000 0.274652 0.000000 0.000000 0.000000 0.000000
3300.95 0.275100 0.000000 0.275100 0.000000 0.000000 0.000000 0.000000
3305.95 0.274600 0.000000 0.274600 0.000000 0.000000 0.000000 0.000000
3310.95 0.273283 0.000000 0.273283 0.000000 0.000000 0.000000 0.000000
3315.95 0.271329 0.000000 0.271329 0.000000 0.000000 0.000000 0.000000
3320.96 0.268920 0.000000 0.268920 0.000000 0.000000 0.000000 0.000000
3325.96 0.266236 0.000000 0.266236 0.000000 0.000000 0.000000 0.000000
3330.96 0.263458 0.000000 0.263458 0.000000 0.000000 0.000000 0.000000
3335.96 0.260766 0.000000 0.260766 0.000000 0.000000 0.000000 0.000000
3340.96 0.258342 0.000000 0.258342 0.000000 0.000000 0.000000 0.000000
3345.96 0.256367 0.000000 0.256367 0.000000 0.000000 0.000000 0.000000
3350.96 0.255020 0.000000 0.255020 0.000000 0.000000 0.000000 0.000000
3355.96 0.254437 0.000000 0.254437 0.000000 0.000000 0.000000 0.000000
3360.97 0.254563 0.000000 0.254563 0.000000 0.000000 0.000000 0.000000
3365.97 0.255298 0.000000 0.255298 0.000000 0.000000 0.000000 0.000000
3370.97 0.256542 0.000000 0.256542 0.000000 0.000000 0.000000 0.000000
3375.97 0.258195 0.000000 0.258195 0.000000 0.000000 0.000000 0.000000
3380.97 0.260156 0.000000 0.260156 0.000000 0.000000 0.000000 0.000000
3385.97 0.262325 0.000000 0.262325 0.000000 0.000000 0.000000 0.000000
3390.97 0.264601 0.000000 0.264601 0.000000 0.000000 0.000000 0.000000
3395.97 0.266885 0.000000 0.266885 0.000000 0.000000 0.000000 0.000000
3400.98 0.269076 0.000000 0.269076 0.000000 0.000000 0.000000 0.000000
3405.98 0.271096 0.000000 0.271096 0.000000 0.000000 0.000000 0.000000
3410.98 0.272957 0.000000 0.272957 0.000000 0.000000 0.000000 0.000000
3415.98 0.274691 0.000000 0.274691 0.000000 0.000000 0.000000 0.000000
3420.98 0.276334 0.000000 0.276334 0.000000 0.000000 0.000000 0.000000
3425.98 0.277918 0.000000 0.277918 0.000000 0.000000 0.000000 0.000000
3430.98 0.279477 0.000000 0.279477 0.000000 0.000000 0.000000 0.000000
3435.98 0.281046 0.000000 0.281046 0.000000 0.000000 0.000000 0.000000
3440.99 0.282658 0.000000 0.282658 0.000000 0.000000 0.000000 0.000000
3445.99 0.284346 0.000000 0.284346 0.000000 0.000000 0.000000 0.000000
3450.99 0.286145 0.000000 0.286145 0.000000 0.000000 0.000000 0.000000
3455.99 0.288076 0.000000 0.288076 0.000000 0.000000 0.000000 0.000000
3460.99 0.290117 0.000000 0.290117 0.000000 0.000000 0.000000 0.000000
3465.99 0.292233 0.000000 0.292233 0.000000 0.000000 0.000000 0.000000
3470.99 0.294389 0.000000 0.294389 0.000000 0.000000 0.000000 0.000000
3475.99 0.296550 0.000000 0.296550 0.000000 0.000000 0.000000 0.000000
