# lk ukf_g5iv uks_g5iv fh fse fl
# iRMS=2.234972999e-05 0
# 
3000.87 0.162814 0.000000 0.162814 0.000000 0.000000
3005.88 0.164513 0.000000 0.164513 0.000000 0.000000
3010.88 0.167998 0.000000 0.167998 0.000000 0.000000
3015.88 0.172961 0.000000 0.172961 0.000000 0.000000
3020.88 0.179091 0.000000 0.179091 0.000000 0.000000
3025.88 0.186082 0.000000 0.186082 0.000000 0.000000
3030.88 0.193622 0.000000 0.193622 0.000000 0.000000
3035.88 0.201405 0.000000 0.201405 0.000000 0.000000
3040.88 0.209121 0.000000 0.209121 0.000000 0.000000
3045.89 0.216460 0.000000 0.216460 0.000000 0.000000
3050.89 0.223116 0.000000 0.223116 0.000000 0.000000
3055.89 0.228848 0.000000 0.228848 0.000000 0.000000
3060.89 0.233706 0.000000 0.233706 0.000000 0.000000
3065.89 0.237807 0.000000 0.237807 0.000000 0.000000
3070.89 0.241270 0.000000 0.241270 0.000000 0.000000
3075.89 0.244213 0.000000 0.244213 0.000000 0.000000
3080.89 0.246755 0.000000 0.246755 0.000000 0.000000
3085.90 0.249013 0.000000 0.249013 0.000000 0.000000
3090.90 0.251108 0.000000 0.251108 0.000000 0.000000
3095.90 0.253156 0.000000 0.253156 0.000000 0.000000
3100.90 0.255276 0.000000 0.255276 0.000000 0.000000
3105.90 0.257563 0.000000 0.257563 0.000000 0.000000
3110.90 0.260008 0.000000 0.260008 0.000000 0.000000
3115.90 0.262579 0.000000 0.262579 0.000000 0.000000
3120.90 0.265244 0.000000 0.265244 0.000000 0.000000
3125.91 0.267972 0.000000 0.267972 0.000000 0.000000
3130.91 0.270728 0.000000 0.270728 0.000000 0.000000
3135.91 0.273483 0.000000 0.273483 0.000000 0.000000
3140.91 0.276202 0.000000 0.276202 0.000000 0.000000
3145.91 0.278854 0.000000 0.278854 0.000000 0.000000
3150.91 0.281407 0.000000 0.281407 0.000000 0.000000
3155.91 0.283835 0.000000 0.283835 0.000000 0.000000
3160.91 0.282673 0.003748 0.282673 0.000000 0.000000
3165.92 0.290801 0.002657 0.290801 0.000000 0.000000
3170.92 0.298777 0.009008 0.298777 0.000000 0.000000
3175.92 0.305792 0.014419 0.305792 0.000000 0.000000
3180.92 0.308181 0.014916 0.308181 0.000000 0.000000
3185.92 0.304059 0.008453 0.304059 0.000000 0.000000
3190.92 0.301516 0.003759 0.301516 0.000000 0.000000
3195.92 0.307712 0.008559 0.307712 0.000000 0.000000
3200.92 0.330691 0.000000 0.330691 0.000000 0.000000
3205.93 0.333477 0.000000 0.333477 0.000000 0.000000
3210.93 0.320412 0.000000 0.320412 0.000000 0.000000
3215.93 0.294740 0.000000 0.294740 0.000000 0.000000
3220.93 0.273935 0.000000 0.273935 0.000000 0.000000
3225.93 0.272836 0.000000 0.272836 0.000000 0.000000
3230.93 0.281546 0.000000 0.281546 0.000000 0.000000
3235.93 0.288567 0.000000 0.288567 0.000000 0.000000
3240.94 0.300736 0.000000 0.300736 0.000000 0.000000
3245.94 0.325722 0.000000 0.325722 0.000000 0.000000
3250.94 0.356194 0.000000 0.356194 0.000000 0.000000
3255.94 0.382561 0.000000 0.382561 0.000000 0.000000
3260.94 0.401211 0.000000 0.401211 0.000000 0.000000
3265.94 0.409762 0.000000 0.409762 0.000000 0.000000
3270.94 0.404762 0.000000 0.404762 0.000000 0.000000
3275.94 0.387166 0.000000 0.387166 0.000000 0.000000
3280.95 0.376616 0.000000 0.376616 0.000000 0.000000
3285.95 0.390189 0.000000 0.390189 0.000000 0.000000
3290.95 0.416014 0.000000 0.416014 0.000000 0.000000
3295.95 0.436111 0.000000 0.436111 0.000000 0.000000
3300.95 0.437029 0.000000 0.437029 0.000000 0.000000
3305.95 0.413611 0.000000 0.413611 0.000000 0.000000
3310.95 0.389361 0.000000 0.389361 0.000000 0.000000
3315.95 0.386070 0.000000 0.386070 0.000000 0.000000
3320.96 0.390010 0.000000 0.390010 0.000000 0.000000
3325.96 0.384953 0.000000 0.384953 0.000000 0.000000
3330.96 0.380182 0.000000 0.380182 0.000000 0.000000
3335.96 0.386561 0.000000 0.386561 0.000000 0.000000
3340.96 0.395755 0.000000 0.395755 0.000000 0.000000
3345.96 0.396844 0.000000 0.396844 0.000000 0.000000
