# lk ukf_g8i uks_g8i fh fse fl fk
# iRMS=0.0002441611141 0
# 
3000.87 0.028264 0.000000 0.028264 0.000000 0.000000 0.000000
3005.88 0.025377 0.000000 0.025377 0.000000 0.000000 0.000000
3010.88 0.027118 0.000000 0.027118 0.000000 0.000000 0.000000
3015.88 0.028588 0.000000 0.028588 0.000000 0.000000 0.000000
3020.88 0.025489 0.000000 0.025489 0.000000 0.000000 0.000000
3025.88 0.021767 0.000000 0.021767 0.000000 0.000000 0.000000
3030.88 0.028672 0.000000 0.028672 0.000000 0.000000 0.000000
3035.88 0.035841 0.000000 0.035841 0.000000 0.000000 0.000000
3040.88 0.035697 0.000000 0.035697 0.000000 0.000000 0.000000
3045.89 0.032487 0.000000 0.032487 0.000000 0.000000 0.000000
3050.89 0.034196 0.000000 0.034196 0.000000 0.000000 0.000000
3055.89 0.038562 0.000000 0.038562 0.000000 0.000000 0.000000
3060.89 0.034321 0.000000 0.034321 0.000000 0.000000 0.000000
3065.89 0.029732 0.000000 0.029732 0.000000 0.000000 0.000000
3070.89 0.032417 0.000000 0.032417 0.000000 0.000000 0.000000
3075.89 0.036424 0.000000 0.036424 0.000000 0.000000 0.000000
3080.89 0.038302 0.000000 0.038302 0.000000 0.000000 0.000000
3085.90 0.041324 0.000000 0.041324 0.000000 0.000000 0.000000
3090.90 0.044922 0.000000 0.044922 0.000000 0.000000 0.000000
3095.90 0.040456 0.000000 0.040456 0.000000 0.000000 0.000000
3100.90 0.035357 0.000000 0.035357 0.000000 0.000000 0.000000
3105.90 0.036790 0.000000 0.036790 0.000000 0.000000 0.000000
3110.90 0.049351 0.000000 0.049351 0.000000 0.000000 0.000000
3115.90 0.058356 0.000000 0.058356 0.000000 0.000000 0.000000
3120.90 0.050812 0.000000 0.050812 0.000000 0.000000 0.000000
3125.91 0.044172 0.000000 0.044172 0.000000 0.000000 0.000000
3130.91 0.046804 0.000000 0.046804 0.000000 0.000000 0.000000
3135.91 0.050092 0.000000 0.050092 0.000000 0.000000 0.000000
3140.91 0.056608 0.000000 0.056608 0.000000 0.000000 0.000000
3145.91 0.059237 0.000000 0.059237 0.000000 0.000000 0.000000
3150.91 0.054879 0.000000 0.054879 0.000000 0.000000 0.000000
3155.91 0.060688 0.000000 0.060688 0.000000 0.000000 0.000000
3160.91 0.054223 0.000000 0.054223 0.000000 0.000000 0.000000
3165.92 0.050042 0.000000 0.050042 0.000000 0.000000 0.000000
3170.92 0.060206 0.000000 0.060206 0.000000 0.000000 0.000000
3175.92 0.074537 0.000000 0.074537 0.000000 0.000000 0.000000
3180.92 0.077113 0.000000 0.077113 0.000000 0.000000 0.000000
3185.92 0.065286 0.000000 0.065286 0.000000 0.000000 0.000000
3190.92 0.065230 0.000000 0.065230 0.000000 0.000000 0.000000
3195.92 0.064676 0.000000 0.064676 0.000000 0.000000 0.000000
3200.92 0.059983 0.000000 0.059983 0.000000 0.000000 0.000000
3205.93 0.058840 0.000000 0.058840 0.000000 0.000000 0.000000
