# lk ukf_k1iv uks_k1iv fh fse fl
# iRMS=0.0001062268711 0
# 
3000.87 0.049423 0.000000 0.049423 0.000000 0.000000
3005.88 0.049482 0.000000 0.049482 0.000000 0.000000
3010.88 0.050114 0.000000 0.050114 0.000000 0.000000
3015.88 0.051238 0.000000 0.051238 0.000000 0.000000
3020.88 0.052775 0.000000 0.052775 0.000000 0.000000
3025.88 0.054647 0.000000 0.054647 0.000000 0.000000
3030.88 0.056772 0.000000 0.056772 0.000000 0.000000
3035.88 0.059073 0.000000 0.059073 0.000000 0.000000
3040.88 0.061468 0.000000 0.061468 0.000000 0.000000
3045.89 0.063880 0.000000 0.063880 0.000000 0.000000
3050.89 0.066227 0.000000 0.066227 0.000000 0.000000
3055.89 0.068447 0.000000 0.068447 0.000000 0.000000
3060.89 0.070536 0.000000 0.070536 0.000000 0.000000
3065.89 0.072506 0.000000 0.072506 0.000000 0.000000
3070.89 0.074370 0.000000 0.074370 0.000000 0.000000
3075.89 0.076140 0.000000 0.076140 0.000000 0.000000
3080.89 0.077829 0.000000 0.077829 0.000000 0.000000
3085.90 0.079449 0.000000 0.079449 0.000000 0.000000
3090.90 0.081013 0.000000 0.081013 0.000000 0.000000
3095.90 0.082532 0.000000 0.082532 0.000000 0.000000
3100.90 0.084020 0.000000 0.084020 0.000000 0.000000
3105.90 0.085487 0.000000 0.085487 0.000000 0.000000
3110.90 0.086941 0.000000 0.086941 0.000000 0.000000
3115.90 0.088389 0.000000 0.088389 0.000000 0.000000
3120.90 0.089835 0.000000 0.089835 0.000000 0.000000
3125.91 0.091287 0.000000 0.091287 0.000000 0.000000
3130.91 0.092751 0.000000 0.092751 0.000000 0.000000
3135.91 0.094233 0.000000 0.094233 0.000000 0.000000
3140.91 0.095738 0.000000 0.095738 0.000000 0.000000
3145.91 0.097274 0.000000 0.097274 0.000000 0.000000
3150.91 0.098847 0.000000 0.098847 0.000000 0.000000
3155.91 0.100458 0.000000 0.100458 0.000000 0.000000
3160.91 0.107712 0.007948 0.107712 0.000000 0.000000
3165.92 0.113008 0.013121 0.113008 0.000000 0.000000
3170.92 0.117352 0.016969 0.117352 0.000000 0.000000
3175.92 0.119946 0.018393 0.119946 0.000000 0.000000
3180.92 0.120619 0.017178 0.120619 0.000000 0.000000
3185.92 0.119665 0.013763 0.119665 0.000000 0.000000
3190.92 0.118591 0.010313 0.118591 0.000000 0.000000
3195.92 0.118812 0.008852 0.118812 0.000000 0.000000
3200.92 0.126596 0.000000 0.126596 0.000000 0.000000
3205.93 0.129046 0.000000 0.129046 0.000000 0.000000
3210.93 0.130034 0.000000 0.130034 0.000000 0.000000
3215.93 0.127714 0.000000 0.127714 0.000000 0.000000
3220.93 0.123380 0.000000 0.123380 0.000000 0.000000
3225.93 0.119112 0.000000 0.119112 0.000000 0.000000
3230.93 0.116981 0.000000 0.116981 0.000000 0.000000
3235.93 0.118964 0.000000 0.118964 0.000000 0.000000
3240.94 0.126655 0.000000 0.126655 0.000000 0.000000
3245.94 0.139895 0.000000 0.139895 0.000000 0.000000
3250.94 0.151879 0.000000 0.151879 0.000000 0.000000
3255.94 0.156767 0.000000 0.156767 0.000000 0.000000
3260.94 0.159220 0.000000 0.159220 0.000000 0.000000
3265.94 0.164428 0.000000 0.164428 0.000000 0.000000
3270.94 0.169212 0.000000 0.169212 0.000000 0.000000
3275.94 0.170375 0.000000 0.170375 0.000000 0.000000
3280.95 0.173041 0.000000 0.173041 0.000000 0.000000
3285.95 0.181873 0.000000 0.181873 0.000000 0.000000
3290.95 0.191358 0.000000 0.191358 0.000000 0.000000
3295.95 0.194974 0.000000 0.194974 0.000000 0.000000
3300.95 0.192335 0.000000 0.192335 0.000000 0.000000
3305.95 0.185269 0.000000 0.185269 0.000000 0.000000
3310.95 0.178319 0.000000 0.178319 0.000000 0.000000
3315.95 0.175485 0.000000 0.175485 0.000000 0.000000
3320.96 0.175873 0.000000 0.175873 0.000000 0.000000
3325.96 0.177422 0.000000 0.177422 0.000000 0.000000
3330.96 0.178297 0.000000 0.178297 0.000000 0.000000
3335.96 0.177397 0.000000 0.177397 0.000000 0.000000
3340.96 0.176319 0.000000 0.176319 0.000000 0.000000
3345.96 0.176269 0.000000 0.176269 0.000000 0.000000
3350.96 0.174179 0.000000 0.174179 0.000000 0.000000
3355.96 0.167378 0.000000 0.167378 0.000000 0.000000
3360.97 0.159053 0.000000 0.159053 0.000000 0.000000
3365.97 0.153605 0.000000 0.153605 0.000000 0.000000
3370.97 0.154424 0.000000 0.154424 0.000000 0.000000
3375.97 0.162685 0.000000 0.162685 0.000000 0.000000
3380.97 0.171691 0.000000 0.171691 0.000000 0.000000
3385.97 0.175525 0.000000 0.175525 0.000000 0.000000
3390.97 0.179262 0.000000 0.179262 0.000000 0.000000
3395.97 0.187907 0.000000 0.187907 0.000000 0.000000
3400.98 0.195218 0.000000 0.195218 0.000000 0.000000
3405.98 0.194776 0.000000 0.194776 0.000000 0.000000
3410.98 0.190708 0.000000 0.190708 0.000000 0.000000
3415.98 0.188858 0.000000 0.188858 0.000000 0.000000
3420.98 0.191380 0.000000 0.191380 0.000000 0.000000
3425.98 0.197665 0.000000 0.197665 0.000000 0.000000
3430.98 0.199740 0.000000 0.199740 0.000000 0.000000
3435.98 0.191471 0.000000 0.191471 0.000000 0.000000
3440.99 0.181447 0.000000 0.181447 0.000000 0.000000
3445.99 0.179519 0.000000 0.179519 0.000000 0.000000
3450.99 0.185841 0.000000 0.185841 0.000000 0.000000
3455.99 0.196883 0.000000 0.196883 0.000000 0.000000
3460.99 0.204055 0.000000 0.204055 0.000000 0.000000
3465.99 0.200932 0.000000 0.200932 0.000000 0.000000
3470.99 0.194787 0.000000 0.194787 0.000000 0.000000
3475.99 0.193724 0.000000 0.193724 0.000000 0.000000
3481.00 0.195468 0.000000 0.195468 0.000000 0.000000
3486.00 0.196518 0.000000 0.196518 0.000000 0.000000
3491.00 0.198843 0.000000 0.198843 0.000000 0.000000
3496.00 0.205075 0.000000 0.205075 0.000000 0.000000
3501.00 0.215020 0.000000 0.215020 0.000000 0.000000
