# lk ukf_k2iii uks_k2iii fh fse fl fk fc
# lRMS=0.002399086021 iRMS=0.0006689172587 0
# 
3000.87 0.019802 0.000000 0.019802 0.000000 0.000000 0.000000 0.000000
3005.88 0.019978 0.000000 0.019978 0.000000 0.000000 0.000000 0.000000
3010.88 0.020411 0.000000 0.020411 0.000000 0.000000 0.000000 0.000000
3015.88 0.021081 0.000000 0.021081 0.000000 0.000000 0.000000 0.000000
3020.88 0.021968 0.000000 0.021968 0.000000 0.000000 0.000000 0.000000
3025.88 0.023051 0.000000 0.023051 0.000000 0.000000 0.000000 0.000000
3030.88 0.024309 0.000000 0.024309 0.000000 0.000000 0.000000 0.000000
3035.88 0.025723 0.000000 0.025723 0.000000 0.000000 0.000000 0.000000
3040.88 0.027272 0.000000 0.027272 0.000000 0.000000 0.000000 0.000000
3045.89 0.028935 0.000000 0.028935 0.000000 0.000000 0.000000 0.000000
3050.89 0.030693 0.000000 0.030693 0.000000 0.000000 0.000000 0.000000
3055.89 0.032525 0.000000 0.032525 0.000000 0.000000 0.000000 0.000000
3060.89 0.034414 0.000000 0.034414 0.000000 0.000000 0.000000 0.000000
3065.89 0.036343 0.000000 0.036343 0.000000 0.000000 0.000000 0.000000
3070.89 0.038294 0.000000 0.038294 0.000000 0.000000 0.000000 0.000000
3075.89 0.040250 0.000000 0.040250 0.000000 0.000000 0.000000 0.000000
3080.89 0.042194 0.000000 0.042194 0.000000 0.000000 0.000000 0.000000
3085.90 0.044108 0.000000 0.044108 0.000000 0.000000 0.000000 0.000000
3090.90 0.045977 0.000000 0.045977 0.000000 0.000000 0.000000 0.000000
3095.90 0.047781 0.000000 0.047781 0.000000 0.000000 0.000000 0.000000
3100.90 0.049505 0.000000 0.049505 0.000000 0.000000 0.000000 0.000000
3105.90 0.051137 0.000000 0.051137 0.000000 0.000000 0.000000 0.000000
3110.90 0.052688 0.000000 0.052688 0.000000 0.000000 0.000000 0.000000
3115.90 0.054177 0.000000 0.054177 0.000000 0.000000 0.000000 0.000000
3120.90 0.055622 0.000000 0.055622 0.000000 0.000000 0.000000 0.000000
3125.91 0.057040 0.000000 0.057040 0.000000 0.000000 0.000000 0.000000
3130.91 0.058449 0.000000 0.058449 0.000000 0.000000 0.000000 0.000000
3135.91 0.059868 0.000000 0.059868 0.000000 0.000000 0.000000 0.000000
3140.91 0.061313 0.000000 0.061313 0.000000 0.000000 0.000000 0.000000
3145.91 0.062803 0.000000 0.062803 0.000000 0.000000 0.000000 0.000000
3150.91 0.064356 0.000000 0.064356 0.000000 0.000000 0.000000 0.000000
3155.91 0.065982 0.000000 0.065982 0.000000 0.000000 0.000000 0.000000
3160.91 0.109385 0.048183 0.109385 0.000000 0.000000 0.000000 0.000000
3165.92 0.106390 0.042767 0.106390 0.000000 0.000000 0.000000 0.000000
3170.92 0.104083 0.038158 0.104083 0.000000 0.000000 0.000000 0.000000
3175.92 0.102791 0.034769 0.102791 0.000000 0.000000 0.000000 0.000000
3180.92 0.101445 0.031401 0.101445 0.000000 0.000000 0.000000 0.000000
3185.92 0.098985 0.026864 0.098985 0.000000 0.000000 0.000000 0.000000
3190.92 0.095787 0.021628 0.095787 0.000000 0.000000 0.000000 0.000000
3195.92 0.092606 0.016601 0.092606 0.000000 0.000000 0.000000 0.000000
3200.92 0.101365 0.000000 0.101365 0.000000 0.000000 0.000000 0.000000
3205.93 0.098491 0.000000 0.098491 0.000000 0.000000 0.000000 0.000000
3210.93 0.095455 0.000000 0.095455 0.000000 0.000000 0.000000 0.000000
3215.93 0.089470 0.000000 0.089470 0.000000 0.000000 0.000000 0.000000
3220.93 0.081965 0.000000 0.081965 0.000000 0.000000 0.000000 0.000000
3225.93 0.075325 0.000000 0.075325 0.000000 0.000000 0.000000 0.000000
3230.93 0.071549 0.000000 0.071549 0.000000 0.000000 0.000000 0.000000
3235.93 0.072110 0.000000 0.072110 0.000000 0.000000 0.000000 0.000000
3240.94 0.076773 0.000000 0.076773 0.000000 0.000000 0.000000 0.000000
3245.94 0.084280 0.000000 0.084280 0.000000 0.000000 0.000000 0.000000
3250.94 0.090980 0.000000 0.090980 0.000000 0.000000 0.000000 0.000000
3255.94 0.094277 0.000000 0.094277 0.000000 0.000000 0.000000 0.000000
3260.94 0.098176 0.000000 0.098176 0.000000 0.000000 0.000000 0.000000
3265.94 0.105705 0.000000 0.105705 0.000000 0.000000 0.000000 0.000000
3270.94 0.109387 0.000000 0.109387 0.000000 0.000000 0.000000 0.000000
3275.94 0.103051 0.000000 0.103051 0.000000 0.000000 0.000000 0.000000
3280.95 0.096248 0.000000 0.096248 0.000000 0.000000 0.000000 0.000000
3285.95 0.099059 0.000000 0.099059 0.000000 0.000000 0.000000 0.000000
3290.95 0.107934 0.000000 0.107934 0.000000 0.000000 0.000000 0.000000
3295.95 0.115993 0.000000 0.115993 0.000000 0.000000 0.000000 0.000000
