# lk ukf_k3iii uks_k3iii fh fse fl fd fc
# iRMS=0.0007893881411 0
# 
3000.87 0.011746 0.000000 0.011746 0.000000 0.000000 0.000000 0.000000
3005.88 0.011912 0.000000 0.011912 0.000000 0.000000 0.000000 0.000000
3010.88 0.012199 0.000000 0.012199 0.000000 0.000000 0.000000 0.000000
3015.88 0.012604 0.000000 0.012604 0.000000 0.000000 0.000000 0.000000
3020.88 0.013126 0.000000 0.013126 0.000000 0.000000 0.000000 0.000000
3025.88 0.013763 0.000000 0.013763 0.000000 0.000000 0.000000 0.000000
3030.88 0.014513 0.000000 0.014513 0.000000 0.000000 0.000000 0.000000
3035.88 0.015373 0.000000 0.015373 0.000000 0.000000 0.000000 0.000000
3040.88 0.016342 0.000000 0.016342 0.000000 0.000000 0.000000 0.000000
3045.89 0.017417 0.000000 0.017417 0.000000 0.000000 0.000000 0.000000
3050.89 0.018597 0.000000 0.018597 0.000000 0.000000 0.000000 0.000000
3055.89 0.019875 0.000000 0.019875 0.000000 0.000000 0.000000 0.000000
3060.89 0.021228 0.000000 0.021228 0.000000 0.000000 0.000000 0.000000
3065.89 0.022627 0.000000 0.022627 0.000000 0.000000 0.000000 0.000000
3070.89 0.024043 0.000000 0.024043 0.000000 0.000000 0.000000 0.000000
3075.89 0.025448 0.000000 0.025448 0.000000 0.000000 0.000000 0.000000
3080.89 0.026814 0.000000 0.026814 0.000000 0.000000 0.000000 0.000000
3085.90 0.028113 0.000000 0.028113 0.000000 0.000000 0.000000 0.000000
3090.90 0.029316 0.000000 0.029316 0.000000 0.000000 0.000000 0.000000
3095.90 0.030395 0.000000 0.030395 0.000000 0.000000 0.000000 0.000000
3100.90 0.031321 0.000000 0.031321 0.000000 0.000000 0.000000 0.000000
3105.90 0.032076 0.000000 0.032076 0.000000 0.000000 0.000000 0.000000
3110.90 0.032677 0.000000 0.032677 0.000000 0.000000 0.000000 0.000000
3115.90 0.033152 0.000000 0.033152 0.000000 0.000000 0.000000 0.000000
3120.90 0.033529 0.000000 0.033529 0.000000 0.000000 0.000000 0.000000
3125.91 0.033833 0.000000 0.033833 0.000000 0.000000 0.000000 0.000000
3130.91 0.034093 0.000000 0.034093 0.000000 0.000000 0.000000 0.000000
3135.91 0.034336 0.000000 0.034336 0.000000 0.000000 0.000000 0.000000
3140.91 0.034590 0.000000 0.034590 0.000000 0.000000 0.000000 0.000000
3145.91 0.034881 0.000000 0.034881 0.000000 0.000000 0.000000 0.000000
3150.91 0.035237 0.000000 0.035237 0.000000 0.000000 0.000000 0.000000
