# lk ukf_k4iii uks_k4iii fh fse fl fd
# iRMS=0.0005858743098 0
# 
3000.87 0.009740 0.000000 0.009740 0.000000 0.000000 0.000000
3005.88 0.009882 0.000000 0.009882 0.000000 0.000000 0.000000
3010.88 0.010044 0.000000 0.010044 0.000000 0.000000 0.000000
3015.88 0.010231 0.000000 0.010231 0.000000 0.000000 0.000000
3020.88 0.010449 0.000000 0.010449 0.000000 0.000000 0.000000
3025.88 0.010702 0.000000 0.010702 0.000000 0.000000 0.000000
3030.88 0.010995 0.000000 0.010995 0.000000 0.000000 0.000000
3035.88 0.011332 0.000000 0.011332 0.000000 0.000000 0.000000
3040.88 0.011719 0.000000 0.011719 0.000000 0.000000 0.000000
3045.89 0.012161 0.000000 0.012161 0.000000 0.000000 0.000000
3050.89 0.012662 0.000000 0.012662 0.000000 0.000000 0.000000
3055.89 0.013225 0.000000 0.013225 0.000000 0.000000 0.000000
3060.89 0.013842 0.000000 0.013842 0.000000 0.000000 0.000000
3065.89 0.014503 0.000000 0.014503 0.000000 0.000000 0.000000
3070.89 0.015196 0.000000 0.015196 0.000000 0.000000 0.000000
3075.89 0.015913 0.000000 0.015913 0.000000 0.000000 0.000000
3080.89 0.016643 0.000000 0.016643 0.000000 0.000000 0.000000
3085.90 0.017374 0.000000 0.017374 0.000000 0.000000 0.000000
3090.90 0.018098 0.000000 0.018098 0.000000 0.000000 0.000000
3095.90 0.018804 0.000000 0.018804 0.000000 0.000000 0.000000
3100.90 0.019481 0.000000 0.019481 0.000000 0.000000 0.000000
3105.90 0.020121 0.000000 0.020121 0.000000 0.000000 0.000000
3110.90 0.020731 0.000000 0.020731 0.000000 0.000000 0.000000
3115.90 0.021315 0.000000 0.021315 0.000000 0.000000 0.000000
3120.90 0.021882 0.000000 0.021882 0.000000 0.000000 0.000000
3125.91 0.022440 0.000000 0.022440 0.000000 0.000000 0.000000
3130.91 0.022994 0.000000 0.022994 0.000000 0.000000 0.000000
3135.91 0.023552 0.000000 0.023552 0.000000 0.000000 0.000000
3140.91 0.024122 0.000000 0.024122 0.000000 0.000000 0.000000
3145.91 0.024710 0.000000 0.024710 0.000000 0.000000 0.000000
3150.91 0.025325 0.000000 0.025325 0.000000 0.000000 0.000000
3155.91 0.025968 0.000000 0.025968 0.000000 0.000000 0.000000
3160.91 0.026625 0.000000 0.026625 0.000000 0.000000 0.000000
3165.92 0.027279 0.000000 0.027279 0.000000 0.000000 0.000000
3170.92 0.036811 0.007036 0.036811 0.000000 0.000000 0.000000
3175.92 0.036574 0.006382 0.036574 0.000000 0.000000 0.000000
3180.92 0.037775 0.006912 0.037775 0.000000 0.000000 0.000000
3185.92 0.039158 0.007646 0.039158 0.000000 0.000000 0.000000
3190.92 0.037971 0.006426 0.037971 0.000000 0.000000 0.000000
3195.92 0.032668 0.002042 0.032668 0.000000 0.000000 0.000000
3200.92 0.026944 0.000000 0.026944 0.000000 0.000000 0.000000
3205.93 0.027712 0.000000 0.027712 0.000000 0.000000 0.000000
3210.93 0.031704 0.000000 0.031704 0.000000 0.000000 0.000000
3215.93 0.033221 0.000000 0.033221 0.000000 0.000000 0.000000
3220.93 0.033293 0.000000 0.033293 0.000000 0.000000 0.000000
3225.93 0.033977 0.000000 0.033977 0.000000 0.000000 0.000000
3230.93 0.034707 0.000000 0.034707 0.000000 0.000000 0.000000
3235.93 0.034368 0.000000 0.034368 0.000000 0.000000 0.000000
3240.94 0.032270 0.000000 0.032270 0.000000 0.000000 0.000000
3245.94 0.028556 0.000000 0.028556 0.000000 0.000000 0.000000
3250.94 0.026268 0.000000 0.026268 0.000000 0.000000 0.000000
3255.94 0.028361 0.000000 0.028361 0.000000 0.000000 0.000000
3260.94 0.034528 0.000000 0.034528 0.000000 0.000000 0.000000
3265.94 0.042703 0.000000 0.042703 0.000000 0.000000 0.000000
3270.94 0.047045 0.000000 0.047045 0.000000 0.000000 0.000000
3275.94 0.043723 0.000000 0.043723 0.000000 0.000000 0.000000
3280.95 0.040729 0.000000 0.040729 0.000000 0.000000 0.000000
3285.95 0.045592 0.000000 0.045592 0.000000 0.000000 0.000000
3290.95 0.052185 0.000000 0.052185 0.000000 0.000000 0.000000
3295.95 0.053155 0.000000 0.053155 0.000000 0.000000 0.000000
3300.95 0.049903 0.000000 0.049903 0.000000 0.000000 0.000000
3305.95 0.045767 0.000000 0.045767 0.000000 0.000000 0.000000
3310.95 0.043079 0.000000 0.043079 0.000000 0.000000 0.000000
3315.95 0.043345 0.000000 0.043345 0.000000 0.000000 0.000000
3320.96 0.045757 0.000000 0.045757 0.000000 0.000000 0.000000
3325.96 0.048849 0.000000 0.048849 0.000000 0.000000 0.000000
3330.96 0.050831 0.000000 0.050831 0.000000 0.000000 0.000000
3335.96 0.050742 0.000000 0.050742 0.000000 0.000000 0.000000
3340.96 0.051266 0.000000 0.051266 0.000000 0.000000 0.000000
3345.96 0.054470 0.000000 0.054470 0.000000 0.000000 0.000000
3350.96 0.056313 0.000000 0.056313 0.000000 0.000000 0.000000
3355.96 0.053038 0.000000 0.053038 0.000000 0.000000 0.000000
3360.97 0.048132 0.000000 0.048132 0.000000 0.000000 0.000000
3365.97 0.045793 0.000000 0.045793 0.000000 0.000000 0.000000
3370.97 0.045810 0.000000 0.045810 0.000000 0.000000 0.000000
3375.97 0.047180 0.000000 0.047180 0.000000 0.000000 0.000000
3380.97 0.050128 0.000000 0.050128 0.000000 0.000000 0.000000
3385.97 0.054712 0.000000 0.054712 0.000000 0.000000 0.000000
3390.97 0.059085 0.000000 0.059085 0.000000 0.000000 0.000000
3395.97 0.061569 0.000000 0.061569 0.000000 0.000000 0.000000
3400.98 0.063065 0.000000 0.063065 0.000000 0.000000 0.000000
3405.98 0.064698 0.000000 0.064698 0.000000 0.000000 0.000000
3410.98 0.065899 0.000000 0.065899 0.000000 0.000000 0.000000
3415.98 0.065904 0.000000 0.065904 0.000000 0.000000 0.000000
3420.98 0.064854 0.000000 0.064854 0.000000 0.000000 0.000000
3425.98 0.063098 0.000000 0.063098 0.000000 0.000000 0.000000
3430.98 0.060912 0.000000 0.060912 0.000000 0.000000 0.000000
3435.98 0.058343 0.000000 0.058343 0.000000 0.000000 0.000000
3440.99 0.054586 0.000000 0.054586 0.000000 0.000000 0.000000
3445.99 0.049914 0.000000 0.049914 0.000000 0.000000 0.000000
3450.99 0.049769 0.000000 0.049769 0.000000 0.000000 0.000000
3455.99 0.057729 0.000000 0.057729 0.000000 0.000000 0.000000
3460.99 0.064760 0.000000 0.064760 0.000000 0.000000 0.000000
3465.99 0.062536 0.000000 0.062536 0.000000 0.000000 0.000000
3470.99 0.058191 0.000000 0.058191 0.000000 0.000000 0.000000
3475.99 0.059799 0.000000 0.059799 0.000000 0.000000 0.000000
3481.00 0.063750 0.000000 0.063750 0.000000 0.000000 0.000000
3486.00 0.065303 0.000000 0.065303 0.000000 0.000000 0.000000
3491.00 0.066893 0.000000 0.066893 0.000000 0.000000 0.000000
3496.00 0.071496 0.000000 0.071496 0.000000 0.000000 0.000000
3501.00 0.077094 0.000000 0.077094 0.000000 0.000000 0.000000
3506.00 0.080469 0.000000 0.080469 0.000000 0.000000 0.000000
3511.00 0.067333 0.017811 0.067333 0.000000 0.000000 0.000000
3516.01 0.063815 0.010493 0.063815 0.000000 0.000000 0.000000
3521.01 0.057474 0.008401 0.057474 0.000000 0.000000 0.000000
3526.01 0.058620 0.006133 0.058620 0.000000 0.000000 0.000000
3531.01 0.068480 0.001196 0.068480 0.000000 0.000000 0.000000
3536.01 0.077026 0.004438 0.077026 0.000000 0.000000 0.000000
3541.01 0.082674 0.006976 0.082674 0.000000 0.000000 0.000000
3546.01 0.079796 0.008924 0.079796 0.000000 0.000000 0.000000
3551.01 0.074026 0.009398 0.074026 0.000000 0.000000 0.000000
3556.02 0.069385 0.010797 0.069385 0.000000 0.000000 0.000000
3561.02 0.063107 0.012371 0.063107 0.000000 0.000000 0.000000
3566.02 0.054369 0.009612 0.054369 0.000000 0.000000 0.000000
3571.02 0.047097 0.001597 0.047097 0.000000 0.000000 0.000000
3576.02 0.038876 0.000055 0.038876 0.000000 0.000000 0.000000
3581.02 0.033210 0.005848 0.033210 0.000000 0.000000 0.000000
3586.02 0.039043 0.008438 0.039043 0.000000 0.000000 0.000000
3591.02 0.050121 0.008039 0.050121 0.000000 0.000000 0.000000
3596.03 0.063085 0.000395 0.063085 0.000000 0.000000 0.000000
3601.03 0.067473 0.000997 0.067473 0.000000 0.000000 0.000000
3606.03 0.062572 0.009633 0.062572 0.000000 0.000000 0.000000
3611.03 0.050327 0.000000 0.050327 0.000000 0.000000 0.000000
3616.03 0.058988 0.000000 0.058988 0.000000 0.000000 0.000000
3621.03 0.066822 0.000000 0.066822 0.000000 0.000000 0.000000
3626.03 0.080847 0.000000 0.080847 0.000000 0.000000 0.000000
3631.03 0.068338 0.000000 0.068338 0.000000 0.000000 0.000000
3636.04 0.075270 0.000000 0.075270 0.000000 0.000000 0.000000
3641.04 0.091537 0.000000 0.091537 0.000000 0.000000 0.000000
3646.04 0.073713 0.000000 0.073713 0.000000 0.000000 0.000000
3651.04 0.078209 0.000000 0.078209 0.000000 0.000000 0.000000
3656.04 0.102712 0.000000 0.102712 0.000000 0.000000 0.000000
3661.04 0.107099 0.000000 0.107099 0.000000 0.000000 0.000000
3666.04 0.100057 0.000000 0.100057 0.000000 0.000000 0.000000
3671.05 0.098058 0.000000 0.098058 0.000000 0.000000 0.000000
3676.05 0.100495 0.000000 0.100495 0.000000 0.000000 0.000000
3681.05 0.085959 0.000000 0.085959 0.000000 0.000000 0.000000
3686.05 0.079867 0.000000 0.079867 0.000000 0.000000 0.000000
3691.05 0.087961 0.000000 0.087961 0.000000 0.000000 0.000000
3696.05 0.103501 0.000000 0.103501 0.000000 0.000000 0.000000
3701.05 0.107359 0.000000 0.107359 0.000000 0.000000 0.000000
3706.05 0.075073 0.000000 0.075073 0.000000 0.000000 0.000000
3711.06 0.079241 0.000000 0.079241 0.000000 0.000000 0.000000
3716.06 0.084790 0.000000 0.084790 0.000000 0.000000 0.000000
3721.06 0.053168 0.000000 0.053168 0.000000 0.000000 0.000000
3726.06 0.055574 0.000000 0.055574 0.000000 0.000000 0.000000
3731.06 0.049853 0.000000 0.049853 0.000000 0.000000 0.000000
3736.06 0.037934 0.000000 0.037934 0.000000 0.000000 0.000000
3741.06 0.046738 0.000000 0.046738 0.000000 0.000000 0.000000
3746.06 0.043601 0.000000 0.043601 0.000000 0.000000 0.000000
3751.07 0.051333 0.000000 0.051333 0.000000 0.000000 0.000000
3756.07 0.067196 0.000000 0.067196 0.000000 0.000000 0.000000
3761.07 0.058385 0.000000 0.058385 0.000000 0.000000 0.000000
3766.07 0.069438 0.000000 0.069438 0.000000 0.000000 0.000000
3771.07 0.097303 0.000000 0.097303 0.000000 0.000000 0.000000
3776.07 0.105224 0.000000 0.105224 0.000000 0.000000 0.000000
3781.07 0.101461 0.000000 0.101461 0.000000 0.000000 0.000000
3786.08 0.089904 0.000000 0.089904 0.000000 0.000000 0.000000
3791.08 0.070182 0.000000 0.070182 0.000000 0.000000 0.000000
3796.08 0.066234 0.000000 0.066234 0.000000 0.000000 0.000000
3801.08 0.073690 0.000000 0.073690 0.000000 0.000000 0.000000
3806.08 0.084197 0.000000 0.084197 0.000000 0.000000 0.000000
3811.08 0.075619 0.000000 0.075619 0.000000 0.000000 0.000000
3816.08 0.057355 0.000000 0.057355 0.000000 0.000000 0.000000
3821.08 0.044429 0.000000 0.044429 0.000000 0.000000 0.000000
3826.09 0.041098 0.000000 0.041098 0.000000 0.000000 0.000000
3831.09 0.043959 0.000000 0.043959 0.000000 0.000000 0.000000
3836.09 0.048163 0.000000 0.048163 0.000000 0.000000 0.000000
3841.09 0.054694 0.000000 0.054694 0.000000 0.000000 0.000000
3846.09 0.063166 0.000000 0.063166 0.000000 0.000000 0.000000
3851.09 0.061726 0.000000 0.061726 0.000000 0.000000 0.000000
3856.09 0.055340 0.000000 0.055340 0.000000 0.000000 0.000000
3861.09 0.051259 0.000000 0.051259 0.000000 0.000000 0.000000
3866.10 0.055224 0.000000 0.055224 0.000000 0.000000 0.000000
3871.10 0.056094 0.000000 0.056094 0.000000 0.000000 0.000000
3876.10 0.058448 0.000000 0.058448 0.000000 0.000000 0.000000
3881.10 0.063457 0.000000 0.063457 0.000000 0.000000 0.000000
3886.10 0.069777 0.000000 0.069777 0.000000 0.000000 0.000000
3891.10 0.088171 0.000000 0.088171 0.000000 0.000000 0.000000
3896.10 0.101816 0.000000 0.101816 0.000000 0.000000 0.000000
3901.10 0.096412 0.000000 0.096412 0.000000 0.000000 0.000000
3906.11 0.096198 0.000000 0.096198 0.000000 0.000000 0.000000
3911.11 0.109241 0.000000 0.109241 0.000000 0.000000 0.000000
3916.11 0.105608 0.000000 0.105608 0.000000 0.000000 0.000000
3921.11 0.082024 0.000000 0.082024 0.000000 0.000000 0.000000
3926.11 0.061984 0.000000 0.061984 0.000000 0.000000 0.000000
3931.11 0.036282 0.000000 0.036282 0.000000 0.000000 0.000000
3936.11 0.032437 0.000000 0.032437 0.000000 0.000000 0.000000
3941.12 0.054249 0.000000 0.054249 0.000000 0.000000 0.000000
3946.12 0.078283 0.000000 0.078283 0.000000 0.000000 0.000000
3951.12 0.105536 0.000000 0.105536 0.000000 0.000000 0.000000
3956.12 0.109235 0.000000 0.109235 0.000000 0.000000 0.000000
3961.12 0.076643 0.000000 0.076643 0.000000 0.000000 0.000000
3966.12 0.047920 0.000000 0.047920 0.000000 0.000000 0.000000
3971.12 0.052458 0.000000 0.052458 0.000000 0.000000 0.000000
3976.12 0.095402 0.000000 0.095402 0.000000 0.000000 0.000000
3981.13 0.137102 0.000000 0.137102 0.000000 0.000000 0.000000
3986.13 0.164313 0.000000 0.164313 0.000000 0.000000 0.000000
3991.13 0.176692 0.000000 0.176692 0.000000 0.000000 0.000000
3996.13 0.186059 0.000000 0.186059 0.000000 0.000000 0.000000
4001.13 0.202245 0.000000 0.202245 0.000000 0.000000 0.000000
4006.13 0.205420 0.000000 0.205420 0.000000 0.000000 0.000000
4011.13 0.216048 0.000000 0.216048 0.000000 0.000000 0.000000
4016.13 0.231117 0.000000 0.231117 0.000000 0.000000 0.000000
4021.14 0.231573 0.000000 0.231573 0.000000 0.000000 0.000000
4026.14 0.224402 0.000000 0.224402 0.000000 0.000000 0.000000
4031.14 0.200261 0.000000 0.200261 0.000000 0.000000 0.000000
4036.14 0.210218 0.000000 0.210218 0.000000 0.000000 0.000000
4041.14 0.217929 0.000000 0.217929 0.000000 0.000000 0.000000
4046.14 0.190404 0.000000 0.190404 0.000000 0.000000 0.000000
4051.14 0.228472 0.000000 0.228472 0.000000 0.000000 0.000000
4056.15 0.217309 0.000000 0.217309 0.000000 0.000000 0.000000
4061.15 0.193160 0.000000 0.193160 0.000000 0.000000 0.000000
4066.15 0.200059 0.000000 0.200059 0.000000 0.000000 0.000000
4071.15 0.210482 0.000000 0.210482 0.000000 0.000000 0.000000
4076.15 0.207998 0.000000 0.207998 0.000000 0.000000 0.000000
4081.15 0.240934 0.000000 0.240934 0.000000 0.000000 0.000000
4086.15 0.276460 0.000000 0.276460 0.000000 0.000000 0.000000
4091.15 0.281652 0.000000 0.281652 0.000000 0.000000 0.000000
4096.16 0.243537 0.000000 0.243537 0.000000 0.000000 0.000000
4101.16 0.224138 0.000000 0.224138 0.000000 0.000000 0.000000
4106.16 0.241333 0.000000 0.241333 0.000000 0.000000 0.000000
4111.16 0.239195 0.000000 0.239195 0.000000 0.000000 0.000000
4116.16 0.231715 0.000000 0.231715 0.000000 0.000000 0.000000
4121.16 0.229689 0.000000 0.229689 0.000000 0.000000 0.000000
4126.16 0.233049 0.000000 0.233049 0.000000 0.000000 0.000000
4131.17 0.212156 0.000000 0.212156 0.000000 0.000000 0.000000
4136.17 0.215693 0.000000 0.215693 0.000000 0.000000 0.000000
4141.17 0.205045 0.000000 0.205045 0.000000 0.000000 0.000000
4146.17 0.196292 0.000000 0.196292 0.000000 0.000000 0.000000
4151.17 0.199871 0.000000 0.199871 0.000000 0.000000 0.000000
4156.17 0.214456 0.000000 0.214456 0.000000 0.000000 0.000000
4161.17 0.239085 0.000000 0.239085 0.000000 0.000000 0.000000
4166.17 0.228499 0.000000 0.228499 0.000000 0.000000 0.000000
4171.18 0.212628 0.000000 0.212628 0.000000 0.000000 0.000000
4176.18 0.203573 0.000000 0.203573 0.000000 0.000000 0.000000
