# lk ukf_k4v uks_k4v fh fse fl
# iRMS=7.326521882e-05 0
# 
3000.87 0.029752 0.000000 0.029752 0.000000 0.000000
3005.88 0.030273 0.000000 0.030273 0.000000 0.000000
3010.88 0.030876 0.000000 0.030876 0.000000 0.000000
3015.88 0.031562 0.000000 0.031562 0.000000 0.000000
3020.88 0.032331 0.000000 0.032331 0.000000 0.000000
3025.88 0.033183 0.000000 0.033183 0.000000 0.000000
3030.88 0.034117 0.000000 0.034117 0.000000 0.000000
3035.88 0.035133 0.000000 0.035133 0.000000 0.000000
3040.88 0.036232 0.000000 0.036232 0.000000 0.000000
3045.89 0.037414 0.000000 0.037414 0.000000 0.000000
3050.89 0.038678 0.000000 0.038678 0.000000 0.000000
3055.89 0.040024 0.000000 0.040024 0.000000 0.000000
3060.89 0.041451 0.000000 0.041451 0.000000 0.000000
3065.89 0.042956 0.000000 0.042956 0.000000 0.000000
3070.89 0.044538 0.000000 0.044538 0.000000 0.000000
3075.89 0.046195 0.000000 0.046195 0.000000 0.000000
3080.89 0.047925 0.000000 0.047925 0.000000 0.000000
3085.90 0.049726 0.000000 0.049726 0.000000 0.000000
3090.90 0.051597 0.000000 0.051597 0.000000 0.000000
3095.90 0.053534 0.000000 0.053534 0.000000 0.000000
3100.90 0.055537 0.000000 0.055537 0.000000 0.000000
3105.90 0.057602 0.000000 0.057602 0.000000 0.000000
3110.90 0.059721 0.000000 0.059721 0.000000 0.000000
3115.90 0.061882 0.000000 0.061882 0.000000 0.000000
3120.90 0.064076 0.000000 0.064076 0.000000 0.000000
3125.91 0.066293 0.000000 0.066293 0.000000 0.000000
3130.91 0.068522 0.000000 0.068522 0.000000 0.000000
3135.91 0.070753 0.000000 0.070753 0.000000 0.000000
3140.91 0.072975 0.000000 0.072975 0.000000 0.000000
3145.91 0.075180 0.000000 0.075180 0.000000 0.000000
3150.91 0.077355 0.000000 0.077355 0.000000 0.000000
3155.91 0.079492 0.000000 0.079492 0.000000 0.000000
3160.91 0.102822 0.023750 0.102822 0.000000 0.000000
3165.92 0.096207 0.014089 0.096207 0.000000 0.000000
3170.92 0.093673 0.009068 0.093673 0.000000 0.000000
3175.92 0.097188 0.010904 0.097188 0.000000 0.000000
3180.92 0.100158 0.012233 0.100158 0.000000 0.000000
3185.92 0.096970 0.006791 0.096970 0.000000 0.000000
3190.92 0.094502 0.002281 0.094502 0.000000 0.000000
3195.92 0.099199 0.005923 0.099199 0.000000 0.000000
3200.92 0.111357 0.000000 0.111357 0.000000 0.000000
3205.93 0.100800 0.000000 0.100800 0.000000 0.000000
3210.93 0.081868 0.000000 0.081868 0.000000 0.000000
3215.93 0.068022 0.000000 0.068022 0.000000 0.000000
3220.93 0.064998 0.000000 0.064998 0.000000 0.000000
3225.93 0.073862 0.000000 0.073862 0.000000 0.000000
3230.93 0.084703 0.000000 0.084703 0.000000 0.000000
3235.93 0.088473 0.000000 0.088473 0.000000 0.000000
3240.94 0.090567 0.000000 0.090567 0.000000 0.000000
3245.94 0.098191 0.000000 0.098191 0.000000 0.000000
3250.94 0.111356 0.000000 0.111356 0.000000 0.000000
3255.94 0.127404 0.000000 0.127404 0.000000 0.000000
3260.94 0.140179 0.000000 0.140179 0.000000 0.000000
3265.94 0.144224 0.000000 0.144224 0.000000 0.000000
3270.94 0.140359 0.000000 0.140359 0.000000 0.000000
3275.94 0.132552 0.000000 0.132552 0.000000 0.000000
3280.95 0.131087 0.000000 0.131087 0.000000 0.000000
3285.95 0.143391 0.000000 0.143391 0.000000 0.000000
3290.95 0.159145 0.000000 0.159145 0.000000 0.000000
3295.95 0.166324 0.000000 0.166324 0.000000 0.000000
3300.95 0.163817 0.000000 0.163817 0.000000 0.000000
3305.95 0.154743 0.000000 0.154743 0.000000 0.000000
3310.95 0.148225 0.000000 0.148225 0.000000 0.000000
3315.95 0.151262 0.000000 0.151262 0.000000 0.000000
3320.96 0.156351 0.000000 0.156351 0.000000 0.000000
3325.96 0.155523 0.000000 0.155523 0.000000 0.000000
3330.96 0.153449 0.000000 0.153449 0.000000 0.000000
3335.96 0.156176 0.000000 0.156176 0.000000 0.000000
3340.96 0.162610 0.000000 0.162610 0.000000 0.000000
3345.96 0.168985 0.000000 0.168985 0.000000 0.000000
3350.96 0.167981 0.000000 0.167981 0.000000 0.000000
