# lk ukf_k5iii uks_k5iii fh fse fl fd fk fc
# lRMS=0.0193966832 iRMS=0.002092176583 0
# 
3000.87 0.009724 0.000000 0.009724 0.000000 0.000000 0.000000 0.000000 0.000000
3005.88 0.010005 0.000000 0.010005 0.000000 0.000000 0.000000 0.000000 0.000000
3010.88 0.010209 0.000000 0.010209 0.000000 0.000000 0.000000 0.000000 0.000000
3015.88 0.010359 0.000000 0.010359 0.000000 0.000000 0.000000 0.000000 0.000000
3020.88 0.010475 0.000000 0.010475 0.000000 0.000000 0.000000 0.000000 0.000000
3025.88 0.010579 0.000000 0.010579 0.000000 0.000000 0.000000 0.000000 0.000000
3030.88 0.010693 0.000000 0.010693 0.000000 0.000000 0.000000 0.000000 0.000000
3035.88 0.010838 0.000000 0.010838 0.000000 0.000000 0.000000 0.000000 0.000000
3040.88 0.011034 0.000000 0.011034 0.000000 0.000000 0.000000 0.000000 0.000000
3045.89 0.011304 0.000000 0.011304 0.000000 0.000000 0.000000 0.000000 0.000000
3050.89 0.011669 0.000000 0.011669 0.000000 0.000000 0.000000 0.000000 0.000000
3055.89 0.012143 0.000000 0.012143 0.000000 0.000000 0.000000 0.000000 0.000000
3060.89 0.012708 0.000000 0.012708 0.000000 0.000000 0.000000 0.000000 0.000000
3065.89 0.013339 0.000000 0.013339 0.000000 0.000000 0.000000 0.000000 0.000000
3070.89 0.014011 0.000000 0.014011 0.000000 0.000000 0.000000 0.000000 0.000000
3075.89 0.014699 0.000000 0.014699 0.000000 0.000000 0.000000 0.000000 0.000000
3080.89 0.015378 0.000000 0.015378 0.000000 0.000000 0.000000 0.000000 0.000000
3085.90 0.016023 0.000000 0.016023 0.000000 0.000000 0.000000 0.000000 0.000000
3090.90 0.016609 0.000000 0.016609 0.000000 0.000000 0.000000 0.000000 0.000000
3095.90 0.017111 0.000000 0.017111 0.000000 0.000000 0.000000 0.000000 0.000000
3100.90 0.017504 0.000000 0.017504 0.000000 0.000000 0.000000 0.000000 0.000000
3105.90 0.017771 0.000000 0.017771 0.000000 0.000000 0.000000 0.000000 0.000000
3110.90 0.017931 0.000000 0.017931 0.000000 0.000000 0.000000 0.000000 0.000000
3115.90 0.018009 0.000000 0.018009 0.000000 0.000000 0.000000 0.000000 0.000000
3120.90 0.018031 0.000000 0.018031 0.000000 0.000000 0.000000 0.000000 0.000000
3125.91 0.018025 0.000000 0.018025 0.000000 0.000000 0.000000 0.000000 0.000000
3130.91 0.018015 0.000000 0.018015 0.000000 0.000000 0.000000 0.000000 0.000000
3135.91 0.018030 0.000000 0.018030 0.000000 0.000000 0.000000 0.000000 0.000000
3140.91 0.018094 0.000000 0.018094 0.000000 0.000000 0.000000 0.000000 0.000000
