# lk ukf_m0iii uks_m0iii fh fk fm
# iRMS=0.01722689532 0
# 
3000.87 0.006649 0.000000 0.009585 0.000000 0.004397
3005.88 0.007183 0.000000 0.009865 0.000000 0.005240
3010.88 0.007529 0.000000 0.010040 0.000000 0.005794
3015.88 0.006973 0.000000 0.010133 0.000000 0.004529
3020.88 0.006007 0.000000 0.010169 0.000000 0.002464
3025.88 0.006629 0.000000 0.010172 0.000000 0.003769
3030.88 0.008583 0.000000 0.010167 0.000000 0.007883
3035.88 0.009068 0.000000 0.010177 0.000000 0.008891
3040.88 0.008455 0.000000 0.010226 0.000000 0.007554
3045.89 0.007786 0.000000 0.010340 0.000000 0.006032
3050.89 0.007369 0.000000 0.010543 0.000000 0.004952
3055.89 0.007948 0.000000 0.010850 0.000000 0.005864
3060.89 0.009692 0.000000 0.011244 0.000000 0.009138
3065.89 0.010328 0.000000 0.011698 0.000000 0.010021
3070.89 0.010079 0.000000 0.012187 0.000000 0.009008
3075.89 0.011374 0.000000 0.012684 0.000000 0.011234
3080.89 0.012657 0.000000 0.013163 0.000000 0.013452
3085.90 0.012236 0.000000 0.013598 0.000000 0.012133
3090.90 0.010759 0.000000 0.013963 0.000000 0.008662
3095.90 0.011210 0.000000 0.014231 0.000000 0.009342
3100.90 0.016047 0.000000 0.014377 0.000000 0.019368
3105.90 0.019548 0.000000 0.014384 0.000000 0.026724
3110.90 0.020773 0.000000 0.014277 0.000000 0.029406
3115.90 0.028915 0.000000 0.014090 0.000000 0.046715
3120.90 0.033538 0.000000 0.013857 0.000000 0.056670
3125.91 0.023698 0.000000 0.013612 0.000000 0.036221
3130.91 0.021984 0.000000 0.013390 0.000000 0.032841
3135.91 0.027876 0.000000 0.013226 0.000000 0.045394
3140.91 0.019280 0.000000 0.013153 0.000000 0.027391
3145.91 0.015840 0.000000 0.013206 0.000000 0.020104
3150.91 0.026530 0.000000 0.013419 0.000000 0.042370
3155.91 0.021799 0.000000 0.013813 0.000000 0.032027
3160.91 0.025285 0.032036 0.042104 0.000000 0.011066
3165.92 0.031246 0.024050 0.035844 0.000000 0.029862
3170.92 0.044455 0.018922 0.032129 0.000000 0.061354
3175.92 0.049539 0.018290 0.032333 0.000000 0.071842
3180.92 0.037751 0.018643 0.033374 0.000000 0.046012
3185.92 0.027260 0.016355 0.032070 0.000000 0.025254
3190.92 0.029208 0.012480 0.029292 0.000000 0.032128
3195.92 0.026869 0.009004 0.026716 0.000000 0.029787
3200.92 0.027239 0.000000 0.031223 0.000000 0.026057
3205.93 0.036229 0.000000 0.030819 0.000000 0.045366
3210.93 0.038765 0.000000 0.030918 0.000000 0.050599
3215.93 0.026073 0.000000 0.029240 0.000000 0.025589
3220.93 0.020212 0.000000 0.026916 0.000000 0.015588
3225.93 0.022784 0.000000 0.025361 0.000000 0.022551
3230.93 0.022659 0.000000 0.023702 0.000000 0.023946
3235.93 0.016042 0.000000 0.021115 0.000000 0.012620
3240.94 0.016567 0.000000 0.019251 0.000000 0.015587
3245.94 0.042599 0.000000 0.019704 0.000000 0.069876
3250.94 0.057060 0.000000 0.021364 0.000000 0.098626
3255.94 0.041883 0.000000 0.022566 0.000000 0.065509
3260.94 0.038610 0.000000 0.022116 0.000000 0.059075
3265.94 0.045627 0.000000 0.019542 0.000000 0.076405
3270.94 0.043147 0.000000 0.016784 0.000000 0.073948
3275.94 0.040463 0.000000 0.015959 0.000000 0.069129
3280.95 0.042875 0.000000 0.017461 0.000000 0.072699
3285.95 0.048287 0.000000 0.020899 0.000000 0.080642
3290.95 0.062296 0.000000 0.024459 0.000000 0.106542
3295.95 0.078753 0.000000 0.026383 0.000000 0.139224
3300.95 0.069033 0.000000 0.026558 0.000000 0.118609
3305.95 0.039112 0.000000 0.025526 0.000000 0.056721
3310.95 0.023341 0.000000 0.024792 0.000000 0.024291
3315.95 0.022201 0.000000 0.025489 0.000000 0.021196
3320.96 0.026655 0.000000 0.026282 0.000000 0.029770
3325.96 0.033022 0.000000 0.025786 0.000000 0.043655
3330.96 0.034421 0.000000 0.024877 0.000000 0.047505
3335.96 0.027216 0.000000 0.024565 0.000000 0.032667
3340.96 0.024379 0.000000 0.024136 0.000000 0.027130
3345.96 0.030961 0.000000 0.023063 0.000000 0.042045
3350.96 0.040628 0.000000 0.023295 0.000000 0.062139
3355.96 0.039656 0.000000 0.025981 0.000000 0.057410
3360.97 0.023613 0.000000 0.026608 0.000000 0.023047
3365.97 0.011460 0.000000 0.021704 0.000000 0.002395
3370.97 0.016439 0.000000 0.017618 0.000000 0.016952
3375.97 0.037108 0.000000 0.020444 0.000000 0.057590
3380.97 0.046875 0.000000 0.025443 0.000000 0.073128
3385.97 0.039724 0.000000 0.027106 0.000000 0.056430
3390.97 0.035110 0.000000 0.027692 0.000000 0.046140
3395.97 0.037385 0.000000 0.030190 0.000000 0.048426
3400.98 0.041575 0.000000 0.032758 0.000000 0.054670
3405.98 0.040515 0.000000 0.033153 0.000000 0.052045
3410.98 0.035860 0.000000 0.032349 0.000000 0.043061
3415.98 0.035148 0.000000 0.031826 0.000000 0.042087
3420.98 0.044511 0.000000 0.031863 0.000000 0.061738
3425.98 0.059631 0.000000 0.032193 0.000000 0.093204
3430.98 0.060866 0.000000 0.031571 0.000000 0.096423
3435.98 0.047003 0.000000 0.029220 0.000000 0.069621
3440.99 0.031354 0.000000 0.027206 0.000000 0.038728
3445.99 0.030883 0.000000 0.027564 0.000000 0.037379
3450.99 0.041672 0.000000 0.029335 0.000000 0.058296
3455.99 0.044611 0.000000 0.030956 0.000000 0.062855
3460.99 0.048740 0.000000 0.031430 0.000000 0.071064
3465.99 0.056154 0.000000 0.030432 0.000000 0.087653
3470.99 0.045147 0.000000 0.029770 0.000000 0.065168
3475.99 0.032654 0.000000 0.031011 0.000000 0.037656
3481.00 0.042938 0.000000 0.032641 0.000000 0.057652
3486.00 0.054522 0.000000 0.033038 0.000000 0.081615
3491.00 0.055126 0.000000 0.033217 0.000000 0.082706
3496.00 0.050147 0.000000 0.034433 0.000000 0.071019
3501.00 0.050031 0.000000 0.036223 0.000000 0.068985
3506.00 0.056701 0.000000 0.037633 0.000000 0.081602
3511.00 0.051755 0.009780 0.028955 0.000000 0.079880
3516.01 0.043007 0.005134 0.030570 0.000000 0.059868
3521.01 0.033557 0.003360 0.029807 0.000000 0.040760
3526.01 0.038554 0.000512 0.032572 0.000000 0.048502
3531.01 0.061142 0.005947 0.041376 0.000000 0.087198
3536.01 0.082226 0.007230 0.047793 0.000000 0.125117
3541.01 0.099713 0.004916 0.050011 0.000000 0.159672
3546.01 0.107289 0.000436 0.045740 0.000000 0.179876
3551.01 0.089380 0.001367 0.042632 0.000000 0.145322
3556.02 0.068156 0.004466 0.044610 0.000000 0.098713
