# lk ukf_m3iii uks_m3iii fh fl fd fm fsv
# lRMS=0.06043180451 iRMS=0.04044797271 0
# 
3000.87 0.003643 0.000000 0.003822 0.000000 0.000000 0.003965 0.000000
3005.88 0.004105 0.000000 0.004028 0.000000 0.000000 0.004746 0.000000
3010.88 0.004469 0.000000 0.004239 0.000000 0.000000 0.005314 0.000000
3015.88 0.004034 0.000000 0.004453 0.000000 0.000000 0.004168 0.000000
3020.88 0.003158 0.000000 0.004665 0.000000 0.000000 0.002085 0.000000
3025.88 0.003915 0.000000 0.004873 0.000000 0.000000 0.003496 0.000000
3030.88 0.005995 0.000000 0.005074 0.000000 0.000000 0.007739 0.000000
3035.88 0.006391 0.000000 0.005263 0.000000 0.000000 0.008397 0.000000
3040.88 0.005711 0.000000 0.005438 0.000000 0.000000 0.006769 0.000000
3045.89 0.005184 0.000000 0.005596 0.000000 0.000000 0.005485 0.000000
3050.89 0.004958 0.000000 0.005732 0.000000 0.000000 0.004866 0.000000
3055.89 0.005418 0.000000 0.005847 0.000000 0.000000 0.005733 0.000000
3060.89 0.006577 0.000000 0.005942 0.000000 0.000000 0.008115 0.000000
3065.89 0.006846 0.000000 0.006025 0.000000 0.000000 0.008608 0.000000
3070.89 0.006528 0.000000 0.006099 0.000000 0.000000 0.007854 0.000000
3075.89 0.007512 0.000000 0.006171 0.000000 0.000000 0.009885 0.000000
3080.89 0.008444 0.000000 0.006247 0.000000 0.000000 0.011801 0.000000
3085.90 0.007988 0.000000 0.006331 0.000000 0.000000 0.010742 0.000000
3090.90 0.006858 0.000000 0.006429 0.000000 0.000000 0.008229 0.000000
3095.90 0.007018 0.000000 0.006546 0.000000 0.000000 0.008454 0.000000
3100.90 0.010043 0.000000 0.006688 0.000000 0.000000 0.014778 0.000000
3105.90 0.012843 0.000000 0.006859 0.000000 0.000000 0.020591 0.000000
3110.90 0.014822 0.000000 0.007059 0.000000 0.000000 0.024621 0.000000
3115.90 0.020777 0.000000 0.007287 0.000000 0.000000 0.037121 0.000000
3120.90 0.024111 0.000000 0.007542 0.000000 0.000000 0.043993 0.000000
3125.91 0.018365 0.000000 0.007821 0.000000 0.000000 0.031433 0.000000
3130.91 0.017677 0.000000 0.008125 0.000000 0.000000 0.029658 0.000000
3135.91 0.021331 0.000000 0.008451 0.000000 0.000000 0.037142 0.000000
3140.91 0.015225 0.000000 0.008799 0.000000 0.000000 0.023744 0.000000
3145.91 0.013614 0.000000 0.009167 0.000000 0.000000 0.019932 0.000000
3150.91 0.021992 0.000000 0.009554 0.000000 0.000000 0.037451 0.000000
3155.91 0.017633 0.000000 0.009959 0.000000 0.000000 0.027729 0.000000
3160.91 0.009892 0.000000 0.010381 0.000000 0.000000 0.010763 0.000000
3165.92 0.018210 0.000000 0.010820 0.000000 0.000000 0.028102 0.000000
3170.92 0.030831 0.000000 0.011276 0.000000 0.000000 0.054621 0.000000
3175.92 0.034672 0.000000 0.011747 0.000000 0.000000 0.062361 0.000000
3180.92 0.024914 0.000000 0.012234 0.000000 0.000000 0.041017 0.000000
3185.92 0.016950 0.000000 0.012737 0.000000 0.000000 0.023493 0.000000
3190.92 0.019276 0.000396 0.013616 0.000000 0.000000 0.027585 0.000000
3195.92 0.016935 0.002673 0.011345 0.000000 0.000000 0.024853 0.000000
3200.92 0.020649 0.000000 0.020980 0.000000 0.000000 0.023155 0.000000
3205.93 0.032167 0.000000 0.026135 0.000000 0.000000 0.042618 0.000000
3210.93 0.033326 0.000000 0.022978 0.000000 0.000000 0.048253 0.000000
3215.93 0.019102 0.000000 0.016054 0.000000 0.000000 0.024774 0.000000
3220.93 0.011523 0.000000 0.010992 0.000000 0.000000 0.013637 0.000000
3225.93 0.014880 0.000000 0.012416 0.000000 0.000000 0.019389 0.000000
3230.93 0.020352 0.000000 0.019849 0.000000 0.000000 0.023651 0.000000
3235.93 0.021438 0.000000 0.029843 0.000000 0.000000 0.015979 0.000000
3240.94 0.023595 0.000000 0.032174 0.000000 0.000000 0.018257 0.000000
3245.94 0.039780 0.000000 0.020568 0.000000 0.000000 0.064457 0.000000
3250.94 0.047843 0.002873 0.013958 0.000000 0.000000 0.088302 0.000000
3255.94 0.036542 0.000431 0.019176 0.000000 0.000000 0.058928 0.000000
3260.94 0.036288 0.004251 0.022760 0.000000 0.000000 0.054801 0.000000
3265.94 0.041942 0.000425 0.018261 0.000000 0.000000 0.071385 0.000000
3270.94 0.038384 0.004699 0.013444 0.000000 0.000000 0.068598 0.000000
3275.94 0.037917 0.002725 0.016235 0.000000 0.000000 0.064808 0.000000
3280.95 0.042354 0.001529 0.020967 0.000000 0.000000 0.069560 0.000000
3285.95 0.045547 0.001853 0.020970 0.000000 0.000000 0.076381 0.000000
3290.95 0.055128 0.000317 0.019155 0.000000 0.000000 0.098676 0.000000
3295.95 0.068881 0.002047 0.019588 0.000000 0.000000 0.127638 0.000000
3300.95 0.060652 0.002044 0.021383 0.000000 0.000000 0.108253 0.000000
3305.95 0.035129 0.000055 0.022851 0.000000 0.000000 0.052232 0.000000
3310.95 0.022990 0.002544 0.024059 0.000000 0.000000 0.025080 0.000000
3315.95 0.022746 0.003575 0.025175 0.000000 0.000000 0.023442 0.000000
3320.96 0.025847 0.002819 0.025023 0.000000 0.000000 0.030223 0.000000
