# lk ukf_m4iii uks_m4iii fh fl fm fsv
# lRMS=0.06283461303 iRMS=0.08481960744 0
# 
3000.87 0.003550 0.000000 0.003822 0.000000 0.004766 0.000000
3005.88 0.004013 0.000000 0.003937 0.000000 0.005770 0.000000
3010.88 0.004377 0.000000 0.004038 0.000000 0.006550 0.000000
3015.88 0.003810 0.000000 0.004129 0.000000 0.005088 0.000000
3020.88 0.002691 0.000000 0.004212 0.000000 0.002297 0.000000
3025.88 0.003551 0.000000 0.004292 0.000000 0.004298 0.000000
3030.88 0.006000 0.000000 0.004373 0.000000 0.010140 0.000000
3035.88 0.006332 0.000000 0.004458 0.000000 0.010859 0.000000
3040.88 0.005377 0.000000 0.004551 0.000000 0.008455 0.000000
3045.89 0.004714 0.000000 0.004656 0.000000 0.006747 0.000000
3050.89 0.004504 0.000000 0.004777 0.000000 0.006119 0.000000
3055.89 0.005099 0.000000 0.004917 0.000000 0.007418 0.000000
3060.89 0.006430 0.000000 0.005073 0.000000 0.010482 0.000000
3065.89 0.006721 0.000000 0.005245 0.000000 0.011014 0.000000
3070.89 0.006382 0.000000 0.005430 0.000000 0.010009 0.000000
3075.89 0.007615 0.000000 0.005626 0.000000 0.012796 0.000000
3080.89 0.008800 0.000000 0.005830 0.000000 0.015458 0.000000
3085.90 0.008354 0.000000 0.006041 0.000000 0.014168 0.000000
3090.90 0.007113 0.000000 0.006255 0.000000 0.010952 0.000000
3095.90 0.007226 0.000000 0.006472 0.000000 0.011008 0.000000
3100.90 0.010422 0.000000 0.006688 0.000000 0.018524 0.000000
3105.90 0.013574 0.000000 0.006903 0.000000 0.025932 0.000000
3110.90 0.015969 0.000000 0.007120 0.000000 0.031510 0.000000
3115.90 0.022261 0.000000 0.007345 0.000000 0.046504 0.000000
3120.90 0.025845 0.000000 0.007582 0.000000 0.054938 0.000000
3125.91 0.020237 0.000000 0.007838 0.000000 0.041115 0.000000
