# lk ukf_m4v uks_m4v fh fse fl
# iRMS=0.001250443514 0
# 
3000.87 0.000000 0.000000 0.000000 0.000000 0.000000
3005.88 3.330000 0.000000 0.000333 0.000000 0.000000
3010.88 7.530000 0.000000 0.000753 0.000000 0.000000
3015.88 0.001250 0.000000 0.001250 0.000000 0.000000
3020.88 0.001812 0.000000 0.001812 0.000000 0.000000
3025.88 0.002427 0.000000 0.002427 0.000000 0.000000
3030.88 0.003084 0.000000 0.003084 0.000000 0.000000
3035.88 0.003773 0.000000 0.003773 0.000000 0.000000
3040.88 0.004481 0.000000 0.004481 0.000000 0.000000
3045.89 0.005198 0.000000 0.005198 0.000000 0.000000
3050.89 0.005911 0.000000 0.005911 0.000000 0.000000
3055.89 0.006612 0.000000 0.006612 0.000000 0.000000
3060.89 0.007296 0.000000 0.007296 0.000000 0.000000
3065.89 0.007960 0.000000 0.007960 0.000000 0.000000
3070.89 0.008601 0.000000 0.008601 0.000000 0.000000
3075.89 0.009218 0.000000 0.009218 0.000000 0.000000
3080.89 0.009806 0.000000 0.009806 0.000000 0.000000
3085.90 0.010363 0.000000 0.010363 0.000000 0.000000
3090.90 0.010887 0.000000 0.010887 0.000000 0.000000
3095.90 0.011374 0.000000 0.011374 0.000000 0.000000
3100.90 0.011823 0.000000 0.011823 0.000000 0.000000
3105.90 0.012232 0.000000 0.012232 0.000000 0.000000
3110.90 0.012617 0.000000 0.012617 0.000000 0.000000
3115.90 0.012992 0.000000 0.012992 0.000000 0.000000
3120.90 0.013375 0.000000 0.013375 0.000000 0.000000
3125.91 0.013782 0.000000 0.013782 0.000000 0.000000
3130.91 0.014229 0.000000 0.014229 0.000000 0.000000
3135.91 0.014733 0.000000 0.014733 0.000000 0.000000
3140.91 0.015310 0.000000 0.015310 0.000000 0.000000
3145.91 0.015976 0.000000 0.015976 0.000000 0.000000
3150.91 0.016749 0.000000 0.016749 0.000000 0.000000
3155.91 0.017635 0.000000 0.017635 0.000000 0.000000
3160.91 0.013158 0.006669 0.013158 0.000000 0.000000
3165.92 0.029066 0.011574 0.029066 0.000000 0.000000
3170.92 0.035426 0.018117 0.035426 0.000000 0.000000
3175.92 0.026841 0.006400 0.026841 0.000000 0.000000
3180.92 0.014618 0.009684 0.014618 0.000000 0.000000
3185.92 0.023319 0.000000 0.023319 0.000000 0.000000
3190.92 0.023962 0.000000 0.023962 0.000000 0.000000
3195.92 0.013624 0.013212 0.013624 0.000000 0.000000
3200.92 0.005950 0.000000 0.005950 0.000000 0.000000
3205.93 0.012244 0.000000 0.012244 0.000000 0.000000
3210.93 0.027999 0.000000 0.027999 0.000000 0.000000
3215.93 0.053737 0.000000 0.053737 0.000000 0.000000
3220.93 0.063594 0.000000 0.063594 0.000000 0.000000
3225.93 0.037511 0.000000 0.037511 0.000000 0.000000
3230.93 0.005055 0.000000 0.005055 0.000000 0.000000
3235.93 0.000000 0.000000 0.000000 0.000000 0.000000
3240.94 0.004816 0.000000 0.004816 0.000000 0.000000
3245.94 0.009251 0.000000 0.009251 0.000000 0.000000
3250.94 0.009437 0.000000 0.009437 0.000000 0.000000
3255.94 0.008079 0.000000 0.008079 0.000000 0.000000
3260.94 0.009276 0.000000 0.009276 0.000000 0.000000
3265.94 0.015121 0.000000 0.015121 0.000000 0.000000
3270.94 0.018289 0.000000 0.018289 0.000000 0.000000
3275.94 0.012990 0.000000 0.012990 0.000000 0.000000
3280.95 0.008993 0.000000 0.008993 0.000000 0.000000
3285.95 0.016018 0.000000 0.016018 0.000000 0.000000
3290.95 0.028030 0.000000 0.028030 0.000000 0.000000
3295.95 0.036315 0.000000 0.036315 0.000000 0.000000
3300.95 0.037202 0.000000 0.037202 0.000000 0.000000
3305.95 0.030462 0.000000 0.030462 0.000000 0.000000
3310.95 0.024601 0.000000 0.024601 0.000000 0.000000
3315.95 0.028205 0.000000 0.028205 0.000000 0.000000
3320.96 0.041473 0.000000 0.041473 0.000000 0.000000
3325.96 0.059857 0.000000 0.059857 0.000000 0.000000
3330.96 0.068234 0.000000 0.068234 0.000000 0.000000
3335.96 0.054859 0.000000 0.054859 0.000000 0.000000
3340.96 0.032086 0.000000 0.032086 0.000000 0.000000
3345.96 0.015756 0.000000 0.015756 0.000000 0.000000
3350.96 0.011562 0.000000 0.011562 0.000000 0.000000
3355.96 0.020075 0.000000 0.020075 0.000000 0.000000
3360.97 0.031534 0.000000 0.031534 0.000000 0.000000
3365.97 0.036826 0.000000 0.036826 0.000000 0.000000
3370.97 0.039743 0.000000 0.039743 0.000000 0.000000
3375.97 0.045673 0.000000 0.045673 0.000000 0.000000
3380.97 0.053473 0.000000 0.053473 0.000000 0.000000
3385.97 0.060440 0.000000 0.060440 0.000000 0.000000
3390.97 0.064164 0.000000 0.064164 0.000000 0.000000
3395.97 0.062655 0.000000 0.062655 0.000000 0.000000
3400.98 0.055290 0.000000 0.055290 0.000000 0.000000
3405.98 0.042878 0.000000 0.042878 0.000000 0.000000
3410.98 0.030589 0.000000 0.030589 0.000000 0.000000
3415.98 0.023555 0.000000 0.023555 0.000000 0.000000
3420.98 0.022404 0.000000 0.022404 0.000000 0.000000
3425.98 0.026750 0.000000 0.026750 0.000000 0.000000
3430.98 0.036673 0.000000 0.036673 0.000000 0.000000
3435.98 0.051279 0.000000 0.051279 0.000000 0.000000
3440.99 0.065324 0.000000 0.065324 0.000000 0.000000
3445.99 0.072776 0.000000 0.072776 0.000000 0.000000
3450.99 0.068802 0.000000 0.068802 0.000000 0.000000
3455.99 0.053148 0.000000 0.053148 0.000000 0.000000
3460.99 0.042663 0.000000 0.042663 0.000000 0.000000
3465.99 0.050969 0.000000 0.050969 0.000000 0.000000
3470.99 0.061666 0.000000 0.061666 0.000000 0.000000
3475.99 0.058115 0.000000 0.058115 0.000000 0.000000
3481.00 0.052750 0.000000 0.052750 0.000000 0.000000
3486.00 0.058674 0.000000 0.058674 0.000000 0.000000
3491.00 0.062596 0.000000 0.062596 0.000000 0.000000
3496.00 0.053670 0.000000 0.053670 0.000000 0.000000
3501.00 0.057233 0.000000 0.057233 0.000000 0.000000
3506.00 0.092760 0.000000 0.092760 0.000000 0.000000
3511.00 0.120094 0.000000 0.120094 0.000000 0.000000
3516.01 0.101288 0.000000 0.101288 0.000000 0.000000
3521.01 0.066844 0.000000 0.066844 0.000000 0.000000
3526.01 0.054616 0.000000 0.054616 0.000000 0.000000
3531.01 0.063401 0.000000 0.063401 0.000000 0.000000
3536.01 0.081695 0.000000 0.081695 0.000000 0.000000
3541.01 0.095858 0.000000 0.095858 0.000000 0.000000
3546.01 0.096384 0.000000 0.096384 0.000000 0.000000
3551.01 0.092440 0.000000 0.092440 0.000000 0.000000
3556.02 0.092685 0.000000 0.092685 0.000000 0.000000
3561.02 0.085057 0.000000 0.085057 0.000000 0.000000
3566.02 0.060802 0.000000 0.060802 0.000000 0.000000
3571.02 0.045112 0.000000 0.045112 0.000000 0.000000
3576.02 0.060285 0.000000 0.060285 0.000000 0.000000
3581.02 0.083108 0.000000 0.083108 0.000000 0.000000
3586.02 0.086792 0.000000 0.086792 0.000000 0.000000
3591.02 0.075771 0.000000 0.075771 0.000000 0.000000
3596.03 0.061362 0.000000 0.061362 0.000000 0.000000
3601.03 0.051200 0.000000 0.051200 0.000000 0.000000
3606.03 0.050212 0.000000 0.050212 0.000000 0.000000
3611.03 0.056188 0.000000 0.056188 0.000000 0.000000
3616.03 0.065129 0.000000 0.065129 0.000000 0.000000
3621.03 0.073026 0.000000 0.073026 0.000000 0.000000
3626.03 0.076258 0.000000 0.076258 0.000000 0.000000
3631.03 0.072770 0.000000 0.072770 0.000000 0.000000
3636.04 0.063199 0.000000 0.063199 0.000000 0.000000
3641.04 0.057397 0.000000 0.057397 0.000000 0.000000
3646.04 0.062923 0.000000 0.062923 0.000000 0.000000
3651.04 0.068939 0.000000 0.068939 0.000000 0.000000
3656.04 0.065079 0.000000 0.065079 0.000000 0.000000
3661.04 0.061253 0.000000 0.061253 0.000000 0.000000
3666.04 0.068054 0.000000 0.068054 0.000000 0.000000
3671.05 0.078533 0.000000 0.078533 0.000000 0.000000
3676.05 0.083525 0.000000 0.083525 0.000000 0.000000
3681.05 0.082540 0.000000 0.082540 0.000000 0.000000
3686.05 0.077126 0.000000 0.077126 0.000000 0.000000
3691.05 0.068301 0.000000 0.068301 0.000000 0.000000
