# lk ukf_m5iii uks_m5iii fh fl fk fm
# lRMS=0.1901770234 iRMS=0.147836566 0
# 
3000.87 0.003509 0.000000 0.003810 0.000000 0.000000 0.004897
3005.88 0.004083 0.000000 0.004055 0.000000 0.000000 0.006078
3010.88 0.004550 0.000000 0.004239 0.000000 0.000000 0.007053
3015.88 0.003915 0.000000 0.004374 0.000000 0.000000 0.005341
3020.88 0.002587 0.000000 0.004468 0.000000 0.000000 0.001951
3025.88 0.003702 0.000000 0.004532 0.000000 0.000000 0.004656
3030.88 0.006720 0.000000 0.004577 0.000000 0.000000 0.012101
3035.88 0.006958 0.000000 0.004612 0.000000 0.000000 0.012656
3040.88 0.005613 0.000000 0.004648 0.000000 0.000000 0.009280
3045.89 0.004791 0.000000 0.004694 0.000000 0.000000 0.007195
3050.89 0.004652 0.000000 0.004762 0.000000 0.000000 0.006783
3055.89 0.005458 0.000000 0.004859 0.000000 0.000000 0.008685
3060.89 0.007001 0.000000 0.004984 0.000000 0.000000 0.012389
3065.89 0.007297 0.000000 0.005134 0.000000 0.000000 0.012974
3070.89 0.006915 0.000000 0.005308 0.000000 0.000000 0.011853
3075.89 0.008456 0.000000 0.005501 0.000000 0.000000 0.015484
3080.89 0.009974 0.000000 0.005711 0.000000 0.000000 0.019040
3085.90 0.009521 0.000000 0.005936 0.000000 0.000000 0.017692
3090.90 0.007969 0.000000 0.006172 0.000000 0.000000 0.013605
3095.90 0.007914 0.000000 0.006416 0.000000 0.000000 0.013222
3100.90 0.011555 0.000000 0.006667 0.000000 0.000000 0.022009
3105.90 0.015317 0.000000 0.006920 0.000000 0.000000 0.031090
3110.90 0.018168 0.000000 0.007178 0.000000 0.000000 0.037909
3115.90 0.025076 0.000000 0.007441 0.000000 0.000000 0.054789
3120.90 0.029337 0.000000 0.007710 0.000000 0.000000 0.065093
3125.91 0.024003 0.000000 0.007987 0.000000 0.000000 0.051580
3130.91 0.022254 0.000000 0.008272 0.000000 0.000000 0.046955
3135.91 0.024204 0.000000 0.008568 0.000000 0.000000 0.051497
3140.91 0.018048 0.000000 0.008874 0.000000 0.000000 0.035915
3145.91 0.018169 0.000000 0.009192 0.000000 0.000000 0.035897
3150.91 0.028117 0.000000 0.009524 0.000000 0.000000 0.060252
3155.91 0.021685 0.000000 0.009869 0.000000 0.000000 0.043946
3160.91 0.018537 0.018414 0.027037 0.000000 0.000000 0.018964
3165.92 0.027755 0.014349 0.023695 0.000000 0.000000 0.045182
3170.92 0.042024 0.011677 0.021635 0.000000 0.000000 0.082652
3175.92 0.045966 0.011198 0.021583 0.000000 0.000000 0.092489
3180.92 0.035037 0.011310 0.022076 0.000000 0.000000 0.064872
3185.92 0.024971 0.010404 0.021644 0.000000 0.000000 0.040326
3190.92 0.025130 0.009256 0.020992 0.000000 0.000000 0.041372
3195.92 0.023103 0.008736 0.020914 0.000000 0.000000 0.036419
3200.92 0.026499 0.000000 0.027416 0.000000 0.000000 0.038344
3205.93 0.038342 0.000000 0.023086 0.000000 0.000000 0.072065
3210.93 0.040320 0.000000 0.018151 0.000000 0.000000 0.081908
3215.93 0.023941 0.000000 0.015479 0.000000 0.000000 0.043933
3220.93 0.015551 0.000000 0.016234 0.000000 0.000000 0.022358
3225.93 0.020196 0.000000 0.019934 0.000000 0.000000 0.030185
3230.93 0.026106 0.000000 0.021210 0.000000 0.000000 0.043577
3235.93 0.021362 0.000000 0.016108 0.000000 0.000000 0.036904
3240.94 0.020279 0.000000 0.011204 0.000000 0.000000 0.039120
3245.94 0.047709 0.000000 0.012792 0.000000 0.000000 0.105605
3250.94 0.062448 0.000000 0.015478 0.000000 0.000000 0.139494
3255.94 0.043961 0.000000 0.013494 0.000000 0.000000 0.095602
3260.94 0.041287 0.000000 0.011250 0.000000 0.000000 0.091210
3265.94 0.051935 0.000000 0.013405 0.000000 0.000000 0.115478
3270.94 0.049355 0.000000 0.015456 0.000000 0.000000 0.107024
3275.94 0.047820 0.000000 0.012941 0.000000 0.000000 0.105729
3280.95 0.054032 0.000000 0.010742 0.000000 0.000000 0.123345
3285.95 0.059387 0.000000 0.013748 0.000000 0.000000 0.133628
3290.95 0.071059 0.000000 0.017516 0.000000 0.000000 0.158826
3295.95 0.085713 0.000000 0.017193 0.000000 0.000000 0.195514
3300.95 0.075583 0.000000 0.015610 0.000000 0.000000 0.171959
3305.95 0.046291 0.000000 0.016300 0.000000 0.000000 0.098578
3310.95 0.029348 0.000000 0.017916 0.000000 0.000000 0.054915
3315.95 0.025900 0.000000 0.018479 0.000000 0.000000 0.045794
3320.96 0.030785 0.000000 0.018346 0.000000 0.000000 0.058050
3325.96 0.043319 0.000000 0.018325 0.000000 0.000000 0.089176
3330.96 0.049202 0.000000 0.018698 0.000000 0.000000 0.103404
3335.96 0.037281 0.000000 0.019488 0.000000 0.000000 0.073030
3340.96 0.029473 0.000000 0.020218 0.000000 0.000000 0.052922
3345.96 0.036997 0.000000 0.020388 0.000000 0.000000 0.071424
3350.96 0.051607 0.000000 0.019908 0.000000 0.000000 0.108161
