# lk ukf_m6iii uks_m6iii fh fm
# iRMS=0.1550584733 0
# 
3000.87 0.003014 0.000000 0.002795 0.004855
3005.88 0.003671 0.000000 0.003028 0.006290
3010.88 0.004214 0.000000 0.003232 0.007463
3015.88 0.003481 0.000000 0.003415 0.005419
3020.88 0.001965 0.000000 0.003582 0.001405
3025.88 0.003473 0.000000 0.003740 0.005076
3030.88 0.007225 0.000000 0.003898 0.014440
3035.88 0.007348 0.000000 0.004062 0.014587
3040.88 0.005553 0.000000 0.004238 0.009857
3045.89 0.004640 0.000000 0.004435 0.007341
3050.89 0.004729 0.000000 0.004658 0.007344
3055.89 0.005931 0.000000 0.004913 0.010140
3060.89 0.007860 0.000000 0.005194 0.014755
3065.89 0.008366 0.000000 0.005494 0.015738
3070.89 0.008175 0.000000 0.005804 0.014945
3075.89 0.010248 0.000000 0.006117 0.019893
3080.89 0.012299 0.000000 0.006425 0.024789
3085.90 0.011894 0.000000 0.006720 0.023466
3090.90 0.009696 0.000000 0.006995 0.017613
3095.90 0.009377 0.000000 0.007242 0.016558
3100.90 0.014334 0.000000 0.007453 0.028928
3105.90 0.019279 0.000000 0.007624 0.041307
3110.90 0.022519 0.000000 0.007764 0.049390
3115.90 0.031193 0.000000 0.007887 0.071281
3120.90 0.037162 0.000000 0.008004 0.086314
3125.91 0.031071 0.000000 0.008128 0.070730
3130.91 0.027604 0.000000 0.008274 0.061787
3135.91 0.028311 0.000000 0.008452 0.063403
3140.91 0.022045 0.000000 0.008677 0.047274
3145.91 0.023907 0.000000 0.008961 0.051716
3150.91 0.035891 0.000000 0.009317 0.081777
3155.91 0.027175 0.000000 0.009752 0.059219
3160.91 0.021433 0.018741 0.027600 0.026798
3165.92 0.034560 0.017843 0.027310 0.060404
3170.92 0.053686 0.018118 0.028126 0.108130
3175.92 0.059498 0.019681 0.030135 0.120874
3180.92 0.045958 0.018338 0.029431 0.087212
3185.92 0.030849 0.011148 0.023272 0.055025
3190.92 0.027636 0.004516 0.017566 0.052575
3195.92 0.025524 0.004608 0.017999 0.046781
3200.92 0.031847 0.000000 0.027495 0.053334
3205.93 0.049889 0.000000 0.027588 0.099031
3210.93 0.053250 0.000000 0.022979 0.112172
3215.93 0.031361 0.000000 0.017290 0.062304
3220.93 0.018809 0.000000 0.016618 0.031120
3225.93 0.025452 0.000000 0.024086 0.040512
3230.93 0.036382 0.000000 0.028458 0.063881
3235.93 0.031016 0.000000 0.020147 0.058572
3240.94 0.027761 0.000000 0.010522 0.059938
3245.94 0.062116 0.000000 0.011558 0.146095
3250.94 0.081739 0.000000 0.016715 0.190742
3255.94 0.059386 0.000000 0.017467 0.133257
3260.94 0.055744 0.000000 0.015852 0.125630
3265.94 0.066515 0.000000 0.015464 0.153352
3270.94 0.060883 0.000000 0.015534 0.138989
3275.94 0.062827 0.000000 0.015037 0.144421
3280.95 0.077276 0.000000 0.016266 0.179864
3285.95 0.084401 0.000000 0.020777 0.193435
3290.95 0.094838 0.000000 0.023827 0.216874
3295.95 0.109860 0.000000 0.021313 0.257515
3300.95 0.099960 0.000000 0.017962 0.235740
3305.95 0.068199 0.000000 0.018739 0.154354
3310.95 0.043993 0.000000 0.020704 0.090952
3315.95 0.035021 0.000000 0.020459 0.068426
3320.96 0.042709 0.000000 0.020651 0.087745
3325.96 0.064814 0.000000 0.023915 0.140584
3330.96 0.075381 0.000000 0.026781 0.164539
3335.96 0.054700 0.000000 0.025752 0.113079
3340.96 0.039705 0.000000 0.023343 0.077431
3345.96 0.049153 0.000000 0.022569 0.102183
3350.96 0.068750 0.000000 0.022451 0.152040
3355.96 0.067951 0.000000 0.021506 0.150956
