# lk ukf_m7iii uks_m7iii fh fl fk fm
# iRMS=0.8421489596 0
# 
3000.87 0.002609 0.000000 0.001802 0.000000 0.000000 0.005127
3005.88 0.003445 0.000000 0.002045 0.000000 0.000000 0.007106
3010.88 0.004135 0.000000 0.002293 0.000000 0.000000 0.008689
3015.88 0.003205 0.000000 0.002546 0.000000 0.000000 0.005967
3020.88 0.001325 0.000000 0.002805 0.000000 0.000000 0.000715
3025.88 0.003576 0.000000 0.003070 0.000000 0.000000 0.006427
3030.88 0.008696 0.000000 0.003342 0.000000 0.000000 0.019754
3035.88 0.008524 0.000000 0.003621 0.000000 0.000000 0.019018
3040.88 0.005762 0.000000 0.003907 0.000000 0.000000 0.011396
3045.89 0.004550 0.000000 0.004201 0.000000 0.000000 0.007882
3050.89 0.004983 0.000000 0.004505 0.000000 0.000000 0.008730
3055.89 0.006894 0.000000 0.004816 0.000000 0.000000 0.013494
3060.89 0.009567 0.000000 0.005131 0.000000 0.000000 0.020277
3065.89 0.010596 0.000000 0.005445 0.000000 0.000000 0.022696
3070.89 0.010938 0.000000 0.005754 0.000000 0.000000 0.023296
3075.89 0.014073 0.000000 0.006051 0.000000 0.000000 0.031325
3080.89 0.017264 0.000000 0.006334 0.000000 0.000000 0.039516
3085.90 0.017040 0.000000 0.006595 0.000000 0.000000 0.038662
3090.90 0.013012 0.000000 0.006831 0.000000 0.000000 0.027727
3095.90 0.011949 0.000000 0.007037 0.000000 0.000000 0.024698
3100.90 0.020901 0.000000 0.007207 0.000000 0.000000 0.048303
3105.90 0.029435 0.000000 0.007339 0.000000 0.000000 0.070837
3110.90 0.033969 0.000000 0.007440 0.000000 0.000000 0.082779
3115.90 0.048416 0.000000 0.007517 0.000000 0.000000 0.121072
3120.90 0.059604 0.000000 0.007579 0.000000 0.000000 0.150722
3125.91 0.050589 0.000000 0.007634 0.000000 0.000000 0.126724
3130.91 0.042925 0.000000 0.007692 0.000000 0.000000 0.106312
3135.91 0.041828 0.000000 0.007759 0.000000 0.000000 0.103332
3140.91 0.034850 0.000000 0.007846 0.000000 0.000000 0.084710
3145.91 0.040670 0.000000 0.007959 0.000000 0.000000 0.100057
3150.91 0.058379 0.000000 0.008108 0.000000 0.000000 0.146939
3155.91 0.042870 0.000000 0.008298 0.000000 0.000000 0.105559
3160.91 0.031829 0.030823 0.033692 0.000000 0.000000 0.050842
3165.92 0.054092 0.032695 0.035478 0.000000 0.000000 0.108183
3170.92 0.084885 0.030460 0.033932 0.000000 0.000000 0.191512
3175.92 0.091610 0.022118 0.027416 0.000000 0.000000 0.215890
3180.92 0.066923 0.014028 0.021113 0.000000 0.000000 0.156627
3185.92 0.043248 0.012230 0.019950 0.000000 0.000000 0.094911
3190.92 0.039485 0.013135 0.020987 0.000000 0.000000 0.083880
3195.92 0.036704 0.012106 0.020431 0.000000 0.000000 0.077050
3200.92 0.046945 0.000000 0.027053 0.000000 0.000000 0.097629
3205.93 0.077812 0.000000 0.025293 0.000000 0.000000 0.181367
3210.93 0.087583 0.000000 0.027757 0.000000 0.000000 0.204854
3215.93 0.057096 0.000000 0.034966 0.000000 0.000000 0.116675
3220.93 0.035931 0.000000 0.039277 0.000000 0.000000 0.056152
3225.93 0.039882 0.000000 0.034198 0.000000 0.000000 0.071723
3230.93 0.057001 0.000000 0.025998 0.000000 0.000000 0.125389
3235.93 0.054292 0.000000 0.021998 0.000000 0.000000 0.122195
3240.94 0.053708 0.000000 0.020957 0.000000 0.000000 0.121686
3245.94 0.111943 0.000000 0.020144 0.000000 0.000000 0.277165
3250.94 0.143033 0.000000 0.019443 0.000000 0.000000 0.360437
3255.94 0.103795 0.000000 0.019089 0.000000 0.000000 0.256579
3260.94 0.094965 0.000000 0.018114 0.000000 0.000000 0.234101
3265.94 0.108097 0.000000 0.015890 0.000000 0.000000 0.271203
3270.94 0.095782 0.000000 0.014372 0.000000 0.000000 0.240015
3275.94 0.106405 0.000000 0.015434 0.000000 0.000000 0.267164
3280.95 0.141591 0.000000 0.018057 0.000000 0.000000 0.357993
3285.95 0.152370 0.000000 0.020620 0.000000 0.000000 0.384058
3290.95 0.160857 0.000000 0.021985 0.000000 0.000000 0.405234
3295.95 0.181071 0.000000 0.021738 0.000000 0.000000 0.459167
3300.95 0.173394 0.000000 0.021891 0.000000 0.000000 0.438623
3305.95 0.131688 0.000000 0.024111 0.000000 0.000000 0.325638
3310.95 0.084725 0.000000 0.026249 0.000000 0.000000 0.198772
3315.95 0.061042 0.000000 0.026074 0.000000 0.000000 0.136046
3320.96 0.077128 0.000000 0.024841 0.000000 0.000000 0.180002
3325.96 0.123594 0.000000 0.024220 0.000000 0.000000 0.304032
3330.96 0.144731 0.000000 0.024049 0.000000 0.000000 0.360341
3335.96 0.099933 0.000000 0.023819 0.000000 0.000000 0.241591
3340.96 0.067251 0.000000 0.023470 0.000000 0.000000 0.155141
3345.96 0.083436 0.000000 0.023057 0.000000 0.000000 0.198540
3350.96 0.117843 0.000000 0.022652 0.000000 0.000000 0.290326
3355.96 0.118308 0.000000 0.022351 0.000000 0.000000 0.291862
3360.97 0.069851 0.000000 0.022349 0.000000 0.000000 0.163167
3365.97 0.029321 0.000000 0.022660 0.000000 0.000000 0.055213
3370.97 0.038912 0.000000 0.022478 0.000000 0.000000 0.080868
3375.97 0.101932 0.000000 0.021499 0.000000 0.000000 0.249220
3380.97 0.146531 0.000000 0.022238 0.000000 0.000000 0.366933
3385.97 0.140941 0.000000 0.026530 0.000000 0.000000 0.347793
3390.97 0.110051 0.000000 0.030662 0.000000 0.000000 0.261622
3395.97 0.101890 0.000000 0.031251 0.000000 0.000000 0.239358
3400.98 0.131435 0.000000 0.031786 0.000000 0.000000 0.317291
3405.98 0.144549 0.000000 0.035730 0.000000 0.000000 0.348175
3410.98 0.127964 0.000000 0.039570 0.000000 0.000000 0.300288
3415.98 0.111938 0.000000 0.039600 0.000000 0.000000 0.257695
3420.98 0.154468 0.000000 0.038306 0.000000 0.000000 0.371944
3425.98 0.242187 0.000000 0.038699 0.000000 0.000000 0.604523
3430.98 0.239380 0.000000 0.039704 0.000000 0.000000 0.596063
3435.98 0.151968 0.000000 0.040036 0.000000 0.000000 0.363574
