# lk ukf_m8iii uks_m8iii fh fl fm
# lRMS=43.84253693 iRMS=4.07691431 0
# 
3000.87 0.001985 0.000000 0.001802 0.000000 0.011946
3005.88 0.002802 0.000000 0.002045 0.000000 0.017364
3010.88 0.003441 0.000000 0.002293 0.000000 0.021545
3015.88 0.002509 0.000000 0.002546 0.000000 0.014835
3020.88 0.000627 0.000000 0.002805 0.000000 0.001536
3025.88 0.002838 0.000000 0.003070 0.000000 0.016593
3030.88 0.007852 0.000000 0.003342 0.000000 0.051049
3035.88 0.007493 0.000000 0.003621 0.000000 0.048287
3040.88 0.004553 0.000000 0.003907 0.000000 0.027630
3045.89 0.003260 0.000000 0.004201 0.000000 0.018381
3050.89 0.003730 0.000000 0.004505 0.000000 0.021336
3055.89 0.005591 0.000000 0.004816 0.000000 0.033912
3060.89 0.008110 0.000000 0.005131 0.000000 0.051046
3065.89 0.009751 0.000000 0.005445 0.000000 0.062101
3070.89 0.011252 0.000000 0.005754 0.000000 0.072193
3075.89 0.014922 0.000000 0.006051 0.000000 0.097317
3080.89 0.018471 0.000000 0.006334 0.000000 0.121619
3085.90 0.018475 0.000000 0.006595 0.000000 0.121384
3090.90 0.013294 0.000000 0.006831 0.000000 0.085259
3095.90 0.011912 0.000000 0.007037 0.000000 0.075481
3100.90 0.024177 0.000000 0.007207 0.000000 0.160272
3105.90 0.035331 0.000000 0.007339 0.000000 0.237408
3110.90 0.040826 0.000000 0.007440 0.000000 0.275370
3115.90 0.061551 0.000000 0.007517 0.000000 0.418862
3120.90 0.078726 0.000000 0.007579 0.000000 0.537779
3125.91 0.067062 0.000000 0.007634 0.000000 0.456926
3130.91 0.054953 0.000000 0.007692 0.000000 0.372980
3135.91 0.052582 0.000000 0.007759 0.000000 0.356491
3140.91 0.047647 0.000000 0.007846 0.000000 0.322219
3145.91 0.058254 0.000000 0.007959 0.000000 0.395583
3150.91 0.079166 0.000000 0.008108 0.000000 0.540296
3155.91 0.056773 0.000000 0.008298 0.000000 0.384986
3160.91 0.044065 0.120811 0.107167 0.000000 0.198080
3165.92 0.073154 0.113287 0.101281 0.000000 0.405477
3170.92 0.119110 0.116839 0.104461 0.000000 0.720647
3175.92 0.136483 0.135271 0.119805 0.000000 0.825650
3180.92 0.103159 0.143226 0.126604 0.000000 0.588006
3185.92 0.062973 0.120960 0.108727 0.000000 0.327507
3190.92 0.052752 0.100343 0.092191 0.000000 0.273234
